Jun 26 04:14:22 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Jun 26 04:14:22 ubuntu dstat.sh[64519]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Jun 26 04:14:22 ubuntu dstat.sh[64519]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 26 04:14:22 ubuntu dstat.sh[64519]: 26-06 04:14:22|                   | 890M 1530M  160M 5052M|           |           |           |           |1.58 1.06 0.56|1.0   0    |           |           | 10    4    0   15    0
Jun 26 04:14:23 ubuntu dstat.sh[64519]: 26-06 04:14:23| 55  27  14   0   0| 887M 1533M  160M 5052M| 312k 4010B|   0  3630k|   0  25.0 |  29k   65k|1.58 1.06 0.56|2.0   0 585|   0     0 |           | 10    3    0   16    0
Jun 26 04:14:24 ubuntu dstat.sh[64519]: 26-06 04:14:24| 32  25  39   1   0| 870M 1546M  160M 5056M|9010B 3994B|   0    36M|   0  48.5 |  22k   47k|1.53 1.06 0.56|1.0   0 523|   0     0 |           | 10    4    0   16    0
Jun 26 04:14:25 ubuntu dstat.sh[64519]: 26-06 04:14:25| 20  26  53   0   0| 901M 1500M  162M 5067M|  14k 2159B|   0    20k|   0  4.99 |7184  7929 |1.53 1.06 0.56|2.0   0 428|   0     0 |           | 10    2    0   17    0
Jun 26 04:14:26 ubuntu dstat.sh[64519]: 26-06 04:14:26| 26  14  57   0   0|1041M 1361M  162M 5189M|  85k 4895B|   0  1691k|   0  9.01 |4362  4093 |1.53 1.06 0.56|3.0   0 141|   0     0 |           | 11    6    0   17    0
Jun 26 04:14:27 ubuntu dstat.sh[64519]: 26-06 04:14:27| 20  13  64   1   0|1055M 1344M  162M 5191M|1328k   40k|   0  2850k|   0   112 |5381  3621 |1.53 1.06 0.56|1.0   0 167|   0     0 |           | 11    8    0   17    0
Jun 26 04:14:28 ubuntu dstat.sh[64519]: 26-06 04:14:28| 31   9  57   1   0|1109M 1277M  162M 5202M|4298k   73k|  32k 8133k|2.00   182 |7214  4234 |1.53 1.06 0.56|2.0   0  42|   0     0 |           | 11    6    0   19    0
Jun 26 04:14:29 ubuntu dstat.sh[64519]: 26-06 04:14:29| 36  14  48   1   0|1159M 1223M  162M 5205M|5308B 2011B|  36k 3146k|9.01  34.0 |4109  2721 |1.57 1.07 0.57|2.0   0 144|   0     0 |           | 11    4    0   19    0
Jun 26 04:14:30 ubuntu dstat.sh[64519]: 26-06 04:14:30| 46  10  36   5   0|1195M 1164M  163M 5224M|4570B 1455B|  20k   21M|4.99  1361 |8367    13k|1.57 1.07 0.57|3.0   0  65|   0     0 |           | 11    6    0   19    0
Jun 26 04:14:31 ubuntu dstat.sh[64519]: 26-06 04:14:31| 52   7  25  14   0|1216M 1132M  165M 5233M|  11k 4234B|   0    55M|   0  4004 |  14k   29k|1.57 1.07 0.57|2.0 1.0  79|   0     0 |           | 11    7    0   19    0
Jun 26 04:14:32 ubuntu dstat.sh[64519]: 26-06 04:14:32| 29   8  60   2   0|1140M 1209M  165M 5232M| 230k   10k|   0    14M|   0   862 |5015  5981 |1.57 1.07 0.57|1.0   0  91|   0     0 |           | 11    5    0   19    0
Jun 26 04:14:33 ubuntu dstat.sh[64519]: 26-06 04:14:33| 23   5  71   0   0|1154M 1195M  165M 5232M|7974B 1813B|   0   667k|   0  38.9 |1939  1476 |1.57 1.07 0.57|1.0   0   0|   0     0 |           | 11    6    0   19    0
Jun 26 04:14:34 ubuntu dstat.sh[64519]: 26-06 04:14:34| 23   3  72   1   0|1104M 1244M  165M 5232M|5414B 2152B|   0  5420k|   0   287 |2442  2458 |1.52 1.07 0.58|2.0   0  10|   0     0 |           | 11    6    0   19    0
Jun 26 04:14:35 ubuntu dstat.sh[64519]: 26-06 04:14:35| 26   4  69   0   0|1168M 1180M  165M 5232M|  11k 1818B|   0   204k|   0  19.0 |2035  1385 |1.52 1.07 0.58|3.0   0   0|   0     0 |           | 11    6    0   19    0
Jun 26 04:14:36 ubuntu dstat.sh[64519]: 26-06 04:14:36| 38   3  58   1   0|1167M 1181M  165M 5233M|  30k   12k|   0  1177k|   0  46.0 |2578  1455 |1.52 1.07 0.58|1.0   0 5.0|   0     0 |           | 11    8    0   19    0
Jun 26 04:14:37 ubuntu dstat.sh[64519]: 26-06 04:14:37| 17  21  61   1   0|1164M 1183M  165M 5233M|  33k   13k|   0  1510k|   0  56.1 |6063  4965 |1.52 1.07 0.58|1.0   0 430|   0     0 |           | 11    8    0   19    0
Jun 26 04:14:38 ubuntu dstat.sh[64519]: 26-06 04:14:38| 30  20  48   1   0|1171M 1176M  165M 5234M|  35k   14k|   0    24M|   0   551 |7418  8414 |1.52 1.07 0.58|5.0   0 367|   0     0 |           | 11    7    0   19    1
Jun 26 04:14:39 ubuntu dstat.sh[64519]: 26-06 04:14:39| 51  13  34   1   0|1263M 1082M  166M 5234M|  32k   14k|   0  1822k|   0  58.8 |4124  2906 |1.64 1.11 0.59|4.0   0 131|   0     0 |           | 11    8    0   19    1
Jun 26 04:14:40 ubuntu dstat.sh[64519]: 26-06 04:14:40| 63   6  28   0   0|1334M  988M  166M 5257M| 171k 8385B|   0  2015k|   0  62.0 |3696  1621 |1.64 1.11 0.59|5.0   0 1.0|   0     0 |           | 11    7    0   13    2
Jun 26 04:14:41 ubuntu dstat.sh[64519]: 26-06 04:14:41| 65  11  23   1   0|1360M  945M  167M 5270M|4552B 1463B|   0  2818k|   0  87.3 |4141  3865 |1.64 1.11 0.59|4.0   0   0|   0     0 |           | 11    7    0   13    2
Jun 26 04:14:42 ubuntu dstat.sh[64519]: 26-06 04:14:42| 39  11  49   0   0|1364M  922M  167M 5287M|4725B 1615B|   0  5183k|   0   157 |4498  3845 |1.64 1.11 0.59|2.0   0 140|   0     0 |           | 11    6    0   14    2
Jun 26 04:14:43 ubuntu dstat.sh[64519]: 26-06 04:14:43| 42   7  49   1   0|1412M  848M  168M 5310M|4508B 1455B|   0  2782k|   0   123 |3210  2264 |1.64 1.11 0.59|3.0   0   0|   0     0 |           | 11    6    0   14    2
Jun 26 04:14:44 ubuntu dstat.sh[64519]: 26-06 04:14:44| 45   5  48   1   0|1440M  790M  169M 5335M|4639B 1626B|   0  2553k|   0  78.3 |3044  1959 |1.75 1.14 0.60|3.0   0   0|   0     0 |           | 11    6    0   14    2
