Jun 18 19:58:07 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Jun 18 19:58:07 ubuntu dstat.sh[65339]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Jun 18 19:58:07 ubuntu dstat.sh[65339]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 18 19:58:07 ubuntu dstat.sh[65339]: 18-06 19:58:07|                   |1038M 1319M  162M 5104M|           |           |           |           |1.48 0.97 0.52|3.0   0    |           |           | 10    3    1   19    0
Jun 18 19:58:08 ubuntu dstat.sh[65339]: 18-06 19:58:08|  9  21  68   0   0|1031M 1327M  162M 5104M|  13k 4006B|   0  1295k|   0  57.9 |6163  5134 |1.48 0.97 0.52|3.0   0 450|   0     0 |           | 10    4    1   19    0
Jun 18 19:58:09 ubuntu dstat.sh[65339]: 18-06 19:58:09| 22  19  57   0   0|1000M 1357M  162M 5105M|  23k 8264B|   0    10M|   0   265 |6159  5524 |1.48 0.97 0.52|2.0   0 410|   0     0 |           | 10    5    1   19    0
Jun 18 19:58:10 ubuntu dstat.sh[65339]: 18-06 19:58:10| 28  17  54   1   0|1002M 1355M  162M 5105M|  38k   12k|   0  1388k|   0  46.0 |5990  7314 |1.48 0.97 0.52|2.0   0 291|   0     0 |           | 10    6    1   18    0
Jun 18 19:58:11 ubuntu dstat.sh[65339]: 18-06 19:58:11| 21   8  71   1   0|1132M 1224M  162M 5227M|  24k   13k|   0  1542k|   0  48.1 |3858  3983 |1.44 0.97 0.52|2.0   0  86|   0     0 |           | 11    8    1   18    0
Jun 18 19:58:12 ubuntu dstat.sh[65339]: 18-06 19:58:12| 30  11  57   0   0|1146M 1209M  162M 5228M|  42k   14k|   0  1739k|   0  63.0 |4198  2914 |1.44 0.97 0.52|2.0   0 175|   0     0 |           | 11   10    1   18    0
Jun 18 19:58:13 ubuntu dstat.sh[65339]: 18-06 19:58:13| 34   7  58   1   0|1180M 1157M  163M 5245M| 181k   14k|  32k 4796k|2.00   136 |3222  2389 |1.44 0.97 0.52|2.0   0  36|   0     0 |           | 11    7    1   20    1
Jun 18 19:58:14 ubuntu dstat.sh[65339]: 18-06 19:58:14| 45   5  48   0   0|1218M 1099M  164M 5261M|4650B 1824B|   0  6300k|   0  86.9 |3159  1978 |1.44 0.97 0.52|2.0   0   0|   0     0 |           | 11    6    1   20    2
Jun 18 19:58:15 ubuntu dstat.sh[65339]: 18-06 19:58:15| 36   7  45  10   0|1221M 1073M  165M 5281M|4702B 1459B|   0    29M|   0  1908 |  11k   17k|1.44 0.97 0.52|2.0   0  28|   0     0 |           | 11    8    1   20    2
Jun 18 19:58:16 ubuntu dstat.sh[65339]: 18-06 19:58:16| 30   9  43  15   0|1232M 1031M  166M 5307M|4931B 1618B|   0    53M|   0  3443 |  16k   28k|1.57 1.00 0.53|1.0 1.0  48|   0     0 |           | 11    8    1   20    2
Jun 18 19:58:17 ubuntu dstat.sh[65339]: 18-06 19:58:17| 41  10  44   5   0|1190M 1054M  167M 5323M|4883B 1459B|   0    23M|   0  1628 |7055  9552 |1.57 1.00 0.53|2.0   0  81|   0     0 |           | 11    6    1   20    2
Jun 18 19:58:18 ubuntu dstat.sh[65339]: 18-06 19:58:18| 43   6  48   1   0|1231M  987M  169M 5346M|4506B 1454B|   0  4369k|   0   425 |3343  2164 |1.57 1.00 0.53|2.0   0   0|   0     0 |           | 11    6    1   20    2
Jun 18 19:58:19 ubuntu dstat.sh[65339]: 18-06 19:58:19| 44   7  48   1   0|1241M  994M  169M 5329M|5244B 2100B|   0  8308k|   0   608 |3638  2867 |1.57 1.00 0.53|2.0   0  29|   0     0 |           | 11    4    1   20    0
