Feb 12 17:14:46 np0000000049 systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Feb 12 17:14:46 np0000000049 dstat.sh[58910]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Feb 12 17:14:46 np0000000049 dstat.sh[58910]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Feb 12 17:14:46 np0000000049 dstat.sh[58910]: 12-02 17:14:46|                   |1048M 1601M  158M 4835M|           |           |           |           |1.38 0.84 0.46|3.0   0    |           |           | 10    4    0   19    1
Feb 12 17:14:47 np0000000049 dstat.sh[58910]: 12-02 17:14:47| 38  21  39   0   0|1057M 1592M  158M 4836M|  22k   10k|   0  1986k|   0  77.9 |6879  5811 |1.44 0.86 0.47|2.5   0 605|   0     0 |           | 10    4    0   19    1
Feb 12 17:14:48 np0000000049 dstat.sh[58910]: 12-02 17:14:48| 21  19  59   0   0|1048M 1597M  158M 4839M|1802k   27k|   0  2962k|   0  66.9 |7032  6398 |1.51 0.88 0.48|3.0   0 481|   0     0 |           | 10    5    0   19    1
Feb 12 17:14:49 np0000000049 dstat.sh[58910]: 12-02 17:14:49| 22  15  61   0   0|1086M 1558M  158M 4961M|  14k 7650B|   0   871k|   0  26.0 |6938  9322 |1.51 0.88 0.48|1.0   0 209|   0     0 |           | 11    5    0   18    1
Feb 12 17:14:50 np0000000049 dstat.sh[58910]: 12-02 17:14:50| 15   5  80   1   0|1091M 1553M  158M 4962M|  17k 9350B|   0  1102k|   0  33.1 |2087  1845 |1.51 0.88 0.48|3.0   0  59|   0     0 |           | 11    7    0   18    1
Feb 12 17:14:51 np0000000049 dstat.sh[58910]: 12-02 17:14:51| 26  10  63   0   0|1106M 1537M  158M 4962M|  13k 7896B|  16k  936k|1.00  31.0 |3900  2665 |1.51 0.88 0.48|2.0   0 166|   0     0 |           | 11    6    0   18    2
Feb 12 17:14:52 np0000000049 dstat.sh[58910]: 12-02 17:14:52| 33   6  59   0   0|1177M 1465M  158M 4963M|  38k   11k| 342k 2843k|14.9  72.7 |3304  2514 |1.55 0.90 0.48|3.0   0  61|   0     0 |           | 11    6    0   20    2
Feb 12 17:14:53 np0000000049 dstat.sh[58910]: 12-02 17:14:53| 36   4  58   1   0|1207M 1417M  158M 4980M| 178k   14k| 248k 5301k|8.00   215 |2776  1794 |1.55 0.90 0.48|6.0   0   0|   0     0 |           | 11    6    0   20    2
Feb 12 17:14:54 np0000000049 dstat.sh[58910]: 12-02 17:14:54| 32   8  46  12   0|1223M 1372M  161M 5003M|5431B 1629B|  16k   51M|1.01  3574 |  16k   29k|1.55 0.90 0.48|5.0 2.0  56|   0     0 |           | 11    8    0   20    2
Feb 12 17:14:55 np0000000049 dstat.sh[58910]: 12-02 17:14:55| 41   9  44   5   0|1159M 1417M  162M 5019M|5736B 1613B|   0    39M|   0  2798 |  10k   17k|1.55 0.90 0.48|3.0   0 102|   0     0 |           | 11    6    0   20    2
Feb 12 17:14:56 np0000000049 dstat.sh[58910]: 12-02 17:14:56| 44   6  48   2   0|1236M 1316M  162M 5040M|5644B 1621B|   0    12M|   0   496 |3395  2202 |1.55 0.90 0.48|3.0   0   0|   0     0 |           | 11    6    0   20    2
