Apr 07 20:50:20 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Apr 07 20:50:20 ubuntu dstat.sh[64777]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Apr 07 20:50:20 ubuntu dstat.sh[64777]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 07 20:50:20 ubuntu dstat.sh[64777]: 07-04 20:50:20|                   | 937M 1467M  160M 5068M|           |           |           |           |1.23 0.87 0.52|1.0   0    |           |           | 10    4    1   17    0
Apr 07 20:50:21 ubuntu dstat.sh[64777]: 07-04 20:50:21| 10  22  65   0   0| 935M 1463M  160M 5073M|5568k   70k|   0  6309k|   0  88.9 |8994  6074 |1.22 0.88 0.52|2.0   0 349|   0     0 |           | 10    4    1   17    0
Apr 07 20:50:22 ubuntu dstat.sh[64777]: 07-04 20:50:22| 27  25  47   1   0| 926M 1459M  161M 5085M| 507k 8098B|   0  2405k|   0  74.5 |7603  5310 |1.21 0.88 0.52|3.0   0 373|   0     0 |           | 10    2    1   17    0
Apr 07 20:50:23 ubuntu dstat.sh[64777]: 07-04 20:50:23| 31  28  40   0   0| 967M 1410M  161M 5091M|4913B 1692B|  56k 3507k|14.0  33.0 |6390  6926 |1.21 0.88 0.52| 18   0 535|   0     0 |           | 10    2    1   17    0
Apr 07 20:50:24 ubuntu dstat.sh[64777]: 07-04 20:50:24| 55  14  30   0   0|1120M 1241M  162M 5225M|5603B 2036B|   0    12k|   0  2.99 |4755  4999 |1.21 0.88 0.52|2.0   0 104|   0     0 |           | 11    3    1   17    0
Apr 07 20:50:25 ubuntu dstat.sh[64777]: 07-04 20:50:25| 22   7  69   0   0|1130M 1232M  162M 5225M| 227k 9739B|   0  2636k|   0  7.00 |3069  2043 |1.21 0.88 0.52|3.0   0  92|   0     0 |           | 11    5    1   17    0
Apr 07 20:50:26 ubuntu dstat.sh[64777]: 07-04 20:50:26| 15  13  70   0   0|1136M 1225M  162M 5225M|9680B 3091B|   0   236k|   0  14.0 |3636  2486 |1.19 0.88 0.53|2.0   0 147|   0     0 |           | 11    6    1   17    0
Apr 07 20:50:27 ubuntu dstat.sh[64777]: 07-04 20:50:27| 19   7  71   0   0|1183M 1179M  162M 5226M|7681B 2235B|  32k 1194k|2.00  30.9 |2814  2290 |1.19 0.88 0.53|3.0   0  58|   0     0 |           | 11    6    1   19    0
Apr 07 20:50:28 ubuntu dstat.sh[64777]: 07-04 20:50:28| 31   4  64   1   0|1219M 1141M  162M 5227M|  18k 4924B|   0  8787k|   0   425 |2315  1387 |1.19 0.88 0.53|3.0   0   0|   0     0 |           | 11    7    1   19    0
Apr 07 20:50:29 ubuntu dstat.sh[64777]: 07-04 20:50:29| 25   6  58   9   0|1223M 1129M  163M 5232M|  38k   11k|   0    28M|   0  2237 |  11k   19k|1.19 0.88 0.53|2.0 1.0  34|   0     0 |           | 11   10    1   19    0
Apr 07 20:50:30 ubuntu dstat.sh[64777]: 07-04 20:50:30| 27   6  53  11   0|1242M 1104M  164M 5237M|  24k   14k|   0    43M|   0  3376 |  14k   26k|1.19 0.88 0.53|3.0   0  48|   0     0 |           | 11    8    1   19    0
Apr 07 20:50:31 ubuntu dstat.sh[64777]: 07-04 20:50:31| 33   7  58   0   0|1214M 1133M  164M 5237M|  39k   12k|   0  2262k|   0  91.3 |3424  2885 |1.18 0.88 0.53|4.0   0  75|   0     0 |           | 11    7    1   19    1
Apr 07 20:50:32 ubuntu dstat.sh[64777]: 07-04 20:50:32| 40   5  53   1   0|1259M 1086M  165M 5239M|  20k   11k|   0  9088k|   0   448 |3489  4994 |1.18 0.88 0.53|5.0   0  34|   0     0 |           | 11    7    1   19    1
Apr 07 20:50:33 ubuntu dstat.sh[64777]: 07-04 20:50:33| 40   7  51   1   0|1232M 1092M  165M 5257M| 174k   13k|   0  2329k|   0  90.6 |3727  9339 |1.18 0.88 0.53|3.0   0  13|   0     0 |           | 11    6    1   19    2
Apr 07 20:50:34 ubuntu dstat.sh[64777]: 07-04 20:50:34| 45   5  48   0   0|1274M 1026M  166M 5277M|5985B 1615B|   0  2840k|   0   129 |3043  1799 |1.18 0.88 0.53|4.0   0   0|   0     0 |           | 11    6    1   19    2
Apr 07 20:50:35 ubuntu dstat.sh[64777]: 07-04 20:50:35| 37  15  47   1   0|1240M 1039M  166M 5295M|5817B 1636B|   0  1483k|   0  51.5 |5445  4417 |1.18 0.88 0.53|5.0   0 368|   0     0 |           | 11    6    1   19    2
Apr 07 20:50:36 ubuntu dstat.sh[64777]: 07-04 20:50:36| 34  21  43   1   0|1247M 1016M  167M 5309M|5704B 1616B|   0  3297k|   0   131 |6169  6645 |1.24 0.90 0.54|3.0   0 414|   0     0 |           | 11    6    1   19    2
Apr 07 20:50:37 ubuntu dstat.sh[64777]: 07-04 20:50:37| 56  17  27   1   0|1242M  994M  168M 5333M|5853B 1462B|   0  2547k|   0  78.2 |5019  4555 |1.24 0.90 0.54|5.0   0 193|   0     0 |           | 11    7    1   15    2
Apr 07 20:50:38 ubuntu dstat.sh[64777]: 07-04 20:50:38| 63   7  29   0   0|1325M  922M  169M 5321M|  11k 4392B|   0    16M|   0   109 |3734  1566 |1.24 0.90 0.54|4.0   0   0|   0     0 |           | 11    5    1   15    0
Apr 07 20:50:39 ubuntu dstat.sh[64777]: 07-04 20:50:39| 60  12  27   0   0|1344M  902M  169M 5321M|9265B 2955B|   0   511k|   0  48.0 |3897  1867 |1.24 0.90 0.54|3.0   0  35|   0     0 |           | 11    6    1   15    0
Apr 07 20:50:40 ubuntu dstat.sh[64777]: 07-04 20:50:40| 40  12  47   0   0|1392M  847M  169M 5328M|6230B 2636B|   0  3505k|   0  83.1 |4270  5205 |1.24 0.90 0.54|2.0   0 121|   0     0 |           | 11    4    1   15    0
Apr 07 20:50:41 ubuntu dstat.sh[64777]: 07-04 20:50:41| 30   7  63   0   0|1446M  786M  169M 5333M|  11k 4577B|   0   997k|   0  18.0 |2820  1890 |1.30 0.92 0.55|3.0   0  41|   0     0 |           | 11    4    1   15    0
Apr 07 20:50:42 ubuntu dstat.sh[64777]: 07-04 20:50:42| 44   9  46   0   0|1493M  738M  169M 5334M|5281B 1620B|   0    84k|   0  1.00 |  11k   18k|1.30 0.92 0.55|3.0   0  13|   0     0 |           | 11    4    1   13    0
Apr 07 20:50:43 ubuntu dstat.sh[64777]: 07-04 20:50:43| 43  10  44   1   0|1506M  725M  169M 5334M|4340B 1459B|   0  4834k|   0   278 |  13k   24k|1.30 0.92 0.55|3.0   0  20|   0     0 |           | 11   10    1   13    0
Apr 07 20:50:44 ubuntu dstat.sh[64777]: 07-04 20:50:44| 42   9  48   0   0|1418M  825M  169M 5323M|5110B 1617B|   0   216k|   0  13.0 |3509  1954 |1.30 0.92 0.55|3.0   0  68|   0     0 |           | 11    4    1   15    0
Apr 07 20:50:45 ubuntu dstat.sh[64777]: 07-04 20:50:45| 27   4  68   0   0|1428M  815M  170M 5324M|7104B 3857B| 145k 2646k|7.03  54.2 |2463  1642 |1.30 0.92 0.55|2.0   0  50|   0     0 |           | 11   11    1   15    0
Apr 07 20:50:46 ubuntu dstat.sh[64777]: 07-04 20:50:46| 21   3  74   1   0|1426M  816M  170M 5324M|8302B 5092B| 268k 4999k|66.0   365 |2929  3136 |1.28 0.92 0.55|1.0   0 3.0|   0     0 |           | 11   29    1   15    0
Apr 07 20:50:47 ubuntu dstat.sh[64777]: 07-04 20:50:47| 18   6  74   0   0|1398M  844M  170M 5324M|7746B 4198B|   0    68k|   0  7.00 |2464  1981 |1.28 0.92 0.55|2.0   0  43|   0     0 |           | 11   28    1   16    0
Apr 07 20:50:48 ubuntu dstat.sh[64777]: 07-04 20:50:48| 17   4  78   0   0|1425M  817M  170M 5324M|8786B 5658B|   0  9657k|   0  50.0 |1999  1595 |1.28 0.92 0.55|2.0   0   0|   0     0 |           | 11   29    1   16    0
Apr 07 20:50:49 ubuntu dstat.sh[64777]: 07-04 20:50:49| 22  12  66   0   0|1392M  850M  170M 5324M|7697B 4500B|   0  2273k|   0  17.0 |3642  2768 |1.28 0.92 0.55|4.0   0 156|   0     0 |           | 11   28    1   17    0
Apr 07 20:50:50 ubuntu dstat.sh[64777]: 07-04 20:50:50| 37   5  57   0   0|1480M  762M  170M 5324M|9701B 5952B|   0  4106B|   0  1.00 |2657  1460 |1.28 0.92 0.55|2.0   0   0|   0     0 |           | 11   30    1   16    0
Apr 07 20:50:51 ubuntu dstat.sh[64777]: 07-04 20:50:51| 32   5  61   0   0|1474M  767M  170M 5324M|  19k   15k|   0   861k|   0  32.9 |6125  8183 |1.26 0.92 0.55|3.0   0 1.0|   0     0 |           | 11   29    1   16    1
Apr 07 20:50:52 ubuntu dstat.sh[64777]: 07-04 20:50:52| 54  27  18   0   0|1436M  806M  170M 5324M|5111B 2173B|   0  2093k|   0   243 |6032  4685 |1.26 0.92 0.55|8.0   0 577|   0     0 |           | 11   28    1   17    0
Apr 07 20:50:53 ubuntu dstat.sh[64777]: 07-04 20:50:53| 85  15   0   0   0|1686M  556M  170M 5324M|  12k 9360B|   0    11M|   0  48.9 |5342  3435 |1.26 0.92 0.55|8.0   0 6.0|   0     0 |           | 11   30    1   17    0
Apr 07 20:50:54 ubuntu dstat.sh[64777]: 07-04 20:50:54| 75   9  14   0   0|1738M  503M  170M 5324M|  36k   32k|   0   567k|   0  41.9 |7721    11k|1.26 0.92 0.55|7.0   0   0|   0     0 |           | 11   31    1   19    0
Apr 07 20:50:55 ubuntu dstat.sh[64777]: 07-04 20:50:55| 44  15  40   0   0|1546M  696M  170M 5324M|  11k 7744B|   0   481k|   0  50.1 |6015  6656 |1.26 0.92 0.55|2.0   0 311|   0     0 |           | 11   28    1   22    0
Apr 07 20:50:56 ubuntu dstat.sh[64777]: 07-04 20:50:56| 21   4  74   0   0|1549M  692M  170M 5324M|5556B 1855B|   0   151k|   0  9.96 |1747  1217 |1.24 0.92 0.55|1.0   0   0|   0     0 |           | 11   28    2   22    0
Apr 07 20:50:57 ubuntu dstat.sh[64777]: 07-04 20:50:57| 14   2  82   0   0|1526M  715M  170M 5324M|  11k 8216B|   0   775k|   0  57.0 |2676  3250 |1.24 0.92 0.55|2.0   0   0|   0     0 |           | 11   28    1   23    0
Apr 07 20:50:58 ubuntu dstat.sh[64777]: 07-04 20:50:58| 18   9  71   0   0|1480M  761M  170M 5324M|5134B 1695B|   0    28M|   0   645 |3423  2347 |1.24 0.92 0.55|2.0   0  68|   0     0 |           | 11   28    1   23    0
Apr 07 20:50:59 ubuntu dstat.sh[64777]: 07-04 20:50:59| 18   3  78   0   0|1469M  772M  170M 5324M|9418B 5355B|   0     0 |   0     0 |1855  1528 |1.24 0.92 0.55|2.0   0   0|   0     0 |           | 11   29    1   23    0
