Jun 16 19:55:59 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Jun 16 19:55:59 ubuntu dstat.sh[65628]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Jun 16 19:55:59 ubuntu dstat.sh[65628]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 16 19:55:59 ubuntu dstat.sh[65628]: 16-06 19:55:59|                   |1007M 1340M  164M 5111M|           |           |           |           |1.32 0.96 0.51|3.0   0    |           |           | 10    6    0   17    0
Jun 16 19:56:00 ubuntu dstat.sh[65628]: 16-06 19:56:00| 25  23  52   1   0|1007M 1340M  164M 5112M|  25k   13k|   0  6125k|   0   122 |6049  4884 |1.32 0.96 0.51|2.5   0 403|   0     0 |           | 10    6    0   17    0
Jun 16 19:56:01 ubuntu dstat.sh[65628]: 16-06 19:56:01| 27  23  48   0   0| 991M 1331M  165M 5135M| 173k 7245B|   0  1998k|   0  94.9 |5964  4522 |1.46 0.99 0.53|2.0   0 383|   0     0 |           | 10    5    0   17    1
Jun 16 19:56:02 ubuntu dstat.sh[65628]: 16-06 19:56:02| 36  21  42   1   0| 991M 1312M  165M 5151M|6396B 1702B|   0  2193k|   0  65.1 |6803  7488 |1.46 0.99 0.53|5.0   0 292|   0     0 |           | 10    4    0   17    2
Jun 16 19:56:03 ubuntu dstat.sh[65628]: 16-06 19:56:03| 37  11  50   0   0|1111M 1174M  166M 5288M|5169B 1455B|   0   982k|   0  29.9 |4781  4786 |1.46 0.99 0.53|1.0   0  75|   0     0 |           | 11    4    0   17    2
Jun 16 19:56:04 ubuntu dstat.sh[65628]: 16-06 19:56:04| 36  12  50   1   0|1109M 1152M  167M 5308M|5265B 1513B|   0  3270k|   0   129 |4182  2983 |1.46 0.99 0.53|2.0   0 105|   0     0 |           | 11    6    0   17    2
Jun 16 19:56:05 ubuntu dstat.sh[65628]: 16-06 19:56:05| 35  16  47   1   0|1136M 1096M  168M 5334M|4892B 1457B|  16k 2878k|1.00  91.0 |4859  3549 |1.46 0.99 0.53|2.0   0 175|   0     0 |           | 11    6    0   19    2
Jun 16 19:56:06 ubuntu dstat.sh[65628]: 16-06 19:56:06| 42   8  49   1   0|1199M 1039M  169M 5325M|5337B 1943B|  16k 3137k|1.00  72.2 |3091  1796 |1.50 1.01 0.54|2.0   0 2.0|   0     0 |           | 11    4    0   19    0
Jun 16 19:56:07 ubuntu dstat.sh[65628]: 16-06 19:56:07| 39   6  52   0   0|1247M  991M  169M 5326M|  11k 4333B|   0  2532k|   0  65.0 |3228  2235 |1.50 1.01 0.54|2.0   0  34|   0     0 |           | 11    7    0   19    0
Jun 16 19:56:08 ubuntu dstat.sh[65628]: 16-06 19:56:08| 31   9  44  12   0|1240M  983M  170M 5338M|5041B 1632B|   0    34M|   0  2896 |  13k   23k|1.50 1.01 0.54|2.0 1.0  52|   0     0 |           | 11    6    0   19    0
Jun 16 19:56:09 ubuntu dstat.sh[65628]: 16-06 19:56:09| 37  11  42   9   0|1237M  982M  170M 5342M|4546B 1566B|   0    40M|   0  3008 |  17k   32k|1.50 1.01 0.54|3.0   0  47|   0     0 |           | 11    4    0   19    0
Jun 16 19:56:10 ubuntu dstat.sh[65628]: 16-06 19:56:10| 39  15  42   2   0|1175M 1043M  170M 5342M|4598B 1508B|   0    26M|   0  1428 |  13k   23k|1.50 1.01 0.54|2.0   0  94|   0     0 |           | 11    4    0   19    0
Jun 16 19:56:11 ubuntu dstat.sh[65628]: 16-06 19:56:11| 44   7  48   0   0|1192M 1034M  170M 5335M|4499B 1620B|   0  1068k|   0  49.0 |3153  1829 |1.54 1.02 0.54|2.0   0  26|   0     0 |           | 11    4    0   19    0
Jun 16 19:56:12 ubuntu dstat.sh[65628]: 16-06 19:56:12| 33   7  58   1   0|1173M 1053M  170M 5335M|4680B 1620B|   0  7584k|   0   470 |3574  3211 |1.54 1.02 0.54|1.0   0  60|   0     0 |           | 11    4    0   19    0
Jun 16 19:56:13 ubuntu dstat.sh[65628]: 16-06 19:56:13| 23   3  73   0   0|1206M 1020M  170M 5335M|5040B 1620B|   0   188k|   0  10.0 |1811  1280 |1.54 1.02 0.54|1.0   0   0|   0     0 |           | 11    4    0   19    0
