Feb 19 00:47:59 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Feb 19 00:47:59 ubuntu dstat.sh[59131]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Feb 19 00:47:59 ubuntu dstat.sh[59131]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Feb 19 00:47:59 ubuntu dstat.sh[59131]: 19-02 00:47:59|                   | 994M 1655M  158M 4834M|           |           |           |           |1.37 0.93 0.52|2.0   0    |           |           | 10    7    0   17    0
Feb 19 00:48:00 ubuntu dstat.sh[59131]: 19-02 00:48:00| 36  22  41   0   0|1001M 1647M  158M 4835M|1422k   28k|   0  4129k|   0  93.0 |7976  6941 |1.37 0.93 0.52|2.0   0 611|   0     0 |           | 10    6    0   17    0
Feb 19 00:48:01 ubuntu dstat.sh[59131]: 19-02 00:48:01| 31  19  50   0   0| 988M 1657M  158M 4837M|  19k 6464B|   0   780k|   0  64.5 |7082  6632 |1.37 0.93 0.52|2.0   0 502|   0     0 |           | 10    7    0   17    0
Feb 19 00:48:02 ubuntu dstat.sh[59131]: 19-02 00:48:02| 20  13  66   0   0|1124M 1521M  158M 4959M|  15k 6810B|   0   582k|   0  15.9 |6492  8683 |1.37 0.93 0.52|1.0   0 162|   0     0 |           | 11    7    0   17    1
Feb 19 00:48:03 ubuntu dstat.sh[59131]: 19-02 00:48:03| 13   8  79   0   0|1140M 1505M  158M 4960M|  35k 6577B|  16k  652k|1.00  21.0 |2911  2256 |1.37 0.93 0.52|1.0   0  96|   0     0 |           | 11    9    0   17    1
Feb 19 00:48:04 ubuntu dstat.sh[59131]: 19-02 00:48:04| 20  11  67   0   0|1164M 1480M  158M 4961M| 671k   18k| 208k  620k|9.00  29.0 |4601  3629 |1.34 0.93 0.52|2.0   0 190|   0     0 |           | 11    8    0   19    2
Feb 19 00:48:05 ubuntu dstat.sh[59131]: 19-02 00:48:05| 29   5  66   1   0|1218M 1421M  158M 4964M|1116k   30k| 384k 4340k|14.0  33.0 |3135  2320 |1.34 0.93 0.52|2.0   0   0|   0     0 |           | 11    6    0   19    2
Feb 19 00:48:06 ubuntu dstat.sh[59131]: 19-02 00:48:06| 28   4  62   4   0|1239M 1396M  158M 4967M|9587B 4021B|  16k 8591k|1.00   675 |5149  7521 |1.34 0.93 0.52|3.0   0  10|   0     0 |           | 11    8    0   19    2
Feb 19 00:48:07 ubuntu dstat.sh[59131]: 19-02 00:48:07| 19   6  59  14   0|1237M 1391M  160M 4973M|  35k 9681B|   0    31M|   0  2700 |  13k   23k|1.34 0.93 0.52|5.0   0  45|   0     0 |           | 11    8    0   19    2
Feb 19 00:48:08 ubuntu dstat.sh[59131]: 19-02 00:48:08| 32   8  53   5   0|1181M 1445M  161M 4975M|  21k   13k|   0    35M|   0  2469 |  10k   17k|1.34 0.93 0.52|1.0   0 102|   0     0 |           | 11    6    0   19    2
