Jun 08 07:57:08 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Jun 08 07:57:08 ubuntu dstat.sh[65305]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Jun 08 07:57:08 ubuntu dstat.sh[65305]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 08 07:57:08 ubuntu dstat.sh[65305]: 08-06 07:57:08|                   | 920M 1418M  163M 5126M|           |           |           |           |1.17 0.92 0.56|2.0   0    |           |           | 10    2    0   17    0
Jun 08 07:57:09 ubuntu dstat.sh[65305]: 08-06 07:57:09| 42  26  31   0   0| 954M 1374M  163M 5134M|3637B 1296B|   0  1573k|   0  17.0 |6450  4965 |1.17 0.92 0.56|2.5   0 518|   0     0 |           | 10    2    0   17    0
Jun 08 07:57:10 ubuntu dstat.sh[65305]: 08-06 07:57:10| 49  21  29   0   0|1021M 1293M  164M 5145M|  11k 6017B|   0   620k|   0  15.0 |6409  5248 |1.32 0.96 0.57|2.0   0 453|   0     0 |           | 10    4    0   17    0
Jun 08 07:57:11 ubuntu dstat.sh[65305]: 08-06 07:57:11| 35  19  45   0   0| 995M 1318M  164M 5147M| 230k   10k|   0  3924k|   0  96.0 |6369  6553 |1.32 0.96 0.57|2.0   0 259|   0     0 |           | 10    4    0   17    0
Jun 08 07:57:12 ubuntu dstat.sh[65305]: 08-06 07:57:12| 40  11  48   0   0|1129M 1183M  164M 5270M|  20k 5231B|   0   339k|   0  9.96 |4763  3957 |1.32 0.96 0.57|3.0   0 120|   0     0 |           | 11    8    0   17    0
Jun 08 07:57:13 ubuntu dstat.sh[65305]: 08-06 07:57:13| 28  14  56   1   0|1142M 1170M  164M 5269M|  33k   12k|   0  1537k|   0  60.0 |4589  3350 |1.32 0.96 0.57|1.0   0 191|   0     0 |           | 11    8    0   19    0
Jun 08 07:57:14 ubuntu dstat.sh[65305]: 08-06 07:57:14| 33   5  60   1   0|1206M 1104M  164M 5270M|  35k   16k|  32k 4835k|2.00   159 |2636  1928 |1.32 0.96 0.57|2.0   0   0|   0     0 |           | 11    8    0   19    0
Jun 08 07:57:15 ubuntu dstat.sh[65305]: 08-06 07:57:15| 37   4  57   1   0|1247M 1062M  165M 5271M|  40k   13k|   0  2400k|   0  51.0 |2712  1675 |1.37 0.97 0.58|2.0   0   0|   0     0 |           | 11    8    0   19    0
Jun 08 07:57:16 ubuntu dstat.sh[65305]: 08-06 07:57:16| 25   6  54  13   0|1255M 1044M  166M 5279M|  21k   12k|   0    35M|   0  2899 |  13k   23k|1.37 0.97 0.58|1.0 1.0  52|   0     0 |           | 11    9    0   19    1
Jun 08 07:57:17 ubuntu dstat.sh[65305]: 08-06 07:57:17| 30   9  52   7   0|1236M 1040M  167M 5301M| 173k   11k|   0    35M|   0  2510 |  11k   19k|1.37 0.97 0.58|2.0   0 106|   0     0 |           | 11    6    0   19    2
Jun 08 07:57:18 ubuntu dstat.sh[65305]: 08-06 07:57:18| 44   6  49   0   0|1225M 1035M  168M 5314M|4890B 1454B|   0  2501k|   0  94.7 |2933  1994 |1.37 0.97 0.58|2.0   0   0|   0     0 |           | 11    6    0   19    2
Jun 08 07:57:19 ubuntu dstat.sh[65305]: 08-06 07:57:19| 46   4  47   1   0|1233M 1010M  168M 5329M|4885B 1620B|   0  9829k|   0   511 |3610  3541 |1.37 0.97 0.58|2.0   0   0|   0     0 |           | 11    6    0   19    2
Jun 08 07:57:20 ubuntu dstat.sh[65305]: 08-06 07:57:20| 43   7  48   1   0|1208M 1010M  169M 5350M|5251B 1457B|   0  2922k|   0   189 |3310  2467 |1.42 0.99 0.59|3.0   0  10|   0     0 |           | 11    6    0   19    2
Jun 08 07:57:21 ubuntu dstat.sh[65305]: 08-06 07:57:21| 46   5  48   0   0|1237M  962M  170M 5365M|5523B 1618B|   0  1930k|   0  88.9 |3081  1949 |1.42 0.99 0.59|2.0   0   0|   0     0 |           | 11    6    0   19    2
Jun 08 07:57:22 ubuntu dstat.sh[65305]: 08-06 07:57:22| 32  20  46   1   0|1208M  966M  171M 5387M|5021B 1465B|   0  2769k|   0   145 |5765  4427 |1.42 0.99 0.59|2.0   0 318|   0     0 |           | 11    6    0   19    2
Jun 08 07:57:23 ubuntu dstat.sh[65305]: 08-06 07:57:23| 32  24  43   1   0|1236M  953M  171M 5372M|5545B 2100B|   0   496k|   0  27.0 |6498  6241 |1.42 0.99 0.59|7.0   0 429|   0     0 |           | 11    4    0   19    0
Jun 08 07:57:24 ubuntu dstat.sh[65305]: 08-06 07:57:24| 46  17  37   0   0|1229M  954M  171M 5378M|  11k 4562B|   0  1903k|   0  63.8 |5293  5496 |1.42 0.99 0.59|3.0   0 222|   0     0 |           | 11    5    0   19    0
Jun 08 07:57:25 ubuntu dstat.sh[65305]: 08-06 07:57:25| 64  12  21   0   0|1280M  901M  171M 5379M|3802B  486B|   0  8191B|   0  1.00 |  11k   17k|1.55 1.03 0.60|3.0   0  14|   0     0 |           | 11    5    0   13    0
Jun 08 07:57:26 ubuntu dstat.sh[65305]: 08-06 07:57:26| 64  14  21   0   0|1308M  873M  171M 5380M|3432B  972B|   0   432k|   0  27.0 |  11k   17k|1.55 1.03 0.60|3.0   0  13|   0     0 |           | 11    5    0   13    0
Jun 08 07:57:27 ubuntu dstat.sh[65305]: 08-06 07:57:27| 50  17  32   1   0|1288M  898M  171M 5375M|4023B 1354B|   0    22M|   0   530 |5392  5735 |1.55 1.03 0.60|1.0   0 135|   0     0 |           | 11    4    0   14    0
Jun 08 07:57:28 ubuntu dstat.sh[65305]: 08-06 07:57:28| 30   9  61   0   0|1347M  839M  171M 5375M|3852B 1281B|   0  4086B|   0  1.00 |3094  2176 |1.55 1.03 0.60|1.0   0  88|   0     0 |           | 11    4    0   14    0
Jun 08 07:57:29 ubuntu dstat.sh[65305]: 08-06 07:57:29| 22   3  73   0   0|1392M  793M  171M 5375M|4484B 1649B|   0  2259k|   0  50.0 |1858  1293 |1.55 1.03 0.60|1.0   0   0|   0     0 |           | 11    4    0   14    0
Jun 08 07:57:30 ubuntu dstat.sh[65305]: 08-06 07:57:30| 23   3  72   1   0|1416M  769M  171M 5375M|4588B 1624B|   0  1780k|   0   196 |2739  2952 |1.51 1.02 0.60|  0 1.0 1.0|   0     0 |           | 11   10    0   14    0
