Apr 23 10:08:44 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 23 10:08:44 ubuntu dstat.sh[69808]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Apr 23 10:08:44 ubuntu dstat.sh[69808]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 23 10:08:44 ubuntu dstat.sh[69808]: 23-04 10:08:44|                   | 961M 1466M  166M 5023M|           |           |           |           |3.02 1.42 0.70|2.0   0    |           |   0     0 |  9    4    0   16    2
Apr 23 10:08:45 ubuntu dstat.sh[69808]: 23-04 10:08:45| 28  23  46   1   0| 973M 1438M  166M 5036M|  13k 1618B|   0  3324k|   0   132 |3372  5198 |3.02 1.42 0.70|2.0   0 418|   0     0 |   0     0 |  9    4    0   16    2
Apr 23 10:08:46 ubuntu dstat.sh[69808]: 23-04 10:08:46| 29  24  46   1   0| 978M 1384M  168M 5079M|6290B 1458B|   0  4271k|   0   151 |3299  5102 |3.02 1.42 0.70|2.0   0 384|   0     0 |   0     0 |  9    4    0   16    2
Apr 23 10:08:47 ubuntu dstat.sh[69808]: 23-04 10:08:47| 31  19  48   0   0| 913M 1456M  168M 5071M|  17k 4293B|   0  1888k|   0  60.0 |4820    10k|3.02 1.42 0.70|2.0   0 236|   0     0 |   0     0 |  9    2    0   16    0
Apr 23 10:08:48 ubuntu dstat.sh[69808]: 23-04 10:08:48| 39  16  43   0   0|1072M 1296M  168M 5194M|  11k 1619B|   0  8187B|   0  2.00 |9599    21k|3.02 1.42 0.70|2.0   0 150|   0     0 |   0     0 | 10    4    0   16    0
Apr 23 10:08:49 ubuntu dstat.sh[69808]: 23-04 10:08:49| 39  14  46   0   0|1098M 1269M  168M 5194M|  11k 1621B|  80k 2321k|1.00  36.0 |  10k   19k|3.02 1.45 0.71|2.0   0 213|   0     0 |   0     0 | 10    4    0   18    0
Apr 23 10:08:50 ubuntu dstat.sh[69808]: 23-04 10:08:50| 44   7  49   0   0|1120M 1246M  168M 5195M|9911B 1620B|   0   104k|   0  4.00 |1334  1408 |3.02 1.45 0.71|3.0   0  12|   0     0 |   0     0 | 10    4    0   18    0
Apr 23 10:08:51 ubuntu dstat.sh[69808]: 23-04 10:08:51| 36   8  53   4   0|1121M 1238M  169M 5201M|  12k 1459B|   0    39M|   0  2265 |9172    16k|3.02 1.45 0.71|1.0 1.0  90|   0     0 |   0     0 | 10    6    0   18    0
Apr 23 10:08:52 ubuntu dstat.sh[69808]: 23-04 10:08:52| 16   4  65  11   0|1120M 1234M  170M 5205M|  11k 1660B|   0    38M|   0  3122 |  15k   24k|3.02 1.45 0.71|1.0   0  36|   0     0 |   0     0 | 10    4    0   18    0
Apr 23 10:08:53 ubuntu dstat.sh[69808]: 23-04 10:08:53| 19   7  73   0   0|1082M 1272M  170M 5205M|4622B 1622B|   0  2130k|   0   103 |1756  2369 |3.02 1.45 0.71|1.0   0  78|   0     0 |   0     0 | 10    4    0   18    0
