Mar 07 14:57:50 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Mar 07 14:57:50 ubuntu dstat.sh[60426]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Mar 07 14:57:50 ubuntu dstat.sh[60426]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 07 14:57:50 ubuntu dstat.sh[60426]: 07-03 14:57:50|                   | 937M 1689M  158M 4855M|           |           |           |           |1.11 0.89 0.49|2.0   0    |           |           | 10    5    0   17    0
Mar 07 14:57:51 ubuntu dstat.sh[60426]: 07-03 14:57:51| 16  21  61   0   0| 944M 1682M  158M 4855M|  26k   10k|   0  1280k|   0  49.8 |5298  3775 |1.19 0.91 0.50|2.0   0 319|   0     0 |           | 10    5    0   17    0
Mar 07 14:57:52 ubuntu dstat.sh[60426]: 07-03 14:57:52| 18  22  59   1   0| 941M 1684M  158M 4856M|  32k   13k|   0  1580k|   0  49.5 |5400  3888 |1.26 0.92 0.50|3.0   0 339|   0     0 |           | 10    6    0   17    0
Mar 07 14:57:53 ubuntu dstat.sh[60426]: 07-03 14:57:53| 23  20  55   0   0| 959M 1666M  158M 4856M|  15k 8427B|   0  1004k|   0  32.0 |5567  5519 |1.26 0.92 0.50|5.0   0 261|   0     0 |           | 10    6    0   17    0
Mar 07 14:57:54 ubuntu dstat.sh[60426]: 07-03 14:57:54| 30  17  52   0   0| 977M 1647M  158M 4857M|  42k   14k|   0  2695k|   0  59.8 |5718  6228 |1.26 0.92 0.50|4.0   0 222|   0     0 |           | 10    5    0   17    1
Mar 07 14:57:55 ubuntu dstat.sh[60426]: 07-03 14:57:55| 15   6  78   1   0|1114M 1493M  158M 4995M| 177k   13k|   0  4177k|   0  61.0 |2696  3058 |1.26 0.92 0.50|2.0   0  15|   0     0 |           | 11    4    0   17    2
Mar 07 14:57:56 ubuntu dstat.sh[60426]: 07-03 14:57:56| 39  11  48   1   0|1134M 1458M  159M 5007M|4941B 1626B|  16k 1610k|1.00  70.3 |4296  2890 |1.32 0.94 0.51|3.0   0 123|   0     0 |           | 11    6    0   17    2
Mar 07 14:57:57 ubuntu dstat.sh[60426]: 07-03 14:57:57| 38  13  47   0   0|1168M 1405M  160M 5023M|4118B 1611B| 342k 2682k|14.9  59.7 |4525  3311 |1.32 0.94 0.51|3.0   0 163|   0     0 |           | 11    6    0   19    2
Mar 07 14:57:58 ubuntu dstat.sh[60426]: 07-03 14:57:58| 43   6  49   1   0|1239M 1306M  161M 5046M|4446B 1616B| 247k 7458k|7.98   324 |3363  2327 |1.32 0.94 0.51|3.0   0   0|   0     0 |           | 11    6    0   19    2
Mar 07 14:57:59 ubuntu dstat.sh[60426]: 07-03 14:57:59| 38   6  47   8   0|1256M 1255M  162M 5076M|4423B 1466B|  16k   28M|1.01  1822 |8570    14k|1.32 0.94 0.51|2.0 1.0  10|   0     0 |           | 11    8    0   19    2
Mar 07 14:58:00 ubuntu dstat.sh[60426]: 07-03 14:58:00| 29   8  47  15   0|1273M 1239M  164M 5072M|  11k 4484B|   0    55M|   0  4440 |  16k   30k|1.32 0.94 0.51|3.0 1.0  72|   0     0 |           | 11    6    0   19    0
