May 30 22:38:18 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 30 22:38:18 ubuntu dstat.sh[65668]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 30 22:38:18 ubuntu dstat.sh[65668]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 30 22:38:18 ubuntu dstat.sh[65668]: 30-05 22:38:18|                   | 935M 1378M  165M 5147M|           |           |           |           |0.97 0.81 0.49|2.0   0    |           |           | 10    6    0   17    0
May 30 22:38:19 ubuntu dstat.sh[65668]: 30-05 22:38:19| 21  21  56   1   0| 945M 1367M  165M 5147M|  34k   15k|   0  3297k|   0   120 |6585  5868 |0.97 0.81 0.49|3.0   0 528|   0     0 |           | 10    6    0   17    0
May 30 22:38:20 ubuntu dstat.sh[65668]: 30-05 22:38:20| 28  19  53   1   0| 954M 1357M  165M 5148M|  46k   15k|   0  2281k|   0  99.0 |6410  6025 |0.97 0.81 0.49|3.0   0 444|   0     0 |           | 10    6    0   17    0
May 30 22:38:21 ubuntu dstat.sh[65668]: 30-05 22:38:21| 33  16  49   0   0| 967M 1327M  165M 5164M| 186k   16k|   0  1961k|   0  53.9 |6574  6687 |0.97 0.81 0.49|3.0   0 243|   0     0 |           | 10    5    0   17    1
May 30 22:38:22 ubuntu dstat.sh[65668]: 30-05 22:38:22| 34  11  54   1   0|1098M 1180M  166M 5298M|6716B 1729B|   0  5350k|   0  94.2 |4477  4132 |1.13 0.85 0.50|3.0   0  98|   0     0 |           | 11    6    0   17    2
May 30 22:38:23 ubuntu dstat.sh[65668]: 30-05 22:38:23| 39  13  47   0   0|1117M 1143M  166M 5313M|4818B 1458B|  16k 1788k|1.00  49.0 |4637  3461 |1.13 0.85 0.50|3.0   0 196|   0     0 |           | 11    6    0   19    2
May 30 22:38:24 ubuntu dstat.sh[65668]: 30-05 22:38:24| 43   7  48   1   0|1184M 1051M  167M 5336M|5058B 1508B|  16k 5154k|1.00   133 |3280  2214 |1.13 0.85 0.50|2.0   0   0|   0     0 |           | 11    6    0   19    2
May 30 22:38:25 ubuntu dstat.sh[65668]: 30-05 22:38:25| 44   5  49   2   0|1215M  988M  169M 5362M|3963B 1137B|   0  8034k|   0   470 |4463  5342 |1.13 0.85 0.50|4.0   0  10|   0     0 |           | 11    8    0   19    2
May 30 22:38:26 ubuntu dstat.sh[65668]: 30-05 22:38:26| 35   8  43  11   0|1245M  954M  170M 5363M|4838B 1936B|   0    46M|   0  3580 |  15k   27k|1.13 0.85 0.50|1.0 1.0  46|   0     0 |           | 11    6    0   19    0
May 30 22:38:27 ubuntu dstat.sh[65668]: 30-05 22:38:27| 35  11  46   4   0|1190M 1009M  171M 5363M|8532B 2846B|   0    34M|   0  2570 |9967    17k|1.20 0.87 0.51|1.0   0 137|   0     0 |           | 11    5    0   19    0
May 30 22:38:28 ubuntu dstat.sh[65668]: 30-05 22:38:28| 42   7  50   1   0|1221M  970M  171M 5370M|6611B 3027B|   0  2270k|   0   114 |2910  1880 |1.20 0.87 0.51|2.0   0 5.0|   0     0 |           | 11    4    0   19    0
