May 19 13:18:29 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 19 13:18:30 ubuntu dstat.sh[65160]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 19 13:18:30 ubuntu dstat.sh[65160]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 19 13:18:30 ubuntu dstat.sh[65160]: 19-05 13:18:30|                   |1009M 1312M  164M 5139M|           |           |           |           |1.36 0.82 0.43|1.0   0    |           |           | 10    6    0   17    0
May 19 13:18:31 ubuntu dstat.sh[65160]: 19-05 13:18:31| 19  22  56   1   0|1009M 1311M  164M 5139M|  36k   16k|   0  2546k|   0   144 |5891  4632 |1.36 0.82 0.43|2.0   0 389|   0     0 |           | 10    6    0   17    0
May 19 13:18:32 ubuntu dstat.sh[65160]: 19-05 13:18:32| 23  22  54   0   0|1005M 1315M  164M 5140M|  44k   15k|   0  5593k|   0   115 |5748  4353 |1.36 0.82 0.43|6.0   0 366|   0     0 |           | 10    6    0   17    0
May 19 13:18:33 ubuntu dstat.sh[65160]: 19-05 13:18:33| 29  20  50   1   0| 991M 1311M  165M 5156M| 181k   14k|   0  3227k|   0   139 |6482  6410 |1.36 0.82 0.43|5.0   0 315|   0     0 |           | 10    5    0   17    1
May 19 13:18:34 ubuntu dstat.sh[65160]: 19-05 13:18:34| 37  13  48   0   0|1104M 1182M  166M 5291M|4882B 1747B|   0  1627k|   0  65.8 |5219  7312 |1.42 0.84 0.44|1.0   0 102|   0     0 |           | 11    4    0   17    2
May 19 13:18:35 ubuntu dstat.sh[65160]: 19-05 13:18:35| 33   8  58   0   0|1105M 1163M  166M 5306M|7189B 1622B|   0  1318k|   0  34.0 |3431  2352 |1.42 0.84 0.44|2.0   0  91|   0     0 |           | 11    6    0   17    2
May 19 13:18:36 ubuntu dstat.sh[65160]: 19-05 13:18:36| 36  14  47   1   0|1124M 1118M  167M 5329M|5885B 1497B|   0  4127k|   0   173 |5022  4049 |1.42 0.84 0.44|2.0   0 196|   0     0 |           | 11    6    0   19    2
May 19 13:18:37 ubuntu dstat.sh[65160]: 19-05 13:18:37| 43   7  48   1   0|1198M 1013M  168M 5356M|7524B 1622B|  32k   16M|2.00   520 |3316  1913 |1.42 0.84 0.44|2.0   0   0|   0     0 |           | 11    6    0   19    2
May 19 13:18:38 ubuntu dstat.sh[65160]: 19-05 13:18:38| 41   7  47   4   0|1220M  996M  169M 5349M|6221B 2106B|   0    17M|   0  1153 |6601  9597 |1.42 0.84 0.44|1.0 1.0  12|   0     0 |           | 11    6    0   19    0
May 19 13:18:39 ubuntu dstat.sh[65160]: 19-05 13:18:39| 28   7  49  12   0|1231M  977M  170M 5355M|  10k 3686B|   0    31M|   0  2860 |  13k   25k|1.54 0.87 0.46|6.0   0  81|   0     0 |           | 11    7    0   19    0
May 19 13:18:40 ubuntu dstat.sh[65160]: 19-05 13:18:40| 41  10  45   4   0|1213M  988M  171M 5361M|5249B 1740B|   0    27M|   0  1671 |8122    13k|1.54 0.87 0.46|3.0   0 102|   0     0 |           | 11    4    0   19    0
May 19 13:18:41 ubuntu dstat.sh[65160]: 19-05 13:18:41| 40   8  50   1   0|1255M  940M  171M 5366M|  11k 4668B|   0    11M|   0   534 |7088    11k|1.54 0.87 0.46|2.0   0  23|   0     0 |           | 11    4    0   19    0
May 19 13:18:42 ubuntu dstat.sh[65160]: 19-05 13:18:42| 47   7  44   0   0|1265M  929M  171M 5367M|4696B 1619B|   0  6672k|   0   251 |  15k   27k|1.54 0.87 0.46|3.0   0  13|   0     0 |           | 11    4    0   19    0
May 19 13:18:43 ubuntu dstat.sh[65160]: 19-05 13:18:43| 42   9  49   1   0|1175M 1032M  171M 5356M|4203B 1621B|   0  1001k|   0  25.0 |3660  2616 |1.54 0.87 0.46|2.0   0  26|   0     0 |           | 11    4    0   19    0
May 19 13:18:44 ubuntu dstat.sh[65160]: 19-05 13:18:44| 45   6  49   0   0|1164M 1043M  171M 5356M|4294B 1555B|   0    40k|   0  6.00 |3103  1592 |1.58 0.89 0.47|2.0   0  35|   0     0 |           | 11    4    0   19    0
May 19 13:18:45 ubuntu dstat.sh[65160]: 19-05 13:18:45| 11  18  69   0   0|1103M 1104M  171M 5356M|4004B 1565B|   0  8189B|   0  2.00 |5162  3540 |1.58 0.89 0.47|1.0   0 296|   0     0 |           | 11    4    0   19    0
May 19 13:18:46 ubuntu dstat.sh[65160]: 19-05 13:18:46|  9  21  68   0   0|1091M 1115M  171M 5356M|4305B 1614B|   0    32k|   0  7.97 |5541  3994 |1.58 0.89 0.47|1.0   0 333|   0     0 |           | 11    4    0   17    0
May 19 13:18:47 ubuntu dstat.sh[65160]: 19-05 13:18:47| 18  17  64   0   0|1077M 1129M  171M 5356M|4444B 1615B|   0    14M|   0  69.8 |6229  7184 |1.58 0.89 0.47|3.0   0 210|   0     0 |           | 11    4    0   17    0
May 19 13:18:48 ubuntu dstat.sh[65160]: 19-05 13:18:48| 44  14  43   0   0|1199M 1007M  171M 5356M|4814B 1625B|   0  1312k|   0  90.3 |4073  2671 |1.58 0.89 0.47|2.0   0 130|   0     0 |           | 11    5    0   17    0
May 19 13:18:49 ubuntu dstat.sh[65160]: 19-05 13:18:49| 47   3  49   0   0|1246M  959M  171M 5357M|3994B 1513B|   0   965k|   0  28.0 |2773  1189 |1.61 0.91 0.47|2.0   0   0|   0     0 |           | 11    5    0   17    0
May 19 13:18:50 ubuntu dstat.sh[65160]: 19-05 13:18:50| 42  10  47   0   0|1251M  952M  171M 5359M|4198B 1571B|   0  2419k|   0   129 |3716  3148 |1.61 0.91 0.47|1.0   0  23|   0     0 |           | 11    4    0   14    0
May 19 13:18:51 ubuntu dstat.sh[65160]: 19-05 13:18:51| 12  10  77   0   0|1260M  943M  171M 5359M|3946B 1614B|   0    32k|   0  3.99 |3068  2421 |1.61 0.91 0.47|1.0   0 119|   0     0 |           | 11    4    0   14    0
May 19 13:18:52 ubuntu dstat.sh[65160]: 19-05 13:18:52| 22   5  73   0   0|1322M  881M  171M 5359M|5207B 1621B|   0  9499k|   0  73.1 |2013  1537 |1.61 0.91 0.47|1.0   0   0|   0     0 |           | 11    4    0   14    0
May 19 13:18:53 ubuntu dstat.sh[65160]: 19-05 13:18:53| 24   2  73   0   0|1346M  857M  171M 5359M|5207B 1459B|   0  3510k|   0  56.0 |1988  1609 |1.61 0.91 0.47|1.0   0 1.0|   0     0 |           | 11   10    0   14    0
May 19 13:18:54 ubuntu dstat.sh[65160]: 19-05 13:18:54| 20   5  72   1   0|1290M  913M  171M 5359M|6565B 1620B|   0  1100k|   0   167 |3737  4438 |1.64 0.93 0.48|1.0   0  42|   0     0 |           | 11    4    0   16    0
May 19 13:18:55 ubuntu dstat.sh[65160]: 19-05 13:18:55| 23   3  75   0   0|1341M  861M  171M 5360M|6676B 3586B| 144k    0 |7.00     0 |1709  1080 |1.64 0.93 0.48|  0   0   0|   0     0 |           | 11    5    0   16    0
May 19 13:18:56 ubuntu dstat.sh[65160]: 19-05 13:18:56| 20   3  76   1   0|1343M  859M  171M 5360M|8049B 4382B| 268k 4351k|66.0   154 |2865  3138 |1.64 0.93 0.48|1.0   0 2.0|   0     0 |           | 11   27    0   16    0
May 19 13:18:57 ubuntu dstat.sh[65160]: 19-05 13:18:57| 20   6  74   0   0|1367M  835M  171M 5360M|8453B 5158B|   0     0 |   0     0 |2606  2042 |1.64 0.93 0.48|1.0   0  44|   0     0 |           | 11   28    0   17    0
May 19 13:18:58 ubuntu dstat.sh[65160]: 19-05 13:18:58| 20   4  76   0   0|1364M  837M  171M 5360M|9167B 5764B|   0    32M|   0   220 |2414  2062 |1.64 0.93 0.48|1.0   0   0|   0     0 |           | 11   29    0   17    0
May 19 13:18:59 ubuntu dstat.sh[65160]: 19-05 13:18:59| 20  13  66   0   0|1335M  867M  171M 5360M|7488B 4539B|   0  2279k|   0  17.1 |3699  2646 |1.67 0.95 0.49|2.0   0 156|   0     0 |           | 11   28    0   17    0
May 19 13:19:00 ubuntu dstat.sh[65160]: 19-05 13:19:00| 38   5  56   0   0|1403M  799M  171M 5360M|  10k 7426B|   0  4094B|   0  1.00 |2945  1851 |1.67 0.95 0.49|1.0   0   0|   0     0 |           | 11   30    0   17    0
May 19 13:19:01 ubuntu dstat.sh[65160]: 19-05 13:19:01| 37   4  57   0   0|1412M  789M  171M 5360M|  18k   14k|   0   591k|   0  37.9 |6554  8801 |1.67 0.95 0.49|2.0   0 1.0|   0     0 |           | 11   28    0   18    0
May 19 13:19:02 ubuntu dstat.sh[65160]: 19-05 13:19:02| 55  29  16   0   0|1478M  724M  171M 5360M|4830B 1624B|   0  2523k|   0  70.2 |5717  4666 |1.67 0.95 0.49|6.0   0 580|   0     0 |           | 11   28    0   18    0
May 19 13:19:03 ubuntu dstat.sh[65160]: 19-05 13:19:03| 84  16   0   0   0|1676M  525M  171M 5360M|  12k 9556B|   0   872k|   0  14.0 |5873  7669 |1.67 0.95 0.49|4.0   0  36|   0     0 |           | 11   31    0   18    0
May 19 13:19:04 ubuntu dstat.sh[65160]: 19-05 13:19:04| 82  11   7   0   0|1727M  474M  171M 5360M|  38k   33k|   0  1166k|   0   160 |9623    13k|1.94 1.02 0.52|7.0   0  47|   0     0 |           | 11   31    0   21    0
May 19 13:19:05 ubuntu dstat.sh[65160]: 19-05 13:19:05| 42  15  43   0   0|1519M  682M  171M 5360M|  10k 6666B|   0   631k|   0  41.9 |4698  4840 |1.94 1.02 0.52|1.0   0 263|   0     0 |           | 11   28    0   24    0
May 19 13:19:06 ubuntu dstat.sh[65160]: 19-05 13:19:06| 18   3  78   0   0|1522M  679M  171M 5360M|8823B 5530B|   0   176k|   0  12.0 |1909  1666 |1.94 1.02 0.52|1.0   0   0|   0     0 |           | 11   29    0   24    0
May 19 13:19:07 ubuntu dstat.sh[65160]: 19-05 13:19:07| 17   6  76   0   0|1479M  722M  171M 5360M|8126B 4490B|   0   236k|   0  21.0 |3143  3112 |1.94 1.02 0.52|1.0   0  68|   0     0 |           | 11   28    0   24    0
May 19 13:19:08 ubuntu dstat.sh[65160]: 19-05 13:19:08| 20   5  73   0   0|1488M  713M  171M 5360M|6822B 3627B|   0    89M|   0   876 |2404  2271 |1.94 1.02 0.52|  0   0   0|   0     0 |           | 11   29    0   24    0
