Jul 19 15:15:03 jammy-provider-cloud-0000007373 systemd[1]: Started Devstack devstack@dstat.service.
Jul 19 15:15:03 jammy-provider-cloud-0000007373 dstat.sh[57801]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 19 15:15:03 jammy-provider-cloud-0000007373 dstat.sh[57801]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 19 15:15:03 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:03|                   |1045M 1797M  158M 4632M|           |           |           |           |1.98 1.03 0.51|5.0   0    |           |   0     0 |  9    4    3   17    2
Jul 19 15:15:04 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:04| 47  23  30   1   0|1041M 1787M  159M 4644M|  24k 5752B|   0  4787k|   0   173 |3534  8352 |1.98 1.03 0.51|4.0   0 430|   0     0 |   0     0 |  9    5    3   18    2
Jul 19 15:15:05 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:05| 51  19  29   0   0| 997M 1827M  159M 4643M| 933k   15k|   0  1832k|   0   102 |4022  8106 |1.98 1.03 0.51|3.0   0 423|   0     0 |   0     0 |  9    2    3   17    0
Jul 19 15:15:06 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:06| 50  20  29   0   0|1130M 1692M  159M 4768M| 897k   15k|   0  6608k|   0  27.0 |  13k   25k|1.98 1.03 0.51|2.0   0 232|   0     0 |   0     0 | 10    2    3   17    0
Jul 19 15:15:07 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:07| 46  10  44   0   0|1131M 1691M  159M 4768M|4881B 1565B|   0    84k|   0  1.00 |5959    14k|1.99 1.05 0.52|3.0   0  49|   0     0 |   0     0 | 10    4    3   17    0
Jul 19 15:15:08 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:08| 46  16  38   0   0|1065M 1757M  159M 4768M|  11k 3884B|  80k  516k|1.00  15.0 |2157  2882 |1.99 1.05 0.52|2.0   0 183|   0     0 |   0     0 | 10    4    3   17    0
Jul 19 15:15:09 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:09| 27   7  65   0   0|1092M 1729M  159M 4768M|5348B 1662B|   0  3072k|   0   262 |1750  2664 |1.99 1.05 0.52|1.0   0 135|   0     0 |   0     0 | 10    4    3   19    0
Jul 19 15:15:10 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:10| 22   2  73   1   0|1135M 1685M  159M 4769M|4269B 1619B|   0  4097k|   0   194 |1781  3253 |1.99 1.05 0.52|1.0   0 4.0|   0     0 |   0     0 | 10    6    3   19    0
Jul 19 15:15:11 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:11| 13   4  68  13   0|1140M 1672M  160M 4777M|4437B 1620B|   0    32M|   0  2931 |  12k   25k|1.99 1.05 0.52|1.0 1.0  51|   0     0 |   0     0 | 10    6    3   19    0
Jul 19 15:15:12 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:12| 18   9  66   5   0|1064M 1746M  161M 4778M|5709B 1618B|   0    29M|   0  2170 |6441    15k|1.99 1.06 0.53|1.0   0  92|   0     0 |   0     0 | 10    4    3   19    0
Jul 19 15:15:13 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:13| 24   2  74   0   0|1136M 1674M  161M 4778M|5546B 1620B|   0   648k|   0  32.0 | 917  1219 |1.99 1.06 0.53|1.0   0   0|   0     0 |   0     0 | 10    4    3   19    0
Jul 19 15:15:14 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:14| 24   2  73   1   0|1084M 1726M  161M 4778M|9108B 1651B|   0  7114k|   0   364 |1364  2578 |1.99 1.06 0.53|1.0   0  10|   0     0 |   0     0 | 10    4    3   19    0
Jul 19 15:15:15 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:15| 24   2  74   0   0|1138M 1672M  161M 4778M|6788B 1566B|   0   184k|   0  16.0 | 999  1343 |1.99 1.06 0.53|1.0   0   0|   0     0 |   0     0 | 10    4    3   15    0
Jul 19 15:15:16 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:16| 15  12  72   0   0|1062M 1748M  161M 4778M|9128B 1616B|   0    18M|   0   452 |2151  2997 |1.99 1.06 0.53|2.0   0 213|   0     0 |   0     0 | 10    4    3   15    0
Jul 19 15:15:17 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:17| 11  19  70   0   0|1059M 1750M  161M 4778M|9176B 1621B|   0    28k|   0  7.01 |2539  3886 |1.83 1.04 0.53|1.0   0 301|   0     0 |   0     0 | 10    4    3   13    0
