May 06 00:29:24 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 06 00:29:24 ubuntu dstat.sh[65803]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 06 00:29:24 ubuntu dstat.sh[65803]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 06 00:29:24 ubuntu dstat.sh[65803]: 06-05 00:29:24|                   |1014M 1311M  163M 5136M|           |           |           |           |1.29 0.92 0.54|2.0   0    |           |           | 10    6    0   17    0
May 06 00:29:25 ubuntu dstat.sh[65803]: 06-05 00:29:25| 43  23  33   1   0|1034M 1291M  163M 5137M|  36k   17k|   0  2353k|   0  79.2 |6319  4953 |1.35 0.94 0.55|2.5   0 476|   0     0 |           | 10    6    0   17    0
May 06 00:29:26 ubuntu dstat.sh[65803]: 06-05 00:29:26| 31  20  47   1   0|1013M 1311M  163M 5138M|  47k   16k|   0  2482k|   0   107 |6188  5542 |1.42 0.95 0.55|2.0   0 437|   0     0 |           | 10    6    0   17    0
May 06 00:29:27 ubuntu dstat.sh[65803]: 06-05 00:29:27| 30  18  51   1   0|1029M 1287M  163M 5144M| 140k   15k|   0  5350k|   0  67.7 |5171  5399 |1.42 0.95 0.55|4.0   0 229|   0     0 |           | 10    5    0   17    1
May 06 00:29:28 ubuntu dstat.sh[65803]: 06-05 00:29:28| 37  15  46   1   0|1141M 1151M  164M 5286M|  45k 2856B|   0  2029k|   0  75.2 |5148  6280 |1.42 0.95 0.55|3.0   0 160|   0     0 |           | 11    6    0   17    2
May 06 00:29:29 ubuntu dstat.sh[65803]: 06-05 00:29:29| 39  12  48   1   0|1172M 1102M  165M 5302M|3895B 1570B|   0  2137k|   0  63.1 |4558  3326 |1.42 0.95 0.55|2.0   0 195|   0     0 |           | 11    6    0   19    2
May 06 00:29:30 ubuntu dstat.sh[65803]: 06-05 00:29:30| 42   7  49   1   0|1231M 1018M  165M 5324M|4188B 1615B|  32k 4435k|1.99   116 |3225  2161 |1.47 0.97 0.56|2.0   0 1.0|   0     0 |           | 11    6    0   19    2
May 06 00:29:31 ubuntu dstat.sh[65803]: 06-05 00:29:31| 44   5  48   2   0|1265M  954M  167M 5350M|4224B 1623B|   0  4744k|   0   178 |3631  2998 |1.47 0.97 0.56|5.0   0 1.0|   0     0 |           | 11    8    0   19    2
May 06 00:29:32 ubuntu dstat.sh[65803]: 06-05 00:29:32| 31   6  46  16   0|1267M  929M  168M 5368M|4694B 2701B|4103B   48M|1.00  3817 |  13k   26k|1.47 0.97 0.56|  0 1.0  54|   0     0 |           | 11    9    0   19    2
May 06 00:29:33 ubuntu dstat.sh[65803]: 06-05 00:29:33| 36   8  45   8   0|1240M  972M  169M 5353M|9597B 3138B|   0    32M|   0  2528 |  10k   17k|1.47 0.97 0.56|2.0   0 104|   0     0 |           | 11    4    0   19    0
