May 26 16:39:54 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 26 16:39:55 ubuntu dstat.sh[64893]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 26 16:39:55 ubuntu dstat.sh[64893]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 26 16:39:55 ubuntu dstat.sh[64893]: 26-05 16:39:55|                   | 968M 1360M  164M 5134M|           |           |           |           |1.16 0.89 0.52|4.0   0    |           |           | 10    4    0   18    0
May 26 16:39:56 ubuntu dstat.sh[64893]: 26-05 16:39:56| 21  22  56   0   0| 983M 1345M  164M 5134M|  21k   11k|   0  3318k|   0   160 |6597  5721 |1.16 0.89 0.52|3.0 0.5 513|   0     0 |           | 10    4    0   18    0
May 26 16:39:57 ubuntu dstat.sh[64893]: 26-05 16:39:57| 21  20  56   0   0| 978M 1347M  164M 5135M|  43k   15k|   0  2177k|   0   115 |6318  5816 |1.16 0.89 0.52|2.0   0 427|   0     0 |           | 10    6    0   17    0
May 26 16:39:58 ubuntu dstat.sh[64893]: 26-05 16:39:58| 28  17  53   1   0| 986M 1339M  165M 5135M|  27k   13k|   0  1607k|   0  49.1 |5479  5476 |1.16 0.89 0.52|3.0   0 229|   0     0 |           | 10    6    0   17    0
May 26 16:39:59 ubuntu dstat.sh[64893]: 26-05 16:39:59| 29  15  55   0   0|1127M 1198M  165M 5257M|  35k   12k|   0  2913k|   0  56.9 |5337  5611 |1.30 0.93 0.54|1.0   0 155|   0     0 |           | 11    7    0   17    1
May 26 16:40:00 ubuntu dstat.sh[64893]: 26-05 16:40:00| 33  13  53   1   0|1127M 1176M  165M 5277M| 179k   10k|   0  2564k|   0  92.3 |4650  3558 |1.30 0.93 0.54|2.0   0 202|   0     0 |           | 11    6    0   19    2
May 26 16:40:01 ubuntu dstat.sh[64893]: 26-05 16:40:01| 43   7  49   0   0|1198M 1080M  166M 5298M|5230B 1618B|  32k 3623k|2.00  71.9 |2984  1964 |1.30 0.93 0.54|3.0   0   0|   0     0 |           | 11    6    0   19    2
May 26 16:40:02 ubuntu dstat.sh[64893]: 26-05 16:40:02| 45   5  49   1   0|1218M 1038M  167M 5317M|5026B 1566B|   0  3036k|   0  91.0 |3400  2402 |1.30 0.93 0.54|2.0   0 2.0|   0     0 |           | 11    8    0   19    2
May 26 16:40:03 ubuntu dstat.sh[64893]: 26-05 16:40:03| 32   7  44  14   0|1231M  999M  169M 5338M|4807B 1622B|   0    45M|   0  3655 |  15k   28k|1.30 0.93 0.54|2.0   0  54|   0     0 |           | 11    8    0   19    2
May 26 16:40:04 ubuntu dstat.sh[64893]: 26-05 16:40:04| 38   9  44   7   0|1205M  995M  170M 5364M|4736B 1619B|   0    49M|   0  3298 |  11k   20k|1.36 0.95 0.54|2.0   0 102|   0     0 |           | 11    6    0   19    2
May 26 16:40:05 ubuntu dstat.sh[64893]: 26-05 16:40:05| 43   8  47   1   0|1254M  958M  171M 5351M|5530B 2095B|   0    11M|   0   702 |3700  4023 |1.36 0.95 0.54|2.0   0  19|   0     0 |           | 11    4    0   19    0
May 26 16:40:06 ubuntu dstat.sh[64893]: 26-05 16:40:06| 40   7  53   0   0|1231M  976M  171M 5356M|  12k 4632B|   0  3892k|   0   358 |3092  1844 |1.36 0.95 0.54|2.0   0  30|   0     0 |           | 11    4    0   19    0
May 26 16:40:07 ubuntu dstat.sh[64893]: 26-05 16:40:07| 45   8  45   1   0|1227M  977M  171M 5358M|5035B 1569B|   0  6323k|   0   348 |  11k   19k|1.36 0.95 0.54|2.0   0 7.0|   0     0 |           | 11    4    0   19    0
May 26 16:40:08 ubuntu dstat.sh[64893]: 26-05 16:40:08| 46   7  45   0   0|1222M  982M  171M 5358M|4749B 1455B|   0  1393k|   0   144 |  12k   20k|1.36 0.95 0.54|2.0   0  23|   0     0 |           | 11    4    0   19    0
May 26 16:40:09 ubuntu dstat.sh[64893]: 26-05 16:40:09| 29  25  46   1   0|1140M 1072M  171M 5351M|5893B 1623B|   0  2181k|   0   120 |6656  5523 |1.65 1.01 0.57|2.0   0 523|   0     0 |           | 11    4    0   19    0
May 26 16:40:10 ubuntu dstat.sh[64893]: 26-05 16:40:10| 33  18  48   0   0|1140M 1072M  171M 5351M|5886B 1455B|   0    24k|   0  5.99 |6103  8070 |1.65 1.01 0.57|2.0   0 357|   0     0 |           | 11    4    0   19    0
