Jul 08 16:15:14 jammy-provider-cloud-0000007310 systemd[1]: Started Devstack devstack@dstat.service.
Jul 08 16:15:14 jammy-provider-cloud-0000007310 dstat.sh[57438]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 08 16:15:14 jammy-provider-cloud-0000007310 dstat.sh[57438]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 08 16:15:14 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:14|                   |1078M 1878M  156M 4527M|           |           |           |           |1.61 0.91 0.45|3.0   0    |           |   0     0 |  9    7    5   17    1
Jul 08 16:15:15 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:15| 56  17  25   0   0|1074M 1882M  156M 4528M| 139k   17k|   0  4531k|   0   110 |3903  6837 |1.61 0.91 0.45|4.0   0 615|   0     0 |   0     0 |  9    6    5   17    2
Jul 08 16:15:16 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:16| 52  19  27   1   0|1058M 1870M  156M 4555M|1818k   39k|  11M 3805k|64.9  98.9 |4908  7272 |1.61 0.91 0.45|4.0   0 509|   0     0 |   0     0 |  9    4    5   17    2
Jul 08 16:15:17 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:17| 45  22  32   0   0|1168M 1755M  156M 4681M|1827k   24k| 325k 2797k|3.01  48.1 |5937  8550 |1.80 0.96 0.47|3.0   0 269|   0     0 |   0     0 | 10    6    5   17    2
Jul 08 16:15:18 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:18| 61  14  24   0   0|1186M 1734M  156M 4683M|5793B 1551B|1397k 4372k|25.0  53.9 |2559  3443 |1.80 0.96 0.47|3.0   0 244|   0     0 |   0     0 | 10    6    5   19    2
Jul 08 16:15:19 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:19| 55   6  38   1   0|1203M 1687M  157M 4710M|  15k 3941B| 216k 5272k|8.00   122 |1746  2249 |1.80 0.96 0.47|2.0   0 3.0|   0     0 |   0     0 | 10    6    5   19    2
Jul 08 16:15:20 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:20| 36   7  47  10   0|1229M 1631M  158M 4735M|5725B 1623B|  12k   35M|1.00  2365 |8797    20k|1.80 0.96 0.47|  0 1.0  43|   0     0 |   0     0 | 10    8    5   19    2
Jul 08 16:15:21 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:21| 35   7  48  10   0|1144M 1708M  160M 4740M|  12k 4258B|   0    45M|   0  3147 |8980    21k|1.80 0.96 0.47|2.0   0 102|   0     0 |   0     0 | 10    4    5   19    0
Jul 08 16:15:22 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:22| 45   6  48   0   0|1192M 1659M  160M 4741M|7502B 1617B| 379k 1306k|3.00  59.9 |2972  4670 |1.82 0.98 0.48|2.0   0  12|   0     0 |   0     0 | 10    4    5   19    0
Jul 08 16:15:23 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:23| 47   5  46   1   0|1121M 1730M  160M 4742M|4713B 1534B|   0  8621k|   0   424 |7870    16k|1.82 0.98 0.48|2.0   0  19|   0     0 |   0     0 | 10    4    5   19    0
Jul 08 16:15:24 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:24| 46   7  46   0   0|1178M 1673M  160M 4742M|5855B 1497B|   0   347k|   0  6.99 |8449    17k|1.82 0.98 0.48|2.0   0  13|   0     0 |   0     0 | 10    4    5   19    0
Jul 08 16:15:25 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:25| 38  15  48   0   0|1082M 1768M  160M 4742M|3967B 1427B|   0   305k|   0  23.0 |2652  4343 |1.82 0.98 0.48|2.0   0 374|   0     0 |   0     0 | 10    4    5   19    0
Jul 08 16:15:26 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:26| 33  20  46   0   0|1066M 1784M  160M 4742M|4042B 1262B|   0    52k|   0  12.0 |4865  9836 |1.82 0.98 0.48|1.0   0 478|   0     0 |   0     0 | 10    4    5   19    0
Jul 08 16:15:27 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:27| 42   9  48   0   0|1170M 1680M  160M 4743M|5585B 1509B| 100k    0 |1.00     0 |2316  2944 |1.91 1.02 0.49|3.0   0 130|   0     0 |   0     0 | 10    5    5   19    0
Jul 08 16:15:28 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:28| 47   3  49   0   0|1227M 1622M  160M 4744M|5912B 1532B| 588k 8269k|14.0   514 |1553  1393 |1.91 1.02 0.49|3.0   0   0|   0     0 |   0     0 | 10    5    5   19    0
Jul 08 16:15:29 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:29| 24  11  65   0   0|1251M 1596M  160M 4746M|5235B 1457B|   0   404k|   0  49.0 |1775  5766 |1.91 1.02 0.49|1.0   0 118|   0     0 |   0     0 | 10    4    5   19    0
Jul 08 16:15:30 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:30|  1   0  99   0   0|1251M 1596M  160M 4746M|6137B 1500B|   0  4096B|   0  1.00 | 618   964 |1.91 1.02 0.49|1.0   0   0|   0     0 |   0     0 | 10    4    5   15    0
Jul 08 16:15:31 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:31| 19   4  76   0   0|1300M 1547M  160M 4746M|5449B 1461B|   0  1840k|   0  40.1 |1330  2006 |1.91 1.02 0.49|1.0   0  21|   0     0 |   0     0 | 10    4    5   15    0
Jul 08 16:15:32 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:32| 23   2  73   0   0|1335M 1512M  160M 4746M|6768B 1765B|   0   316k|   0  17.0 |1076  1530 |1.84 1.02 0.49|3.0   0 3.0|   0     0 |   0     0 | 10   10    5   13    0
Jul 08 16:15:33 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:33| 22   6  71   1   0|1271M 1575M  160M 4746M|  41k 1622B|   0    23M|   0   348 |2897  5787 |1.84 1.02 0.49|1.0   0  42|   0     0 |   0     0 | 10    4    5   15    0
Jul 08 16:15:34 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:34| 23   2  73   1   0|1307M 1539M  160M 4746M|4842B 1566B| 272k 1712k|62.0  7.00 |1645  2691 |1.84 1.02 0.49|1.0   0 3.0|   0     0 |   0     0 | 10   29    5   16    0
Jul 08 16:15:35 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:35| 22   5  74   0   0|1305M 1541M  160M 4746M|8074B 1617B|   0  8175B|   0  1.00 |1207  1652 |1.84 1.02 0.49|2.0   0  43|   0     0 |   0     0 | 10   28    5   16    0
Jul 08 16:15:36 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:36| 31   8  60   0   0|1322M 1524M  160M 4746M|4721B 1606B|   0  3089k|   0  76.0 |2021  2885 |1.84 1.02 0.49|2.0   0 156|   0     0 |   0     0 | 10   28    5   16    0
Jul 08 16:15:37 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:37| 45   6  49   0   0|1319M 1526M  160M 4747M|7071B 1625B|   0   931k|   0  19.1 |4418  9942 |1.85 1.03 0.50|2.0   0 9.0|   0     0 |   0     0 | 10   28    5   17    0
Jul 08 16:15:38 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:38| 69  22   8   0   0|1496M 1350M  160M 4747M|4924B  594B|   0    33M|   0  79.0 |2773  4780 |1.85 1.03 0.50|6.0   0 512|   0     0 |   0     0 | 10   28    5   16    0
Jul 08 16:15:39 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:39| 86  10   4   0   0|1369M 1476M  160M 4747M|3780B 1478B|   0  1028k|   0  24.0 |4506    15k|1.85 1.03 0.50|6.0   0  82|   0     0 |   0     0 | 10   28    5   16    0
Jul 08 16:15:40 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:40| 40  10  50   0   0|1286M 1559M  160M 4747M|4462B 1638B|   0   300k|   0  29.0 |2789  6451 |1.85 1.03 0.50|1.0   0 261|   0     0 |   0     0 | 10   28    5   17    0
Jul 08 16:15:41 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:41| 22   4  74   0   0|1342M 1503M  160M 4747M|5532B 1457B|   0     0 |   0     0 |1206  1884 |1.85 1.03 0.50|1.0   0  24|   0     0 |   0     0 | 10   29    5   18    0
Jul 08 16:15:42 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:42| 20   6  73   0   0|1318M 1526M  160M 4747M|5357B 1512B|   0   108k|   0  12.0 |2096  3731 |1.78 1.03 0.51|1.0   0  70|   0     0 |   0     0 | 10   28    5   18    0
Jul 08 16:15:43 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:43| 22   5  72   0   0|1289M 1556M  160M 4747M|4322B 1460B|   0  4215k|   0  49.1 |2465  4547 |1.78 1.03 0.51|2.0   0  94|   0     0 |   0     0 | 10   28    5   18    0
Jul 08 16:15:44 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:44| 18  25  57   0   0|1326M 1519M  160M 4747M|5408B 1459B|   0   340k|   0  24.0 |3666  6167 |1.78 1.03 0.51|4.0   0 804|   0     0 |   0     0 | 10   28    5   18    0
Jul 08 16:15:45 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:45| 88  11   2   0   0|1554M 1290M  160M 4748M|5616B 1566B|   0  1148k|   0  76.0 |2421  4505 |1.78 1.03 0.51|6.0   0 140|   0     0 |   0     0 | 10   29    5   18    0
Jul 08 16:15:46 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:46| 74  11  13   0   0|1448M 1396M  160M 4748M|7911B 1458B|   0  3348k|   0   108 |8607    21k|1.78 1.03 0.51|6.0   0  75|   0     0 |   0     0 | 10   28    5   17    0
Jul 08 16:15:47 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:47| 82  15   2   0   0|1535M 1309M  160M 4748M|5251B 1458B|   0   200k|   0  11.0 |3125  5753 |2.04 1.10 0.53|6.0   0 235|   0     0 |   0     0 | 10   29    5   17    0
Jul 08 16:15:48 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:48| 82  12   7   0   0|1508M 1335M  160M 4749M|5565B 1512B|   0   140k|   0  10.0 |6818    16k|2.04 1.10 0.53|5.0   0 100|   0     0 |   0     0 | 10   30    4   16    0
Jul 08 16:15:49 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:49| 55  10  33   0   0|1331M 1512M  160M 4749M|  14k 1563B|   0  6891k|   0  46.9 |5802    11k|2.04 1.10 0.53|2.0   0 198|   0     0 |   0     0 | 10   28    4   16    0
Jul 08 16:15:50 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:50| 46   5  49   0   0|1411M 1432M  160M 4749M|5245B 1613B|   0   251k|   0  19.9 |2671  5461 |2.04 1.10 0.53|2.0   0   0|   0     0 |   0     0 | 10   29    4   18    0
Jul 08 16:15:51 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:51| 60  15  25   0   0|1446M 1397M  160M 4749M|  13k 1631B|   0  3756k|   0   107 |3083  5622 |2.04 1.10 0.53|3.0   0 380|   0     0 |   0     0 | 10   28    4   18    0
Jul 08 16:15:52 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:52| 62  13  25   0   0|1348M 1494M  160M 4750M|7023B 1620B|   0   464k|   0  54.0 |5026    13k|2.20 1.14 0.55|4.0   0 260|   0     0 |   0     0 | 10   28    4   18    0
Jul 08 16:15:53 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:53| 84  10   7   0   0|1529M 1313M  160M 4750M|5330B 1619B|   0   172k|   0  6.00 |3823  7374 |2.20 1.14 0.55|3.0   0   0|   0     0 |   0     0 | 10   32    4   19    0
Jul 08 16:15:54 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:54| 64  15  20   0   0|1386M 1455M  160M 4750M|5876B 1458B|   0    63M|   0   184 |6233    14k|2.20 1.14 0.55|3.0   0 324|   0     0 |   0     0 | 10   28    4   20    0
Jul 08 16:15:55 jammy-provider-cloud-0000007310 dstat.sh[57438]: 08-07 16:15:55| 64   6  30   0   0|1413M 1429M  160M 4750M|3890B  756B|   0   276k|   0  22.0 |4240  9357 |2.20 1.14 0.55|5.0   0  17|   0     0 |   0     0 | 10   30    4   23    0
