Mar 30 13:07:58 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Mar 30 13:07:58 ubuntu dstat.sh[64904]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Mar 30 13:07:58 ubuntu dstat.sh[64904]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 30 13:07:58 ubuntu dstat.sh[64904]: 30-03 13:07:58|                   |1012M 1353M  163M 5098M|           |           |           |           |1.08 0.82 0.46|4.0   0    |           |           | 10    5    0   17    0
Mar 30 13:07:59 ubuntu dstat.sh[64904]: 30-03 13:07:59| 13  21  65   0   0|1016M 1349M  163M 5099M|  33k 8404B|   0  1103k|   0  47.0 |6457  5483 |1.08 0.82 0.46|3.0   0 495|   0     0 |           | 10    6    0   17    0
Mar 30 13:08:00 ubuntu dstat.sh[64904]: 30-03 13:08:00| 22  19  58   1   0|1014M 1350M  164M 5099M|  24k   14k|   0  2153k|   0  57.0 |6542  6183 |1.08 0.82 0.46|2.0   0 451|   0     0 |           | 10    6    0   17    0
Mar 30 13:08:01 ubuntu dstat.sh[64904]: 30-03 13:08:01| 30  16  53   0   0|1104M 1259M  164M 5222M|  40k   12k|   0  1559k|   0  51.0 |6882  8725 |1.07 0.82 0.46|2.0   0 243|   0     0 |           | 11    5    0   17    1
Mar 30 13:08:02 ubuntu dstat.sh[64904]: 30-03 13:08:02| 16   2  81   1   0|1121M 1241M  164M 5222M|  23k   14k|   0  1453k|   0  45.0 |1780  1518 |1.07 0.82 0.46|3.0   0  29|   0     0 |           | 11    6    0   17    2
Mar 30 13:08:03 ubuntu dstat.sh[64904]: 30-03 13:08:03| 35  12  52   1   0|1138M 1196M  165M 5247M| 170k 7461B|   0  6282k|   0   110 |4545  3282 |1.07 0.82 0.46|3.0   0 172|   0     0 |           | 11    6    0   17    2
Mar 30 13:08:04 ubuntu dstat.sh[64904]: 30-03 13:08:04| 43   9  48   1   0|1192M 1124M  165M 5263M|4518B 1458B|  32k 2616k|2.00  49.0 |3846  2659 |1.07 0.82 0.46|4.0   0  84|   0     0 |           | 11    6    0   20    2
Mar 30 13:08:05 ubuntu dstat.sh[64904]: 30-03 13:08:05| 45   5  49   1   0|1241M 1050M  166M 5284M|4860B 1620B|   0  3928k|   0   110 |3250  2126 |1.07 0.82 0.46|2.0 1.0   0|   0     0 |           | 11    6    0   20    2
Mar 30 13:08:06 ubuntu dstat.sh[64904]: 30-03 13:08:06| 35   7  46  11   0|1253M 1005M  168M 5312M|4551B 1463B|   0    36M|   0  2904 |  13k   23k|1.15 0.84 0.47|1.0 1.0  52|   0     0 |           | 11    8    0   20    2
Mar 30 13:08:07 ubuntu dstat.sh[64904]: 30-03 13:08:07| 38   9  43   9   0|1213M 1021M  170M 5331M|4961B 1862B|   0    50M|   0  3709 |  11k   22k|1.15 0.84 0.47|3.0   0 105|   0     0 |           | 11    6    1   20    2
