Jun 04 12:44:02 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Jun 04 12:44:03 ubuntu dstat.sh[65062]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Jun 04 12:44:03 ubuntu dstat.sh[65062]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 04 12:44:03 ubuntu dstat.sh[65062]: 04-06 12:44:03|                   | 963M 1357M  163M 5140M|           |           |           |           |1.31 0.93 0.52|3.0   0    |           |           | 10    6    0   17    0
Jun 04 12:44:04 ubuntu dstat.sh[65062]: 04-06 12:44:04| 25  21  52   0   0| 967M 1353M  163M 5140M|  22k   13k|   0  2567k|   0  99.0 |6648  5843 |1.31 0.93 0.52|3.0   0 536|   0     0 |           | 10    6    0   17    0
Jun 04 12:44:05 ubuntu dstat.sh[65062]: 04-06 12:44:05| 26  20  52   0   0| 969M 1351M  163M 5141M|  41k   13k|   0  2731k|   0  87.5 |6578  6102 |1.31 0.93 0.52|3.0   0 440|   0     0 |           | 10    6    0   17    0
Jun 04 12:44:06 ubuntu dstat.sh[65062]: 04-06 12:44:06| 33  18  48   1   0| 967M 1333M  163M 5158M| 180k   14k|   0  2317k|   0  69.0 |6185  7822 |1.31 0.93 0.52|2.0   0 264|   0     0 |           | 10    5    0   17    1
Jun 04 12:44:07 ubuntu dstat.sh[65062]: 04-06 12:44:07| 28   9  61   0   0|1113M 1172M  164M 5293M|5501B 1748B|   0  1185k|   0  55.9 |3727  3469 |1.28 0.94 0.52|3.0   0  77|   0     0 |           | 11    6    0   17    2
Jun 04 12:44:08 ubuntu dstat.sh[65062]: 04-06 12:44:08| 39  13  48   0   0|1107M 1159M  165M 5309M|5435B 1623B|   0  2176k|   0  66.1 |4766  3382 |1.28 0.94 0.52|2.0   0 199|   0     0 |           | 11    6    0   19    2
Jun 04 12:44:09 ubuntu dstat.sh[65062]: 04-06 12:44:09| 42   7  49   1   0|1165M 1075M  166M 5331M|5171B 1615B|  32k 4722k|1.99   143 |3505  2487 |1.28 0.94 0.52|2.0   0 6.0|   0     0 |           | 11    6    0   19    2
Jun 04 12:44:10 ubuntu dstat.sh[65062]: 04-06 12:44:10| 44   6  48   1   0|1189M 1021M  167M 5358M|4562B 1513B|   0    19M|   0   768 |3658  2161 |1.28 0.94 0.52|4.0   0 1.0|   0     0 |           | 11    6    0   19    2
Jun 04 12:44:11 ubuntu dstat.sh[65062]: 04-06 12:44:11| 34   8  46  11   0|1227M  985M  168M 5354M|4941B 2141B|   0    31M|   0  2468 |  12k   22k|1.28 0.94 0.52|4.0   0  48|   0     0 |           | 11    6    0   19    0
Jun 04 12:44:12 ubuntu dstat.sh[65062]: 04-06 12:44:12| 30  10  51   8   0|1162M 1046M  169M 5356M|9258B 3665B|   0    39M|   0  3006 |  12k   22k|1.58 1.00 0.55|3.0   0 108|   0     0 |           | 11    5    0   19    0
