Apr 27 05:36:30 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Apr 27 05:36:31 ubuntu dstat.sh[66884]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Apr 27 05:36:31 ubuntu dstat.sh[66884]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 27 05:36:31 ubuntu dstat.sh[66884]: 27-04 05:36:31|                   | 968M 1358M  165M 5133M|           |           |           |           |1.52 1.00 0.53|1.0   0    |           |           | 10    4    0   17    0
Apr 27 05:36:32 ubuntu dstat.sh[66884]: 27-04 05:36:32| 18  21  61   0   0| 973M 1353M  165M 5133M|  17k 5186B|   0  1729k|   0  71.0 |6209  5223 |1.52 1.00 0.53|1.0   0 435|   0     0 |           | 10    4    0   17    0
Apr 27 05:36:33 ubuntu dstat.sh[66884]: 27-04 05:36:33| 19  22  58   0   0| 996M 1330M  166M 5133M|  20k 6653B|   0  1216k|   0  58.0 |6445  5966 |1.52 1.00 0.53|1.0   0 423|   0     0 |           | 10    6    0   17    0
Apr 27 05:36:34 ubuntu dstat.sh[66884]: 27-04 05:36:34| 26  14  57   0   0| 984M 1340M  166M 5134M|  36k   14k|   0  1980k|   0  61.0 |5256  4834 |1.55 1.01 0.54|2.0   0 237|   0     0 |           | 10    6    0   17    0
Apr 27 05:36:35 ubuntu dstat.sh[66884]: 27-04 05:36:35| 24  11  63   1   0|1136M 1188M  166M 5256M|  36k   11k|   0  9662k|   0   558 |5014  6025 |1.55 1.01 0.54|1.0   0 129|   0     0 |           | 11    7    0   17    1
Apr 27 05:36:36 ubuntu dstat.sh[66884]: 27-04 05:36:36| 33  10  55   0   0|1170M 1154M  166M 5256M|  20k   11k|   0  1607k|   0  55.0 |3816  2608 |1.55 1.01 0.54|1.0   0 132|   0     0 |           | 11    7    0   17    1
Apr 27 05:36:37 ubuntu dstat.sh[66884]: 27-04 05:36:37| 37   9  52   2   0|1214M 1085M  167M 5278M| 167k 5018B|  32k 5755k|2.00   163 |3925  3060 |1.55 1.01 0.54|2.0   0  89|   0     0 |           | 11    6    0   19    2
Apr 27 05:36:38 ubuntu dstat.sh[66884]: 27-04 05:36:38| 45   6  48   0   0|1263M 1013M  168M 5298M|3361B    0 |   0  2613k|   0  40.0 |3033  1793 |1.55 1.01 0.54|2.0   0   0|   0     0 |           | 11    6    0   19    2
Apr 27 05:36:39 ubuntu dstat.sh[66884]: 27-04 05:36:39| 35   6  46  10   0|1268M  981M  169M 5321M|4252B    0 |   0    29M|   0  1811 |9896    17k|1.67 1.05 0.55|4.0   0  28|   0     0 |           | 11    8    0   19    2
Apr 27 05:36:40 ubuntu dstat.sh[66884]: 27-04 05:36:40| 33   9  44  13   0|1278M  949M  170M 5339M|2166B    0 |   0    56M|   0  3359 |  15k   28k|1.67 1.05 0.55|2.0   0  54|   0     0 |           | 11    8    0   19    2
Apr 27 05:36:41 ubuntu dstat.sh[66884]: 27-04 05:36:41| 40  10  45   3   0|1231M  969M  171M 5362M|2950B   94B|   0    20M|   0  1179 |5569  7389 |1.67 1.05 0.55|2.0   0  75|   0     0 |           | 11    6    0   19    2
Apr 27 05:36:42 ubuntu dstat.sh[66884]: 27-04 05:36:42| 41   5  54   1   0|1282M  930M  172M 5350M|8757B 2793B|   0  2140k|   0   165 |2680  1821 |1.67 1.05 0.55|2.0   0   0|   0     0 |           | 11    4    0   19    0
Apr 27 05:36:43 ubuntu dstat.sh[66884]: 27-04 05:36:43| 43   8  48   1   0|1230M  982M  172M 5350M|2653B 1079B|   0  6554k|   0   421 |3882  3140 |1.67 1.05 0.55|1.0   0  45|   0     0 |           | 11    5    0   19    0
Apr 27 05:36:44 ubuntu dstat.sh[66884]: 27-04 05:36:44| 41   7  51   0   0|1249M  957M  172M 5355M|7337B 1271B|   0  3028k|   0   286 |3085  2097 |1.70 1.06 0.56|2.0   0 4.0|   0     0 |           | 11    4    0   19    0
Apr 27 05:36:45 ubuntu dstat.sh[66884]: 27-04 05:36:45| 39   7  53   0   0|1211M  988M  172M 5360M|9147B 3113B|   0  1911k|   0   132 |3465  2209 |1.70 1.06 0.56|2.0   0 108|   0     0 |           | 11    4    0   19    0
Apr 27 05:36:46 ubuntu dstat.sh[66884]: 27-04 05:36:46| 31  25  42   0   0|1208M  991M  172M 5361M|2434B   42B|   0   120k|   0  10.0 |  15k   24k|1.70 1.06 0.56|2.0   0 543|   0     0 |           | 11    4    0   19    0
Apr 27 05:36:47 ubuntu dstat.sh[66884]: 27-04 05:36:47| 39  20  39   0   0|1173M 1038M  172M 5350M|3036B   42B|   0  2171k|   0  51.9 |  14k   23k|1.70 1.06 0.56|4.0   0 261|   0     0 |           | 11    4    0   19    0
Apr 27 05:36:48 ubuntu dstat.sh[66884]: 27-04 05:36:48| 67  13  20   0   0|1233M  977M  172M 5350M|2385B   42B|   0  1042k|   0   116 |3978  2050 |1.70 1.06 0.56|3.0   0 135|   0     0 |           | 11    5    0   19    0
