Mar 30 14:19:02 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Mar 30 14:19:02 ubuntu dstat.sh[65172]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Mar 30 14:19:02 ubuntu dstat.sh[65172]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 30 14:19:02 ubuntu dstat.sh[65172]: 30-03 14:19:02|                   |1020M 1338M  163M 5105M|           |           |           |           |1.26 0.90 0.51|2.0   0    |           |           | 10    4    1   17    0
Mar 30 14:19:03 ubuntu dstat.sh[65172]: 30-03 14:19:03| 17  21  60   0   0|1024M 1335M  163M 5105M|  20k   10k|   0  2182k|   0  80.9 |6469  5538 |1.26 0.90 0.51|2.0   0 504|   0     0 |           | 10    4    0   17    0
Mar 30 14:19:04 ubuntu dstat.sh[65172]: 30-03 14:19:04| 23  18  57   1   0| 999M 1358M  163M 5106M|  42k   14k|   0  1910k|   0  74.5 |6292  5714 |1.26 0.90 0.51|1.0   0 415|   0     0 |           | 10    6    0   17    0
Mar 30 14:19:05 ubuntu dstat.sh[65172]: 30-03 14:19:05| 30  16  53   0   0|1007M 1349M  163M 5106M|  28k   13k|   0  1694k|   0  52.9 |5736  5998 |1.26 0.90 0.51|2.0   0 281|   0     0 |           | 10    6    0   17    0
Mar 30 14:19:06 ubuntu dstat.sh[65172]: 30-03 14:19:06| 26   9  63   0   0|1142M 1214M  163M 5228M|  37k   13k|   0  1878k|   0  59.9 |4305  4081 |1.32 0.92 0.52|3.0   0 110|   0     0 |           | 11    7    0   17    1
Mar 30 14:19:07 ubuntu dstat.sh[65172]: 30-03 14:19:07| 34  12  52   1   0|1151M 1182M  164M 5249M| 169k 9188B|  16k 2891k|1.00  97.0 |4756  3631 |1.32 0.92 0.52|4.0 1.0 191|   0     0 |           | 11    6    0   19    2
Mar 30 14:19:08 ubuntu dstat.sh[65172]: 30-03 14:19:08| 44   6  49   1   0|1223M 1085M  165M 5270M|4802B 1621B|  16k 3122k|1.00  54.0 |2994  1721 |1.32 0.92 0.52|3.0   0   0|   0     0 |           | 11    6    0   19    2
Mar 30 14:19:09 ubuntu dstat.sh[65172]: 30-03 14:19:09| 43   5  48   3   0|1250M 1033M  166M 5291M|4362B 1516B|   0    13M|   0   717 |5775  7584 |1.32 0.92 0.52|2.0 1.0  10|   0     0 |           | 11    8    0   19    2
Mar 30 14:19:10 ubuntu dstat.sh[65172]: 30-03 14:19:10| 32   7  43  15   0|1249M 1011M  168M 5310M|4415B 1562B|   0    67M|   0  4842 |  17k   34k|1.32 0.92 0.52|2.0 1.0  72|   0     0 |           | 11    8    0   19    2
Mar 30 14:19:11 ubuntu dstat.sh[65172]: 30-03 14:19:11| 41   8  48   1   0|1268M  962M  169M 5336M|3944B 1068B|   0    10M|   0   427 |4211  3731 |1.38 0.93 0.53|3.0   0  75|   0     0 |           | 11    6    0   19    2
Mar 30 14:19:12 ubuntu dstat.sh[65172]: 30-03 14:19:12| 42   5  53   1   0|1319M  926M  169M 5321M|  10k 4294B|   0  3640k|   0   302 |2989  1820 |1.38 0.93 0.53|4.0   0 3.0|   0     0 |           | 11    4    0   19    0
Mar 30 14:19:13 ubuntu dstat.sh[65172]: 30-03 14:19:13| 40   6  52   1   0|1269M  970M  169M 5326M|  10k 3638B|   0  9007k|   0   497 |3765  3543 |1.38 0.93 0.53|3.0   0  43|   0     0 |           | 11    5    0   19    0
