May 15 16:53:34 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 15 16:53:34 ubuntu dstat.sh[64862]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 15 16:53:34 ubuntu dstat.sh[64862]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 15 16:53:34 ubuntu dstat.sh[64862]: 15-05 16:53:34|                   | 959M 1380M  162M 5125M|           |           |           |           |1.53 1.03 0.58|1.0   0    |           |           | 10    4    0   17    0
May 15 16:53:35 ubuntu dstat.sh[64862]: 15-05 16:53:35| 13  20  64   0   0| 967M 1372M  162M 5125M|  13k 1036B|   0  1210k|   0  56.9 |5375  4064 |1.51 1.03 0.58|1.5   0 330|   0     0 |           | 10    4    0   17    0
May 15 16:53:36 ubuntu dstat.sh[64862]: 15-05 16:53:36| 20  22  56   1   0| 975M 1363M  162M 5125M|  28k   10k|   0  4911k|   0  63.0 |5419  4010 |1.49 1.03 0.58|2.0   0 336|   0     0 |           | 10    6    0   17    0
May 15 16:53:37 ubuntu dstat.sh[64862]: 15-05 16:53:37| 24  19  56   1   0| 986M 1351M  162M 5126M|  34k   14k|   0  1804k|   0  59.0 |5789  5817 |1.49 1.03 0.58|1.0   0 272|   0     0 |           | 10    6    0   17    0
May 15 16:53:38 ubuntu dstat.sh[64862]: 15-05 16:53:38| 32  17  51   1   0|1001M 1336M  162M 5126M|  40k   12k|   0  1713k|   0  56.0 |6411  7681 |1.49 1.03 0.58|2.0   0 187|   0     0 |           | 10    6    0   17    0
May 15 16:53:39 ubuntu dstat.sh[64862]: 15-05 16:53:39| 27  11  59   0   0|1107M 1229M  162M 5249M|  20k   12k|   0  1593k|   0  50.9 |4342  3718 |1.49 1.03 0.58|1.0   0 102|   0     0 |           | 11    7    0   17    1
May 15 16:53:40 ubuntu dstat.sh[64862]: 15-05 16:53:40| 34  14  50   1   0|1127M 1181M  163M 5274M| 169k 7249B|   0  4166k|   0   181 |4757  3689 |1.53 1.05 0.59|2.0   0 186|   0     0 |           | 11    6    0   19    2
May 15 16:53:41 ubuntu dstat.sh[64862]: 15-05 16:53:41| 44   6  48   0   0|1189M 1098M  164M 5291M|2157B    0 |  32k 2725k|2.00  45.9 |2964  1777 |1.53 1.05 0.59|2.0   0   0|   0     0 |           | 11    6    0   19    2
May 15 16:53:42 ubuntu dstat.sh[64862]: 15-05 16:53:42| 44   5  48   2   0|1239M 1025M  165M 5311M|2646B    0 |   0  7305k|   0   402 |4719  5208 |1.53 1.05 0.59|5.0   0  10|   0     0 |           | 11    8    0   19    2
May 15 16:53:43 ubuntu dstat.sh[64862]: 15-05 16:53:43| 31   7  45  15   0|1227M 1008M  167M 5335M|3300B    0 |   0    53M|   0  3902 |  14k   27k|1.53 1.05 0.59|4.0 1.0  48|   0     0 |           | 11    8    0   19    2
