Apr 09 11:10:28 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Apr 09 11:10:29 ubuntu dstat.sh[65016]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Apr 09 11:10:29 ubuntu dstat.sh[65016]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 09 11:10:29 ubuntu dstat.sh[65016]: 09-04 11:10:29|                   | 985M 1362M  163M 5116M|           |           |           |           |1.64 1.06 0.56|3.0   0    |           |           | 10    5    0   18    0
Apr 09 11:10:30 ubuntu dstat.sh[65016]: 09-04 11:10:30| 15  21  63   0   0| 989M 1358M  163M 5116M|  39k   12k|   0  2609k|   0  97.9 |6431  5547 |1.64 1.06 0.56|2.5   0 504|   0     0 |           | 10    6    0   18    0
Apr 09 11:10:31 ubuntu dstat.sh[65016]: 09-04 11:10:31| 28  19  52   1   0|1006M 1340M  164M 5116M|  22k   13k|   0  1902k|   0  81.0 |6444  5822 |1.64 1.06 0.56|3.0   0 437|   0     0 |           | 10    6    0   17    0
Apr 09 11:10:32 ubuntu dstat.sh[65016]: 09-04 11:10:32| 31  16  52   0   0|1132M 1214M  164M 5239M|  41k   14k|   0  1722k|   0  53.9 |6812  7786 |1.59 1.06 0.57|1.0   0 249|   0     0 |           | 11    5    0   17    1
Apr 09 11:10:33 ubuntu dstat.sh[65016]: 09-04 11:10:33| 16   2  80   0   0|1124M 1204M  164M 5255M| 182k   13k|   0  3411k|   0   112 |1875  1627 |1.59 1.06 0.57|3.0   0  20|   0     0 |           | 11    7    0   17    1
Apr 09 11:10:34 ubuntu dstat.sh[65016]: 09-04 11:10:34| 39  12  48   1   0|1154M 1156M  165M 5270M|5679B 1753B|   0  5795k|   0   101 |4464  3175 |1.59 1.06 0.57|2.0   0 176|   0     0 |           | 11    6    0   17    2
Apr 09 11:10:35 ubuntu dstat.sh[65016]: 09-04 11:10:35| 42   8  48   1   0|1201M 1091M  165M 5285M|5511B 1617B|  32k 2652k|2.00  61.9 |3819  2771 |1.59 1.06 0.57|2.0   0  86|   0     0 |           | 11    6    0   19    2
Apr 09 11:10:36 ubuntu dstat.sh[65016]: 09-04 11:10:36| 44   6  49   1   0|1243M 1020M  167M 5309M|5344B 1621B|   0  4596k|   0   144 |3347  2424 |1.59 1.06 0.57|2.0   0   0|   0     0 |           | 11    6    0   19    2
Apr 09 11:10:37 ubuntu dstat.sh[65016]: 09-04 11:10:37| 35   8  45  11   0|1268M  958M  168M 5342M|5870B 1622B|   0    42M|   0  2907 |  13k   25k|1.71 1.09 0.58|1.0 1.0  55|   0     0 |           | 11    8    0   19    2
Apr 09 11:10:38 ubuntu dstat.sh[65016]: 09-04 11:10:38| 38   8  48   5   0|1279M  955M  169M 5332M|  11k 4181B|   0    39M|   0  2782 |  10k   17k|1.71 1.09 0.58|3.0   0 108|   0     0 |           | 11    4    0   19    0
Apr 09 11:10:39 ubuntu dstat.sh[65016]: 09-04 11:10:39| 40   6  53   0   0|1267M  966M  169M 5332M|9652B 3703B|   0  1115k|   0  54.9 |2819  1711 |1.71 1.09 0.58|2.0   0  35|   0     0 |           | 11    5    0   19    0
Apr 09 11:10:40 ubuntu dstat.sh[65016]: 09-04 11:10:40| 45   5  48   1   0|1252M  975M  169M 5338M|6573B 1702B|   0  7941k|   0   427 |3813  3219 |1.71 1.09 0.58|3.0   0  13|   0     0 |           | 11    4    0   19    0
Apr 09 11:10:41 ubuntu dstat.sh[65016]: 09-04 11:10:41| 39   6  55   0   0|1253M  969M  170M 5343M|  12k 4829B|   0  1332k|   0  63.0 |3021  1969 |1.71 1.09 0.58|3.0   0  22|   0     0 |           | 11    4    0   19    0
Apr 09 11:10:42 ubuntu dstat.sh[65016]: 09-04 11:10:42| 44  10  43   0   0|1232M  988M  170M 5343M|5191B 1457B|   0   448k|   0  23.0 |  18k   32k|1.73 1.11 0.59|2.0   0 122|   0     0 |           | 11    4    0   19    0
Apr 09 11:10:43 ubuntu dstat.sh[65016]: 09-04 11:10:43| 29  25  44   0   0|1184M 1049M  170M 5332M|4922B 1705B|   0  2309k|   0   102 |8593  9519 |1.73 1.11 0.59|3.0   0 581|   0     0 |           | 11    4    0   19    0
Apr 09 11:10:44 ubuntu dstat.sh[65016]: 09-04 11:10:44| 47  17  36   0   0|1173M 1060M  170M 5333M|4691B 1456B|   0   919k|   0   114 |5882  5969 |1.73 1.11 0.59|6.0   0 361|   0     0 |           | 11    4    0   19    0
Apr 09 11:10:45 ubuntu dstat.sh[65016]: 09-04 11:10:45| 45   6  48   0   0|1241M  991M  170M 5333M|5459B 1620B|   0   376k|   0  8.00 |2838  1339 |1.73 1.11 0.59|3.0   0  10|   0     0 |           | 11    5    0   19    0
Apr 09 11:10:46 ubuntu dstat.sh[65016]: 09-04 11:10:46| 44   6  49   0   0|1260M  971M  170M 5333M|5191B 1512B|   0   424k|   0  42.0 |2736  1341 |1.73 1.11 0.59|3.0   0   0|   0     0 |           | 11    5    0   19    0
Apr 09 11:10:47 ubuntu dstat.sh[65016]: 09-04 11:10:47| 30  10  59   0   0|1264M  965M  170M 5336M|4580B 1187B|   0   939k|   0  81.9 |3928  4492 |1.59 1.09 0.58|  0   0 118|   0     0 |           | 11    4    0   19    0
Apr 09 11:10:48 ubuntu dstat.sh[65016]: 09-04 11:10:48|  8   3  87   1   0|1297M  933M  170M 5336M|4762B 1459B|   0  2462k|   0   135 |1723  2053 |1.59 1.09 0.58|1.0   0  22|   0     0 |           | 11    4    0   19    0
