Sep 20 18:26:08 jammy-provider-cloud-0000007676 systemd[1]: Started Devstack devstack@dstat.service.
Sep 20 18:26:08 jammy-provider-cloud-0000007676 dstat.sh[58918]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 20 18:26:08 jammy-provider-cloud-0000007676 dstat.sh[58918]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 20 18:26:08 jammy-provider-cloud-0000007676 dstat.sh[58918]: 20-09 18:26:08|                   | 995M 1909M  158M 4573M|           |           |           |           |1.24 0.92 0.49|2.0   0    |           |   0     0 |  9    6    3   17    0
Sep 20 18:26:09 jammy-provider-cloud-0000007676 dstat.sh[58918]: 20-09 18:26:09| 43  21  36   0   0|1002M 1900M  159M 4574M| 720k   16k|   0  3222k|   0  79.0 |4316  7098 |1.24 0.92 0.49|2.5   0 657|   0     0 |   0     0 |  9    5    3   17    0
Sep 20 18:26:10 jammy-provider-cloud-0000007676 dstat.sh[58918]: 20-09 18:26:10| 36  17  46   0   0|1026M 1873M  159M 4577M|1021k   32k|   0  2359k|   0  81.4 |4998  9992 |1.24 0.92 0.49|1.0   0 495|   0     0 |   0     0 |  9    7    3   17    1
Sep 20 18:26:11 jammy-provider-cloud-0000007676 dstat.sh[58918]: 20-09 18:26:11| 52   9  38   1   0|1155M 1743M  159M 4700M| 315k   14k|   0    14M|   0   578 |4298  8422 |1.24 0.92 0.49|2.0   0 119|   0     0 |   0     0 | 10    7    3   17    1
Sep 20 18:26:12 jammy-provider-cloud-0000007676 dstat.sh[58918]: 20-09 18:26:12| 44  11  44   1   0|1171M 1723M  159M 4703M| 911k   26k|  80k 2432k|1.00  90.0 |3122  4063 |1.30 0.94 0.49|2.0   0 221|   0     0 |   0     0 | 10    8    3   19    2
Sep 20 18:26:13 jammy-provider-cloud-0000007676 dstat.sh[58918]: 20-09 18:26:13| 58   5  37   0   0|1237M 1641M  159M 4718M| 966k   24k|   0  6414k|   0   105 |2255  2532 |1.30 0.94 0.49|3.0   0 4.0|   0     0 |   0     0 | 10    6    3   19    2
Sep 20 18:26:14 jammy-provider-cloud-0000007676 dstat.sh[58918]: 20-09 18:26:14| 46  11  37   5   0|1302M 1557M  160M 4737M|1326k   20k|  12M   17M| 134  1220 |6832    12k|1.30 0.94 0.49|3.0   0  84|   0     0 |   0     0 | 10   10    3   19    2
Sep 20 18:26:15 jammy-provider-cloud-0000007676 dstat.sh[58918]: 20-09 18:26:15| 48  13  30   6   0|1302M 1550M  161M 4742M|7617B 1966B|   0    47M|   0  3556 |  12k   27k|1.30 0.94 0.49|3.0   0 149|   0     0 |   0     0 | 10    8    3   19    2
Sep 20 18:26:16 jammy-provider-cloud-0000007676 dstat.sh[58918]: 20-09 18:26:16| 51  10  39   1   0|1243M 1586M  162M 4761M|  15k 5749B|1165k 8504k|14.0   208 |2087  3043 |1.30 0.94 0.49|2.0   0  82|   0     0 |   0     0 | 10    8    3   19    2
Sep 20 18:26:17 jammy-provider-cloud-0000007676 dstat.sh[58918]: 20-09 18:26:17| 49   5  44   2   0|1246M 1553M  163M 4787M|2334k   21k|   0  7239k|   0   246 |2621  2856 |1.44 0.97 0.51|2.0   0   0|   0     0 |   0     0 | 10    6    3   19    2
Sep 20 18:26:18 jammy-provider-cloud-0000007676 dstat.sh[58918]: 20-09 18:26:18| 41   6  51   1   0|1239M 1552M  164M 4792M|  11k 4353B|   0  8500k|   0   410 |1931  3391 |1.44 0.97 0.51|2.0   0  10|   0     0 |   0     0 | 10    4    3   19    0
Sep 20 18:26:19 jammy-provider-cloud-0000007676 dstat.sh[58918]: 20-09 18:26:19| 44   9  47   0   0|1120M 1671M  164M 4793M|5971B 1570B|   0   946k|   0  16.0 |5657    10k|1.44 0.97 0.51|3.0   0 166|   0     0 |   0     0 | 10    4    3   19    0
Sep 20 18:26:20 jammy-provider-cloud-0000007676 dstat.sh[58918]: 20-09 18:26:20| 33  24  41   0   0|1131M 1659M  164M 4793M|5057B 1620B|   0   136k|   0  14.0 |  16k   32k|1.44 0.97 0.51|2.0   0 610|   0     0 |   0     0 | 10    4    3   19    0
Sep 20 18:26:21 jammy-provider-cloud-0000007676 dstat.sh[58918]: 20-09 18:26:21| 55  14  30   0   0|1149M 1640M  164M 4794M|5684B 1733B|   0   180k|   0  5.99 |3672  7447 |1.44 0.97 0.51|3.0   0 183|   0     0 |   0     0 | 10    5    3   19    0
Sep 20 18:26:22 jammy-provider-cloud-0000007676 dstat.sh[58918]: 20-09 18:26:22| 66   6  28   0   0|1217M 1572M  164M 4794M|7024B 1693B|   0   420k|   0  44.0 |1542  1630 |1.57 1.00 0.52|2.0   0  55|   0     0 |   0     0 | 10    5    3   19    0
Sep 20 18:26:23 jammy-provider-cloud-0000007676 dstat.sh[58918]: 20-09 18:26:23| 37   9  52   0   0|1248M 1538M  164M 4797M|7198B 1622B|   0   433k|   0  27.0 |2246  9196 |1.57 1.00 0.52|3.0   0  92|   0     0 |   0     0 | 10    4    3   19    0
Sep 20 18:26:24 jammy-provider-cloud-0000007676 dstat.sh[58918]: 20-09 18:26:24|  1   1  97   0   0|1250M 1537M  164M 4797M|6376B 1510B|   0     0 |   0     0 | 768  1189 |1.57 1.00 0.52|  0   0  26|   0     0 |   0     0 | 10    4    3   17    0
Sep 20 18:26:25 jammy-provider-cloud-0000007676 dstat.sh[58918]: 20-09 18:26:25|  9   3  88   0   0|1277M 1509M  164M 4797M|5521B 1665B|   0  2517k|   0  17.0 |1235  1699 |1.57 1.00 0.52|1.0   0  21|   0     0 |   0     0 | 10    4    3   17    0
Sep 20 18:26:26 jammy-provider-cloud-0000007676 dstat.sh[58918]: 20-09 18:26:26| 24   2  73   0   0|1334M 1452M  164M 4797M|5566B 1620B|   0   760k|   0  31.0 | 997  1289 |1.57 1.00 0.52|1.0   0   0|   0     0 |   0     0 | 10    4    3   13    0
Sep 20 18:26:27 jammy-provider-cloud-0000007676 dstat.sh[58918]: 20-09 18:26:27| 24   4  71   1   0|1260M 1526M  164M 4797M|9306B 1566B|   0    21M|   0   635 |3383  6681 |1.52 1.00 0.52|1.0   0  13|   0     0 |   0     0 | 10    4    3   15    0
Sep 20 18:26:28 jammy-provider-cloud-0000007676 dstat.sh[58918]: 20-09 18:26:28| 23   3  74   0   0|1309M 1477M  164M 4797M|6500B 1617B|   0   962k|   0  16.0 |1189  1733 |1.52 1.00 0.52|1.0   0  31|   0     0 |   0     0 | 10   11    3   15    0
Sep 20 18:26:29 jammy-provider-cloud-0000007676 dstat.sh[58918]: 20-09 18:26:29| 22   5  73   1   0|1296M 1490M  164M 4797M|5438B 1621B| 232k 5678k|58.0   228 |2034  3828 |1.52 1.00 0.52|1.0   0  45|   0     0 |   0     0 | 10   28    3   15    0
