Mar 25 20:12:48 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Mar 25 20:12:49 ubuntu dstat.sh[65064]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Mar 25 20:12:49 ubuntu dstat.sh[65064]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 25 20:12:49 ubuntu dstat.sh[65064]: 25-03 20:12:49|                   | 959M 1399M  165M 5103M|           |           |           |           |1.47 0.92 0.51|2.0   0    |           |           | 10    6    0   17    0
Mar 25 20:12:50 ubuntu dstat.sh[65064]: 25-03 20:12:50| 23  22  53   1   0| 968M 1390M  165M 5103M|  19k   11k|   0  1523k|   0  52.0 |6327  5187 |1.47 0.92 0.51|2.0   0 515|   0     0 |           | 10    6    0   17    0
Mar 25 20:12:51 ubuntu dstat.sh[65064]: 25-03 20:12:51| 25  20  53   0   0| 984M 1374M  165M 5104M|  39k   13k|   0  1708k|   0  53.5 |6108  5185 |1.47 0.92 0.51|1.0   0 411|   0     0 |           | 10    5    0   17    1
Mar 25 20:12:52 ubuntu dstat.sh[65064]: 25-03 20:12:52| 29  21  48   0   0| 988M 1350M  165M 5122M| 174k   11k|   0  2298k|   0  69.7 |6294  7917 |1.68 0.97 0.52| 15   0 286|   0     0 |           | 10    5    0   17    1
Mar 25 20:12:53 ubuntu dstat.sh[65064]: 25-03 20:12:53| 29   9  61   1   0|1109M 1209M  166M 5260M|4779B 1704B|   0  1995k|   0  63.2 |3809  3907 |1.68 0.97 0.52|2.0   0  38|   0     0 |           | 11    6    0   17    2
Mar 25 20:12:54 ubuntu dstat.sh[65064]: 25-03 20:12:54| 39  12  48   0   0|1149M 1145M  167M 5281M|4624B 1664B|   0    12M|   0   465 |4235  2446 |1.68 0.97 0.52|2.0   0 114|   0     0 |           | 11    6    0   17    2
Mar 25 20:12:55 ubuntu dstat.sh[65064]: 25-03 20:12:55| 37  13  47   1   0|1186M 1090M  168M 5296M|5276B 1619B|  32k 4769k|2.00   172 |4777  3877 |1.68 0.97 0.52|2.0   0 151|   0     0 |           | 11    6    0   19    2
Mar 25 20:12:56 ubuntu dstat.sh[65064]: 25-03 20:12:56| 45   6  48   1   0|1236M 1011M  169M 5321M|4659B 1459B|   0  3287k|   0  70.1 |3134  1882 |1.68 0.97 0.52|2.0   0 1.0|   0     0 |           | 11    6    0   19    2
Mar 25 20:12:57 ubuntu dstat.sh[65064]: 25-03 20:12:57| 33   6  51   8   0|1265M  986M  170M 5315M|  11k 4350B|   0    27M|   0  2048 |9768    17k|1.70 0.99 0.53|2.0   0  28|   0     0 |           | 11    6    0   19    0
Mar 25 20:12:58 ubuntu dstat.sh[65064]: 25-03 20:12:58| 35   8  42  11   0|1274M  973M  171M 5319M|8142B 2309B|   0    44M|   0  3598 |  13k   26k|1.70 0.99 0.53|2.0   0  95|   0     0 |           | 11    5    0   19    0
Mar 25 20:12:59 ubuntu dstat.sh[65064]: 25-03 20:12:59| 39   9  50   0   0|1233M 1006M  171M 5325M|5757B 2077B|   0  6254k|   0   148 |3579  2171 |1.70 0.99 0.53|2.0   0  78|   0     0 |           | 11    4    0   19    0
Mar 25 20:13:00 ubuntu dstat.sh[65064]: 25-03 20:13:00| 41   5  53   1   0|1249M  985M  172M 5329M|  12k 4629B|   0  8968k|   0   427 |3354  3125 |1.70 0.99 0.53|2.0   0  18|   0     0 |           | 11    4    0   19    0
Mar 25 20:13:01 ubuntu dstat.sh[65064]: 25-03 20:13:01| 43  10  46   0   0|1281M  951M  172M 5330M|4927B 1567B|   0  1838k|   0  14.0 |  12k   19k|1.70 0.99 0.53|2.0   0  26|   0     0 |           | 11    4    0   19    0
Mar 25 20:13:02 ubuntu dstat.sh[65064]: 25-03 20:13:02| 42  10  46   0   0|1260M  979M  172M 5323M|3260B  582B|   0   480k|   0  12.0 |  11k   18k|1.81 1.02 0.55|4.0   0  16|   0     0 |           | 11    4    0   19    0
