Feb 20 16:33:33 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Feb 20 16:33:33 ubuntu dstat.sh[59570]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Feb 20 16:33:33 ubuntu dstat.sh[59570]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Feb 20 16:33:33 ubuntu dstat.sh[59570]: 20-02 16:33:33|                   | 991M 1651M  158M 4841M|           |           |           |           |1.67 1.11 0.62|3.0   0    |           |           | 10    5    0   17    1
Feb 20 16:33:34 ubuntu dstat.sh[59570]: 20-02 16:33:34| 20  22  56   0   0| 996M 1646M  158M 4841M|  17k 9519B|   0  2104k|   0  82.0 |5797  4449 |1.67 1.11 0.62|2.5   0 367|   0     0 |           | 10    5    0   17    1
Feb 20 16:33:35 ubuntu dstat.sh[59570]: 20-02 16:33:35| 26  23  49   1   0|1034M 1583M  158M 4863M| 168k 7596B|   0  2941k|   0  82.3 |5835  4352 |1.67 1.11 0.62|2.0   0 357|   0     0 |           | 10    4    0   17    2
Feb 20 16:33:36 ubuntu dstat.sh[59570]: 20-02 16:33:36| 34  22  43   0   0|1026M 1567M  159M 4883M|4637B 1668B|   0  5344k|   0  73.3 |5760  5746 |1.70 1.12 0.63|4.0   0 289|   0     0 |           | 10    4    0   17    2
Feb 20 16:33:37 ubuntu dstat.sh[59570]: 20-02 16:33:37| 39  14  45   0   0|1147M 1427M  159M 5022M|4826B 1455B|   0   870k|   0  24.0 |5420  7415 |1.70 1.12 0.63|1.0   0 137|   0     0 |           | 11    4    0   17    2
Feb 20 16:33:38 ubuntu dstat.sh[59570]: 20-02 16:33:38| 29   9  60   1   0|1151M 1405M  160M 5037M|4737B 1661B|  16k 5345k|1.00   309 |3575  2971 |1.70 1.12 0.63|2.0   0  86|   0     0 |           | 11    6    0   17    2
Feb 20 16:33:39 ubuntu dstat.sh[59570]: 20-02 16:33:39| 36  14  48   1   0|1161M 1365M  160M 5063M|4347B 1461B|   0  2441k|   0  89.2 |4602  3162 |1.70 1.12 0.63|2.0   0 170|   0     0 |           | 11    8    0   18    2
Feb 20 16:33:40 ubuntu dstat.sh[59570]: 20-02 16:33:40| 39   6  53   1   0|1232M 1304M  161M 5052M|  11k 4345B| 404k 2802k|17.0  68.0 |3259  2336 |1.70 1.12 0.63|2.0   0  30|   0     0 |           | 11    4    0   19    0
Feb 20 16:33:41 ubuntu dstat.sh[59570]: 20-02 16:33:41| 43   7  49   0   0|1221M 1314M  161M 5052M|4464B 1720B| 188k  132k|5.99  5.99 |3029  1569 |1.72 1.14 0.64|2.0   0  35|   0     0 |           | 11    5    0   19    0
Feb 20 16:33:42 ubuntu dstat.sh[59570]: 20-02 16:33:42| 31   7  48  12   0|1239M 1282M  162M 5064M|8366B 2018B|  16k   31M|1.00  2445 |  11k   20k|1.72 1.14 0.64|1.0 1.0  48|   0     0 |           | 11    6    0   19    0
Feb 20 16:33:43 ubuntu dstat.sh[59570]: 20-02 16:33:43| 35   6  46  11   0|1268M 1247M  163M 5070M|  11k 4388B|   0    45M|   0  3570 |  13k   24k|1.72 1.14 0.64|2.0   0  54|   0     0 |           | 11    5    0   19    0
Feb 20 16:33:44 ubuntu dstat.sh[59570]: 20-02 16:33:44| 39  13  45   0   0|1206M 1305M  163M 5073M|2559B  174B|   0  1670k|   0  65.9 |  11k   19k|1.72 1.14 0.64|2.0   0  88|   0     0 |           | 11    4    0   19    0
Feb 20 16:33:45 ubuntu dstat.sh[59570]: 20-02 16:33:45| 43  10  46   0   0|1260M 1250M  163M 5073M|3241B  294B|   0  2683k|   0  75.0 |  11k   18k|1.72 1.14 0.64|2.0   0  21|   0     0 |           | 11    4    0   19    0
