May 15 16:13:22 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 15 16:13:22 ubuntu dstat.sh[64833]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 15 16:13:22 ubuntu dstat.sh[64833]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 15 16:13:22 ubuntu dstat.sh[64833]: 15-05 16:13:22|                   | 969M 1366M  163M 5128M|           |           |           |           |1.01 0.90 0.52|2.0   0    |           |           | 10    5    0   17    0
May 15 16:13:23 ubuntu dstat.sh[64833]: 15-05 16:13:23| 17  21  60   0   0| 974M 1360M  163M 5128M|  40k   13k|   0  2343k|   0   131 |5561  4190 |1.01 0.90 0.52|1.5   0 381|   0     0 |           | 10    6    0   17    0
May 15 16:13:24 ubuntu dstat.sh[64833]: 15-05 16:13:24| 24  22  52   0   0| 996M 1337M  163M 5129M|  21k   12k|   0  1823k|   0  92.9 |5567  4128 |1.01 0.90 0.52|2.0   0 372|   0     0 |           | 10    6    0   17    0
May 15 16:13:25 ubuntu dstat.sh[64833]: 15-05 16:13:25| 27  19  52   1   0|1010M 1323M  164M 5130M|  40k   11k|   0  1685k|   0  53.0 |5618  5302 |1.09 0.91 0.53|1.0   0 246|   0     0 |           | 10    5    0   17    1
May 15 16:13:26 ubuntu dstat.sh[64833]: 15-05 16:13:26| 28  15  55   0   0|1122M 1192M  164M 5268M| 177k   13k|   0  2114k|   0  58.8 |5710  7103 |1.09 0.91 0.53|1.0 1.0 129|   0     0 |           | 11    5    0   17    1
May 15 16:13:27 ubuntu dstat.sh[64833]: 15-05 16:13:27| 35  10  54   0   0|1138M 1160M  165M 5281M|2796B  174B|   0  1859k|   0  57.0 |3953  9836 |1.09 0.91 0.53|2.0 1.0 117|   0     0 |           | 11    6    0   18    2
May 15 16:13:28 ubuntu dstat.sh[64833]: 15-05 16:13:28| 38  14  47   1   0|1143M 1137M  165M 5297M|2045B    0 |   0  6352k|   0   139 |4673  3332 |1.09 0.91 0.53|2.0   0 191|   0     0 |           | 11    6    0   20    2
May 15 16:13:29 ubuntu dstat.sh[64833]: 15-05 16:13:29| 42   7  48   1   0|1210M 1043M  166M 5319M|2699B    0 |  36k 4838k|3.00   147 |3409  2501 |1.09 0.91 0.53|2.0   0 9.0|   0     0 |           | 11    6    0   19    2
May 15 16:13:30 ubuntu dstat.sh[64833]: 15-05 16:13:30| 44   6  49   1   0|1238M  985M  167M 5346M|2281B    0 |   0  3478k|   0  87.1 |3206  2147 |1.16 0.93 0.54|3.0 1.0 1.0|   0     0 |           | 11    8    0   19    2
May 15 16:13:31 ubuntu dstat.sh[64833]: 15-05 16:13:31| 31   8  45  12   0|1258M  965M  169M 5343M|2982B  480B|   0    46M|   0  3730 |  16k   29k|1.16 0.93 0.54|3.0   0  56|   0     0 |           | 11    6    0   19    0
May 15 16:13:32 ubuntu dstat.sh[64833]: 15-05 16:13:32| 37  11  47   5   0|1209M 1012M  169M 5345M|8206B 2179B|   0    33M|   0  2658 |  10k   17k|1.16 0.93 0.54|2.0   0 135|   0     0 |           | 11    5    0   19    0
May 15 16:13:33 ubuntu dstat.sh[64833]: 15-05 16:13:33| 42   8  49   0   0|1245M  970M  169M 5350M|3224B  666B|   0  1918k|   0  49.9 |3001  1692 |1.16 0.93 0.54|2.0   0  19|   0     0 |           | 11    5    0   19    0
May 15 16:13:34 ubuntu dstat.sh[64833]: 15-05 16:13:34| 43   6  49   1   0|1254M  955M  170M 5355M|8943B 2622B|   0  8990k|   0   532 |  10k   18k|1.16 0.93 0.54|5.0   0 6.0|   0     0 |           | 11    4    0   19    0
May 15 16:13:35 ubuntu dstat.sh[64833]: 15-05 16:13:35| 44   9  45   0   0|1232M  976M  170M 5355M|2276B    0 |   0  2847k|   0   186 |9543    15k|1.23 0.95 0.55|3.0   0  24|   0     0 |           | 11    4    0   19    0
May 15 16:13:36 ubuntu dstat.sh[64833]: 15-05 16:13:36| 42   9  49   0   0|1227M  993M  170M 5344M|2657B    0 |   0   488k|   0  20.0 |3135  1761 |1.23 0.95 0.55|2.0   0  16|   0     0 |           | 11    4    0   19    0
May 15 16:13:37 ubuntu dstat.sh[64833]: 15-05 16:13:37| 37  15  47   0   0|1197M 1023M  170M 5344M|2578B    0 |   0    12k|   0  3.00 |5035  3755 |1.23 0.95 0.55|3.0   0 326|   0     0 |           | 11    4    0   19    0
May 15 16:13:38 ubuntu dstat.sh[64833]: 15-05 16:13:38| 12  24  64   0   0|1112M 1108M  170M 5345M|2405B    0 |   0  8130k|   0   437 |5627  4178 |1.23 0.95 0.55|1.0   0 378|   0     0 |           | 11    4    0   19    0
May 15 16:13:39 ubuntu dstat.sh[64833]: 15-05 16:13:39| 20  17  63   0   0|1104M 1117M  170M 5345M|2161B    0 |   0    12k|   0  3.00 |5206  6350 |1.23 0.95 0.55|3.0   0 191|   0     0 |           | 11    4    0   19    0
May 15 16:13:40 ubuntu dstat.sh[64833]: 15-05 16:13:40| 46  13  40   0   0|1161M 1059M  170M 5345M|2216B    0 |   0  4088B|   0  1.00 |3746  2161 |1.29 0.97 0.56|2.0   0 118|   0     0 |           | 11    5    0   19    0
May 15 16:13:41 ubuntu dstat.sh[64833]: 15-05 16:13:41| 43   7  48   0   0|1203M 1017M  170M 5346M|2819B    0 |   0  1241k|   0  39.0 |2703  1328 |1.29 0.97 0.56|3.0   0   0|   0     0 |           | 11    5    0   13    0
May 15 16:13:42 ubuntu dstat.sh[64833]: 15-05 16:13:42| 40   9  50   0   0|1237M  980M  170M 5348M|3725B    0 |   0  2503k|   0   139 |4490  4961 |1.29 0.97 0.56|1.0   0  53|   0     0 |           | 11    4    0   13    0
May 15 16:13:43 ubuntu dstat.sh[64833]: 15-05 16:13:43|  5  10  83   0   0|1236M  981M  170M 5348M|4127B    0 |   0    23M|   0   118 |2690  2329 |1.29 0.97 0.56|1.0   0  87|   0     0 |           | 11    4    0   13    0
May 15 16:13:44 ubuntu dstat.sh[64833]: 15-05 16:13:44| 22   5  73   0   0|1296M  921M  170M 5348M|3064B    0 |   0     0 |   0     0 |1881  1363 |1.29 0.97 0.56|2.0   0   0|   0     0 |           | 11    4    0   13    0
May 15 16:13:45 ubuntu dstat.sh[64833]: 15-05 16:13:45| 24   2  73   0   0|1320M  897M  170M 5348M|2876B    0 |   0     0 |   0     0 |1739  1132 |1.27 0.97 0.56|2.0   0   0|   0     0 |           | 11    4    0   13    0
May 15 16:13:46 ubuntu dstat.sh[64833]: 15-05 16:13:46| 22   5  70   1   0|1266M  951M  170M 5348M|2053B    0 |   0  4835k|   0   332 |4371  5692 |1.27 0.97 0.56|1.0   0  35|   0     0 |           | 11    4    0   15    0
May 15 16:13:47 ubuntu dstat.sh[64833]: 15-05 16:13:47| 20   6  73   0   0|1330M  887M  170M 5348M|2410B    0 | 145k  856k|7.03  11.0 |1965  1481 |1.27 0.97 0.56|1.0   0 9.0|   0     0 |           | 11    4    0   15    0
May 15 16:13:48 ubuntu dstat.sh[64833]: 15-05 16:13:48| 19   3  76   0   0|1336M  881M  170M 5348M|6056B 4075B|   0    27M|   0   161 |2661  2641 |1.27 0.97 0.56|1.0   0 1.0|   0     0 |           | 11   17    0   15    0
May 15 16:13:49 ubuntu dstat.sh[64833]: 15-05 16:13:49| 21   3  75   1   0|1327M  889M  170M 5349M|6215B 4423B| 269k 3648k|66.2  62.1 |2494  2217 |1.27 0.97 0.56|1.0   0  12|   0     0 |           | 11   28    0   16    0
May 15 16:13:50 ubuntu dstat.sh[64833]: 15-05 16:13:50| 21   6  72   0   0|1389M  827M  170M 5349M|1792B    0 |   0  2309k|   0  17.9 |2212  1568 |1.25 0.97 0.56|1.0   0  33|   0     0 |           | 11   28    0   16    0
