Mar 26 10:12:43 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Mar 26 10:12:43 ubuntu dstat.sh[65001]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Mar 26 10:12:43 ubuntu dstat.sh[65001]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 26 10:12:43 ubuntu dstat.sh[65001]: 26-03 10:12:43|                   | 937M 1425M  163M 5102M|           |           |           |           |1.03 0.84 0.49|2.0   0    |           |           | 10    5    0   17    0
Mar 26 10:12:44 ubuntu dstat.sh[65001]: 26-03 10:12:44| 18  21  59   0   0| 953M 1409M  163M 5102M|  41k   15k|   0  2857k|   0   155 |5808  4457 |1.03 0.84 0.49|1.5   0 415|   0     0 |           | 10    6    0   17    0
Mar 26 10:12:45 ubuntu dstat.sh[65001]: 26-03 10:12:45| 24  22  52   0   0| 986M 1375M  163M 5103M|  20k   11k|   0  5015k|   0   112 |5726  4306 |1.03 0.84 0.49|2.0   0 391|   0     0 |           | 10    6    0   17    0
Mar 26 10:12:46 ubuntu dstat.sh[65001]: 26-03 10:12:46| 28  19  52   1   0| 991M 1369M  163M 5104M|  40k   14k|   0  1729k|   0  56.0 |6787  8016 |1.03 0.84 0.49|1.0   0 268|   0     0 |           | 10    5    0   17    1
Mar 26 10:12:47 ubuntu dstat.sh[65001]: 26-03 10:12:47| 29  13  56   0   0|1124M 1218M  164M 5242M| 181k   13k|   0  2074k|   0  53.9 |4409  4726 |1.03 0.84 0.49|1.0   0 100|   0     0 |           | 11    5    0   17    1
Mar 26 10:12:48 ubuntu dstat.sh[65001]: 26-03 10:12:48| 36  12  51   0   0|1149M 1177M  164M 5254M|4894B 1751B|   0  1304k|   0  60.0 |3981  2805 |1.10 0.86 0.50|2.0   0 106|   0     0 |           | 11    6    0   17    2
Mar 26 10:12:49 ubuntu dstat.sh[65001]: 26-03 10:12:49| 37  15  47   0   0|1161M 1146M  165M 5271M|4741B 1620B|  16k 2561k|1.00  62.0 |4724  3430 |1.10 0.86 0.50|2.0   0 180|   0     0 |           | 11    6    0   19    2
Mar 26 10:12:50 ubuntu dstat.sh[65001]: 26-03 10:12:50| 41   8  48   2   0|1228M 1052M  166M 5294M|4410B 1459B|  16k   16M|1.00   801 |3619  2331 |1.10 0.86 0.50|2.0   0   0|   0     0 |           | 11    6    0   19    2
Mar 26 10:12:51 ubuntu dstat.sh[65001]: 26-03 10:12:51| 43   5  48   3   0|1260M  987M  167M 5323M|4524B 1619B|   0    11M|   0   636 |5011  6473 |1.10 0.86 0.50|2.0   0  10|   0     0 |           | 11    8    0   19    2
Mar 26 10:12:52 ubuntu dstat.sh[65001]: 26-03 10:12:52| 30   6  48  13   0|1279M  970M  169M 5318M|  11k 4349B|   0    38M|   0  3018 |  13k   25k|1.10 0.86 0.50|4.0   0  57|   0     0 |           | 11    6    0   19    0
Mar 26 10:12:53 ubuntu dstat.sh[65001]: 26-03 10:12:53| 38   9  49   4   0|1217M 1031M  169M 5319M|6760B 1339B|   0    28M|   0  1821 |8387    13k|1.34 0.92 0.52|2.0   0 125|   0     0 |           | 11    5    0   19    0
Mar 26 10:12:54 ubuntu dstat.sh[65001]: 26-03 10:12:54| 43   6  50   0   0|1197M 1045M  169M 5324M|5987B 2465B|   0  3493k|   0   245 |2917  1576 |1.34 0.92 0.52|3.0   0 3.0|   0     0 |           | 11    4    0   19    0
Mar 26 10:12:55 ubuntu dstat.sh[65001]: 26-03 10:12:55| 41   5  53   1   0|1210M 1025M  170M 5329M|  12k 4808B|   0  8189k|   0   401 |3413  3086 |1.34 0.92 0.52|5.0   0  31|   0     0 |           | 11    4    0   19    0
Mar 26 10:12:56 ubuntu dstat.sh[65001]: 26-03 10:12:56| 44  11  45   0   0|1267M  968M  170M 5330M|4519B 1458B|   0  2025k|   0  13.0 |  12k   23k|1.34 0.92 0.52|5.0   0  15|   0     0 |           | 11    4    0   19    0
Mar 26 10:12:57 ubuntu dstat.sh[65001]: 26-03 10:12:57| 40  12  46   0   0|1234M 1013M  170M 5319M|4985B 1622B|   0   521k|   0  12.0 |9473    15k|1.34 0.92 0.52|2.0   0 148|   0     0 |           | 11    4    0   19    0
Mar 26 10:12:58 ubuntu dstat.sh[65001]: 26-03 10:12:58| 30  25  45   0   0|1196M 1051M  170M 5319M|5001B 1456B|   0    40k|   0  9.99 |6309  5044 |1.31 0.92 0.52|3.0   0 485|   0     0 |           | 11    4    0   19    0
Mar 26 10:12:59 ubuntu dstat.sh[65001]: 26-03 10:12:59| 19  17  63   0   0|1159M 1088M  170M 5319M|5283B 1621B|   0    16k|   0  4.00 |6654  8429 |1.31 0.92 0.52|3.0   0 296|   0     0 |           | 11    4    0   19    0
Mar 26 10:13:00 ubuntu dstat.sh[65001]: 26-03 10:13:00| 43  12  45   0   0|1218M 1029M  170M 5319M|4962B 1510B|   0     0 |   0     0 |3866  2364 |1.31 0.92 0.52|2.0   0 131|   0     0 |           | 11    5    0   19    0
Mar 26 10:13:01 ubuntu dstat.sh[65001]: 26-03 10:13:01| 46   5  48   0   0|1263M  983M  170M 5320M|4427B 1566B|   0    14M|   0  75.0 |2805  1335 |1.31 0.92 0.52|2.0   0   0|   0     0 |           | 11    5    0   19    0
Mar 26 10:13:02 ubuntu dstat.sh[65001]: 26-03 10:13:02| 39  10  51   0   0|1282M  962M  170M 5322M|5290B 1623B|   0  1924k|   0  31.1 |4017  5175 |1.31 0.92 0.52|1.0   0  77|   0     0 |           | 11    4    0   19    0
Mar 26 10:13:03 ubuntu dstat.sh[65001]: 26-03 10:13:03|  5   5  89   0   0|1291M  953M  170M 5322M|4209B 1455B|   0   471k|   0  34.9 |1943  2228 |1.20 0.90 0.52|1.0   0  63|   0     0 |           | 11    4    0   13    0
Mar 26 10:13:04 ubuntu dstat.sh[65001]: 26-03 10:13:04| 22   4  74   0   0|1356M  889M  170M 5322M|5404B 1621B|   0     0 |   0     0 |1819  1281 |1.20 0.90 0.52|1.0   0   0|   0     0 |           | 11    4    0   13    0
Mar 26 10:13:05 ubuntu dstat.sh[65001]: 26-03 10:13:05| 24   2  74   0   0|1375M  869M  170M 5322M|4516B 1620B|   0  2244k|   0  43.0 |1673  1064 |1.20 0.90 0.52|2.0   0   0|   0     0 |           | 11    6    0   13    0
Mar 26 10:13:06 ubuntu dstat.sh[65001]: 26-03 10:13:06| 20   6  70   1   0|1267M  977M  170M 5322M|5156B 1619B|   0    14M|   0   385 |4403  5725 |1.20 0.90 0.52|1.0   0  45|   0     0 |           | 11    4    0   15    0
Mar 26 10:13:07 ubuntu dstat.sh[65001]: 26-03 10:13:07| 22   5  73   0   0|1317M  926M  170M 5322M|4750B 1624B| 144k  886k|7.02  13.0 |1833  1354 |1.20 0.90 0.52|2.0   0   0|   0     0 |           | 11    4    0   15    0
Mar 26 10:13:08 ubuntu dstat.sh[65001]: 26-03 10:13:08| 18   3  78   0   0|1329M  914M  170M 5323M|8894B 5717B| 263k  697k|64.7  20.9 |2512  2521 |1.19 0.90 0.52|  0 1.0 1.0|   0     0 |           | 11   17    0   15    0
