Apr 01 18:24:59 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Apr 01 18:25:00 ubuntu dstat.sh[65024]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Apr 01 18:25:00 ubuntu dstat.sh[65024]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 01 18:25:00 ubuntu dstat.sh[65024]: 01-04 18:25:00|                   |1087M 1269M  163M 5105M|           |           |           |           |1.26 0.95 0.53|2.0   0    |           |           | 10    6    0   17    0
Apr 01 18:25:01 ubuntu dstat.sh[65024]: 01-04 18:25:01| 22  21  55   1   0|1097M 1260M  163M 5106M|  41k   13k|   0  2032k|   0  70.7 |6457  5472 |1.37 0.97 0.54|2.5   0 493|   0     0 |           | 10    6    0   17    0
Apr 01 18:25:02 ubuntu dstat.sh[65024]: 01-04 18:25:02| 27  20  51   1   0|1065M 1290M  163M 5106M|  24k   14k|   0  1773k|   0  61.9 |6258  5614 |1.48 1.00 0.55|  0   0 428|   0     0 |           | 10    5    0   17    1
Apr 01 18:25:03 ubuntu dstat.sh[65024]: 01-04 18:25:03| 37  27  34   1   0|1070M 1257M  164M 5132M| 172k 9882B|   0  2554k|   0  88.1 |7234  7995 |1.48 1.00 0.55|2.0   0 621|   0     0 |           | 10    4    0   17    2
Apr 01 18:25:04 ubuntu dstat.sh[65024]: 01-04 18:25:04| 27   6  66   0   0|1169M 1140M  165M 5269M|3299B  485B|   0  1289k|   0  29.9 |3259  3005 |1.48 1.00 0.55|1.0   0  14|   0     0 |           | 11    4    0   17    2
Apr 01 18:25:05 ubuntu dstat.sh[65024]: 01-04 18:25:05| 34  11  54   1   0|1193M 1095M  165M 5288M|5073B 1554B|   0  1984k|   0  75.0 |3822  2632 |1.48 1.00 0.55|2.0   0 101|   0     0 |           | 11    6    0   17    2
Apr 01 18:25:06 ubuntu dstat.sh[65024]: 01-04 18:25:06| 37  14  47   2   0|1191M 1072M  166M 5308M|4722B 1460B|   0  8228k|   0   290 |5099  3877 |1.52 1.01 0.56|2.0   0 185|   0     0 |           | 11    6    0   19    2
Apr 01 18:25:07 ubuntu dstat.sh[65024]: 01-04 18:25:07| 43   6  49   0   0|1252M  988M  168M 5328M|4606B 1573B|  32k 3872k|2.00  74.0 |2906  1886 |1.52 1.01 0.56|4.0   0   0|   0     0 |           | 11    7    0   19    2
Apr 01 18:25:08 ubuntu dstat.sh[65024]: 01-04 18:25:08| 39   5  52   3   0|1288M  966M  168M 5314M|  10k 3864B|   0  6900k|   0   447 |4685  5641 |1.52 1.01 0.56|1.0 1.0  29|   0     0 |           | 11    6    0   19    0
Apr 01 18:25:09 ubuntu dstat.sh[65024]: 01-04 18:25:09| 28   9  48  13   0|1305M  936M  169M 5324M|  10k 3975B|   0    49M|   0  3516 |  14k   27k|1.52 1.01 0.56|2.0   0  62|   0     0 |           | 11    6    0   19    0
Apr 01 18:25:10 ubuntu dstat.sh[65024]: 01-04 18:25:10| 35  10  47   6   0|1215M 1023M  169M 5327M|9967B 4436B|   0    27M|   0  1979 |9389    15k|1.52 1.01 0.56|2.0   0 120|   0     0 |           | 11    5    0   19    0
Apr 01 18:25:11 ubuntu dstat.sh[65024]: 01-04 18:25:11| 44   9  46   0   0|1238M  993M  170M 5332M|5846B 1753B|   0  3057k|   0   177 |  10k   17k|1.48 1.01 0.56|2.0   0  14|   0     0 |           | 11    4    0   19    0
Apr 01 18:25:12 ubuntu dstat.sh[65024]: 01-04 18:25:12| 45   7  45   1   0|1255M  975M  170M 5332M|4085B 1404B|   0  7549k|   0   423 |  12k   21k|1.48 1.01 0.56|3.0   0  21|   0     0 |           | 11    4    0   19    0
Apr 01 18:25:13 ubuntu dstat.sh[65024]: 01-04 18:25:13| 42   9  49   0   0|1249M  994M  170M 5321M|3677B 1024B|   0  1010k|   0  55.9 |3129  1755 |1.48 1.01 0.56|3.0   0  20|   0     0 |           | 11    4    0   19    0
