Mar 24 15:00:51 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Mar 24 15:00:51 ubuntu dstat.sh[65379]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Mar 24 15:00:51 ubuntu dstat.sh[65379]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 24 15:00:51 ubuntu dstat.sh[65379]: 24-03 15:00:51|                   | 970M 1399M  162M 5097M|           |           |           |           |1.12 0.86 0.48|2.0   0    |           |           | 10    4    0   17    0
Mar 24 15:00:52 ubuntu dstat.sh[65379]: 24-03 15:00:52| 20  21  57   0   0| 979M 1389M  162M 5097M|  22k 7685B|   0  5460k|   0  89.0 |6197  5035 |1.12 0.86 0.48|2.5   0 435|   0     0 |           | 10    4    0   17    0
Mar 24 15:00:53 ubuntu dstat.sh[65379]: 24-03 15:00:53| 17  22  59   0   0| 976M 1392M  162M 5097M|  39k   13k|   0  1652k|   0  74.0 |5788  4458 |1.19 0.88 0.49|1.0   0 383|   0     0 |           | 10    6    0   17    0
Mar 24 15:00:54 ubuntu dstat.sh[65379]: 24-03 15:00:54| 28  19  52   0   0|1002M 1365M  162M 5098M|  24k   11k|   0  1480k|   0  48.0 |6102  6189 |1.19 0.88 0.49|3.0   0 280|   0     0 |           | 10    6    0   17    0
Mar 24 15:00:55 ubuntu dstat.sh[65379]: 24-03 15:00:55| 28  12  58   0   0|1108M 1258M  162M 5220M|  45k   15k|   0  1684k|   0  53.9 |5213  6234 |1.19 0.88 0.49|  0   0 102|   0     0 |           | 11    5    0   17    1
Mar 24 15:00:56 ubuntu dstat.sh[65379]: 24-03 15:00:56| 18   6  74   0   0|1117M 1234M  162M 5235M| 187k   16k|   0  1772k|   0  52.0 |2954  2406 |1.19 0.88 0.49|3.0   0  80|   0     0 |           | 11    7    0   17    1
Mar 24 15:00:57 ubuntu dstat.sh[65379]: 24-03 15:00:57| 38  13  48   1   0|1112M 1222M  163M 5248M|4741B 1658B|   0  2704k|   0  91.1 |4840  3597 |1.19 0.88 0.49|2.0   0 206|   0     0 |           | 11    6    0   19    2
Mar 24 15:00:58 ubuntu dstat.sh[65379]: 24-03 15:00:58| 46   6  49   0   0|1184M 1131M  164M 5264M|4593B 1512B|  32k 1984k|2.00  42.0 |3077  1695 |1.26 0.90 0.50|2.0   0   0|   0     0 |           | 11    6    0   19    2
Mar 24 15:00:59 ubuntu dstat.sh[65379]: 24-03 15:00:59| 42   5  48   3   0|1241M 1047M  165M 5287M|3683B  540B|   0  8735k|   0   491 |4645  5175 |1.26 0.90 0.50|5.0   0  10|   0     0 |           | 11    8    0   19    2
Mar 24 15:01:00 ubuntu dstat.sh[65379]: 24-03 15:01:00| 31   7  44  15   0|1239M 1011M  167M 5320M|4740B 1565B|   0    58M|   0  4842 |  18k   33k|1.26 0.90 0.50|2.0 2.0  72|   0     0 |           | 11    8    0   19    2
Mar 24 15:01:01 ubuntu dstat.sh[65379]: 24-03 15:01:01| 37   9  50   3   0|1225M 1031M  168M 5312M|  10k 4091B|   0    26M|   0  1600 |6497  8990 |1.26 0.90 0.50|2.0   0  75|   0     0 |           | 11    4    0   19    3
Mar 24 15:01:02 ubuntu dstat.sh[65379]: 24-03 15:01:02| 45   7  47   0   0|1255M 1001M  168M 5312M|5151B 2037B|   0  1812k|   0   175 |3102  1793 |1.26 0.90 0.50|2.0   0  41|   0     0 |           | 11    4    0   19    0
Mar 24 15:01:03 ubuntu dstat.sh[65379]: 24-03 15:01:03| 42   4  52   1   0|1247M 1003M  168M 5318M|  10k 3907B|   0  9195k|   0   523 |3576  3422 |1.24 0.90 0.50|2.0   0  12|   0     0 |           | 11    4    0   19    0
Mar 24 15:01:04 ubuntu dstat.sh[65379]: 24-03 15:01:04| 39   6  55   0   0|1301M  945M  168M 5321M|  13k 4509B|   0   864k|   0  50.0 |2780  1719 |1.24 0.90 0.50|2.0   0  19|   0     0 |           | 11    5    0   19    0
Mar 24 15:01:05 ubuntu dstat.sh[65379]: 24-03 15:01:05| 39  14  45   0   0|1244M  999M  168M 5323M|6613B 1798B|   0  1106k|   0  73.2 |  12k   19k|1.24 0.90 0.50|3.0   0 216|   0     0 |           | 11    4    0   19    0
Mar 24 15:01:06 ubuntu dstat.sh[65379]: 24-03 15:01:06| 29  28  42   0   0|1218M 1025M  168M 5323M|6048B 1566B|   0   212k|   0  13.0 |  13k   20k|1.24 0.90 0.50|3.0   0 490|   0     0 |           | 11    4    0   19    0
Mar 24 15:01:07 ubuntu dstat.sh[65379]: 24-03 15:01:07| 41  19  39   0   0|1132M 1123M  168M 5313M|3820B 1179B|   0  2371k|   0  99.3 |5897  7350 |1.24 0.90 0.50|4.0   0 247|   0     0 |           | 11    4    0   19    0
Mar 24 15:01:08 ubuntu dstat.sh[65379]: 24-03 15:01:08| 53  11  36   0   0|1219M 1036M  168M 5313M|3773B 1033B|   0    14M|   0   285 |3566  2038 |1.38 0.93 0.52|2.0   0 125|   0     0 |           | 11    5    0   19    0
Mar 24 15:01:09 ubuntu dstat.sh[65379]: 24-03 15:01:09| 43   8  49   0   0|1238M 1016M  168M 5313M|4377B 1402B|   0   184k|   0  2.00 |2730  1291 |1.38 0.93 0.52|3.0   0   0|   0     0 |           | 11    5    0   17    0
Mar 24 15:01:10 ubuntu dstat.sh[65379]: 24-03 15:01:10| 36  10  53   0   0|1256M  996M  169M 5316M|4905B 1511B|   0  2362k|   0  70.9 |4109  4871 |1.38 0.93 0.52|1.0   0 104|   0     0 |           | 11    4    0   17    0
Mar 24 15:01:11 ubuntu dstat.sh[65379]: 24-03 15:01:11|  8   5  86   0   0|1260M  992M  169M 5316M|4043B 1242B|   0   400k|   0  25.0 |1718  1705 |1.38 0.93 0.52|1.0   0  36|   0     0 |           | 11    4    0   17    0
Mar 24 15:01:12 ubuntu dstat.sh[65379]: 24-03 15:01:12| 22   3  73   0   0|1323M  929M  169M 5316M|3699B 1080B|   0  2264k|   0  53.0 |1834  1302 |1.38 0.93 0.52|1.0   0   0|   0     0 |           | 11    4    0   17    0
Mar 24 15:01:13 ubuntu dstat.sh[65379]: 24-03 15:01:13| 24   3  72   0   0|1347M  905M  169M 5316M|4057B 1242B|   0    17M|   0   114 |2354  2035 |1.43 0.95 0.52|1.0   0 1.0|   0     0 |           | 11   10    0   13    0
