May 19 17:27:32 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 19 17:27:32 ubuntu dstat.sh[65251]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 19 17:27:32 ubuntu dstat.sh[65251]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 19 17:27:32 ubuntu dstat.sh[65251]: 19-05 17:27:32|                   | 999M 1334M  164M 5128M|           |           |           |           |1.51 0.97 0.51|3.0 1.0    |           |           | 10    6    0   18    0
May 19 17:27:33 ubuntu dstat.sh[65251]: 19-05 17:27:33| 21  23  55   0   0|1004M 1329M  164M 5128M|  40k   12k|   0  2059k|   0  83.0 |6200  5134 |1.51 0.97 0.51|3.0 0.5 470|   0     0 |           | 10    6    0   18    0
May 19 17:27:34 ubuntu dstat.sh[65251]: 19-05 17:27:34| 25  22  51   1   0|1018M 1307M  164M 5136M|  24k   14k|   0  3153k|   0  79.4 |6154  5496 |1.51 0.97 0.51|1.0   0 419|   0     0 |           | 10    5    0   17    1
May 19 17:27:35 ubuntu dstat.sh[65251]: 19-05 17:27:35| 36  17  45   1   0|1039M 1264M  165M 5155M| 165k 1645B|   0  2245k|   0  83.0 |5384  5516 |1.51 0.97 0.51|1.0   0 230|   0     0 |           | 10    5    0   17    1
May 19 17:27:36 ubuntu dstat.sh[65251]: 19-05 17:27:36| 32  11  55   0   0|1158M 1125M  165M 5293M|4295B  131B|   0  1334k|   0  29.9 |4858  6428 |1.47 0.97 0.52|4.0   0  81|   0     0 |           | 11    4    0   17    2
May 19 17:27:37 ubuntu dstat.sh[65251]: 19-05 17:27:37| 31  10  57   1   0|1175M 1084M  166M 5314M|3558B    0 |   0  2744k|   0   116 |3623  2863 |1.47 0.97 0.52|3.0   0  85|   0     0 |           | 11    6    0   17    2
May 19 17:27:38 ubuntu dstat.sh[65251]: 19-05 17:27:38| 35  15  48   1   0|1170M 1059M  167M 5340M|2777B    0 |   0  3216k|   0   123 |4945  3643 |1.47 0.97 0.52|2.0   0 193|   0     0 |           | 11    6    0   19    2
May 19 17:27:39 ubuntu dstat.sh[65251]: 19-05 17:27:39| 43   7  49   0   0|1252M  982M  168M 5333M|3261B  480B|  32k 6606k|2.00  82.9 |2907  1962 |1.47 0.97 0.52|3.0   0 2.0|   0     0 |           | 11    4    0   19    0
May 19 17:27:40 ubuntu dstat.sh[65251]: 19-05 17:27:40| 40   7  51   0   0|1256M  977M  168M 5334M|6736B 1270B|   0  1493k|   0  8.98 |2906  1549 |1.47 0.97 0.52|2.0   0  35|   0     0 |           | 11    7    0   19    0
May 19 17:27:41 ubuntu dstat.sh[65251]: 19-05 17:27:41| 30   9  44  15   0|1270M  946M  169M 5348M|3909B 1015B|   0    53M|   0  4102 |  16k   30k|1.51 0.99 0.52|1.0 2.0  58|   0     0 |           | 11    6    0   19    0
