May 12 18:40:08 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 12 18:40:08 ubuntu dstat.sh[64963]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 12 18:40:08 ubuntu dstat.sh[64963]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 12 18:40:08 ubuntu dstat.sh[64963]: 12-05 18:40:08|                   |1046M 1288M  163M 5128M|           |           |           |           |1.21 0.94 0.53|2.0   0    |           |           | 10    6    0   18    0
May 12 18:40:09 ubuntu dstat.sh[64963]: 12-05 18:40:09| 17  20  60   1   0|1050M 1284M  163M 5129M|  40k   17k|   0  3304k|   0   120 |6692  5874 |1.21 0.94 0.53|2.0   0 522|   0     0 |           | 10    6    0   18    0
May 12 18:40:10 ubuntu dstat.sh[64963]: 12-05 18:40:10| 26  20  54   1   0| 999M 1333M  163M 5129M|  40k   14k|   0  2727k|   0  96.0 |6662  6390 |1.27 0.96 0.54|1.0   0 462|   0     0 |           | 10    6    0   17    0
May 12 18:40:11 ubuntu dstat.sh[64963]: 12-05 18:40:11| 31  15  51   0   0|1092M 1234M  164M 5258M|  23k   13k|   0  1759k|   0  49.9 |6633  8783 |1.27 0.96 0.54|2.0   0 200|   0     0 |           | 11    5    0   17    1
May 12 18:40:12 ubuntu dstat.sh[64963]: 12-05 18:40:12| 32   9  57   1   0|1091M 1212M  164M 5278M| 164k 4320B|   0  2207k|   0  86.0 |3626  2620 |1.27 0.96 0.54|3.0   0 103|   0     0 |           | 11    6    0   17    2
May 12 18:40:13 ubuntu dstat.sh[64963]: 12-05 18:40:13| 38  12  48   0   0|1127M 1157M  165M 5294M|4387B 1665B|  16k 1567k|1.00  49.1 |4497  3310 |1.27 0.96 0.54|3.0   0 181|   0     0 |           | 11    6    0   19    2
May 12 18:40:14 ubuntu dstat.sh[64963]: 12-05 18:40:14| 41   7  49   1   0|1208M 1053M  166M 5313M|4326B 1622B|  16k 5431k|1.00   159 |3138  2031 |1.27 0.96 0.54|2.0   0   0|   0     0 |           | 11    6    0   19    2
May 12 18:40:15 ubuntu dstat.sh[64963]: 12-05 18:40:15| 42   6  49   3   0|1208M 1032M  167M 5331M|4232B 1512B|   0    12M|   0   494 |4880  5617 |1.33 0.97 0.55|2.0   0  10|   0     0 |           | 11    8    0   19    2
May 12 18:40:16 ubuntu dstat.sh[64963]: 12-05 18:40:16| 31   7  44  14   0|1232M  975M  169M 5359M|4743B 1608B|   0    50M|   0  3960 |  15k   28k|1.33 0.97 0.55|3.0   0  63|   0     0 |           | 11    8    0   19    2
May 12 18:40:17 ubuntu dstat.sh[64963]: 12-05 18:40:17| 43   9  45   3   0|1209M 1012M  169M 5344M|5943B 2093B|   0    27M|   0  1697 |7926    12k|1.33 0.97 0.55|3.0   0 103|   0     0 |           | 11    4    0   19    0
May 12 18:40:18 ubuntu dstat.sh[64963]: 12-05 18:40:18| 39   6  53   0   0|1259M  956M  169M 5349M|  11k 3965B|   0  2904k|   0   229 |2930  1749 |1.33 0.97 0.55|3.0   0  17|   0     0 |           | 11    4    0   19    0
