Mar 26 19:28:38 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Mar 26 19:28:38 ubuntu dstat.sh[65434]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Mar 26 19:28:38 ubuntu dstat.sh[65434]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 26 19:28:38 ubuntu dstat.sh[65434]: 26-03 19:28:38|                   | 973M 1391M  164M 5099M|           |           |           |           |1.10 0.82 0.48|3.0   0    |           |           | 10    6    0   17    0
Mar 26 19:28:39 ubuntu dstat.sh[65434]: 26-03 19:28:39| 18  21  58   0   0| 985M 1379M  164M 5099M|  35k   16k|   0  2603k|   0   135 |5687  4407 |1.10 0.82 0.48|2.5   0 387|   0     0 |           | 10    6    0   17    0
Mar 26 19:28:40 ubuntu dstat.sh[65434]: 26-03 19:28:40| 23  22  53   1   0|1005M 1358M  164M 5100M|  38k   11k|   0  1612k|   0  93.5 |5638  4246 |1.10 0.82 0.48|2.0   0 375|   0     0 |           | 10    6    0   17    0
Mar 26 19:28:41 ubuntu dstat.sh[65434]: 26-03 19:28:41| 28  18  52   0   0|1030M 1332M  164M 5100M|  23k   13k|   0  1836k|   0  52.8 |5501  5308 |1.10 0.82 0.48|6.0   0 254|   0     0 |           | 10    5    0   17    1
Mar 26 19:28:42 ubuntu dstat.sh[65434]: 26-03 19:28:42| 34  15  49   1   0|1128M 1206M  165M 5247M| 168k 6570B|   0    13M|   0   505 |6282  7159 |1.17 0.84 0.49|1.0   0 128|   0     0 |           | 11    4    0   17    2
Mar 26 19:28:43 ubuntu dstat.sh[65434]: 26-03 19:28:43| 38  12  50   1   0|1137M 1178M  165M 5263M|4410B 1462B|   0  1376k|   0  37.1 |4130  2691 |1.17 0.84 0.49|2.0   0 111|   0     0 |           | 11    6    0   17    2
Mar 26 19:28:44 ubuntu dstat.sh[65434]: 26-03 19:28:44| 36  14  48   1   0|1178M 1114M  166M 5284M|4645B 1620B|  16k 3383k|1.00   122 |4685  3652 |1.17 0.84 0.49|3.0   0 175|   0     0 |           | 11    6    0   19    2
Mar 26 19:28:45 ubuntu dstat.sh[65434]: 26-03 19:28:45| 42   7  49   1   0|1222M 1038M  167M 5311M|5288B 1612B|  16k 4592k|0.99   116 |3232  2158 |1.17 0.84 0.49|2.0   0   0|   0     0 |           | 11    6    0   19    2
Mar 26 19:28:46 ubuntu dstat.sh[65434]: 26-03 19:28:46| 39   6  48   6   0|1248M  995M  169M 5325M|5646B 2704B|   0    18M|   0  1211 |6603  9866 |1.17 0.84 0.49|1.0   0  10|   0     0 |           | 11    9    0   19    2
Mar 26 19:28:47 ubuntu dstat.sh[65434]: 26-03 19:28:47| 30   8  46  14   0|1265M  988M  170M 5314M|  10k 3345B|   0    43M|   0  3205 |  14k   26k|1.32 0.88 0.50|2.0 1.0  64|   0     0 |           | 11    6    0   19    0
Mar 26 19:28:48 ubuntu dstat.sh[65434]: 26-03 19:28:48| 34  10  47   6   0|1191M 1054M  170M 5320M|9548B 3903B|   0    26M|   0  1845 |8899    14k|1.32 0.88 0.50|2.0   0 119|   0     0 |           | 11    4    0   19    0
Mar 26 19:28:49 ubuntu dstat.sh[65434]: 26-03 19:28:49| 40   6  53   0   0|1268M  977M  170M 5321M|  11k 4389B|   0  2415k|   0   104 |2864  1731 |1.32 0.88 0.50|2.0   0  19|   0     0 |           | 11    5    0   19    0
