May 21 07:14:10 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 21 07:14:10 ubuntu dstat.sh[64955]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 21 07:14:10 ubuntu dstat.sh[64955]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 21 07:14:10 ubuntu dstat.sh[64955]: 21-05 07:14:10|                   |1012M 1317M  164M 5132M|           |           |           |           |1.40 0.92 0.51|2.0   0    |           |           | 10    6    0   17    0
May 21 07:14:11 ubuntu dstat.sh[64955]: 21-05 07:14:11| 16  21  60   0   0|1020M 1309M  164M 5133M|  34k   13k|   0  2290k|   0   138 |6075  5121 |1.40 0.92 0.51|2.0   0 407|   0     0 |           | 10    6    0   17    0
May 21 07:14:12 ubuntu dstat.sh[64955]: 21-05 07:14:12| 22  22  54   1   0|1009M 1318M  165M 5133M|  39k   12k|   0  1871k|   0  99.4 |5890  4742 |1.40 0.92 0.51|3.0   0 396|   0     0 |           | 10    6    0   17    0
May 21 07:14:13 ubuntu dstat.sh[64955]: 21-05 07:14:13| 28  20  50   0   0| 999M 1327M  165M 5134M|  18k   11k|   0  1509k|   0  43.9 |6314  7600 |1.40 0.92 0.51|1.0   0 289|   0     0 |           | 10    5    0   17    1
May 21 07:14:14 ubuntu dstat.sh[64955]: 21-05 07:14:14| 30  12  56   1   0|1079M 1223M  165M 5278M| 169k 5703B|   0  6013k|   0   112 |4773  5746 |1.45 0.94 0.52|1.0   0  76|   0     0 |           | 11    4    0   17    2
May 21 07:14:15 ubuntu dstat.sh[64955]: 21-05 07:14:15| 27   9  64   1   0|1105M 1174M  166M 5296M|2404B    0 |   0  1342k|   0  33.1 |2974  2253 |1.45 0.94 0.52|2.0   0  76|   0     0 |           | 11    6    0   17    2
May 21 07:14:16 ubuntu dstat.sh[64955]: 21-05 07:14:16| 37  14  47   0   0|1122M 1136M  167M 5315M|2234B    0 |   0  1590k|   0  61.9 |4405  2929 |1.45 0.94 0.52|3.0   0 170|   0     0 |           | 11    8    0   17    2
May 21 07:14:17 ubuntu dstat.sh[64955]: 21-05 07:14:17| 41   8  48   1   0|1183M 1055M  168M 5332M|2519B    0 |  32k 4643k|2.00   151 |3766  2880 |1.45 0.94 0.52|2.0 1.0  35|   0     0 |           | 11    6    0   19    2
May 21 07:14:18 ubuntu dstat.sh[64955]: 21-05 07:14:18| 44   5  48   1   0|1208M 1002M  169M 5356M|2756B    0 |   0  3691k|   0  93.9 |3135  2033 |1.45 0.94 0.52|4.0   0   0|   0     0 |           | 11    6    0   19    2
May 21 07:14:19 ubuntu dstat.sh[64955]: 21-05 07:14:19| 34   8  46   9   0|1274M  944M  170M 5346M|2804B  482B|   0    33M|   0  2656 |  13k   22k|1.49 0.95 0.52|2.0   0  69|   0     0 |           | 11    6    0   19    0
May 21 07:14:20 ubuntu dstat.sh[64955]: 21-05 07:14:20| 35   8  46   9   0|1170M 1038M  171M 5355M|9414B 3046B|   0    51M|   0  3799 |  13k   24k|1.49 0.95 0.52|2.0   0  58|   0     0 |           | 11    4    0   19    0
May 21 07:14:21 ubuntu dstat.sh[64955]: 21-05 07:14:21| 40  14  45   0   0|1235M  972M  171M 5355M|2500B    0 |   0  3576k|   0   101 |  10k   17k|1.49 0.95 0.52|2.0   0  82|   0     0 |           | 11    4    0   19    0
May 21 07:14:22 ubuntu dstat.sh[64955]: 21-05 07:14:22| 44  10  45   0   0|1257M  950M  171M 5355M|2243B    0 |   0  5820k|   0   315 |  11k   19k|1.49 0.95 0.52|2.0   0  20|   0     0 |           | 11    4    0   19    0
May 21 07:14:23 ubuntu dstat.sh[64955]: 21-05 07:14:23| 43   7  49   0   0|1238M  977M  171M 5349M|2309B    0 |   0  1422k|   0   150 |3106  1736 |1.49 0.95 0.52|2.0   0  20|   0     0 |           | 11    4    0   19    0
May 21 07:14:24 ubuntu dstat.sh[64955]: 21-05 07:14:24| 33   7  59   0   0|1250M  965M  171M 5349M|2639B    0 |   0  4094B|   0  1.00 |2759  1612 |1.61 0.99 0.54|1.0   0  66|   0     0 |           | 11    4    0   19    0
May 21 07:14:25 ubuntu dstat.sh[64955]: 21-05 07:14:25| 16  10  72   0   0|1194M 1020M  171M 5349M|2340B    0 |   0  4095B|   0  1.00 |3218  2139 |1.61 0.99 0.54|1.0   0 132|   0     0 |           | 11    4    0   19    0
May 21 07:14:26 ubuntu dstat.sh[64955]: 21-05 07:14:26|  9  21  69   0   0|1117M 1098M  171M 5349M|1998B    0 |   0    20k|   0  5.00 |5283  3664 |1.61 0.99 0.54|1.0   0 301|   0     0 |           | 11    4    0   19    0
May 21 07:14:27 ubuntu dstat.sh[64955]: 21-05 07:14:27| 12  22  66   0   0|1095M 1119M  171M 5349M|2461B    0 |   0    40k|   0  9.00 |6197  5788 |1.61 0.99 0.54|1.0   0 307|   0     0 |           | 11    4    0   19    0
May 21 07:14:28 ubuntu dstat.sh[64955]: 21-05 07:14:28| 29  16  54   0   0|1146M 1068M  171M 5349M|2099B    0 |   0  4095B|   0  1.00 |4902  4627 |1.61 0.99 0.54|2.0   0 192|   0     0 |           | 11    5    0   19    0
May 21 07:14:29 ubuntu dstat.sh[64955]: 21-05 07:14:29| 45   5  48   0   0|1191M 1024M  171M 5349M|2159B    0 |   0   268k|   0  11.0 |2705  1275 |1.65 1.01 0.55|2.0   0   0|   0     0 |           | 11    5    0   19    0
May 21 07:14:30 ubuntu dstat.sh[64955]: 21-05 07:14:30| 44   8  48   0   0|1216M  998M  171M 5350M|2341B    0 |   0    24M|   0   506 |3231  2138 |1.65 1.01 0.55|3.0   0   0|   0     0 |           | 11    5    0   13    0
May 21 07:14:31 ubuntu dstat.sh[64955]: 21-05 07:14:31| 26  11  61   0   0|1234M  978M  171M 5352M|2576B    0 |   0  1100k|   0  95.0 |3765  4198 |1.65 1.01 0.55|  0   0 119|   0     0 |           | 11    4    0   13    0
