May 20 13:45:44 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 20 13:45:44 ubuntu dstat.sh[65233]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 20 13:45:44 ubuntu dstat.sh[65233]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 20 13:45:44 ubuntu dstat.sh[65233]: 20-05 13:45:44|                   | 945M 1375M  165M 5139M|           |           |           |           |1.75 1.00 0.54|1.0   0    |           |           | 10    3    0   18    0
May 20 13:45:45 ubuntu dstat.sh[65233]: 20-05 13:45:45| 10  20  68   0   0| 948M 1372M  165M 5139M|4005B 1147B|   0  1307k|   0  62.9 |6518  5459 |1.75 1.00 0.54|1.0   0 515|   0     0 |           | 10    4    0   18    0
May 20 13:45:46 ubuntu dstat.sh[65233]: 20-05 13:45:46| 21  19  60   0   0| 947M 1373M  165M 5139M|  17k 2311B|   0   368k|   0  43.0 |6172  5404 |1.75 1.00 0.54|2.0   0 424|   0     0 |           | 10    5    0   17    0
May 20 13:45:47 ubuntu dstat.sh[65233]: 20-05 13:45:47| 29  16  54   0   0| 955M 1364M  165M 5140M|  38k   13k|   0  1680k|   0  52.0 |7323  8725 |1.75 1.00 0.54|2.0   0 268|   0     0 |           | 10    6    0   17    0
May 20 13:45:48 ubuntu dstat.sh[65233]: 20-05 13:45:48| 18   6  75   1   0|1097M 1222M  165M 5262M|  22k   13k|   0  1667k|   0  53.0 |3260  3719 |1.75 1.00 0.54|1.0   0  73|   0     0 |           | 11    8    0   17    0
May 20 13:45:49 ubuntu dstat.sh[65233]: 20-05 13:45:49| 29  11  59   1   0|1101M 1216M  165M 5263M|  43k   14k|   0  4127k|   0  83.1 |4116  3102 |1.69 1.00 0.54|4.0   0 181|   0     0 |           | 11   10    0   17    0
May 20 13:45:50 ubuntu dstat.sh[65233]: 20-05 13:45:50| 36   6  57   1   0|1151M 1149M  165M 5279M| 177k   12k|  32k 3304k|2.00  77.0 |3225  2333 |1.69 1.00 0.54|3.0   0  35|   0     0 |           | 11    7    0   19    1
May 20 13:45:51 ubuntu dstat.sh[65233]: 20-05 13:45:51| 45   5  48   1   0|1201M 1081M  167M 5293M|2510B  132B|4092B 3265k|1.00  74.9 |3131  2004 |1.69 1.00 0.54|3.0   0 1.0|   0     0 |           | 11    6    0   19    2
May 20 13:45:52 ubuntu dstat.sh[65233]: 20-05 13:45:52| 34   7  46  11   0|1219M 1036M  168M 5316M|2702B    0 |   0    43M|   0  3041 |  14k   27k|1.69 1.00 0.54|3.0   0  55|   0     0 |           | 11    8    0   19    2
May 20 13:45:53 ubuntu dstat.sh[65233]: 20-05 13:45:53| 39   9  45   6   0|1161M 1065M  170M 5341M|2337B    0 |   0    39M|   0  2434 |  10k   18k|1.69 1.00 0.54|3.0   0 103|   0     0 |           | 11    6    0   19    2
May 20 13:45:54 ubuntu dstat.sh[65233]: 20-05 13:45:54| 44   6  49   0   0|1223M  974M  171M 5366M|2700B    0 |   0  4572k|   0   143 |3083  1942 |1.80 1.04 0.56|3.0   0   0|   0     0 |           | 11    6    0   19    2
