Jun 14 13:07:29 jammy-provider-cloud-0000007219 systemd[1]: Started Devstack devstack@dstat.service.
Jun 14 13:07:29 jammy-provider-cloud-0000007219 dstat.sh[57225]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 14 13:07:29 jammy-provider-cloud-0000007219 dstat.sh[57225]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 14 13:07:29 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:29|                   | 999M 1968M  155M 4518M|           |           |           |           |1.37 0.81 0.43|3.0   0    |           |   0     0 |  9    4    3   17    2
Jun 14 13:07:30 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:30| 28  25  47   0   0| 990M 1976M  155M 4519M|4816B 1456B|1162k 1810k|14.0  67.9 |3813  7191 |1.37 0.81 0.43|3.0   0 653|   0     0 |   0     0 |  9    4    3   17    2
Jun 14 13:07:31 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:31| 32  22  44   1   0| 993M 1941M  155M 4548M|4890B 1080B|   0  3772k|6.99   107 |4095  8445 |1.37 0.81 0.43|3.0   0 511|   0     0 |   0     0 |  9    4    3   17    2
Jun 14 13:07:32 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:32| 31  10  57   1   0|1114M 1789M  157M 4696M|4646B 1532B|   0  3320k|   0   144 |3541  7132 |1.34 0.82 0.44|1.0   0  49|   0     0 |   0     0 | 10    4    3   17    2
Jun 14 13:07:33 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:33| 34   8  56   0   0|1043M 1867M  157M 4688M|  12k 4258B|   0  5131k|   0  68.0 |1950  2721 |1.34 0.82 0.44|2.0   0 116|   0     0 |   0     0 | 10    4    3   17    0
Jun 14 13:07:34 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:34| 40  12  46   0   0|1143M 1765M  157M 4689M|6168B 1513B| 732k 1925k|19.0  31.0 |9739    19k|1.34 0.82 0.44|2.0   0 184|   0     0 |   0     0 | 10    4    3   19    0
Jun 14 13:07:35 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:35| 46   5  48   0   0|1182M 1725M  157M 4690M|6892B 1457B| 112k 2753k|4.00  9.99 |2197  3317 |1.34 0.82 0.44|2.0   0  10|   0     0 |   0     0 | 10    6    3   19    0
Jun 14 13:07:36 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:36| 35   9  42  12   0|1159M 1736M  158M 4700M|5448B 1459B|   0    50M|   0  4107 |  21k   47k|1.34 0.82 0.44|1.0 1.0  79|   0     0 |   0     0 | 10    6    3   19    0
Jun 14 13:07:37 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:37| 42   9  49   0   0|1105M 1791M  158M 4700M|5313B 1455B|   0    12M|   0   764 |2707  5277 |1.71 0.90 0.47|2.0   0  87|   0     0 |   0     0 | 10    4    3   19    0
Jun 14 13:07:38 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:38| 40   3  56   0   0|1132M 1764M  158M 4700M|7059B 1500B|   0   676k|   0  28.0 |1297  1503 |1.71 0.90 0.47|2.0   0  50|   0     0 |   0     0 | 10    4    3   19    0
Jun 14 13:07:39 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:39| 23   3  74   0   0|1098M 1798M  159M 4700M|6929B 1458B|   0  5381k|   0   307 |1439  2468 |1.71 0.90 0.47|1.0   0  10|   0     0 |   0     0 | 10    4    3   19    0
Jun 14 13:07:40 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:40| 23   4  74   0   0|1043M 1852M  159M 4700M|5888B 1522B|   0   953k|   0   144 |1089  1390 |1.71 0.90 0.47|1.0   0  32|   0     0 |   0     0 | 10    4    3   19    0
