May 17 05:55:47 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 17 05:55:47 ubuntu dstat.sh[66162]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 17 05:55:47 ubuntu dstat.sh[66162]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 17 05:55:47 ubuntu dstat.sh[66162]: 17-05 05:55:47|                   | 989M 1331M  166M 5138M|           |           |           |           |1.20 0.84 0.48|1.0   0    |           |           | 10    4    0   18    0
May 17 05:55:48 ubuntu dstat.sh[66162]: 17-05 05:55:48| 10  20  69   0   0| 990M 1330M  166M 5138M|6095B 2105B|   0    10M|   0   348 |6739  5332 |1.20 0.84 0.48|1.5   0 494|   0     0 |           | 10    4    0   18    0
May 17 05:55:49 ubuntu dstat.sh[66162]: 17-05 05:55:49| 21  18  59   0   0| 973M 1346M  167M 5138M|  21k 5457B|   0   511k|   0   187 |6554  5752 |1.19 0.84 0.49|2.0   0 421|   0     0 |           | 10    5    0   18    0
May 17 05:55:50 ubuntu dstat.sh[66162]: 17-05 05:55:50| 23  17  59   0   0| 976M 1343M  167M 5139M|  13k 6949B|   0   824k|   0  25.0 |6794  8248 |1.19 0.84 0.49|2.0   0 289|   0     0 |           | 10    5    0   17    0
May 17 05:55:51 ubuntu dstat.sh[66162]: 17-05 05:55:51| 11   7  81   0   0|1074M 1244M  167M 5261M|  29k 6231B|   0   520k|   0  18.0 |3444  3685 |1.19 0.84 0.49|1.0   0  80|   0     0 |           | 11    8    0   17    0
May 17 05:55:52 ubuntu dstat.sh[66162]: 17-05 05:55:52| 19  11  68   0   0|1083M 1235M  167M 5261M|  14k 7606B|   0  1623k|   0   145 |3988  2889 |1.19 0.84 0.49|1.0   0 180|   0     0 |           | 11    9    0   17    1
May 17 05:55:53 ubuntu dstat.sh[66162]: 17-05 05:55:53| 24   6  69   1   0|1145M 1172M  167M 5261M|  12k 6201B|  32k 2177k|2.00  47.0 |2791  2231 |1.25 0.86 0.49|1.0   0  36|   0     0 |           | 11    7    0   19    1
May 17 05:55:54 ubuntu dstat.sh[66162]: 17-05 05:55:54| 34   4  61   0   0|1187M 1128M  167M 5263M|  17k 9401B|   0  2395k|   0  41.9 |2491  1667 |1.25 0.86 0.49|2.0   0   0|   0     0 |           | 11    6    0   19    2
May 17 05:55:55 ubuntu dstat.sh[66162]: 17-05 05:55:55| 23   5  58  12   0|1200M 1105M  168M 5271M|  39k   12k|   0    37M|   0  3197 |  14k   26k|1.25 0.86 0.49|3.0   0  55|   0     0 |           | 11    8    0   19    2
May 17 05:55:56 ubuntu dstat.sh[66162]: 17-05 05:55:56| 35   8  51   4   0|1154M 1130M  169M 5290M| 179k   13k|   0    35M|   0  2354 |9378    16k|1.25 0.86 0.49|3.0   0 103|   0     0 |           | 11    6    0   19    2
May 17 05:55:57 ubuntu dstat.sh[66162]: 17-05 05:55:57| 44   6  49   0   0|1230M 1035M  170M 5306M|4755B 1619B|   0  3003k|   0  94.0 |2929  1899 |1.25 0.86 0.49|3.0   0   0|   0     0 |           | 11    6    0   19    2
May 17 05:55:58 ubuntu dstat.sh[66162]: 17-05 05:55:58| 46   5  47   1   0|1227M 1023M  171M 5319M|4688B 1623B|   0    12M|   0   475 |3911  3599 |1.31 0.88 0.50|3.0   0  10|   0     0 |           | 11    6    0   19    2
May 17 05:55:59 ubuntu dstat.sh[66162]: 17-05 05:55:59| 44   6  49   1   0|1294M  930M  172M 5342M|4459B 1500B|   0  3413k|   0   153 |3237  2268 |1.31 0.88 0.50|3.0   0   0|   0     0 |           | 11    6    0   19    2
May 17 05:56:00 ubuntu dstat.sh[66162]: 17-05 05:56:00| 44   7  49   1   0|1268M  926M  173M 5367M|4701B 1624B|   0  2161k|   0  73.2 |3718  2554 |1.31 0.88 0.50|3.0   0 102|   0     0 |           | 11    6    0   19    2
May 17 05:56:01 ubuntu dstat.sh[66162]: 17-05 05:56:01| 31  23  44   0   0|1269M  936M  173M 5355M|5184B 2100B|   0  1092k|   0  44.0 |6724  5813 |1.31 0.88 0.50|3.0   0 554|   0     0 |           | 11    4    0   19    0
May 17 05:56:02 ubuntu dstat.sh[66162]: 17-05 05:56:02| 43  17  38   0   0|1237M  963M  173M 5360M|  10k 4045B|   0  2799k|   0  82.6 |6366  8625 |1.31 0.88 0.50|4.0   0 305|   0     0 |           | 11    4    0   19    0
