May 08 09:47:18 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 08 09:47:19 ubuntu dstat.sh[66287]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 08 09:47:19 ubuntu dstat.sh[66287]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 08 09:47:19 ubuntu dstat.sh[66287]: 08-05 09:47:19|                   | 979M 1342M  164M 5139M|           |           |           |           |1.58 0.95 0.57|1.0   0    |           |           | 10    4    0   17    0
May 08 09:47:20 ubuntu dstat.sh[66287]: 08-05 09:47:20| 21  23  54   0   0| 984M 1337M  164M 5140M|  23k 6922B|   0  2150k|   0   180 |6435    10k|1.56 0.95 0.57|1.0   0 427|   0     0 |           | 10    4    0   18    0
May 08 09:47:21 ubuntu dstat.sh[66287]: 08-05 09:47:21| 21  21  56   0   0| 970M 1350M  164M 5140M|  43k   14k|   0  5163k|   0   128 |6054  7255 |1.53 0.95 0.57|1.0   0 388|   0     0 |           | 10    6    0   18    0
May 08 09:47:22 ubuntu dstat.sh[66287]: 08-05 09:47:22| 28  19  51   0   0| 988M 1331M  164M 5141M|  25k   13k|   0  1775k|   0  57.0 |5858  5426 |1.53 0.95 0.57|4.0   0 288|   0     0 |           | 10    6    0   18    0
May 08 09:47:23 ubuntu dstat.sh[66287]: 08-05 09:47:23| 28  12  59   1   0|1122M 1196M  164M 5263M|  42k   13k|   0  1580k|   0  53.0 |5553  6707 |1.53 0.95 0.57|2.0   0 128|   0     0 |           | 11    5    0   18    1
May 08 09:47:24 ubuntu dstat.sh[66287]: 08-05 09:47:24| 18   7  74   0   0|1120M 1182M  164M 5279M| 176k   13k|   0  1698k|   0  48.0 |2519  2014 |1.53 0.95 0.57|2.0   0  66|   0     0 |           | 11    7    0   17    1
May 08 09:47:25 ubuntu dstat.sh[66287]: 08-05 09:47:25| 38  13  48   1   0|1139M 1147M  165M 5292M|3840B 1593B|   0  1635k|   0  78.1 |4250  2814 |1.57 0.97 0.58|2.0   0 142|   0     0 |           | 11    6    0   17    2
May 08 09:47:26 ubuntu dstat.sh[66287]: 08-05 09:47:26| 41   9  48   1   0|1166M 1102M  166M 5307M|4196B 1618B|  32k   11M|2.00   604 |3723  2731 |1.57 0.97 0.58|2.0   0  73|   0     0 |           | 11    6    0   19    2
May 08 09:47:27 ubuntu dstat.sh[66287]: 08-05 09:47:27| 45   5  48   1   0|1216M 1025M  167M 5330M|4097B 1620B|   0  5360k|   0   250 |3510  2358 |1.57 0.97 0.58|2.0   0 2.0|   0     0 |           | 11    6    0   19    2
May 08 09:47:28 ubuntu dstat.sh[66287]: 08-05 09:47:28| 37   8  45   8   0|1225M  980M  169M 5361M|4114B 1513B|   0    35M|   0  2363 |  11k   20k|1.57 0.97 0.58|3.0   0  44|   0     0 |           | 11    8    0   19    2
May 08 09:47:29 ubuntu dstat.sh[66287]: 08-05 09:47:29| 39   8  41   9   0|1173M 1035M  170M 5355M|4509B 2045B|   0    53M|   0  3469 |  13k   25k|1.57 0.97 0.58|3.0   0  51|   0     0 |           | 11    4    0   19    0
