May 20 08:20:29 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 20 08:20:29 ubuntu dstat.sh[64862]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 20 08:20:29 ubuntu dstat.sh[64862]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 20 08:20:29 ubuntu dstat.sh[64862]: 20-05 08:20:29|                   |1014M 1305M  165M 5140M|           |           |           |           |1.32 0.89 0.48|4.0   0    |           |           | 10    4    0   17    0
May 20 08:20:30 ubuntu dstat.sh[64862]: 20-05 08:20:30| 14  22  61   0   0|1011M 1308M  165M 5140M|  16k 3188B|   0  1455k|   0  64.0 |5971  4700 |1.32 0.89 0.48|2.5   0 388|   0     0 |           | 10    4    1   17    0
May 20 08:20:31 ubuntu dstat.sh[64862]: 20-05 08:20:31| 20  21  57   0   0|1019M 1300M  165M 5140M|  30k   12k|   0  1484k|   0  57.9 |5756  4343 |1.37 0.91 0.49|1.0   0 368|   0     0 |           | 10    6    1   17    0
May 20 08:20:32 ubuntu dstat.sh[64862]: 20-05 08:20:32| 24  19  55   1   0| 999M 1319M  166M 5141M|  37k   16k|   0    12M|   0   409 |5828  5215 |1.37 0.91 0.49|2.0   0 278|   0     0 |           | 10    6    1   17    0
May 20 08:20:33 ubuntu dstat.sh[64862]: 20-05 08:20:33| 28  14  56   0   0|1102M 1215M  166M 5263M|  41k   12k|   0  1684k|   0  51.9 |6029  7895 |1.37 0.91 0.49|1.0   0 138|   0     0 |           | 11    6    1   17    0
May 20 08:20:34 ubuntu dstat.sh[64862]: 20-05 08:20:34| 27   7  65   1   0|1114M 1203M  166M 5263M|  21k   12k|   0  1517k|   0  49.2 |3198  2372 |1.37 0.91 0.49|5.0   0  95|   0     0 |           | 11    7    1   17    1
May 20 08:20:35 ubuntu dstat.sh[64862]: 20-05 08:20:35| 31  14  52   1   0|1127M 1167M  166M 5284M| 172k 8522B|   0  2577k|   0  95.7 |4799  3602 |1.37 0.91 0.49|2.0 1.0 187|   0     0 |           | 11    6    1   19    2
May 20 08:20:36 ubuntu dstat.sh[64862]: 20-05 08:20:36| 42   6  49   0   0|1187M 1082M  167M 5304M|5911B 1512B|  32k 3284k|2.00  56.0 |2937  1755 |1.42 0.93 0.50|3.0   0   0|   0     0 |           | 11    6    1   19    2
May 20 08:20:37 ubuntu dstat.sh[64862]: 20-05 08:20:37| 43   5  48   0   0|1222M 1025M  168M 5323M|5981B 1639B|   0  2438k|   0  56.0 |3080  1872 |1.42 0.93 0.50|3.0   0   0|   0     0 |           | 11    6    1   19    2
May 20 08:20:38 ubuntu dstat.sh[64862]: 20-05 08:20:38| 32   8  46  12   0|1228M  997M  170M 5341M|4683B 1621B|   0    33M|   0  2338 |  12k   22k|1.42 0.93 0.50|3.0   0  46|   0     0 |           | 11    8    1   19    2
