Jun 05 15:05:15 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Jun 05 15:05:16 ubuntu dstat.sh[64931]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Jun 05 15:05:16 ubuntu dstat.sh[64931]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 05 15:05:16 ubuntu dstat.sh[64931]: 05-06 15:05:16|                   |1054M 1261M  164M 5146M|           |           |           |           |1.64 1.02 0.54|1.0   0    |           |           | 10    6    0   17    0
Jun 05 15:05:17 ubuntu dstat.sh[64931]: 05-06 15:05:17| 22  21  55   1   0|1053M 1261M  164M 5146M|  37k   16k|   0  2557k|   0   141 |6593  5563 |1.64 1.02 0.54|1.5   0 539|   0     0 |           | 10    6    0   17    0
Jun 05 15:05:18 ubuntu dstat.sh[64931]: 05-06 15:05:18| 26  19  53   1   0| 999M 1314M  164M 5147M|  47k   15k|   0  2272k|   0   108 |6356  5998 |1.64 1.02 0.54|2.0   0 461|   0     0 |           | 10    6    0   17    0
Jun 05 15:05:19 ubuntu dstat.sh[64931]: 05-06 15:05:19| 33  16  49   0   0|1107M 1188M  164M 5285M| 182k   15k|   0  1795k|   0  51.0 |6950  7946 |1.64 1.02 0.54|1.0   0 221|   0     0 |           | 11    5    0   17    1
Jun 05 15:05:20 ubuntu dstat.sh[64931]: 05-06 15:05:20| 30   9  58   0   0|1139M 1140M  165M 5298M|4734B 1590B|   0  1784k|   0  82.0 |3723  3124 |1.58 1.02 0.54|4.0   0  92|   0     0 |           | 11    6    0   17    2
Jun 05 15:05:21 ubuntu dstat.sh[64931]: 05-06 15:05:21| 38  12  48   1   0|1141M 1121M  166M 5314M|4414B 1555B|   0  2285k|   0  65.0 |4668  3466 |1.58 1.02 0.54|2.0   0 190|   0     0 |           | 11    6    0   19    2
Jun 05 15:05:22 ubuntu dstat.sh[64931]: 05-06 15:05:22| 42   6  49   1   0|1196M 1038M  167M 5337M|4490B 1562B|  36k 8835k|2.99   185 |3399  2480 |1.58 1.02 0.54|2.0   0   0|   0     0 |           | 11    6    0   19    2
Jun 05 15:05:23 ubuntu dstat.sh[64931]: 05-06 15:05:23| 44   5  49   1   0|1227M  977M  168M 5363M|3857B 1458B|   0  3131k|   0  87.0 |3131  2079 |1.58 1.02 0.54|3.0   0   0|   0     0 |           | 11    8    0   19    2
Jun 05 15:05:24 ubuntu dstat.sh[64931]: 05-06 15:05:24| 31   8  45  12   0|1262M  942M  170M 5361M|4615B 1943B|   0    41M|   0  3313 |  14k   26k|1.58 1.02 0.54|2.0   0  57|   0     0 |           | 11    6    0   19    0
Jun 05 15:05:25 ubuntu dstat.sh[64931]: 05-06 15:05:25| 34   9  48   6   0|1242M  959M  170M 5363M|8894B 3615B|   0    38M|   0  2994 |  11k   19k|1.70 1.05 0.55|1.0   0 132|   0     0 |           | 11    5    0   19    0
Jun 05 15:05:26 ubuntu dstat.sh[64931]: 05-06 15:05:26| 38   6  55   0   0|1304M  890M  170M 5369M|7117B 2463B|   0  2246k|   0  79.8 |2854  1745 |1.70 1.05 0.55|2.0   0 6.0|   0     0 |           | 11    4    0   19    0
Jun 05 15:05:27 ubuntu dstat.sh[64931]: 05-06 15:05:27| 45   8  45   1   0|1348M  844M  170M 5370M|4147B 1083B|   0  8813k|   0   481 |  11k   20k|1.70 1.05 0.55|2.0   0  13|   0     0 |           | 11    4    0   19    0
Jun 05 15:05:28 ubuntu dstat.sh[64931]: 05-06 15:05:28| 42  10  46   0   0|1313M  879M  170M 5370M|4845B 1566B|   0  1504k|   0   144 |  12k   20k|1.70 1.05 0.55|2.0   0  30|   0     0 |           | 11    4    0   19    0
Jun 05 15:05:29 ubuntu dstat.sh[64931]: 05-06 15:05:29| 43   7  50   0   0|1263M  937M  170M 5363M|5134B 1555B|   0   336k|   0  23.0 |2890  1539 |1.70 1.05 0.55|2.0   0  10|   0     0 |           | 11    4    0   19    0
Jun 05 15:05:30 ubuntu dstat.sh[64931]: 05-06 15:05:30| 28  13  57   0   0|1233M  967M  170M 5363M|4917B 1619B|   0    12k|   0  2.00 |4759  3410 |1.72 1.07 0.56|1.0   0 297|   0     0 |           | 11    4    0   19    0
Jun 05 15:05:31 ubuntu dstat.sh[64931]: 05-06 15:05:31| 10  21  68   0   0|1153M 1047M  170M 5363M|4250B 1609B|   0    48k|   0  12.0 |6038  4880 |1.72 1.07 0.56|1.0   0 453|   0     0 |           | 11    4    0   19    0
Jun 05 15:05:32 ubuntu dstat.sh[64931]: 05-06 15:05:32| 28  17  54   0   0|1190M 1010M  170M 5363M|4682B 1566B|   0   120k|   0  3.00 |7006  9040 |1.72 1.07 0.56|3.0   0 250|   0     0 |           | 11    5    0   19    0
Jun 05 15:05:33 ubuntu dstat.sh[64931]: 05-06 15:05:33| 44   6  48   0   0|1223M  977M  170M 5364M|4714B 1604B|   0     0 |   0     0 |2787  1373 |1.72 1.07 0.56|2.0   0   0|   0     0 |           | 11    5    0   19    0
Jun 05 15:05:34 ubuntu dstat.sh[64931]: 05-06 15:05:34| 44   7  49   0   0|1252M  948M  170M 5364M|5159B 1620B|   0   944k|   0  27.0 |2758  1438 |1.72 1.07 0.56|2.0   0   0|   0     0 |           | 11    5    0   19    0
Jun 05 15:05:35 ubuntu dstat.sh[64931]: 05-06 15:05:35| 31  10  59   1   0|1278M  919M  170M 5366M|6007B 1622B|   0  3973k|   0   143 |4458  5914 |1.83 1.10 0.57|  0   0 118|   0     0 |           | 11    4    0   19    0
Jun 05 15:05:36 ubuntu dstat.sh[64931]: 05-06 15:05:36| 14   5  80   0   0|1325M  872M  170M 5366M|6155B 1513B|   0    28k|   0  4.00 |1825  1596 |1.83 1.10 0.57|1.0   0  23|   0     0 |           | 11    4    0   19    0
Jun 05 15:05:37 ubuntu dstat.sh[64931]: 05-06 15:05:37| 23   4  72   0   0|1363M  834M  170M 5366M|5044B 1566B|   0    32M|   0   424 |2213  1530 |1.83 1.10 0.57|1.0   0   0|   0     0 |           | 11    4    0   19    0
Jun 05 15:05:38 ubuntu dstat.sh[64931]: 05-06 15:05:38| 23   3  73   1   0|1382M  815M  170M 5367M|4683B 1621B|   0  2810k|   0   178 |2963  3577 |1.83 1.10 0.57|  0 1.0 1.0|   0     0 |           | 11   10    0   19    0
Jun 05 15:05:39 ubuntu dstat.sh[64931]: 05-06 15:05:39| 21   4  72   0   0|1321M  875M  170M 5367M|4814B 1457B|   0   392k|   0  57.9 |2730  2513 |1.83 1.10 0.57|1.0   0  42|   0     0 |           | 11    4    0   21    0
Jun 05 15:05:40 ubuntu dstat.sh[64931]: 05-06 15:05:40| 21   4  75   0   0|1364M  832M  170M 5367M|6652B 3586B| 144k  376k|7.00  5.00 |1905  1201 |1.84 1.11 0.58|  0   0 7.0|   0     0 |           | 11    5    0   21    0
Jun 05 15:05:41 ubuntu dstat.sh[64931]: 05-06 15:05:41| 19   3  76   1   0|1366M  830M  171M 5367M|7828B 4220B| 268k 3919k|66.0   137 |2705  2987 |1.84 1.11 0.58|1.0   0 2.0|   0     0 |           | 11   27    0   21    0
Jun 05 15:05:42 ubuntu dstat.sh[64931]: 05-06 15:05:42| 19   5  74   0   0|1375M  821M  171M 5367M|8419B 5311B|   0    32M|   0   262 |3079  2601 |1.84 1.11 0.58|1.0   0  44|   0     0 |           | 11   28    0   22    0
Jun 05 15:05:43 ubuntu dstat.sh[64931]: 05-06 15:05:43| 18   3  77   0   0|1408M  788M  171M 5367M|6570B 3842B|   0  2135k|   0  16.0 |1751  1394 |1.84 1.11 0.58|2.0   0   0|   0     0 |           | 11   29    0   22    0
Jun 05 15:05:44 ubuntu dstat.sh[64931]: 05-06 15:05:44| 18   9  72   0   0|1387M  809M  171M 5367M|8738B 5941B|   0   132k|   0  9.02 |3315  2567 |1.84 1.11 0.58|2.0   0 126|   0     0 |           | 11   28    0   17    0
Jun 05 15:05:45 ubuntu dstat.sh[64931]: 05-06 15:05:45| 42   8  48   0   0|1421M  775M  171M 5367M|4425B 1615B|   0  2253k|   0  14.0 |3029  1568 |1.77 1.11 0.58|2.0   0  30|   0     0 |           | 11   28    0   17    0
Jun 05 15:05:46 ubuntu dstat.sh[64931]: 05-06 15:05:46| 30   4  64   0   0|1442M  754M  171M 5367M|  19k   16k|   0   297k|   0  21.1 |4708  5900 |1.77 1.11 0.58|2.0   0   0|   0     0 |           | 11   30    0   17    0
Jun 05 15:05:47 ubuntu dstat.sh[64931]: 05-06 15:05:47| 47  22  31   0   0|1439M  756M  171M 5367M|8532B 4986B|   0  2385k|   0  28.0 |6028  6201 |1.77 1.11 0.58|7.0   0 466|   0     0 |           | 11   28    0   18    0
Jun 05 15:05:48 ubuntu dstat.sh[64931]: 05-06 15:05:48| 80  17   0   0   0|1642M  554M  171M 5367M|6076B 3475B|   0  8185B|   0  2.00 |4976  3090 |1.77 1.11 0.58|5.0   0 112|   0     0 |           | 11   29    0   18    0
Jun 05 15:05:49 ubuntu dstat.sh[64931]: 05-06 15:05:49| 80  12   6   0   0|1768M  428M  171M 5367M|  27k   25k|   0   264k|   0  10.0 |6879  7199 |1.77 1.11 0.58|3.0   0   0|   0     0 |           | 11   33    0   18    0
Jun 05 15:05:50 ubuntu dstat.sh[64931]: 05-06 15:05:50| 76  11  10   0   0|1565M  631M  171M 5368M|  25k   20k|   0   527k|   0  55.9 |8351    11k|1.95 1.16 0.60|6.0   0 223|   0     0 |           | 11   29    0   23    0
Jun 05 15:05:51 ubuntu dstat.sh[64931]: 05-06 15:05:51| 20   8  72   0   0|1541M  654M  171M 5368M|5430B 2559B|   0  2162k|   0   108 |3116  2730 |1.95 1.16 0.60|2.0   0  92|   0     0 |           | 11   28    0   24    0
Jun 05 15:05:52 ubuntu dstat.sh[64931]: 05-06 15:05:52| 23   7  69   0   0|1502M  694M  171M 5368M|8634B 5469B|   0    50M|   0   317 |3698  8535 |1.95 1.16 0.60|1.0   0  32|   0     0 |           | 11   29    0   22    0
Jun 05 15:05:53 ubuntu dstat.sh[64931]: 05-06 15:05:53| 16   7  76   1   0|1456M  739M  171M 5368M|6926B 4110B|   0   208k|   0  19.0 |3336  3341 |1.95 1.16 0.60|1.0   0  68|   0     0 |           | 11   28    0   23    0
Jun 05 15:05:54 ubuntu dstat.sh[64931]: 05-06 15:05:54| 20   3  76   0   0|1482M  713M  171M 5368M|6159B 3515B|   0   112k|   0  6.99 |1725  1205 |1.95 1.16 0.60|  0   0   0|   0     0 |           | 11   29    0   23    0
