Mar 11 00:13:19 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Mar 11 00:13:19 ubuntu dstat.sh[59843]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Mar 11 00:13:19 ubuntu dstat.sh[59843]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 11 00:13:19 ubuntu dstat.sh[59843]: 11-03 00:13:19|                   | 941M 1649M  159M 4889M|           |           |           |           |1.41 0.87 0.50|2.0   0    |           |           | 10    4    0   17    1
Mar 11 00:13:20 ubuntu dstat.sh[59843]: 11-03 00:13:20| 17  21  60   0   0| 950M 1640M  159M 4889M|  24k 6902B|   0  1034k|   0  37.9 |5456  4095 |1.41 0.87 0.50|1.5   0 319|   0     0 |           | 10    4    0   17    1
Mar 11 00:13:21 ubuntu dstat.sh[59843]: 11-03 00:13:21| 17  22  60   1   0| 959M 1630M  159M 4890M|  28k   11k|   0  1718k|   0  44.5 |5572  4180 |1.37 0.87 0.51|2.0   0 352|   0     0 |           | 10    5    0   17    1
Mar 11 00:13:22 ubuntu dstat.sh[59843]: 11-03 00:13:22| 26  19  53   0   0| 971M 1617M  159M 4890M|  16k 8816B|   0  4666k|   0  50.0 |5847  5718 |1.37 0.87 0.51|4.0   0 323|   0     0 |           | 10    5    0   17    1
Mar 11 00:13:23 ubuntu dstat.sh[59843]: 11-03 00:13:23| 25  12  61   0   0|1098M 1490M  159M 5012M|  38k   11k|   0  1412k|   0  44.9 |5649  7874 |1.37 0.87 0.51|1.0   0 108|   0     0 |           | 11    5    0   17    1
Mar 11 00:13:24 ubuntu dstat.sh[59843]: 11-03 00:13:24| 19   8  71   1   0|1123M 1464M  159M 5013M|  18k   11k|  16k 1336k|1.00  39.0 |2999  2213 |1.37 0.87 0.51|1.0   0  86|   0     0 |           | 11    6    0   17    2
Mar 11 00:13:25 ubuntu dstat.sh[59843]: 11-03 00:13:25| 33  14  52   1   0|1143M 1416M  160M 5038M| 169k 9064B|   0  2778k|   0   101 |4675  3423 |1.37 0.87 0.51|2.0   0 182|   0     0 |           | 11    6    0   19    2
Mar 11 00:13:26 ubuntu dstat.sh[59843]: 11-03 00:13:26| 43   7  48   0   0|1197M 1343M  161M 5054M|4205B 1008B|  32k 2728k|1.99  45.7 |3325  2054 |1.43 0.89 0.51|2.0   0  19|   0     0 |           | 11    6    0   19    2
Mar 11 00:13:27 ubuntu dstat.sh[59843]: 11-03 00:13:27| 44   6  48   1   0|1253M 1262M  162M 5076M|4175B  975B|   0  3427k|   0  99.3 |3173  2063 |1.43 0.89 0.51|1.0 1.0   0|   0     0 |           | 11    6    0   19    2
Mar 11 00:13:28 ubuntu dstat.sh[59843]: 11-03 00:13:28| 36   8  45   9   0|1267M 1212M  163M 5106M|3605B  970B|   0    31M|   0  2084 |9973    17k|1.43 0.89 0.51|2.0   0  25|   0     0 |           | 11    8    0   19    2
