May 12 13:57:53 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 12 13:57:53 ubuntu dstat.sh[65388]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 12 13:57:53 ubuntu dstat.sh[65388]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 12 13:57:53 ubuntu dstat.sh[65388]: 12-05 13:57:53|                   |1065M 1267M  163M 5131M|           |           |           |           |1.54 0.97 0.56|1.0   0    |           |           | 10    5    0   17    0
May 12 13:57:54 ubuntu dstat.sh[65388]: 12-05 13:57:54| 22  22  55   0   0|1042M 1289M  163M 5131M|  25k 7011B|   0  1351k|   0   106 |5704  4237 |1.54 0.97 0.56|2.0   0 381|   0     0 |           | 10    5    0   17    0
May 12 13:57:55 ubuntu dstat.sh[65388]: 12-05 13:57:55| 19  22  56   0   0| 981M 1349M  163M 5131M|  38k   12k|   0  1762k|   0  82.4 |5604  4154 |1.58 0.99 0.57|2.0   0 363|   0     0 |           | 10    6    0   17    0
May 12 13:57:56 ubuntu dstat.sh[65388]: 12-05 13:57:56| 29  20  50   1   0| 976M 1354M  163M 5131M|  20k   11k|   0  1698k|   0  53.1 |5435  4543 |1.58 0.99 0.57|3.0   0 280|   0     0 |           | 10    6    0   17    0
May 12 13:57:57 ubuntu dstat.sh[65388]: 12-05 13:57:57| 29  14  56   0   0|1084M 1245M  163M 5254M|  38k   12k|   0  5034k|   0  65.9 |5277  6903 |1.58 0.99 0.57|2.0   0 133|   0     0 |           | 11    5    0   17    1
May 12 13:57:58 ubuntu dstat.sh[65388]: 12-05 13:57:58| 21   7  70   1   0|1098M 1214M  164M 5270M| 175k   12k|   0  1790k|   0  49.1 |2883  2195 |1.58 0.99 0.57|4.0   0  78|   0     0 |           | 11    7    0   17    1
May 12 13:57:59 ubuntu dstat.sh[65388]: 12-05 13:57:59| 38  13  47   0   0|1118M 1178M  164M 5282M|2134B  132B|   0  1706k|   0  74.9 |4512  2978 |1.58 0.99 0.57|2.0   0 165|   0     0 |           | 11    6    0   17    2
May 12 13:58:00 ubuntu dstat.sh[65388]: 12-05 13:58:00| 42   8  48   0   0|1155M 1123M  165M 5298M|2276B    0 |  32k 2991k|2.00  58.9 |3576  2456 |1.62 1.01 0.58|2.0   0  42|   0     0 |           | 11    6    0   19    2
May 12 13:58:01 ubuntu dstat.sh[65388]: 12-05 13:58:01| 43   6  49   1   0|1197M 1053M  166M 5322M|2419B    0 |4099B 5248k|1.00   246 |3294  2219 |1.62 1.01 0.58|3.0   0   0|   0     0 |           | 11    6    0   19    2
May 12 13:58:02 ubuntu dstat.sh[65388]: 12-05 13:58:02| 37   7  46   9   0|1213M 1002M  168M 5352M|2464B    0 |   0    34M|   0  2317 |  11k   18k|1.62 1.01 0.58|  0 2.0  28|   0     0 |           | 11    8    0   19    2
May 12 13:58:03 ubuntu dstat.sh[65388]: 12-05 13:58:03| 32   9  42  14   0|1238M  980M  169M 5347M|2602B  480B|   0    55M|   0  4415 |  16k   29k|1.62 1.01 0.58|2.0   0  56|   0     0 |           | 11    6    0   19    0
May 12 13:58:04 ubuntu dstat.sh[65388]: 12-05 13:58:04| 38   9  52   0   0|1248M  968M  169M 5348M|8013B 2107B|   0  2457k|   0   119 |3585  2460 |1.62 1.01 0.58|2.0   0 108|   0     0 |           | 11    5    0   19    0
May 12 13:58:05 ubuntu dstat.sh[65388]: 12-05 13:58:05| 42   8  48   0   0|1266M  945M  169M 5353M|3240B  174B|   0  3084k|   0   130 |2911  1861 |1.65 1.02 0.59|5.0   0 3.0|   0     0 |           | 11    4    0   19    0
May 12 13:58:06 ubuntu dstat.sh[65388]: 12-05 13:58:06| 41   7  51   1   0|1242M  963M  170M 5358M|9432B 3114B|   0  6968k|   0   442 |6378  9320 |1.65 1.02 0.59|3.0   0  32|   0     0 |           | 11    4    0   19    0
May 12 13:58:07 ubuntu dstat.sh[65388]: 12-05 13:58:07| 43  10  45   0   0|1256M  948M  170M 5358M|2487B    0 |   0   116k|   0  6.00 |  14k   25k|1.65 1.02 0.59|5.0   0  13|   0     0 |           | 11    4    0   19    0
May 12 13:58:08 ubuntu dstat.sh[65388]: 12-05 13:58:08| 41  10  47   1   0|1157M 1059M  170M 5347M|2280B    0 |   0  2944k|   0   139 |4766  4817 |1.65 1.02 0.59|3.0   0  79|   0     0 |           | 11    4    0   19    0
May 12 13:58:09 ubuntu dstat.sh[65388]: 12-05 13:58:09| 30  24  45   0   0|1131M 1085M  170M 5347M|1798B    0 |   0    32k|   0  7.99 |6062  4723 |1.65 1.02 0.59|4.0   0 453|   0     0 |           | 11    4    0   19    0
May 12 13:58:10 ubuntu dstat.sh[65388]: 12-05 13:58:10| 20  23  56   0   0|1097M 1119M  170M 5348M|1499B    0 |   0    24k|   0  6.00 |6660    17k|2.16 1.14 0.63|3.0   0 369|   0     0 |           | 11    4    0   17    0
May 12 13:58:11 ubuntu dstat.sh[65388]: 12-05 13:58:11| 37  15  48   0   0|1151M 1065M  170M 5348M|2055B    0 |   0  8182B|   0  2.00 |4467  3889 |2.16 1.14 0.63|4.0   0 158|   0     0 |           | 11    5    0   17    0
May 12 13:58:12 ubuntu dstat.sh[65388]: 12-05 13:58:12| 47   4  48   0   0|1206M 1010M  170M 5349M|2153B    0 |   0    20M|   0   330 |2813  1412 |2.16 1.14 0.63|3.0   0   0|   0     0 |           | 11    5    0   17    0
May 12 13:58:13 ubuntu dstat.sh[65388]: 12-05 13:58:13| 43  10  46   0   0|1226M  988M  170M 5350M|2183B    0 |   0  2692k|   0  85.5 |3087  3172 |2.16 1.14 0.63|3.0   0 6.0|   0     0 |           | 11    5    0   17    0
May 12 13:58:14 ubuntu dstat.sh[65388]: 12-05 13:58:14| 16  10  73   0   0|1239M  974M  170M 5351M|2274B    0 |   0   686k|   0  44.9 |3461  3444 |2.16 1.14 0.63|2.0   0 118|   0     0 |           | 11    4    0   13    0
May 12 13:58:15 ubuntu dstat.sh[65388]: 12-05 13:58:15| 17   6  77   0   0|1297M  916M  170M 5351M|2887B    0 |   0     0 |   0     0 |1843  1601 |2.06 1.14 0.63|4.0   0  22|   0     0 |           | 11    4    0   13    0
May 12 13:58:16 ubuntu dstat.sh[65388]: 12-05 13:58:16| 23   3  74   0   0|1332M  881M  170M 5351M|4048B    0 |   0     0 |   0     0 |1673  1250 |2.06 1.14 0.63|3.0   0   0|   0     0 |           | 11    4    0   13    0
May 12 13:58:17 ubuntu dstat.sh[65388]: 12-05 13:58:17| 23   3  71   1   0|1355M  858M  170M 5351M|4080B    0 |   0    13M|   0   306 |3699  5038 |2.06 1.14 0.63|1.0 1.0 1.0|   0     0 |           | 11   10    0   13    0
May 12 13:58:18 ubuntu dstat.sh[65388]: 12-05 13:58:18| 20   5  73   0   0|1292M  921M  170M 5351M|3712B    0 |   0  1353k|   0  90.8 |2464  2103 |2.06 1.14 0.63|4.0   0  42|   0     0 |           | 11    4    0   15    0
May 12 13:58:19 ubuntu dstat.sh[65388]: 12-05 13:58:19| 20   3  77   0   0|1330M  882M  170M 5351M|5777B 2452B| 144k  861k|7.00  6.00 |1640  1165 |2.06 1.14 0.63|2.0   0 1.0|   0     0 |           | 11    5    0   15    0
