Sep 02 04:44:58 jammy-provider-cloud-0000007554 systemd[1]: Started Devstack devstack@dstat.service.
Sep 02 04:44:58 jammy-provider-cloud-0000007554 dstat.sh[58646]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 02 04:44:58 jammy-provider-cloud-0000007554 dstat.sh[58646]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 02 04:44:58 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:44:58|                   |1029M 1841M  160M 4603M|           |           |           |           |1.15 0.80 0.45|1.0   0    |           |   0     0 |  9    7    5   17    1
Sep 02 04:44:59 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:44:59| 35  25  37   1   0|1034M 1828M  160M 4611M|2446k   26k|  11M 4864k| 133   180 |4766  7682 |1.15 0.80 0.45|2.0   0 617|   0     0 |   0     0 |  9    6    5   17    2
Sep 02 04:45:00 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:00| 47  23  29   0   0|1071M 1780M  160M 4621M|  10k 3646B|1157k  713k|72.9   110 |4089  8098 |1.29 0.83 0.46|3.0   0 544|   0     0 |   0     0 |  9    5    5   17    2
Sep 02 04:45:01 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:01| 44  17  37   1   0|1111M 1710M  160M 4770M|2321k   24k|8151B 7064k|0.99   117 |4443    11k|1.29 0.83 0.46|4.0   0 199|   0     0 |   0     0 | 10    6    5   17    2
Sep 02 04:45:02 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:02| 36  13  48   1   0|1127M 1671M  161M 4789M|6392B 1628B|  80k 6292k|1.01   183 |2415  3844 |1.29 0.83 0.46|2.0   0 184|   0     0 |   0     0 | 10    6    5   17    2
Sep 02 04:45:03 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:03| 39   6  53   1   0|1187M 1605M  162M 4793M|  12k 4354B|   0  3715k|   0  93.0 |1688  2641 |1.29 0.83 0.46|2.0   0  62|   0     0 |   0     0 | 10    4    5   19    0
Sep 02 04:45:04 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:04| 45   5  48   1   0|1190M 1599M  162M 4795M|6292B 1511B|   0  4454k|   0   258 |5045  9428 |1.29 0.83 0.46|2.0 1.0  14|   0     0 |   0     0 | 10    6    5   19    0
Sep 02 04:45:05 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:05| 33  12  43  12   0|1196M 1586M  163M 4802M|6024B 1621B|   0    34M|   0  3039 |  19k   42k|1.43 0.87 0.47|5.0   0  64|   0     0 |   0     0 | 10    6    5   19    0
Sep 02 04:45:06 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:06| 38  12  45   2   0|1076M 1705M  163M 4803M|6501B 1563B|   0    26M|   0  1817 |  10k   23k|1.43 0.87 0.47|2.0   0 105|   0     0 |   0     0 | 10    4    5   19    0
Sep 02 04:45:07 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:07| 45   7  49   0   0|1121M 1659M  163M 4803M|5710B 1738B|   0   801k|   0  32.0 |1340  1423 |1.43 0.87 0.47|2.0   0  34|   0     0 |   0     0 | 10    4    5   19    0
Sep 02 04:45:08 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:08| 24   3  71   0   0|1067M 1713M  163M 4803M|5043B 1618B|   0  6993k|   0   384 |1556  2943 |1.43 0.87 0.47|1.0   0  34|   0     0 |   0     0 | 10    4    5   19    0
Sep 02 04:45:09 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:09| 23   2  74   0   0|1122M 1658M  163M 4803M|5115B 1620B|   0    96k|   0  10.0 | 924  1152 |1.43 0.87 0.47|1.0   0   0|   0     0 |   0     0 | 10    4    5   19    0
Sep 02 04:45:10 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:10| 16  12  73   0   0|1051M 1729M  163M 4803M|5307B 1623B|   0   802k|   0   129 |1941  2782 |1.40 0.87 0.48|1.0   0 196|   0     0 |   0     0 | 10    4    5   15    0
Sep 02 04:45:11 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:11| 10  19  70   0   0|1062M 1718M  163M 4803M|5169B 1511B|   0    60k|   0  13.0 |3166  5370 |1.40 0.87 0.48|2.0   0 488|   0     0 |   0     0 | 10    4    5   15    0
Sep 02 04:45:12 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:12| 29  15  55   0   0|1108M 1672M  163M 4804M|5470B 1618B|   0   260k|   0  5.99 |4677  9188 |1.40 0.87 0.48|2.0   0 234|   0     0 |   0     0 | 10    5    5   13    0
