Jul 03 06:43:26 jammy-provider-cloud-0000007287 systemd[1]: Started Devstack devstack@dstat.service.
Jul 03 06:43:27 jammy-provider-cloud-0000007287 dstat.sh[57532]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 03 06:43:27 jammy-provider-cloud-0000007287 dstat.sh[57532]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 03 06:43:27 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:27|                   | 988M 1949M  157M 4544M|           |           |           |           |1.56 0.91 0.47|4.0   0    |           |   0     0 |  9    5    7   17    1
Jul 03 06:43:28 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:28| 41  22  36   0   0|1002M 1934M  157M 4544M|  95k   13k|   0  1935k|   0  78.0 |4139  6977 |1.56 0.91 0.47|3.5   0 621|   0     0 |   0     0 |  9    4    7   17    2
Jul 03 06:43:29 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:29| 41  20  39   1   0|1029M 1902M  157M 4549M| 921k   31k|   0  2609k|   0  69.5 |4955  9824 |1.56 0.91 0.47|2.0   0 497|   0     0 |   0     0 |  9    6    7   17    2
Jul 03 06:43:30 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:30| 25   8  65   1   0|1111M 1808M  157M 4683M| 955k   21k|   0  2714k|   0  72.8 |4696  9391 |1.56 0.91 0.47|1.0   0  52|   0     0 |   0     0 | 10    4    7   17    2
Jul 03 06:43:31 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:31| 28  12  59   1   0|1140M 1766M  157M 4695M|6151B 1665B|  12M  148k| 133  29.1 |2160  2942 |1.56 0.91 0.47|2.0   0 177|   0     0 |   0     0 | 10    6    7   17    2
Jul 03 06:43:32 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:32| 32  19  49   0   0|1181M 1724M  157M 4696M|5438B 1512B| 288k 1236k|13.0  44.0 |2644  3959 |1.60 0.93 0.48|2.0   0 267|   0     0 |   0     0 | 10    6    7   19    2
Jul 03 06:43:33 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:33| 46   4  49   0   0|1196M 1690M  158M 4713M|6512B 1457B|1327k 6625k|20.0  65.0 |1454  1728 |1.60 0.93 0.48|3.0   0 6.0|   0     0 |   0     0 | 10    6    7   19    2
Jul 03 06:43:34 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:34| 30   9  47  12   0|1226M 1631M  159M 4738M|6090B 1713B|  12k   35M|1.00  2636 |  11k   24k|1.60 0.93 0.48|2.0 1.0  52|   0     0 |   0     0 | 10    8    7   19    2
Jul 03 06:43:35 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:35| 38   8  43   9   0|1151M 1673M  161M 4767M|6225B 1154B|   0    39M|   0  2674 |9017    21k|1.60 0.93 0.48|2.0   0  93|   0     0 |   0     0 | 10    6    7   19    2
Jul 03 06:43:36 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:36| 41   4  54   0   0|1137M 1697M  161M 4755M|  13k 4239B| 379k 1988k|2.99  70.9 |1338  1541 |1.60 0.93 0.48|2.0   0 2.0|   0     0 |   0     0 | 10    4    7   19    0
Jul 03 06:43:37 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:37| 45   7  46   0   0|1127M 1707M  161M 4756M|7124B 1459B|   0  7655k|   0   382 |9617    19k|1.55 0.93 0.48|2.0   0  26|   0     0 |   0     0 | 10    4    7   19    0
Jul 03 06:43:38 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:38| 47   6  46   0   0|1185M 1649M  161M 4756M|6238B 1620B|   0  4712k|   0   279 |9334    18k|1.55 0.93 0.48|2.0   0 6.0|   0     0 |   0     0 | 10    4    7   19    0
Jul 03 06:43:39 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:39| 36  15  48   0   0|1094M 1739M  161M 4756M|6989B 1461B|   0   377k|   0  18.0 |2650  3989 |1.55 0.93 0.48|2.0   0 328|   0     0 |   0     0 | 10    4    7   15    0
Jul 03 06:43:40 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:40| 32  21  45   0   0|1092M 1741M  161M 4756M|6287B 1617B|   0    48k|   0  12.0 |4136  8024 |1.55 0.93 0.48|2.0   0 445|   0     0 |   0     0 | 10    4    7   15    0
Jul 03 06:43:41 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:41| 46  14  38   0   0|1143M 1690M  161M 4757M|5978B 1623B| 100k 4104B|1.00  1.00 |4223    11k|1.55 0.93 0.48|2.0   0 215|   0     0 |   0     0 | 10    5    7   13    0
Jul 03 06:43:42 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:42| 48   2  49   0   0|1196M 1636M  161M 4758M|4437B 1767B| 588k  328k|20.0  31.0 |1202  1221 |1.58 0.95 0.49|2.0   0   0|   0     0 |   0     0 | 10    5    7   13    0
Jul 03 06:43:43 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:43| 35   9  56   0   0|1231M 1599M  161M 4760M|5110B 1617B|   0   463k|   0  42.9 |1922  5588 |1.58 0.95 0.49|  0   0 120|   0     0 |   0     0 | 10    4    6   14    0
Jul 03 06:43:44 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:44|  0   0  99   0   0|1231M 1598M  161M 4760M|4519B 1620B|   0  1116k|   0  7.00 | 544   910 |1.58 0.95 0.49|  0   0   0|   0     0 |   0     0 | 10    4    6   14    0
Jul 03 06:43:45 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:45| 19   5  74   0   0|1294M 1536M  161M 4760M|4426B 1457B|   0  1003k|   0  77.0 |1451  2117 |1.58 0.95 0.49|1.0   0  21|   0     0 |   0     0 | 10    4    6   14    0
Jul 03 06:43:46 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:46| 22   3  74   0   0|1326M 1503M  161M 4760M|5999B 1624B|   0    32k|   0  4.01 | 922  1225 |1.58 0.95 0.49|3.0   0   0|   0     0 |   0     0 | 10    6    6   14    0
Jul 03 06:43:47 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:47| 21   5  73   1   0|1255M 1574M  161M 4760M|7941B 1620B|   0  3740k|   0   363 |3026  5664 |1.54 0.95 0.49|1.0   0  43|   0     0 |   0     0 | 10    4    6   15    0
Jul 03 06:43:48 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:48| 22   3  72   0   0|1301M 1528M  161M 4761M|  12k 1457B|  40k   22M|4.00  81.9 |1720  2701 |1.54 0.95 0.49|1.0   0 1.0|   0     0 |   0     0 | 10   16    6   15    0
Jul 03 06:43:49 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:49| 21   5  73   1   0|1286M 1542M  161M 4761M|5203B 1458B| 232k 1292k|58.0  58.0 |1628  2503 |1.54 0.95 0.49|1.0   0  45|   0     0 |   0     0 | 10   28    6   15    0
Jul 03 06:43:50 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:50| 21   8  72   0   0|1261M 1567M  161M 4761M|5362B 1459B|   0    20k|   0  5.00 |1665  2530 |1.54 0.95 0.49|2.0   0 124|   0     0 |   0     0 | 10   28    6   16    0
Jul 03 06:43:51 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:51| 42   8  49   0   0|1371M 1458M  161M 4761M|6050B 1532B|   0   856k|   0  12.0 |1675  2216 |1.54 0.95 0.49|2.0   0  32|   0     0 |   0     0 | 10   29    6   16    0
Jul 03 06:43:52 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:52| 48  18  36   0   0|1328M 1500M  161M 4761M|5153B 1533B|   0   596k|   0  51.0 |4660  9955 |1.66 0.99 0.50|6.0   0 417|   0     0 |   0     0 | 10   28    6   17    0
Jul 03 06:43:53 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:53| 80  19   0   0   0|1524M 1303M  161M 4761M|4182B 1457B|   0    48M|   0   806 |3335  5499 |1.66 0.99 0.50|6.0   0 163|   0     0 |   0     0 | 10   30    6   17    0
Jul 03 06:43:54 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:54| 77  13   8   0   0|1385M 1443M  161M 4762M|4141B 1531B|   0   644k|   0  59.0 |4403    11k|1.66 0.99 0.50|2.0   0 200|   0     0 |   0     0 | 10   28    6   17    0
Jul 03 06:43:55 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:55| 32   8  59   0   0|1292M 1535M  161M 4762M|  42k 1453B|   0   299k|   0  25.9 |3170  5944 |1.66 0.99 0.50|1.0   0 110|   0     0 |   0     0 | 10   28    6   17    0
Jul 03 06:43:56 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:56| 24   3  74   0   0|1331M 1496M  161M 4762M|5288B 1460B|   0  4100B|   0  1.00 |1622  2678 |1.66 0.99 0.50|1.0   0   0|   0     0 |   0     0 | 10   29    6   17    0
Jul 03 06:43:57 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:57| 18   8  73   0   0|1316M 1511M  161M 4762M|4790B 1621B|   0   488k|   0  35.0 |1736  2686 |1.60 0.99 0.51|1.0   0  68|   0     0 |   0     0 | 10   28    6   16    0
Jul 03 06:43:58 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:58| 20   7  71   0   0|1277M 1550M  161M 4762M|6313B 1609B|   0  3970k|   0  35.1 |2412  3964 |1.60 0.99 0.51|2.0   0  73|   0     0 |   0     0 | 10   28    6   17    0
Jul 03 06:43:59 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:43:59| 10  19  69   0   0|1277M 1551M  161M 4762M|5220B 1682B|   0  2764k|   0  29.0 |2588  3443 |1.60 0.99 0.51|2.0   0 344|   0     0 |   0     0 | 10   28    7   16    0
Jul 03 06:44:00 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:44:00| 46  26  28   0   0|1414M 1413M  161M 4762M|5068B 1696B|   0   701k|   0  53.1 |2847  5118 |1.60 0.99 0.51|5.0   0 622|   0     0 |   0     0 | 10   28    7   16    0
Jul 03 06:44:01 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:44:01| 80  11   9   0   0|1570M 1257M  161M 4762M|4441B 1618B|   0   116k|   0  5.99 |4840  8371 |1.60 0.99 0.51|5.0   0   0|   0     0 |   0     0 | 10   32    7   16    0
Jul 03 06:44:02 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:44:02| 76  12  11   0   0|1367M 1459M  162M 4763M|4934B 1536B|   0   609k|   0  78.2 |4861    13k|1.95 1.07 0.54|5.0   0 157|   0     0 |   0     0 | 10   28    7   18    0
Jul 03 06:44:03 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:44:03| 85  13   2   0   0|1567M 1260M  162M 4763M|5408B 1619B|   0    13M|   0  48.0 |3330  8310 |1.95 1.07 0.54|6.0   0 155|   0     0 |   0     0 | 10   30    7   18    0
Jul 03 06:44:04 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:44:04| 85  10   4   0   0|1515M 1311M  162M 4763M|  11k 1541B|   0  2922k|   0   152 |6297    15k|1.95 1.07 0.54|5.0   0  89|   0     0 |   0     0 | 10   29    7   18    0
Jul 03 06:44:05 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:44:05| 50  12  37   0   0|1335M 1491M  162M 4763M|7471B 1618B|   0  1066k|   0  37.9 |4848    14k|1.95 1.07 0.54|2.0   0 245|   0     0 |   0     0 | 10   28    7   19    0
Jul 03 06:44:06 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:44:06| 43   9  48   0   0|1338M 1488M  162M 4763M|6194B 1535B|   0   248k|   0  23.0 |2812  5911 |1.95 1.07 0.54|3.0   0  85|   0     0 |   0     0 | 10   29    7   18    0
Jul 03 06:44:07 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:44:07| 61  19  19   0   0|1442M 1383M  162M 4763M|4667B 1370B|   0   208k|   0  11.0 |2385  4504 |2.12 1.12 0.56|3.0   0 293|   0     0 |   0     0 | 10   28    7   18    0
Jul 03 06:44:08 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:44:08| 60  15  25   0   0|1336M 1489M  162M 4764M|5848B 1316B|   0    52M|   0   170 |6164    13k|2.12 1.12 0.56|4.0   0 258|   0     0 |   0     0 | 10   28    7   22    0
Jul 03 06:44:09 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:44:09| 81  11   7   0   0|1517M 1308M  162M 4764M|6177B 1512B|   0  1252k|   0  10.0 |3131  5981 |2.12 1.12 0.56|4.0   0   0|   0     0 |   0     0 | 10   31    7   22    0
Jul 03 06:44:10 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:44:10| 59  15  24   0   0|1343M 1482M  162M 4765M|5449B 1565B|   0   416k|   0  40.0 |5695    13k|2.12 1.12 0.56|3.0   0 324|   0     0 |   0     0 | 10   28    7   24    0
Jul 03 06:44:11 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:44:11| 67   6  27   0   0|1457M 1367M  162M 4765M|5378B 1498B|   0   192k|   0  9.99 |3934  7274 |2.12 1.12 0.56|3.0   0   0|   0     0 |   0     0 | 10   31    7   26    0
Jul 03 06:44:12 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:44:12| 59  17  24   0   0|1388M 1436M  162M 4765M|5549B 1514B|   0   485k|   0  43.1 |3715  7657 |2.19 1.15 0.57|3.0   0 299|   0     0 |   0     0 | 10   28    7   27    0
Jul 03 06:44:13 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:44:13| 59   9  30   0   0|1403M 1421M  162M 4765M|7655B 1499B|   0   384k|   0  26.0 |5589    11k|2.19 1.15 0.57|5.0   0  86|   0     0 |   0     0 | 10   29    7   29    0
Jul 03 06:44:14 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:44:14| 65  14  21   0   0|1457M 1367M  162M 4765M|5425B 1620B|   0   276k|   0  14.0 |2284  3839 |2.19 1.15 0.57|2.0   0 203|   0     0 |   0     0 | 10   30    7   29    1
Jul 03 06:44:15 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:44:15| 61  10  28   0   0|1368M 1456M  162M 4765M|4901B 1691B|   0   375k|   0  38.9 |4345  9099 |2.19 1.15 0.57|3.0   0 112|   0     0 |   0     0 | 10   28    7   31    0
Jul 03 06:44:16 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:44:16| 65   9  26   0   0|1405M 1419M  162M 4765M|7519B 1638B|   0   815k|   0  32.0 |4012  9188 |2.19 1.15 0.57|4.0   0  75|   0     0 |   0     0 | 10   29    7   32    0
Jul 03 06:44:17 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:44:17| 78  19   3   0   0|1490M 1334M  162M 4765M|4707B 1625B|   0   417k|   0  33.1 |2499  4675 |2.41 1.21 0.59|7.0   0 400|   0     0 |   0     0 | 10   28    7   32    0
Jul 03 06:44:18 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:44:18| 83  15   2   0   0|1500M 1323M  162M 4766M|  13k 1662B|   0   588k|   0  47.0 |4470  9517 |2.41 1.21 0.59|7.0   0 219|   0     0 |   0     0 | 10   28    7   29    0
Jul 03 06:44:19 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:44:19| 81  18   1   0   0|1481M 1342M  162M 4766M|8453B 1566B|   0   816k|   0  38.0 |4000  7291 |2.41 1.21 0.59|6.0   0 235|   0     0 |   0     0 | 10   29    7   29    0
Jul 03 06:44:20 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:44:20| 82  14   2   0   0|1488M 1335M  162M 4766M|8297B 1565B|   0   224k|   0  13.0 |6249    11k|2.41 1.21 0.59|6.0   0 254|   0     0 |   0     0 | 10   30    7   29    0
Jul 03 06:44:21 jammy-provider-cloud-0000007287 dstat.sh[57532]: 03-07 06:44:21| 68  18  13   0   0|1411M 1412M  162M 4767M|4900B 1459B|   0   216k|   0  13.0 |7672    17k|2.41 1.21 0.59|3.0   0 508|   0     0 |   0     0 | 10   29    7   30    0
