Mar 17 13:32:10 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Mar 17 13:32:11 ubuntu dstat.sh[60553]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Mar 17 13:32:11 ubuntu dstat.sh[60553]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 17 13:32:11 ubuntu dstat.sh[60553]: 17-03 13:32:11|                   | 970M 1598M  160M 4908M|           |           |           |           |1.23 0.84 0.47|2.0   0    |           |           | 10    6    0   17    0
Mar 17 13:32:12 ubuntu dstat.sh[60553]: 17-03 13:32:12| 16  20  61   1   0| 975M 1592M  160M 4908M|  23k   13k|   0  2859k|   0   108 |6646  5722 |1.23 0.84 0.47|2.0   0 510|   0     0 |           | 10    6    0   17    0
Mar 17 13:32:13 ubuntu dstat.sh[60553]: 17-03 13:32:13| 25  22  52   1   0|1009M 1558M  160M 4909M|  41k   13k|   0  1976k|   0  88.5 |6524  5934 |1.23 0.84 0.47|4.0   0 433|   0     0 |           | 10    5    0   17    1
Mar 17 13:32:14 ubuntu dstat.sh[60553]: 17-03 13:32:14| 31  16  52   0   0|1016M 1550M  160M 4910M|  22k   13k|   0  1692k|   0  46.9 |4877  4595 |1.23 0.84 0.47|6.0   0 229|   0     0 |           | 10    5    0   17    1
Mar 17 13:32:15 ubuntu dstat.sh[60553]: 17-03 13:32:15| 34  15  49   1   0|1131M 1407M  160M 5056M| 172k 9800B|  20k 3828k|1.99   150 |5892  6309 |1.29 0.86 0.48|3.0   0 154|   0     0 |           | 11    6    0   17    2
Mar 17 13:32:16 ubuntu dstat.sh[60553]: 17-03 13:32:16| 39  12  48   0   0|1150M 1369M  161M 5073M|5740B 1618B|   0  1775k|   0  53.3 |4683  3379 |1.29 0.86 0.48|2.0   0 206|   0     0 |           | 11    6    0   19    2
Mar 17 13:32:17 ubuntu dstat.sh[60553]: 17-03 13:32:17| 43   7  49   1   0|1234M 1262M  162M 5093M|4957B 1612B|  36k 3571k|2.99  90.6 |3234  2111 |1.29 0.86 0.48|3.0   0 1.0|   0     0 |           | 11    6    0   19    2
Mar 17 13:32:18 ubuntu dstat.sh[60553]: 17-03 13:32:18| 44   6  48   2   0|1261M 1202M  163M 5121M|5377B 1563B|   0  4952k|   0   183 |3679  2973 |1.29 0.86 0.48|3.0 1.0 1.0|   0     0 |           | 11    8    0   19    2
Mar 17 13:32:19 ubuntu dstat.sh[60553]: 17-03 13:32:19| 32   6  45  14   0|1260M 1180M  165M 5140M|5410B 2055B|4112B   59M|1.00  3774 |  15k   27k|1.29 0.86 0.48|4.0 1.0  66|   0     0 |           | 11    9    0   19    2
Mar 17 13:32:20 ubuntu dstat.sh[60553]: 17-03 13:32:20| 37   9  49   3   0|1216M 1240M  166M 5124M|  11k 3846B|   0    35M|   0  2160 |9079    15k|1.35 0.88 0.49|3.0   0 109|   0     0 |           | 11    4    0   19    0
