Sep 02 06:31:44 jammy-provider-cloud-0000007556 systemd[1]: Started Devstack devstack@dstat.service.
Sep 02 06:31:44 jammy-provider-cloud-0000007556 dstat.sh[58839]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 02 06:31:44 jammy-provider-cloud-0000007556 dstat.sh[58839]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 02 06:31:44 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:31:44|                   |1024M 1880M  159M 4571M|           |           |           |           |1.23 0.86 0.47|3.0   0    |           |   0     0 |  9    6    3   17    2
Sep 02 06:31:45 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:31:45| 33  21  43   1   0|1031M 1858M  159M 4586M|3238k   35k|  11M 7265k| 128   253 |5179  7582 |1.23 0.86 0.47|3.5   0 608|   0     0 |   0     0 |  9    5    3   17    2
Sep 02 06:31:46 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:31:46| 49  23  28   0   0|1063M 1810M  159M 4602M|  12k 4853B| 532k 1340k|66.4   178 |4550  8803 |1.23 0.86 0.47|2.0   0 552|   0     0 |   0     0 |  9    6    3   17    2
Sep 02 06:31:47 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:31:47| 38  16  44   0   0|1121M 1746M  159M 4729M|2329k   21k|1162k 3857k|14.0  33.9 |4856  7947 |1.23 0.86 0.47|2.0   0 182|   0     0 |   0     0 | 10    6    3   17    2
Sep 02 06:31:48 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:31:48| 38  12  49   1   0|1154M 1683M  160M 4755M|6816B 1697B|  80k 4966k|1.00   165 |2501  4169 |1.30 0.88 0.48|2.0   0 200|   0     0 |   0     0 | 10    6    3   19    2
Sep 02 06:31:49 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:31:49| 43   6  50   2   0|1216M 1586M  161M 4785M|6314B 1620B|4096B 6128k|1.00   163 |1467  2374 |1.30 0.88 0.48|2.0   0   0|   0     0 |   0     0 | 10    6    3   19    2
Sep 02 06:31:50 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:31:50| 34   6  51   8   0|1159M 1647M  162M 4779M|  11k 4355B|   0    22M|   0  1774 |7404    16k|1.30 0.88 0.48|2.0   0  33|   0     0 |   0     0 | 10    6    3   19    0
Sep 02 06:31:51 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:31:51| 39   9  42   8   0|1121M 1680M  163M 4784M|6418B 1457B|   0    40M|   0  3337 |  17k   37k|1.30 0.88 0.48|2.0   0 130|   0     0 |   0     0 | 10    4    3   19    0
Sep 02 06:31:52 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:31:52| 45   8  46   0   0|1197M 1604M  163M 4784M|5925B 1692B|   0  5766k|   0  63.9 |9728    19k|1.30 0.88 0.48|3.0   0  15|   0     0 |   0     0 | 10    4    3   19    0
Sep 02 06:31:53 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:31:53| 45   6  49   1   0|1110M 1690M  163M 4784M|6247B 1621B|   0  7717k|   0   390 |1868  3025 |1.35 0.90 0.48|2.0   0  23|   0     0 |   0     0 | 10    4    3   19    0
