May 20 15:07:01 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 20 15:07:01 ubuntu dstat.sh[64874]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 20 15:07:01 ubuntu dstat.sh[64874]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 20 15:07:01 ubuntu dstat.sh[64874]: 20-05 15:07:01|                   | 942M 1385M  163M 5135M|           |           |           |           |1.24 0.99 0.58|5.0   0    |           |           | 10    5    0   17    0
May 20 15:07:02 ubuntu dstat.sh[64874]: 20-05 15:07:02| 18  22  58   1   0| 956M 1369M  163M 5137M|  42k   14k|2247k 2115k|36.0  90.0 |6100  5335 |1.24 0.99 0.58|3.0   0 414|   0     0 |           | 10    6    0   17    0
May 20 15:07:03 ubuntu dstat.sh[64874]: 20-05 15:07:03| 21  22  54   0   0| 994M 1329M  164M 5138M|  23k   12k|   0  1586k|18.0  69.9 |5874  4722 |1.24 0.99 0.58|1.0 1.0 388|   0     0 |           | 10    6    1   17    0
May 20 15:07:04 ubuntu dstat.sh[64874]: 20-05 15:07:04| 27  20  52   1   0| 999M 1323M  164M 5139M|  42k   14k|   0  1887k|   0  58.2 |7128  7986 |1.24 0.99 0.58|2.0   0 341|   0     0 |           | 10    5    1   17    1
May 20 15:07:05 ubuntu dstat.sh[64874]: 20-05 15:07:05| 28  11  60   0   0|1126M 1179M  164M 5277M| 180k   13k|   0  5227k|   0  61.0 |5219  6298 |1.24 0.99 0.58|1.0   0  76|   0     0 |           | 11    5    1   17    1
May 20 15:07:06 ubuntu dstat.sh[64874]: 20-05 15:07:06| 33   9  57   1   0|1132M 1157M  165M 5289M|5266B 1824B|   0  1550k|   0  72.9 |3632  2607 |1.30 1.00 0.59|2.0   0  97|   0     0 |           | 11    6    1   17    2
May 20 15:07:07 ubuntu dstat.sh[64874]: 20-05 15:07:07| 39  12  48   0   0|1166M 1105M  165M 5305M|4552B 1691B|  16k 2296k|1.00  63.9 |4685  3367 |1.30 1.00 0.59|2.0   0 185|   0     0 |           | 11    6    1   19    2
May 20 15:07:08 ubuntu dstat.sh[64874]: 20-05 15:07:08| 43   7  48   2   0|1238M 1006M  166M 5328M|4787B 1566B|  16k 5277k|1.00   139 |3465  2430 |1.30 1.00 0.59|3.0   0   0|   0     0 |           | 11    6    1   19    2
May 20 15:07:09 ubuntu dstat.sh[64874]: 20-05 15:07:09| 41   6  47   4   0|1247M  964M  168M 5357M|4199B 1645B|   0    21M|   0  1382 |7366    12k|1.30 1.00 0.59|3.0   0  10|   0     0 |           | 11    8    1   19    2
May 20 15:07:10 ubuntu dstat.sh[64874]: 20-05 15:07:10| 32   8  44  14   0|1283M  928M  169M 5353M|4404B 2100B|   0    59M|   0  4672 |  17k   33k|1.30 1.00 0.59|2.0   0  74|   0     0 |           | 11    6    1   19    0
May 20 15:07:11 ubuntu dstat.sh[64874]: 20-05 15:07:11| 36   9  53   1   0|1235M  976M  169M 5353M|  10k 3726B|   0  1958k|   0   198 |4273  3861 |1.44 1.04 0.61|3.0 1.0 109|   0     0 |           | 11    5    1   19    0
May 20 15:07:12 ubuntu dstat.sh[64874]: 20-05 15:07:12| 44   8  48   1   0|1266M  940M  170M 5359M|4902B 1741B|   0  7530k|   0   480 |3486  2573 |1.44 1.04 0.61|2.0 1.0 4.0|   0     0 |           | 11    4    1   19    0
May 20 15:07:13 ubuntu dstat.sh[64874]: 20-05 15:07:13| 39   6  53   1   0|1276M  922M  170M 5364M|  11k 4744B|   0  2017k|   0   103 |6040  8444 |1.44 1.04 0.61|4.0 1.0  31|   0     0 |           | 11    4    1   19    0
May 20 15:07:14 ubuntu dstat.sh[64874]: 20-05 15:07:14| 43  11  43   1   0|1317M  880M  170M 5364M|4557B 1619B|   0  8311k|   0   470 |  13k   22k|1.44 1.04 0.61|3.0   0  13|   0     0 |           | 11    4    1   19    0
