May 20 09:43:40 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 20 09:43:41 ubuntu dstat.sh[64888]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 20 09:43:41 ubuntu dstat.sh[64888]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 20 09:43:41 ubuntu dstat.sh[64888]: 20-05 09:43:41|                   | 953M 1381M  163M 5128M|           |           |           |           |1.60 1.03 0.55|2.0   0    |           |           | 10    6    0   17    0
May 20 09:43:42 ubuntu dstat.sh[64888]: 20-05 09:43:42| 23  21  54   0   0| 965M 1369M  164M 5128M|  24k   14k|   0  1806k|   0  60.9 |5435  3972 |1.60 1.03 0.55|3.5   0 346|   0     0 |           | 10    6    0   17    0
May 20 09:43:43 ubuntu dstat.sh[64888]: 20-05 09:43:43| 22  21  54   1   0| 966M 1367M  164M 5129M|  41k   14k|   0  1650k|   0  58.4 |5436  3916 |1.60 1.03 0.55|2.0   0 340|   0     0 |           | 10    5    0   17    1
May 20 09:43:44 ubuntu dstat.sh[64888]: 20-05 09:43:44| 29  20  50   1   0| 980M 1334M  164M 5147M| 179k   12k|   0  2521k|   0  79.2 |5859  6335 |1.60 1.03 0.55|4.0   0 295|   0     0 |           | 10    5    0   17    1
May 20 09:43:45 ubuntu dstat.sh[64888]: 20-05 09:43:45| 39  16  42   0   0|1052M 1242M  165M 5226M|4080B 1204B|   0  5414k|   0  77.5 |5976  8071 |1.71 1.06 0.57|4.0   0 183|   0     0 |           | 11    4    0   17    2
May 20 09:43:46 ubuntu dstat.sh[64888]: 20-05 09:43:46| 23   4  72   1   0|1098M 1176M  165M 5302M|4139B 1085B|   0  1543k|   0   131 |2361  1853 |1.71 1.06 0.57|1.0   0   0|   0     0 |           | 11    4    0   17    2
May 20 09:43:47 ubuntu dstat.sh[64888]: 20-05 09:43:47| 38  13  47   2   0|1117M 1133M  167M 5321M|3694B 1066B|   0  3441k|   0   151 |4268  3153 |1.71 1.06 0.57|3.0   0 111|   0     0 |           | 11    6    0   17    2
May 20 09:43:48 ubuntu dstat.sh[64888]: 20-05 09:43:48| 37  14  47   0   0|1155M 1068M  168M 5346M|3876B 1079B|  32k 3460k|2.00   103 |4648  3616 |1.71 1.06 0.57|2.0 1.0 170|   0     0 |           | 11    6    0   19    2
May 20 09:43:49 ubuntu dstat.sh[64888]: 20-05 09:43:49| 42   8  49   1   0|1224M 1009M  168M 5334M|4093B 1563B|   0  2353k|   0  39.1 |3107  1866 |1.71 1.06 0.57|2.0   0  19|   0     0 |           | 11    4    0   19    0
May 20 09:43:50 ubuntu dstat.sh[64888]: 20-05 09:43:50| 34   6  52   5   0|1247M  976M  168M 5342M|9741B 3256B|   0    16M|   0  1137 |6336  9540 |1.82 1.09 0.58|2.0 1.0  27|   0     0 |           | 11    6    0   19    0
May 20 09:43:51 ubuntu dstat.sh[64888]: 20-05 09:43:51| 28   9  46  14   0|1284M  931M  170M 5349M|8359B 3118B|   0    52M|   0  4308 |  16k   30k|1.82 1.09 0.58|1.0 1.0  81|   0     0 |           | 11    7    0   19    0
May 20 09:43:52 ubuntu dstat.sh[64888]: 20-05 09:43:52| 41  11  43   4   0|1176M 1033M  170M 5354M|6864B 2092B|   0    19M|   0  1236 |  15k   27k|1.82 1.09 0.58|2.0   0  98|   0     0 |           | 11    4    0   19    0
May 20 09:43:53 ubuntu dstat.sh[64888]: 20-05 09:43:53| 43  10  46   0   0|1241M  967M  170M 5355M|4058B 1079B|   0  2247k|   0  45.0 |9716    17k|1.82 1.09 0.58|2.0   0  14|   0     0 |           | 11    4    0   19    0
May 20 09:43:54 ubuntu dstat.sh[64888]: 20-05 09:43:54| 42   7  49   0   0|1167M 1054M  170M 5344M|4211B  972B|   0  6858k|   0   350 |3640  3009 |1.82 1.09 0.58|2.0   0  18|   0     0 |           | 11    4    0   19    0
May 20 09:43:55 ubuntu dstat.sh[64888]: 20-05 09:43:55| 43   8  48   0   0|1227M  993M  170M 5344M|5083B 1123B|   0  1565k|   0   102 |3272  1749 |1.83 1.11 0.59|2.0   0  57|   0     0 |           | 11    4    0   19    0
May 20 09:43:56 ubuntu dstat.sh[64888]: 20-05 09:43:56| 22   4  73   0   0|1209M 1011M  170M 5344M|5435B 1079B|   0  4092B|   0  1.00 |2177  1367 |1.83 1.11 0.59|2.0   0  47|   0     0 |           | 11    4    0   19    0
May 20 09:43:57 ubuntu dstat.sh[64888]: 20-05 09:43:57|  7  21  69   0   0|1193M 1027M  170M 5344M|5275B 1080B|   0    12k|   0  3.00 |5260  3620 |1.83 1.11 0.59|2.0   0 306|   0     0 |           | 11    4    0   19    0
May 20 09:43:58 ubuntu dstat.sh[64888]: 20-05 09:43:58|  8  21  68   0   0|1127M 1093M  170M 5344M|4208B  971B|   0    52k|   0  9.99 |5263  3671 |1.83 1.11 0.59|1.0   0 300|   0     0 |           | 11    4    0   19    0
May 20 09:43:59 ubuntu dstat.sh[64888]: 20-05 09:43:59| 20  17  62   0   0|1129M 1091M  170M 5345M|4308B 1082B|   0    12k|   0  3.01 |5279  6408 |1.83 1.11 0.59|4.0   0 201|   0     0 |           | 11    4    0   19    0
May 20 09:44:00 ubuntu dstat.sh[64888]: 20-05 09:44:00| 45  10  44   0   0|1221M  999M  170M 5345M|3815B 1079B|   0    22M|   0   419 |3748  2279 |1.92 1.14 0.60|3.0   0  96|   0     0 |           | 11    5    0   13    0
May 20 09:44:01 ubuntu dstat.sh[64888]: 20-05 09:44:01| 44   7  49   0   0|1253M  966M  170M 5345M|4242B 1081B|   0   944k|   0  35.0 |2835  1556 |1.92 1.14 0.60|4.0   0 1.0|   0     0 |           | 11    5    0   13    0
May 20 09:44:02 ubuntu dstat.sh[64888]: 20-05 09:44:02| 36  10  53   0   0|1267M  950M  170M 5347M|4674B 1079B|   0  2698k|   0   212 |4046  4479 |1.92 1.14 0.60|3.0   0 101|   0     0 |           | 11    4    0   14    0
May 20 09:44:03 ubuntu dstat.sh[64888]: 20-05 09:44:03| 13   7  78   0   0|1311M  906M  170M 5347M|4237B 1079B|   0   380k|   0  4.00 |2223  1846 |1.92 1.14 0.60|1.0   0  40|   0     0 |           | 11    4    0   14    0
