Apr 16 18:57:15 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Apr 16 18:57:15 ubuntu dstat.sh[65030]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Apr 16 18:57:15 ubuntu dstat.sh[65030]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 16 18:57:15 ubuntu dstat.sh[65030]: 16-04 18:57:15|                   | 981M 1423M  160M 5070M|           |           |           |           |0.85 0.80 0.47|1.0   0    |           |           | 10    4    0   16    0
Apr 16 18:57:16 ubuntu dstat.sh[65030]: 16-04 18:57:16| 14  31  54   0   0| 977M 1420M  161M 5075M|  14k 2132B|   0  1309k|   0  53.0 |6887  5906 |0.90 0.81 0.47|2.0   0 678|   0     0 |           | 10    3    0   16    0
Apr 16 18:57:17 ubuntu dstat.sh[65030]: 16-04 18:57:17| 24  21  52   0   0| 973M 1416M  161M 5080M|  85k 5402B|   0  1799k|   0  39.0 |6424  5482 |0.94 0.82 0.48| 11   0 523|   0     0 |           | 10    4    0   17    0
Apr 16 18:57:18 ubuntu dstat.sh[65030]: 16-04 18:57:18| 16  20  62   1   0| 964M 1425M  161M 5081M| 145k   10k|   0  1372k|   0  52.2 |5838  5496 |0.94 0.82 0.48|5.0   0 280|   0     0 |           | 10    4    0   17    0
Apr 16 18:57:19 ubuntu dstat.sh[65030]: 16-04 18:57:19| 17  10  71   0   0|1060M 1328M  161M 5203M| 153k   11k|   0  1124k|   0  42.0 |4864  5521 |0.94 0.82 0.48|1.0   0  97|   0     0 |           | 11    6    0   17    0
Apr 16 18:57:20 ubuntu dstat.sh[65030]: 16-04 18:57:20| 18  11  70   0   0|1055M 1332M  161M 5205M| 985k   21k|   0  1839k|   0  79.9 |4540  3008 |0.94 0.82 0.48|2.0   0 127|   0     0 |           | 11    6    0   17    0
Apr 16 18:57:21 ubuntu dstat.sh[65030]: 16-04 18:57:21| 19  10  69   0   0|1086M 1294M  161M 5211M|3178k   48k|  32k 3788k|2.00  38.0 |5727  4129 |0.95 0.82 0.48|3.0   0 139|   0     0 |           | 11    6    0   19    0
Apr 16 18:57:22 ubuntu dstat.sh[65030]: 16-04 18:57:22| 32   4  62   0   0|1133M 1239M  161M 5219M|2312k   33k|  36k 9041k|9.00  34.0 |3946  2426 |0.95 0.82 0.48|5.0   0 1.0|   0     0 |           | 11    6    0   19    0
Apr 16 18:57:23 ubuntu dstat.sh[65030]: 16-04 18:57:23| 30  12  48   7   0|1165M 1195M  163M 5227M|4649B 1970B|  20k   23M|5.01  2073 |  12k   19k|0.95 0.82 0.48|3.0   0 216|   0     0 |           | 11    6    0   19    0
Apr 16 18:57:24 ubuntu dstat.sh[65030]: 16-04 18:57:24| 50  10  31   7   0|1104M 1233M  165M 5247M|4505B 1622B|   0    47M|   0  3384 |  13k   24k|0.95 0.82 0.48|4.0   0  67|   0     0 |           | 11    4    0   19    0
Apr 16 18:57:25 ubuntu dstat.sh[65030]: 16-04 18:57:25| 54   7  37   1   0|1163M 1170M  165M 5249M|9390B 4055B|   0    11M|   0   613 |4699  4849 |0.95 0.82 0.48|1.0   0  96|   0     0 |           | 11    6    0   19    0
Apr 16 18:57:26 ubuntu dstat.sh[65030]: 16-04 18:57:26| 29   3  66   0   0|1196M 1138M  165M 5249M| 227k 9159B|   0  8195k|   0   577 |2488  1479 |0.95 0.83 0.49|1.0   0   0|   0     0 |           | 11    6    0   19    0
Apr 16 18:57:27 ubuntu dstat.sh[65030]: 16-04 18:57:27| 22   5  72   1   0|1188M 1145M  165M 5249M|9210B 2228B|   0  5827k|   0   336 |2576  2809 |0.95 0.83 0.49|2.0   0  10|   0     0 |           | 11    6    0   19    0
Apr 16 18:57:28 ubuntu dstat.sh[65030]: 16-04 18:57:28| 37   4  58   0   0|1215M 1118M  165M 5249M|  27k 9786B|   0  1091k|   0  44.0 |2667  1543 |0.95 0.83 0.49|3.0   0   0|   0     0 |           | 11    7    0   19    0
Apr 16 18:57:29 ubuntu dstat.sh[65030]: 16-04 18:57:29| 20  14  64   1   0|1192M 1140M  165M 5250M|  38k   11k|   0  1287k|   0  42.1 |5149  4095 |0.95 0.83 0.49|2.0   0 349|   0     0 |           | 11    8    0   19    0
Apr 16 18:57:30 ubuntu dstat.sh[65030]: 16-04 18:57:30| 27  21  51   0   0|1207M 1124M  165M 5250M|  22k   13k|   0  2339k|   0   145 |6784  6730 |0.95 0.83 0.49|2.0   0 430|   0     0 |           | 11    8    0   19    0
Apr 16 18:57:31 ubuntu dstat.sh[65030]: 16-04 18:57:31| 42  14  41   0   0|1238M 1093M  165M 5251M|  40k   12k|   0  2003k|   0  52.9 |5417  4890 |1.12 0.86 0.50|3.0   0 192|   0     0 |           | 11    8    0   19    1
Apr 16 18:57:32 ubuntu dstat.sh[65030]: 16-04 18:57:32| 56   7  36   0   0|1289M 1035M  166M 5258M|  63k   13k|   0  1329k|   0  39.0 |3449  1642 |1.12 0.86 0.50|3.0   0   0|   0     0 |           | 11    8    0   19    1
Apr 16 18:57:33 ubuntu dstat.sh[65030]: 16-04 18:57:33| 57  10  31   1   0|1307M  999M  166M 5273M| 125k 6296B|   0  2337k|   0  75.0 |3786  2078 |1.12 0.86 0.50|5.0   0 1.0|   0     0 |           | 11    7    0   19    2
Apr 16 18:57:34 ubuntu dstat.sh[65030]: 16-04 18:57:34| 47  14  35   0   0|1349M  932M  167M 5294M|4547B 1517B|4110B 3472k|1.00   111 |4965  5219 |1.12 0.86 0.50|2.0   0 140|   0     0 |           | 11    6    0   20    2
Apr 16 18:57:35 ubuntu dstat.sh[65030]: 16-04 18:57:35| 43   6  48   1   0|1414M  847M  168M 5312M|5010B 1603B|   0  1758k|   0  72.8 |3012  1960 |1.12 0.86 0.50|4.0   0   0|   0     0 |           | 11    6    0   20    2
Apr 16 18:57:36 ubuntu dstat.sh[65030]: 16-04 18:57:36| 43   6  48   1   0|1445M  800M  168M 5325M|5002B 1459B|   0    17M|   0   194 |3330  2301 |1.19 0.88 0.51|3.0   0   0|   0     0 |           | 11    6    0   14    2
Apr 16 18:57:37 ubuntu dstat.sh[65030]: 16-04 18:57:37| 43   5  48   1   0|1470M  746M  169M 5350M|5293B 1619B|   0  4497k|   0   277 |4805  5443 |1.19 0.88 0.51|3.0   0 1.0|   0     0 |           | 11    6    0   16    2
Apr 16 18:57:38 ubuntu dstat.sh[65030]: 16-04 18:57:38| 38   8  53   1   0|1399M  831M  170M 5336M|  11k 4357B| 144k 3448k|7.02   182 |3334  2417 |1.19 0.88 0.51|2.0   0  44|   0     0 |           | 11    4    0   16    0
Apr 16 18:57:39 ubuntu dstat.sh[65030]: 16-04 18:57:39| 36   4  58   0   0|1430M  798M  170M 5336M|  12k 6043B|   0  1586k|   0  14.0 |2931  1945 |1.19 0.88 0.51|1.0 1.0  34|   0     0 |           | 11   12    0   16    0
Apr 16 18:57:40 ubuntu dstat.sh[65030]: 16-04 18:57:40| 41   6  51   1   0|1432M  790M  170M 5342M|  11k 7966B| 268k 5171k|66.0   150 |3748  2987 |1.19 0.88 0.51|3.0   0 5.0|   0     0 |           | 11   28    0   17    0
Apr 16 18:57:41 ubuntu dstat.sh[65030]: 16-04 18:57:41| 39   8  52   0   0|1438M  777M  170M 5347M|  12k 4811B|   0  1475k|   0  19.0 |7190    10k|1.25 0.90 0.52|4.0   0  66|   0     0 |           | 11   28    0   17    0
Apr 16 18:57:42 ubuntu dstat.sh[65030]: 16-04 18:57:42| 38   8  52   0   0|1447M  768M  170M 5348M|  11k 8352B|   0  1748k|   0  6.00 |  15k   28k|1.25 0.90 0.52|2.0   0  14|   0     0 |           | 11   28    0   18    0
Apr 16 18:57:43 ubuntu dstat.sh[65030]: 16-04 18:57:43| 52  16  31   0   0|1439M  788M  171M 5337M|4619B 1662B|   0   564k|   0  15.0 |4565  2805 |1.25 0.90 0.52|3.0   0 171|   0     0 |           | 11   28    0   18    0
Apr 16 18:57:44 ubuntu dstat.sh[65030]: 16-04 18:57:44| 54   8  37   0   0|1494M  733M  171M 5337M|  13k   10k|   0  2264k|   0  16.0 |4380  2880 |1.25 0.90 0.52|1.0   0  75|   0     0 |           | 11   30    0   18    0
Apr 16 18:57:45 ubuntu dstat.sh[65030]: 16-04 18:57:45| 34  15  49   0   0|1470M  757M  171M 5337M|  15k   11k|   0  1054k|   0  35.1 |7288  9160 |1.25 0.90 0.52|5.0   0 321|   0     0 |           | 11   28    0   18    0
Apr 16 18:57:46 ubuntu dstat.sh[65030]: 16-04 18:57:46| 77  22   0   0   0|1580M  646M  171M 5337M|3599B  648B|   0    11M|   0   163 |5347  3729 |1.63 0.99 0.55|6.0   0 257|   0     0 |           | 11   28    0   18    0
Apr 16 18:57:47 ubuntu dstat.sh[65030]: 16-04 18:57:47| 82  12   4   0   0|1720M  506M  171M 5337M|  25k   22k|   0   576k|   0  3.00 |6116  5564 |1.63 0.99 0.55|5.0   0   0|   0     0 |           | 11   33    0   18    0
Apr 16 18:57:48 ubuntu dstat.sh[65030]: 16-04 18:57:48| 72  12  15   0   0|1610M  616M  171M 5337M|  28k   24k|   0  3791k|   0   212 |9238    13k|1.63 0.99 0.55|2.0   0 168|   0     0 |           | 11   29    0   23    0
Apr 16 18:57:49 ubuntu dstat.sh[65030]: 16-04 18:57:49| 18  10  70   0   0|1509M  718M  171M 5337M|6087B 2703B|   0   563k|   0  32.9 |3660  3429 |1.63 0.99 0.55|2.0   0 142|   0     0 |           | 11   28    0   23    0
Apr 16 18:57:50 ubuntu dstat.sh[65030]: 16-04 18:57:50| 19   3  78   0   0|1509M  717M  171M 5337M|8583B 5485B|   0   373k|   0  19.0 |1938  1625 |1.63 0.99 0.55|2.0   0   0|   0     0 |           | 11   29    0   23    0
Apr 16 18:57:51 ubuntu dstat.sh[65030]: 16-04 18:57:51| 16   6  76   0   0|1402M  824M  171M 5337M|7573B 4538B|   0  2681k|   0   139 |3589  3861 |1.58 0.99 0.55|1.0   0  69|   0     0 |           | 11   28    0   24    0
Apr 16 18:57:52 ubuntu dstat.sh[65030]: 16-04 18:57:52| 20   4  75   0   0|1427M  799M  171M 5337M|6839B 3536B|   0   781k|   0  4.00 |1788  1223 |1.58 0.99 0.55|2.0   0   0|   0     0 |           | 11   29    0   24    0
Apr 16 18:57:53 ubuntu dstat.sh[65030]: 16-04 18:57:53| 21   4  73   0   0|1424M  802M  171M 5337M|  10k 6502B|   0   256k|   0  16.0 |3816    12k|1.58 0.99 0.55|3.0   0  36|   0     0 |           | 11   28    0   26    0
Apr 16 18:57:54 ubuntu dstat.sh[65030]: 16-04 18:57:54|  9  22  68   1   0|1375M  851M  171M 5337M|4986B 1664B|   0   212k|   0  8.01 |5548  3785 |1.58 0.99 0.55|1.0   0 388|   0     0 |           | 11   28    0   26    0
Apr 16 18:57:55 ubuntu dstat.sh[65030]: 16-04 18:57:55| 35  32  33   0   0|1423M  804M  171M 5337M|4784B 1565B|   0   228k|   0  22.0 |5930  4833 |1.58 0.99 0.55|5.0   0 650|   0     0 |           | 11   28    0   26    0
Apr 16 18:57:56 ubuntu dstat.sh[65030]: 16-04 18:57:56| 84  15   2   0   0|1612M  614M  171M 5337M|  12k 9784B|   0    41M|   0   804 |5843  3362 |1.86 1.05 0.57|4.0   0   0|   0     0 |           | 11   31    0   26    0
Apr 16 18:57:57 ubuntu dstat.sh[65030]: 16-04 18:57:57| 69   9  21   0   0|1641M  585M  171M 5338M|  41k   36k|   0   965k|   0  34.0 |8782    14k|1.86 1.05 0.57|5.0   0  23|   0     0 |           | 11   31    0   25    0
Apr 16 18:57:58 ubuntu dstat.sh[65030]: 16-04 18:57:58| 77  21   2   0   0|1506M  720M  171M 5338M|  12k 7859B|   0   496k|   0  49.0 |6884  7490 |1.86 1.05 0.57|7.0   0 287|   0     0 |           | 11   28    0   26    0
Apr 16 18:57:59 ubuntu dstat.sh[65030]: 16-04 18:57:59| 87  13   0   0   0|1666M  560M  171M 5338M|  13k 9732B|   0   188k|   0  9.98 |5044  3452 |1.86 1.05 0.57|6.0   0   0|   0     0 |           | 11   30    0   26    0
Apr 16 18:58:00 ubuntu dstat.sh[65030]: 16-04 18:58:00| 78  10  10   0   0|1711M  515M  171M 5338M|  41k   39k|   0   156k|   0  11.0 |8028    12k|1.86 1.05 0.57|2.0   0  50|   0     0 |           | 11   33    0   27    0
Apr 16 18:58:01 ubuntu dstat.sh[65030]: 16-04 18:58:01| 62  16  22   0   0|1503M  722M  171M 5338M|  24k   18k|   0   461k|   0  39.1 |7925    10k|1.95 1.09 0.59|2.0   0 249|   0     0 |           | 11   28    0   31    0
Apr 16 18:58:02 ubuntu dstat.sh[65030]: 16-04 18:58:02| 36   4  58   0   0|1525M  700M  171M 5338M|  11k 7811B|   0   611k|   0  8.98 |2752  1724 |1.95 1.09 0.59|3.0   0   0|   0     0 |           | 11   30    0   31    0
Apr 16 18:58:03 ubuntu dstat.sh[65030]: 16-04 18:58:03| 33  10  55   0   0|1487M  738M  171M 5338M|  17k   13k|   0   273k|   0  28.1 |6061  7183 |1.95 1.09 0.59|5.0   0 162|   0     0 |           | 11   28    0   33    0
Apr 16 18:58:04 ubuntu dstat.sh[65030]: 16-04 18:58:04| 63  19  19   0   0|1491M  734M  171M 5338M|5045B 1633B|   0   200k|   0  11.0 |4378  2455 |1.95 1.09 0.59|3.0   0 216|   0     0 |           | 11   28    0   33    0
Apr 16 18:58:05 ubuntu dstat.sh[65030]: 16-04 18:58:05| 45   4  49   0   0|1515M  710M  171M 5339M|  25k   21k|   0   830k|   0  9.98 |5021  5963 |1.95 1.09 0.59|3.0   0   0|   0     0 |           | 11   31    0   33    0
Apr 16 18:58:06 ubuntu dstat.sh[65030]: 16-04 18:58:06| 64  19  18   1   0|1457M  768M  171M 5339M|  14k 9545B|   0   432k|   0  49.0 |6963  7306 |2.11 1.13 0.60|4.0   0 258|   0     0 |           | 11   28    0   34    0
Apr 16 18:58:07 ubuntu dstat.sh[65030]: 16-04 18:58:07| 68   9  22   0   0|1574M  651M  171M 5339M|  19k   17k|   0    73M|   0   307 |5486  4146 |2.11 1.13 0.60|3.0   0   0|   0     0 |           | 11   32    0   34    0
Apr 16 18:58:08 ubuntu dstat.sh[65030]: 16-04 18:58:08| 65   8  25   0   0|1545M  680M  171M 5339M|  31k   25k|   0  1308k|   0  97.0 |8575    13k|2.11 1.13 0.60|3.0   0  96|   0     0 |           | 11   28    0   37    0
Apr 16 18:58:09 ubuntu dstat.sh[65030]: 16-04 18:58:09| 60  17  22   0   0|1525M  700M  171M 5339M|4114B 1337B|   0   208k|   0  15.0 |4118  2518 |2.11 1.13 0.60|3.0   0 228|   0     0 |           | 11   28    0   34    0
Apr 16 18:58:10 ubuntu dstat.sh[65030]: 16-04 18:58:10| 44   5  50   0   0|1557M  667M  171M 5339M|  24k   22k|   0   124k|   0  6.00 |5394  6230 |2.11 1.13 0.60|4.0   0   0|   0     0 |           | 11   31    0   34    0
Apr 16 18:58:11 ubuntu dstat.sh[65030]: 16-04 18:58:11| 55  18  27   0   0|1473M  752M  171M 5339M|  14k   10k|   0   840k|   0  61.0 |6527  7501 |2.18 1.17 0.62|3.0   0 300|   0     0 |           | 11   28    0   36    0
Apr 16 18:58:12 ubuntu dstat.sh[65030]: 16-04 18:58:12| 52   7  40   0   0|1540M  684M  171M 5339M|  17k   13k|   0    14M|   0   160 |4349  3107 |2.18 1.17 0.62|4.0   0   0|   0     0 |           | 11   31    0   36    0
Apr 16 18:58:13 ubuntu dstat.sh[65030]: 16-04 18:58:13| 51  10  38   0   0|1417M  807M  171M 5339M|  22k   17k|   0   509k|   0  18.0 |7695  9429 |2.18 1.17 0.62|5.0   0 153|   0     0 |           | 11   28    0   36    0
Apr 16 18:58:14 ubuntu dstat.sh[65030]: 16-04 18:58:14| 60  15  24   0   0|1535M  689M  171M 5340M|5050B 2070B|   0   192k|   0  8.99 |4041  2088 |2.18 1.17 0.62|2.0   0 134|   0     0 |           | 11   29    0   36    0
Apr 16 18:58:15 ubuntu dstat.sh[65030]: 16-04 18:58:15| 43   5  50   0   0|1551M  673M  171M 5340M|  27k   23k|   0   232k|   0  27.0 |6133  7639 |2.18 1.17 0.62|3.0   0   0|   0     0 |           | 11   31    0   36    0
Apr 16 18:58:16 ubuntu dstat.sh[65030]: 16-04 18:58:16| 60  14  26   0   0|1469M  755M  171M 5340M|7603B 4005B|   0   224k|   0  14.0 |4850  3707 |2.25 1.20 0.63|3.0   0 112|   0     0 |           | 11   28    0   38    0
Apr 16 18:58:17 ubuntu dstat.sh[65030]: 16-04 18:58:17| 52   6  41   0   0|1527M  697M  171M 5340M|  16k   14k|   0   256k|   0  7.98 |4036  2733 |2.25 1.20 0.63|3.0   0   0|   0     0 |           | 11   31    0   36    0
Apr 16 18:58:18 ubuntu dstat.sh[65030]: 16-04 18:58:18| 47  20  32   1   0|1473M  751M  171M 5340M|  19k   14k|   0  1175k|   0  92.2 |8059    10k|2.25 1.20 0.63|5.0   0 365|   0     0 |           | 11   28    0   38    0
Apr 16 18:58:19 ubuntu dstat.sh[65030]: 16-04 18:58:19| 77  23   0   0   0|1579M  644M  171M 5340M|4737B 1619B|   0   188k|   0  15.0 |5458  4209 |2.25 1.20 0.63|7.0   0 348|   0     0 |           | 11   28    0   38    0
Apr 16 18:58:20 ubuntu dstat.sh[65030]: 16-04 18:58:20| 80  20   1   0   0|1715M  508M  171M 5340M|  21k   17k|   0   220k|   0  13.0 |6561  6110 |2.25 1.20 0.63|7.0   0 378|   0     0 |           | 11   32    0   38    0
Apr 16 18:58:21 ubuntu dstat.sh[65030]: 16-04 18:58:21| 73  20   5   0   0|1718M  505M  171M 5340M|  40k   37k|   0   620k|   0  48.0 |8704    11k|2.79 1.33 0.68|6.0   0 459|   0     0 |           | 11   30    0   37    0
Apr 16 18:58:22 ubuntu dstat.sh[65030]: 16-04 18:58:22| 80  19   1   0   0|1598M  626M  171M 5340M|  17k   13k|   0   423k|   0  32.9 |6392  5860 |2.79 1.33 0.68|5.0   0 311|   0     0 |           | 11   28    0   37    0
Apr 16 18:58:23 ubuntu dstat.sh[65030]: 16-04 18:58:23| 83  12   5   0   0|1647M  576M  171M 5340M|  20k   17k|   0   128k|   0  6.01 |5729  4795 |2.79 1.33 0.68|6.0   0   0|   0     0 |           | 11   31    0   37    0
Apr 16 18:58:24 ubuntu dstat.sh[65030]: 16-04 18:58:24| 67  15  17   0   0|1520M  703M  171M 5341M|  33k   29k|   0   124k|   0  11.0 |8900    12k|2.79 1.33 0.68|3.0   0 260|   0     0 |           | 11   30    0   40    0
Apr 16 18:58:25 ubuntu dstat.sh[65030]: 16-04 18:58:25| 27  18  53   0   0|1427M  796M  171M 5341M|  15k   12k|   0   212k|   0  11.0 |6993  7938 |2.79 1.33 0.68|1.0   0 402|   0     0 |           | 11   28    0   42    0
Apr 16 18:58:26 ubuntu dstat.sh[65030]: 16-04 18:58:26| 33  36  31   0   0|1426M  797M  171M 5341M|4647B 1620B|   0   156k|   0  16.0 |6135  5221 |3.05 1.40 0.70|7.0   0 772|   0     0 |           | 11   28    0   42    0
Apr 16 18:58:27 ubuntu dstat.sh[65030]: 16-04 18:58:27| 72  15  12   0   0|1555M  668M  171M 5341M|  16k   12k|   0  8164B|   0  1.99 |4835  3330 |3.05 1.40 0.70|3.0   0 167|   0     0 |           | 11   31    0   42    0
Apr 16 18:58:28 ubuntu dstat.sh[65030]: 16-04 18:58:28| 60  11  29   0   0|1513M  710M  171M 5341M|  27k   21k|   0  2832k|   0  86.3 |7724    11k|3.05 1.40 0.70|6.0   0 100|   0     0 |           | 11   29    0   45    0
Apr 16 18:58:29 ubuntu dstat.sh[65030]: 16-04 18:58:29| 75  17   7   0   0|1520M  703M  171M 5341M|  10k 5885B|   0   303k|   0  26.0 |5313  3778 |3.05 1.40 0.70|3.0   0 168|   0     0 |           | 11   29    0   46    0
Apr 16 18:58:30 ubuntu dstat.sh[65030]: 16-04 18:58:30| 64   8  29   0   0|1578M  645M  171M 5341M|  31k   27k|   0   188k|   0  9.02 |6761  9034 |3.05 1.40 0.70|2.0   0   0|   0     0 |           | 11   32    0   46    0
Apr 16 18:58:31 ubuntu dstat.sh[65030]: 16-04 18:58:31| 53   7  39   0   0|1554M  668M  171M 5341M|  43k   38k|   0   240k|   0  21.0 |  13k   20k|3.04 1.43 0.72|3.0   0  29|   0     0 |           | 11   31    0   46    0
Apr 16 18:58:32 ubuntu dstat.sh[65030]: 16-04 18:58:32| 76  15   9   0   0|1505M  717M  171M 5341M|  15k   10k|   0   492k|   0  51.0 |6961  7829 |3.04 1.43 0.72|4.0   0  92|   0     0 |           | 11   28    0   46    0
Apr 16 18:58:33 ubuntu dstat.sh[65030]: 16-04 18:58:33| 67   9  23   0   0|1582M  640M  171M 5341M|  22k   19k|   0   496k|   0  14.0 |4977  4395 |3.04 1.43 0.72|2.0   0   0|   0     0 |           | 11   32    0   46    0
