May 15 15:39:12 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 15 15:39:12 ubuntu dstat.sh[64792]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 15 15:39:12 ubuntu dstat.sh[64792]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 15 15:39:12 ubuntu dstat.sh[64792]: 15-05 15:39:12|                   | 993M 1342M  164M 5127M|           |           |           |           |1.13 0.87 0.49|3.0   0    |           |           | 10    5    0   18    0
May 15 15:39:13 ubuntu dstat.sh[64792]: 15-05 15:39:13| 18  21  60   1   0|1000M 1334M  164M 5127M|  40k   13k|   0  4287k|   0   260 |6799  5924 |1.13 0.87 0.49|3.0   0 529|   0     0 |           | 10    6    0   18    0
May 15 15:39:14 ubuntu dstat.sh[64792]: 15-05 15:39:14| 27  18  52   1   0|1030M 1303M  164M 5127M|  27k   16k|   0  2239k|   0   167 |6724  6465 |1.12 0.87 0.49|3.0   0 462|   0     0 |           | 10    6    0   17    0
May 15 15:39:15 ubuntu dstat.sh[64792]: 15-05 15:39:15| 33  15  49   0   0|1151M 1181M  165M 5250M|  43k   14k|   0  2607k|   0  61.9 |7215    22k|1.12 0.87 0.49|1.0   0 239|   0     0 |           | 11    6    0   18    0
May 15 15:39:16 ubuntu dstat.sh[64792]: 15-05 15:39:16| 22   6  72   1   0|1140M 1175M  165M 5266M| 180k   13k|   0  2041k|   0  57.0 |2661  2107 |1.12 0.87 0.49|3.0   0  76|   0     0 |           | 11    7    0   18    1
May 15 15:39:17 ubuntu dstat.sh[64792]: 15-05 15:39:17| 39  12  48   1   0|1154M 1146M  166M 5279M|5010B 1701B|   0  2276k|   0  81.1 |4621  3211 |1.12 0.87 0.49|4.0   0 186|   0     0 |           | 11    6    0   19    2
May 15 15:39:18 ubuntu dstat.sh[64792]: 15-05 15:39:18| 43   7  49   0   0|1196M 1084M  166M 5295M|4914B 1618B|  32k 2873k|2.00  50.9 |3267  2102 |1.12 0.87 0.49|3.0   0  19|   0     0 |           | 11    6    0   19    2
May 15 15:39:19 ubuntu dstat.sh[64792]: 15-05 15:39:19| 44   5  49   1   0|1232M 1021M  167M 5318M|4358B 1514B|   0  4939k|   0   238 |3437  2428 |1.27 0.90 0.51|3.0   0   0|   0     0 |           | 11    8    0   19    2
May 15 15:39:20 ubuntu dstat.sh[64792]: 15-05 15:39:20| 32   7  44  15   0|1221M  994M  170M 5351M|4680B 1620B|   0    57M|   0  4851 |  18k   32k|1.27 0.90 0.51|4.0   0  67|   0     0 |           | 11    8    0   19    2
May 15 15:39:21 ubuntu dstat.sh[64792]: 15-05 15:39:21| 41   9  45   4   0|1189M 1033M  170M 5342M|5304B 2045B|   0    42M|   0  2436 |8754    14k|1.27 0.90 0.51|2.0   0  92|   0     0 |           | 11    4    0   19    0
