May 07 02:51:29 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 07 02:51:29 ubuntu dstat.sh[65465]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 07 02:51:29 ubuntu dstat.sh[65465]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 07 02:51:29 ubuntu dstat.sh[65465]: 07-05 02:51:29|                   |1051M 1270M  166M 5137M|           |           |           |           |1.20 0.86 0.47|4.0   0    |           |           | 10    6    0   18    0
May 07 02:51:30 ubuntu dstat.sh[65465]: 07-05 02:51:30| 42  23  34   1   0|1069M 1252M  166M 5137M|  40k   17k|   0  3355k|   0   118 |7121  6330 |1.31 0.89 0.48|3.0   0 608|   0     0 |           | 10    6    0   18    0
May 07 02:51:31 ubuntu dstat.sh[65465]: 07-05 02:51:31| 31  18  49   0   0|1023M 1296M  167M 5138M|  42k   14k|   0  2848k|   0  97.1 |6767  6499 |1.42 0.91 0.49|3.0   0 487|   0     0 |           | 10    6    0   17    0
May 07 02:51:32 ubuntu dstat.sh[65465]: 07-05 02:51:32| 28  15  55   0   0|1138M 1180M  167M 5260M|  17k   10k|   0  1240k|   0  33.9 |6450  8355 |1.42 0.91 0.49|1.0   0 176|   0     0 |           | 11    5    0   17    1
May 07 02:51:33 ubuntu dstat.sh[65465]: 07-05 02:51:33| 24   7  67   1   0|1126M 1171M  167M 5280M| 171k   10k|   0  2107k|   0  71.1 |3085  2336 |1.42 0.91 0.49|2.0   0  81|   0     0 |           | 11    6    0   17    2
May 07 02:51:34 ubuntu dstat.sh[65465]: 07-05 02:51:34| 38  13  48   1   0|1131M 1146M  168M 5297M|4146B 1622B|   0  2876k|   0   192 |4792  3418 |1.42 0.91 0.49|2.0 1.0 200|   0     0 |           | 11    6    0   19    2
May 07 02:51:35 ubuntu dstat.sh[65465]: 07-05 02:51:35| 43   6  49   1   0|1190M 1065M  168M 5316M|4431B 1659B|  32k 2475k|2.00  41.9 |3028  1853 |1.47 0.93 0.50|2.0   0   0|   0     0 |           | 11    6    0   19    2
May 07 02:51:36 ubuntu dstat.sh[65465]: 07-05 02:51:36| 43   5  48   1   0|1227M 1010M  170M 5331M|4359B 1501B|4100B 8551k|1.00   166 |3474  2547 |1.47 0.93 0.50|2.0   0   0|   0     0 |           | 11    6    0   19    2
May 07 02:51:37 ubuntu dstat.sh[65465]: 07-05 02:51:37| 32   7  46  11   0|1233M  968M  171M 5362M|4557B 1619B|   0    40M|   0  3150 |  13k   24k|1.47 0.93 0.50|3.0   0  52|   0     0 |           | 11    8    0   19    2
May 07 02:51:38 ubuntu dstat.sh[65465]: 07-05 02:51:38| 35   7  48   7   0|1220M  988M  172M 5353M|  10k 4356B|   0    47M|   0  3442 |  12k   21k|1.47 0.93 0.50|2.0   0  69|   0     0 |           | 11    4    0   19    0
May 07 02:51:39 ubuntu dstat.sh[65465]: 07-05 02:51:39| 42   8  48   0   0|1256M  952M  172M 5353M|4139B 1620B|   0   836k|   0  49.0 |3164  1900 |1.47 0.93 0.50|2.0   0  55|   0     0 |           | 11    4    0   19    0
May 07 02:51:40 ubuntu dstat.sh[65465]: 07-05 02:51:40| 41   6  51   0   0|1277M  926M  172M 5358M|9567B 3784B|   0  2128k|   0  89.0 |2938  1741 |1.51 0.95 0.51|2.0   0  24|   0     0 |           | 11    4    0   19    0
May 07 02:51:41 ubuntu dstat.sh[65465]: 07-05 02:51:41| 41   7  50   1   0|1252M  949M  172M 5359M|8909B 2950B|   0  7277k|   0   422 |3705  3343 |1.51 0.95 0.51|2.0   0  28|   0     0 |           | 11    5    0   19    0
May 07 02:51:42 ubuntu dstat.sh[65465]: 07-05 02:51:42| 42   7  48   0   0|1258M  937M  173M 5364M|7012B 3406B|   0  1384k|   0  77.2 |8377    17k|1.51 0.95 0.51|3.0   0 7.0|   0     0 |           | 11    4    0   19    0
May 07 02:51:43 ubuntu dstat.sh[65465]: 07-05 02:51:43| 41  12  46   0   0|1228M  966M  173M 5365M|3798B 1458B|   0    84k|   0  1.00 |  12k   20k|1.51 0.95 0.51|2.0   0 179|   0     0 |           | 11    4    0   19    0
May 07 02:51:44 ubuntu dstat.sh[65465]: 07-05 02:51:44| 28  26  45   0   0|1126M 1081M  173M 5354M|4384B 1714B|   0  3564k|   0   211 |6649  5651 |1.51 0.95 0.51|3.0   0 527|   0     0 |           | 11    4    0   19    0
May 07 02:51:45 ubuntu dstat.sh[65465]: 07-05 02:51:45| 43  19  37   0   0|1140M 1066M  173M 5354M|3839B 1619B|   0    16k|   0  4.00 |6218  7643 |1.55 0.97 0.51|4.0   0 323|   0     0 |           | 11    4    0   19    0
May 07 02:51:46 ubuntu dstat.sh[65465]: 07-05 02:51:46| 46   7  47   0   0|1204M 1002M  173M 5354M|4338B 1620B|   0    13M|   0   258 |3040  1707 |1.55 0.97 0.51|2.0   0  45|   0     0 |           | 11    5    0   19    0
May 07 02:51:47 ubuntu dstat.sh[65465]: 07-05 02:51:47| 44   7  49   0   0|1231M  975M  173M 5355M|4386B 1619B|   0   240k|   0  7.99 |2563  1272 |1.55 0.97 0.51|3.0   0   0|   0     0 |           | 11    5    0   19    0
May 07 02:51:48 ubuntu dstat.sh[65465]: 07-05 02:51:48| 37  11  52   0   0|1264M  939M  173M 5357M|4441B 1620B|   0  2609k|   0   123 |4548  4874 |1.55 0.97 0.51|2.0   0 111|   0     0 |           | 11    4    0   20    0
May 07 02:51:49 ubuntu dstat.sh[65465]: 07-05 02:51:49|  2   2  94   0   0|1254M  950M  173M 5357M|3957B 1619B|   0   735k|   0  26.0 |1225  1484 |1.55 0.97 0.51|1.0   0  29|   0     0 |           | 11    4    0   20    0
May 07 02:51:50 ubuntu dstat.sh[65465]: 07-05 02:51:50| 21   4  73   0   0|1321M  882M  173M 5357M|4496B 1619B|   0   727k|   0  61.9 |1751  1409 |1.50 0.97 0.52|1.0   0 1.0|   0     0 |           | 11    4    0   20    0
May 07 02:51:51 ubuntu dstat.sh[65465]: 07-05 02:51:51| 23   3  73   0   0|1346M  858M  173M 5357M|4295B 1458B|   0    12M|   0  56.0 |1803  1255 |1.50 0.97 0.52|1.0   0   0|   0     0 |           | 11    4    0   20    0
May 07 02:51:52 ubuntu dstat.sh[65465]: 07-05 02:51:52| 28   5  63   1   0|1370M  833M  173M 5357M|4140B 1620B|   0  6528k|   0   218 |4555    11k|1.50 0.97 0.52|1.0   0  37|   0     0 |           | 11    4    0   23    0
May 07 02:51:53 ubuntu dstat.sh[65465]: 07-05 02:51:53| 20   7  72   1   0|1339M  864M  173M 5357M|4443B 1621B| 144k 2574k|7.00   153 |2487  2176 |1.50 0.97 0.52|2.0   0  42|   0     0 |           | 11    4    0   23    0
May 07 02:51:54 ubuntu dstat.sh[65465]: 07-05 02:51:54| 20   1  77   0   0|1361M  842M  173M 5358M|6555B 4068B|   0   739k|   0  7.00 |1811  1356 |1.50 0.97 0.52|1.0   0 1.0|   0     0 |           | 11   11    0   23    0
May 07 02:51:55 ubuntu dstat.sh[65465]: 07-05 02:51:55| 20   3  75   0   0|1357M  845M  173M 5358M|  10k 7497B| 268k 1136k|66.0  33.0 |2728  2770 |1.54 0.99 0.53|1.0   0 2.0|   0     0 |           | 11   28    0   24    0
May 07 02:51:56 ubuntu dstat.sh[65465]: 07-05 02:51:56| 21   6  73   0   0|1320M  882M  173M 5358M|4577B 1620B|   0     0 |   0     0 |2271  1563 |1.54 0.99 0.53|1.0   0  43|   0     0 |           | 11   28    0   17    0
May 07 02:51:57 ubuntu dstat.sh[65465]: 07-05 02:51:57| 18   3  78   0   0|1341M  861M  173M 5358M|  12k 8478B|   0    32M|   0   172 |2456  2062 |1.54 0.99 0.53|1.0   0   0|   0     0 |           | 11   28    0   18    0
May 07 02:51:58 ubuntu dstat.sh[65465]: 07-05 02:51:58| 31  12  55   0   0|1414M  788M  173M 5358M|4463B 1524B|   0  2271k|   0  17.0 |3660  2400 |1.54 0.99 0.53|2.0   0 156|   0     0 |           | 11   28    0   18    0
May 07 02:51:59 ubuntu dstat.sh[65465]: 07-05 02:51:59| 37   5  57   0   0|1456M  746M  173M 5358M|  12k 9512B|   0  2337k|   0  52.0 |3217  2267 |1.54 0.99 0.53|2.0   0   0|   0     0 |           | 11   30    0   18    0
May 07 02:52:00 ubuntu dstat.sh[65465]: 07-05 02:52:00| 36   8  55   0   0|1371M  831M  173M 5358M|  16k   12k|   0   204k|   0  16.0 |6377  7821 |1.58 1.00 0.53|2.0   0  97|   0     0 |           | 11   28    0   19    0
May 07 02:52:01 ubuntu dstat.sh[65465]: 07-05 02:52:01| 69  28   3   0   0|1513M  689M  173M 5358M|5358B 1620B|   0   200k|   0  19.0 |5577  4424 |1.58 1.00 0.53|6.0   0 482|   0     0 |           | 11   28    0   19    0
May 07 02:52:02 ubuntu dstat.sh[65465]: 07-05 02:52:02| 82  13   1   0   0|1699M  503M  173M 5358M|  17k   13k|   0  1996k|   0  5.00 |5271  3600 |1.58 1.00 0.53|6.0   0   0|   0     0 |           | 11   31    0   19    0
May 07 02:52:03 ubuntu dstat.sh[65465]: 07-05 02:52:03| 76  10  13   0   0|1674M  528M  173M 5358M|  35k   31k|   0   534k|   0  44.8 |9195    13k|1.58 1.00 0.53|8.0   0  42|   0     0 |           | 11   30    0   23    0
May 07 02:52:04 ubuntu dstat.sh[65465]: 07-05 02:52:04| 32  14  53   0   0|1471M  730M  173M 5358M|7535B 4924B|   0   560k|   0  44.0 |4896  5532 |1.58 1.00 0.53|1.0   0 268|   0     0 |           | 11   28    0   23    0
May 07 02:52:05 ubuntu dstat.sh[65465]: 07-05 02:52:05| 19   3  77   0   0|1471M  730M  173M 5358M|8224B 5531B|   0   192k|   0  9.00 |1971  1629 |1.53 1.00 0.54|1.0   0   0|   0     0 |           | 11   29    0   23    0
May 07 02:52:06 ubuntu dstat.sh[65465]: 07-05 02:52:06| 17   6  75   0   0|1431M  771M  173M 5358M|7813B 4697B|   0   244k|   0  22.0 |3308  3240 |1.53 1.00 0.54|1.0   0  68|   0     0 |           | 11   28    0   24    0
May 07 02:52:07 ubuntu dstat.sh[65465]: 07-05 02:52:07| 21   5  74   0   0|1438M  764M  173M 5358M|5923B 3624B|   0    73M|   0   437 |2272  2209 |1.53 1.00 0.54|  0   0   0|   0     0 |           | 11   29    0   24    0
May 07 02:52:08 ubuntu dstat.sh[65465]: 07-05 02:52:08| 17   2  79   0   0|1401M  801M  173M 5358M|9677B 6678B|   0  1375k|   0  27.0 |2820  3226 |1.53 1.00 0.54|1.0   0 2.0|   0     0 |           | 11   28    0   25    0
May 07 02:52:09 ubuntu dstat.sh[65465]: 07-05 02:52:09|  7  24  67   0   0|1387M  814M  173M 5358M|3836B 1463B|   0   209k|   0  11.0 |5322  3466 |1.53 1.00 0.54|2.0   0 346|   0     0 |           | 11   28    0   25    0
May 07 02:52:10 ubuntu dstat.sh[65465]: 07-05 02:52:10| 24  32  44   0   0|1370M  832M  173M 5358M|3749B 1621B|   0   256k|   0  23.0 |5946  4648 |1.73 1.05 0.56|5.0   0 625|   0     0 |           | 11   28    0   25    0
