Apr 09 10:34:01 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Apr 09 10:34:01 ubuntu dstat.sh[66115]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Apr 09 10:34:01 ubuntu dstat.sh[66115]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 09 10:34:01 ubuntu dstat.sh[66115]: 09-04 10:34:01|                   | 959M 1375M  164M 5127M|           |           |           |           |1.30 0.85 0.46|1.0   0    |           |           | 10    5    0   18    0
Apr 09 10:34:02 ubuntu dstat.sh[66115]: 09-04 10:34:02| 19  21  59   0   0| 966M 1367M  164M 5127M|  41k   15k|   0  2983k|   0   109 |6719  6057 |1.30 0.85 0.46|1.0   0 552|   0     0 |           | 10    6    0   18    0
Apr 09 10:34:03 ubuntu dstat.sh[66115]: 09-04 10:34:03| 27  19  52   0   0| 997M 1335M  164M 5128M|  23k   13k|   0  2870k|   0  88.5 |6676  6316 |1.30 0.85 0.46|1.0   0 467|   0     0 |           | 10    6    0   17    0
Apr 09 10:34:04 ubuntu dstat.sh[66115]: 09-04 10:34:04| 30  14  55   1   0|1130M 1202M  164M 5250M|  40k   13k|   0  1652k|   0  50.0 |6713  9004 |1.30 0.85 0.46|  0   0 188|   0     0 |           | 11    5    0   17    1
Apr 09 10:34:05 ubuntu dstat.sh[66115]: 09-04 10:34:05| 25   7  67   1   0|1133M 1180M  164M 5269M| 174k 9732B|   0  2140k|   0  66.0 |3130  2343 |1.30 0.85 0.46|4.0   0  87|   0     0 |           | 11    6    0   17    2
Apr 09 10:34:06 ubuntu dstat.sh[66115]: 09-04 10:34:06| 38  12  48   1   0|1163M 1129M  165M 5285M|5464B 1616B|   0  2342k|   0  76.8 |4702  3470 |1.35 0.87 0.47|5.0   0 195|   0     0 |           | 11    6    0   19    2
Apr 09 10:34:07 ubuntu dstat.sh[66115]: 09-04 10:34:07| 44   6  49   0   0|1227M 1040M  166M 5307M|4889B 1461B|  32k 4871k|2.00   102 |3047  1816 |1.35 0.87 0.47|2.0 1.0 1.0|   0     0 |           | 11    6    0   19    2
Apr 09 10:34:08 ubuntu dstat.sh[66115]: 09-04 10:34:08| 41   6  48   3   0|1258M  989M  167M 5324M|5756B 1619B|   0    13M|   0   665 |5483  6783 |1.35 0.87 0.47|1.0 1.0  10|   0     0 |           | 11    8    0   19    2
Apr 09 10:34:09 ubuntu dstat.sh[66115]: 09-04 10:34:09| 32   7  44  14   0|1262M  949M  169M 5355M|4710B 1459B|   0    65M|   0  5261 |  18k   34k|1.35 0.87 0.47|5.0 1.0  72|   0     0 |           | 11    8    0   19    2
Apr 09 10:34:10 ubuntu dstat.sh[66115]: 09-04 10:34:10| 39   7  53   1   0|1159M 1063M  169M 5342M|  12k 4285B|   0    12M|   0   647 |4686  5383 |1.35 0.87 0.47|2.0   0  76|   0     0 |           | 11    4    0   19    0
Apr 09 10:34:11 ubuntu dstat.sh[66115]: 09-04 10:34:11| 41   5  53   1   0|1240M  983M  169M 5342M|9994B 3660B|   0  1359k|   0  60.9 |2830  1676 |1.32 0.87 0.47|3.0   0  34|   0     0 |           | 11    5    0   19    0
Apr 09 10:34:12 ubuntu dstat.sh[66115]: 09-04 10:34:12| 44   7  48   1   0|1222M  995M  169M 5348M|5205B 1861B|   0  8693k|   0   478 |3833  3370 |1.32 0.87 0.47|3.0   0  13|   0     0 |           | 11    4    0   19    0
Apr 09 10:34:13 ubuntu dstat.sh[66115]: 09-04 10:34:13| 41   5  53   1   0|1248M  962M  169M 5353M|  11k 4669B|   0  1424k|   0  79.0 |5805  8122 |1.32 0.87 0.47|3.0   0  22|   0     0 |           | 11    4    0   19    0
Apr 09 10:34:14 ubuntu dstat.sh[66115]: 09-04 10:34:14| 39  16  44   0   0|1223M  986M  169M 5353M|5000B 1459B|   0   148k|   0  4.00 |  17k   30k|1.32 0.87 0.47|3.0   0 331|   0     0 |           | 11    4    0   19    0
Apr 09 10:34:15 ubuntu dstat.sh[66115]: 09-04 10:34:15| 32  23  44   0   0|1155M 1066M  170M 5343M|5386B 1658B|   0  2338k|   0   112 |6866  7575 |1.32 0.87 0.47|2.0   0 475|   0     0 |           | 11    4    0   19    0
Apr 09 10:34:16 ubuntu dstat.sh[66115]: 09-04 10:34:16| 54  16  30   0   0|1194M 1027M  170M 5343M|3966B  162B|   0    20k|   0  5.01 |5352  5959 |1.46 0.91 0.49|2.0   0 267|   0     0 |           | 11    5    0   19    0
Apr 09 10:34:17 ubuntu dstat.sh[66115]: 09-04 10:34:17| 47   4  49   1   0|1258M  963M  170M 5344M|5197B 1296B|   0  2504k|   0   248 |3205  1998 |1.46 0.91 0.49|3.0   0 1.0|   0     0 |           | 11    5    0   19    0
Apr 09 10:34:18 ubuntu dstat.sh[66115]: 09-04 10:34:18| 44   8  48   0   0|1280M  940M  170M 5345M|5524B 1621B|   0   628k|   0  53.0 |3376  3329 |1.46 0.91 0.49|2.0   0   0|   0     0 |           | 11    5    0   19    0
Apr 09 10:34:19 ubuntu dstat.sh[66115]: 09-04 10:34:19| 19  10  71   0   0|1289M  929M  170M 5346M|5232B 1456B|   0    17M|   0   426 |4097  3690 |1.46 0.91 0.49|3.0   0 140|   0     0 |           | 11    4    0   20    0
Apr 09 10:34:20 ubuntu dstat.sh[66115]: 09-04 10:34:20| 22   3  73   0   0|1352M  866M  170M 5346M|5039B 1620B|   0   388k|   0  25.0 |1855  1431 |1.46 0.91 0.49|2.0   0   0|   0     0 |           | 11    4    0   20    0
Apr 09 10:34:21 ubuntu dstat.sh[66115]: 09-04 10:34:21| 24   2  74   0   0|1377M  842M  170M 5346M|4174B  973B|   0    44k|   0  1.00 |1682  1092 |1.42 0.91 0.49|2.0   0   0|   0     0 |           | 11    6    0   20    0
Apr 09 10:34:22 ubuntu dstat.sh[66115]: 09-04 10:34:22| 21   5  71   1   0|1305M  913M  170M 5346M|4951B 1561B|   0  3980k|   0   340 |4514  5816 |1.42 0.91 0.49|1.0   0  43|   0     0 |           | 11    4    0   22    0
Apr 09 10:34:23 ubuntu dstat.sh[66115]: 09-04 10:34:23| 23   3  73   0   0|1319M  898M  170M 5346M|4034B  972B| 144k  516k|7.00  7.00 |1777  1248 |1.42 0.91 0.49|2.0   0   0|   0     0 |           | 11    4    0   22    0
