Mar 24 05:54:54 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Mar 24 05:54:54 ubuntu dstat.sh[66536]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Mar 24 05:54:54 ubuntu dstat.sh[66536]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 24 05:54:54 ubuntu dstat.sh[66536]: 24-03 05:54:54|                   | 951M 1401M  163M 5110M|           |           |           |           |1.76 1.05 0.55|1.0   0    |           |           | 10    4    0   17    0
Mar 24 05:54:55 ubuntu dstat.sh[66536]: 24-03 05:54:55| 15  21  62   0   0| 961M 1391M  163M 5110M|  19k 4203B|   0   732k|   0  96.0 |5582  3976 |1.76 1.05 0.55|1.0   0 357|   0     0 |           | 10    4    0   17    0
Mar 24 05:54:56 ubuntu dstat.sh[66536]: 24-03 05:54:56| 18  21  59   0   0| 976M 1376M  164M 5110M|  26k   10k|   0  1283k|   0  71.0 |5572  3952 |1.76 1.05 0.55|4.0   0 349|   0     0 |           | 10    6    0   17    0
Mar 24 05:54:57 ubuntu dstat.sh[66536]: 24-03 05:54:57| 23  20  56   1   0| 979M 1371M  164M 5111M|  37k   16k|   0  1879k|   0  59.1 |5901  5588 |1.76 1.05 0.55|3.0   0 282|   0     0 |           | 10    6    0   17    0
Mar 24 05:54:58 ubuntu dstat.sh[66536]: 24-03 05:54:58| 31  16  50   0   0|1128M 1222M  164M 5233M|  41k   12k|   0  4994k|   0  63.0 |6565  8302 |1.76 1.05 0.55|  0   0 158|   0     0 |           | 11    6    0   17    0
Mar 24 05:54:59 ubuntu dstat.sh[66536]: 24-03 05:54:59| 31  10  58   0   0|1149M 1200M  164M 5234M|  21k   13k|   0  2983k|   0   123 |3948  2841 |1.78 1.07 0.56|1.0   0 117|   0     0 |           | 11    7    0   17    1
Mar 24 05:55:00 ubuntu dstat.sh[66536]: 24-03 05:55:00| 34  12  52   1   0|1177M 1151M  164M 5253M| 171k 9054B|  32k 3471k|2.00   101 |4683  3504 |1.78 1.07 0.56|1.0 1.0 171|   0     0 |           | 11    6    0   19    2
Mar 24 05:55:01 ubuntu dstat.sh[66536]: 24-03 05:55:01| 44   6  49   0   0|1244M 1057M  166M 5275M|4838B 1347B|   0  3072k|   0  48.9 |3038  1736 |1.78 1.07 0.56|3.0   0   0|   0     0 |           | 11    6    0   19    2
Mar 24 05:55:02 ubuntu dstat.sh[66536]: 24-03 05:55:02| 40   6  46   7   0|1259M 1017M  167M 5297M|4422B 1243B|   0    22M|   0  1638 |8973    14k|1.78 1.07 0.56|4.0 2.0  22|   0     0 |           | 11    8    0   19    2
Mar 24 05:55:03 ubuntu dstat.sh[66536]: 24-03 05:55:03| 37   7  42  12   0|1263M  992M  169M 5314M|5033B 1568B|   0    66M|   0  4922 |  16k   31k|1.78 1.07 0.56|2.0   0  63|   0     0 |           | 11    6    0   19    2
