Mar 26 13:19:43 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Mar 26 13:19:43 ubuntu dstat.sh[64913]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Mar 26 13:19:43 ubuntu dstat.sh[64913]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 26 13:19:43 ubuntu dstat.sh[64913]: 26-03 13:19:43|                   | 965M 1397M  166M 5099M|           |           |           |           |1.37 0.94 0.52|1.0   0    |           |           | 10    5    0   17    0
Mar 26 13:19:44 ubuntu dstat.sh[64913]: 26-03 13:19:44| 18  20  58   0   0| 976M 1386M  166M 5099M|  26k   11k|   0  1725k|   0   116 |5641  4377 |1.37 0.94 0.52|1.0   0 364|   0     0 |           | 10    6    0   17    0
Mar 26 13:19:45 ubuntu dstat.sh[64913]: 26-03 13:19:45| 16  21  61   1   0| 971M 1390M  166M 5100M|  32k   12k|   0  1557k|   0  83.4 |5454  4020 |1.37 0.94 0.52|2.0   0 334|   0     0 |           | 10    6    0   17    0
Mar 26 13:19:46 ubuntu dstat.sh[64913]: 26-03 13:19:46| 27  20  51   1   0|1007M 1353M  166M 5100M|  23k   13k|   0  1741k|   0  53.0 |5475  5687 |1.37 0.94 0.52|3.0   0 302|   0     0 |           | 10    6    0   17    0
Mar 26 13:19:47 ubuntu dstat.sh[64913]: 26-03 13:19:47| 30  16  52   0   0|1118M 1241M  166M 5223M|  42k   14k|   0  5149k|   0  69.8 |6021  7257 |1.37 0.94 0.52|3.0   0 185|   0     0 |           | 11    5    0   17    1
Mar 26 13:19:48 ubuntu dstat.sh[64913]: 26-03 13:19:48| 28   8  63   1   0|1110M 1228M  167M 5243M| 171k   10k|   0  2013k|   0  74.0 |3470  2696 |1.34 0.94 0.53|2.0   0  97|   0     0 |           | 11    6    0   17    2
Mar 26 13:19:49 ubuntu dstat.sh[64913]: 26-03 13:19:49| 37  14  48   1   0|1130M 1184M  168M 5262M|4256B 1341B|   0  3428k|   0   133 |4764  3529 |1.34 0.94 0.53|2.0   0 190|   0     0 |           | 11    6    0   19    2
Mar 26 13:19:50 ubuntu dstat.sh[64913]: 26-03 13:19:50| 45   5  48   1   0|1186M 1105M  168M 5282M|2735B  162B|  32k 3360k|2.00  67.8 |3126  1965 |1.34 0.94 0.53|2.0   0   0|   0     0 |           | 11    6    0   19    2
Mar 26 13:19:51 ubuntu dstat.sh[64913]: 26-03 13:19:51| 42   6  48   3   0|1231M 1041M  170M 5298M|5055B 1619B|   0    13M|   0   866 |5249  6996 |1.34 0.94 0.53|1.0 1.0  10|   0     0 |           | 11    8    0   19    2
Mar 26 13:19:52 ubuntu dstat.sh[64913]: 26-03 13:19:52| 34   9  43  14   0|1235M 1001M  171M 5329M|4226B 1461B|   0    54M|   0  4341 |  14k   29k|1.34 0.94 0.53|3.0 1.0  64|   0     0 |           | 11    8    0   19    2
Mar 26 13:19:53 ubuntu dstat.sh[64913]: 26-03 13:19:53| 38   8  51   2   0|1255M  994M  172M 5316M|  11k 4338B|   0    21M|   0  1258 |6545  9433 |1.40 0.96 0.54|2.0   0  84|   0     0 |           | 11    4    0   19    0
Mar 26 13:19:54 ubuntu dstat.sh[64913]: 26-03 13:19:54| 45  11  43   0   0|1276M  973M  172M 5316M|8982B 2888B|   0  1170k|   0  59.9 |3931    15k|1.40 0.96 0.54|1.0   0  71|   0     0 |           | 11    5    0   19    0
Mar 26 13:19:55 ubuntu dstat.sh[64913]: 26-03 13:19:55| 44   6  48   1   0|1252M  990M  172M 5321M|6418B 2628B|   0  8464k|   0   470 |3769  3291 |1.40 0.96 0.54|2.0   0  13|   0     0 |           | 11    4    0   19    0
Mar 26 13:19:56 ubuntu dstat.sh[64913]: 26-03 13:19:56| 38   7  53   0   0|1257M  979M  172M 5326M|  11k 4564B|   0  1182k|   0  64.9 |2766  1684 |1.40 0.96 0.54|2.0   0  18|   0     0 |           | 11    4    0   19    0
Mar 26 13:19:57 ubuntu dstat.sh[64913]: 26-03 13:19:57| 44  10  45   0   0|1230M 1005M  172M 5327M|5017B 1632B|   0   101k|   0  4.03 |  13k   22k|1.40 0.96 0.54|3.0   0  62|   0     0 |           | 11    4    0   19    0
