Feb 26 17:51:18 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Feb 26 17:51:18 ubuntu dstat.sh[59076]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Feb 26 17:51:18 ubuntu dstat.sh[59076]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Feb 26 17:51:18 ubuntu dstat.sh[59076]: 26-02 17:51:18|                   | 980M 1660M  158M 4844M|           |           |           |           |1.34 0.85 0.47|2.0   0    |           |           | 10    6    0   17    0
Feb 26 17:51:19 ubuntu dstat.sh[59076]: 26-02 17:51:19| 21  22  55   0   0| 992M 1647M  158M 4844M|  20k   11k|   0  1435k|   0  51.0 |5614  4165 |1.34 0.85 0.47|1.5   0 371|   0     0 |           | 10    6    0   17    0
Feb 26 17:51:20 ubuntu dstat.sh[59076]: 26-02 17:51:20| 23  21  55   1   0| 992M 1646M  158M 4844M|  43k   14k|   0  1977k|   0  57.0 |5589  4157 |1.34 0.85 0.47|7.0   0 366|   0     0 |           | 10    5    0   17    1
Feb 26 17:51:21 ubuntu dstat.sh[59076]: 26-02 17:51:21| 27  20  52   1   0| 995M 1633M  158M 4854M| 143k   14k|   0  2685k|   0  55.0 |6017  5265 |1.34 0.85 0.47|3.0   0 280|   0     0 |           | 10    5    0   17    1
Feb 26 17:51:22 ubuntu dstat.sh[59076]: 26-02 17:51:22| 38  17  43   0   0|1112M 1495M  159M 4994M|  46k 3081B|   0  3334k|   0   199 |6886  8115 |1.34 0.85 0.47|2.0   0 154|   0     0 |           | 11    4    0   17    2
Feb 26 17:51:23 ubuntu dstat.sh[59076]: 26-02 17:51:23| 32   9  58   1   0|1137M 1452M  160M 5009M|3417B  595B|  16k 1322k|1.00  33.1 |3402  2495 |1.31 0.86 0.48|5.0   0  91|   0     0 |           | 11    6    0   17    2
Feb 26 17:51:24 ubuntu dstat.sh[59076]: 26-02 17:51:24| 36  14  48   1   0|1156M 1409M  160M 5031M|4508B 1405B|   0  3139k|   0   142 |4974  3755 |1.31 0.86 0.48|4.0   0 190|   0     0 |           | 11    6    0   19    2
Feb 26 17:51:25 ubuntu dstat.sh[59076]: 26-02 17:51:25| 44   7  49   1   0|1201M 1332M  161M 5058M|4338B 1604B| 475k 4326k|17.8   113 |3362  2344 |1.31 0.86 0.48|3.0   0 5.9|   0     0 |           | 11    6    0   19    2
Feb 26 17:51:26 ubuntu dstat.sh[59076]: 26-02 17:51:26| 41   5  53   1   0|1251M 1286M  162M 5051M|  10k 3870B| 128k 2891k|6.01  66.2 |2916  1880 |1.31 0.86 0.48|3.0   0   0|   0     0 |           | 11    6    0   19    3
Feb 26 17:51:27 ubuntu dstat.sh[59076]: 26-02 17:51:27| 33   9  45  11   0|1257M 1270M  164M 5059M|4878B 1956B|   0    41M|   0  3335 |  15k   27k|1.31 0.86 0.48|1.0 2.0  74|   0     0 |           | 11    6    0   19    0
Feb 26 17:51:28 ubuntu dstat.sh[59076]: 26-02 17:51:28| 35  10  49   4   0|1173M 1346M  165M 5066M|  11k 3889B|   0    33M|   0  2375 |  10k   17k|1.29 0.86 0.48|3.0   0 120|   0     0 |           | 11    4    0   19    0
