Apr 01 09:07:39 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Apr 01 09:07:39 ubuntu dstat.sh[65050]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Apr 01 09:07:39 ubuntu dstat.sh[65050]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 01 09:07:39 ubuntu dstat.sh[65050]: 01-04 09:07:39|                   | 943M 1408M  164M 5111M|           |           |           |           |1.46 1.05 0.57|1.0   0    |           |           | 10    5    0   17    0
Apr 01 09:07:40 ubuntu dstat.sh[65050]: 01-04 09:07:40| 16  21  61   0   0| 950M 1401M  164M 5111M|  17k 9683B|   0  8668k|   0   555 |6586  5370 |1.44 1.05 0.57|1.0   0 470|   0     0 |           | 10    5    0   17    0
Apr 01 09:07:41 ubuntu dstat.sh[65050]: 01-04 09:07:41| 21  18  58   0   0| 945M 1405M  164M 5112M|  42k   13k|   0  1736k|   0   307 |6395  5623 |1.43 1.05 0.58|2.0   0 410|   0     0 |           | 10    6    0   17    0
Apr 01 09:07:42 ubuntu dstat.sh[65050]: 01-04 09:07:42| 28  19  51   0   0| 965M 1384M  164M 5112M|  16k 9946B|   0  1042k|   0  34.1 |6468  6673 |1.43 1.05 0.58| 13   0 284|   0     0 |           | 10    6    0   17    0
Apr 01 09:07:43 ubuntu dstat.sh[65050]: 01-04 09:07:43| 24  13  61   0   0|1124M 1224M  164M 5235M|  41k   13k|   0  1532k|   0  51.0 |4466  4255 |1.43 1.05 0.58|2.0   0  97|   0     0 |           | 11    7    0   17    1
Apr 01 09:07:44 ubuntu dstat.sh[65050]: 01-04 09:07:44| 31  13  56   1   0|1137M 1194M  164M 5250M| 177k   13k|   0  4117k|   0   219 |4169  2862 |1.43 1.05 0.58|2.0   0 160|   0     0 |           | 11    6    0   17    2
Apr 01 09:07:45 ubuntu dstat.sh[65050]: 01-04 09:07:45| 41   9  48   0   0|1208M 1107M  165M 5263M|4741B 1617B|  32k 6540k|2.00  98.8 |3779  2574 |1.47 1.06 0.58|3.0   0  51|   0     0 |           | 11    6    0   19    2
Apr 01 09:07:46 ubuntu dstat.sh[65050]: 01-04 09:07:46| 45   6  49   0   0|1239M 1056M  166M 5280M|4820B 1621B|   0  2926k|   0  43.0 |3126  1872 |1.47 1.06 0.58|2.0   0   0|   0     0 |           | 11    6    0   19    2
Apr 01 09:07:47 ubuntu dstat.sh[65050]: 01-04 09:07:47| 33   8  45  13   0|1267M  996M  168M 5308M|4689B 1623B|   0    39M|   0  2601 |  13k   22k|1.47 1.06 0.58|3.0   0  50|   0     0 |           | 11    8    0   19    2
Apr 01 09:07:48 ubuntu dstat.sh[65050]: 01-04 09:07:48| 37   9  41  10   0|1204M 1026M  169M 5336M|4985B 1618B|   0    45M|   0  2832 |  13k   22k|1.47 1.06 0.58|2.0   0  98|   0     0 |           | 11    6    0   19    2
Apr 01 09:07:49 ubuntu dstat.sh[65050]: 01-04 09:07:49| 39   6  53   1   0|1289M  949M  170M 5327M|  12k 4343B|   0  2669k|   0   193 |2961  2084 |1.47 1.06 0.58|2.0   0  11|   0     0 |           | 11    4    0   19    0
Apr 01 09:07:50 ubuntu dstat.sh[65050]: 01-04 09:07:50| 45   6  47   1   0|1272M  966M  170M 5327M|5950B 1456B|   0  8705k|   0   460 |3462  3202 |1.52 1.08 0.59|2.0   0  19|   0     0 |           | 11    4    0   19    0
Apr 01 09:07:51 ubuntu dstat.sh[65050]: 01-04 09:07:51| 40   6  53   1   0|1253M  979M  170M 5332M|  12k 3907B|   0  1965k|   0   123 |3091  1910 |1.52 1.08 0.59|2.0   0  27|   0     0 |           | 11    4    0   19    0
Apr 01 09:07:52 ubuntu dstat.sh[65050]: 01-04 09:07:52| 40   6  54   0   0|1270M  962M  170M 5332M|  11k 4509B|   0   744k|   0  57.0 |2872  1551 |1.52 1.08 0.59|3.0   0  18|   0     0 |           | 11    5    0   19    0
Apr 01 09:07:53 ubuntu dstat.sh[65050]: 01-04 09:07:53| 33  21  44   0   0|1231M  993M  171M 5338M|5092B 1840B|   0  1772k|   0   186 |  12k   19k|1.52 1.08 0.59|3.0   0 291|   0     0 |           | 11    4    0   19    0
Apr 01 09:07:54 ubuntu dstat.sh[65050]: 01-04 09:07:54| 28  28  41   0   0|1233M  991M  171M 5338M|4881B 1501B|   0   124k|   0  11.0 |  13k   20k|1.52 1.08 0.59|3.0   0 442|   0     0 |           | 11    4    0   19    0
Apr 01 09:07:55 ubuntu dstat.sh[65050]: 01-04 09:07:55| 40  18  40   0   0|1199M 1037M  171M 5327M|3620B  540B|   0    15M|   0   212 |6169  7631 |1.55 1.10 0.60|4.0   0 179|   0     0 |           | 11    4    0   19    0
Apr 01 09:07:56 ubuntu dstat.sh[65050]: 01-04 09:07:56| 57  11  30   0   0|1260M  976M  171M 5327M|4940B 1453B|   0  4083B|   0  1.00 |3796  2235 |1.55 1.10 0.60|2.0   0 170|   0     0 |           | 11    5    0   19    0
Apr 01 09:07:57 ubuntu dstat.sh[65050]: 01-04 09:07:57| 44   7  49   0   0|1297M  938M  171M 5328M|5015B 1563B|   0   519k|   0  45.9 |2778  1415 |1.55 1.10 0.60|2.0   0   0|   0     0 |           | 11    5    0   19    0
Apr 01 09:07:58 ubuntu dstat.sh[65050]: 01-04 09:07:58| 39   9  51   1   0|1318M  915M  171M 5330M|4488B 1517B|   0  4451k|   0   344 |4045  4202 |1.55 1.10 0.60|2.0   0  52|   0     0 |           | 11    4    0   20    0
Apr 01 09:07:59 ubuntu dstat.sh[65050]: 01-04 09:07:59|  3   6  90   0   0|1315M  918M  171M 5330M|4484B 1565B|   0    44k|   0  4.00 |1878  1779 |1.55 1.10 0.60|2.0   0  71|   0     0 |           | 10    4    0   20    0
Apr 01 09:08:00 ubuntu dstat.sh[65050]: 01-04 09:08:00| 22   7  71   0   0|1384M  849M  171M 5330M|4850B 1515B|   0  9204k|   0   142 |2438  1941 |1.51 1.09 0.60|5.0   0  32|   0     0 |           | 11    4    0   13    0
Apr 01 09:08:01 ubuntu dstat.sh[65050]: 01-04 09:08:01| 28   5  66   0   0|1385M  848M  171M 5330M|4614B 1612B|   0  4402k|   0  18.9 |2711    12k|1.51 1.09 0.60|1.0   0  22|   0     0 |           | 11    4    0   14    0
Apr 01 09:08:02 ubuntu dstat.sh[65050]: 01-04 09:08:02| 23   3  71   2   0|1393M  840M  171M 5330M|4762B 1627B|   0  4963k|   0   420 |3953  5502 |1.51 1.09 0.60|1.0   0 1.0|   0     0 |           | 11   10    0   14    0
Apr 01 09:08:03 ubuntu dstat.sh[65050]: 01-04 09:08:03| 19   7  73   0   0|1378M  855M  171M 5330M|4489B 1567B|   0   496k|   0  12.0 |2450  1795 |1.51 1.09 0.60|1.0   0  42|   0     0 |           | 11    4    0   16    0
Apr 01 09:08:04 ubuntu dstat.sh[65050]: 01-04 09:08:04| 20   2  78   0   0|1396M  837M  171M 5331M|7353B 3887B| 144k  918k|6.98  34.9 |1775  1327 |1.51 1.09 0.60|1.0   0   0|   0     0 |           | 11   11    0   16    0
Apr 01 09:08:05 ubuntu dstat.sh[65050]: 01-04 09:08:05| 21   2  74   1   0|1397M  836M  171M 5331M|8228B 5943B| 268k 1571k|66.0  62.0 |2834  3025 |1.55 1.11 0.61|  0   0 3.0|   0     0 |           | 11   29    0   16    0
Apr 01 09:08:06 ubuntu dstat.sh[65050]: 01-04 09:08:06| 19   8  72   0   0|1382M  850M  171M 5331M|7402B 3174B|   0    29M|   0   184 |2885  2220 |1.55 1.11 0.61|2.0   0  43|   0     0 |           | 11   28    0   17    0
Apr 01 09:08:07 ubuntu dstat.sh[65050]: 01-04 09:08:07| 19   2  79   0   0|1406M  826M  171M 5331M|8382B 5648B|   0  2261k|   0  14.0 |1742  1297 |1.55 1.11 0.61|1.0   0   0|   0     0 |           | 11   29    0   17    0
Apr 01 09:08:08 ubuntu dstat.sh[65050]: 01-04 09:08:08| 21  14  65   0   0|1383M  849M  171M 5331M|7320B 4287B|   0    12k|   0  3.00 |3789  2699 |1.55 1.11 0.61|3.0   0 156|   0     0 |           | 11   28    0   18    0
Apr 01 09:08:09 ubuntu dstat.sh[65050]: 01-04 09:08:09| 36   5  57   0   0|1432M  801M  171M 5331M|  10k 7535B|   0   796k|   0  29.0 |3017  2069 |1.55 1.11 0.61|3.0   0 1.0|   0     0 |           | 11   30    0   18    0
Apr 01 09:08:10 ubuntu dstat.sh[65050]: 01-04 09:08:10| 37   6  57   0   0|1433M  799M  171M 5331M|  16k   13k|   0   288k|   0  28.0 |5830  7643 |1.59 1.12 0.62|2.0   0 6.0|   0     0 |           | 11   28    0   19    0
Apr 01 09:08:11 ubuntu dstat.sh[65050]: 01-04 09:08:11| 58  31  11   0   0|1477M  755M  171M 5331M|4582B 1686B|   0  7419k|   0   459 |6092  4691 |1.59 1.12 0.62|6.0   0 578|   0     0 |           | 11   28    0   19    0
Apr 01 09:08:12 ubuntu dstat.sh[65050]: 01-04 09:08:12| 85  15   1   0   0|1705M  526M  171M 5331M|  17k   15k|   0     0 |   0     0 |5603  3813 |1.59 1.12 0.62|5.0   0   0|   0     0 |           | 11   32    0   19    0
Apr 01 09:08:13 ubuntu dstat.sh[65050]: 01-04 09:08:13| 78   8  13   0   0|1714M  517M  171M 5331M|  34k   30k|   0   583k|   0  59.9 |8188    14k|1.59 1.12 0.62|6.0   0  20|   0     0 |           | 11   29    0   22    0
Apr 01 09:08:14 ubuntu dstat.sh[65050]: 01-04 09:08:14| 24  14  59   0   0|1505M  726M  171M 5332M|7865B 4713B|   0  2021k|   0   122 |4906  4924 |1.59 1.12 0.62|1.0   0 292|   0     0 |           | 11   28    0   23    0
Apr 01 09:08:15 ubuntu dstat.sh[65050]: 01-04 09:08:15| 19   3  77   0   0|1485M  747M  171M 5332M|6345B 3584B|   0   148k|   0  7.00 |1709  1259 |1.54 1.12 0.62|  0   0   0|   0     0 |           | 11   29    0   23    0
Apr 01 09:08:16 ubuntu dstat.sh[65050]: 01-04 09:08:16| 18   3  77   0   0|1464M  767M  171M 5332M|  10k 6474B|   0    26M|   0   231 |3185  3819 |1.54 1.12 0.62|1.0   0   0|   0     0 |           | 11   28    0   24    0
Apr 01 09:08:17 ubuntu dstat.sh[65050]: 01-04 09:08:17| 19   8  73   0   0|1438M  794M  171M 5332M|5041B 1620B|   0     0 |   0     0 |2530  1770 |1.54 1.12 0.62|1.0   0  68|   0     0 |           | 11   28    0   24    0
Apr 01 09:08:18 ubuntu dstat.sh[65050]: 01-04 09:08:18| 15   2  82   0   0|1440M  792M  171M 5332M|9557B 7422B|   0     0 |   0     0 |2116  2069 |1.54 1.12 0.62|  0   0   0|   0     0 |           | 11   29    0   24    0
Apr 01 09:08:19 ubuntu dstat.sh[65050]: 01-04 09:08:19| 12  16  70   0   0|1403M  828M  171M 5332M|7147B 2623B|   0   605k|   0  27.1 |4849  3922 |1.54 1.12 0.62|2.0   0 260|   0     0 |           | 11   28    0   25    0
Apr 01 09:08:20 ubuntu dstat.sh[65050]: 01-04 09:08:20| 11  28  60   0   0|1373M  859M  171M 5332M|5000B 1459B|   0   208k|   0  16.0 |5767  4125 |1.58 1.14 0.63|4.0   0 480|   0     0 |           | 11   28    0   25    0
Apr 01 09:08:21 ubuntu dstat.sh[65050]: 01-04 09:08:21| 74  24   2   0   0|1542M  689M  171M 5332M|6017B 2235B|   0    61M|   0   305 |5652  4051 |1.58 1.14 0.63|4.0   0 300|   0     0 |           | 11   29    0   25    0
Apr 01 09:08:22 ubuntu dstat.sh[65050]: 01-04 09:08:22| 75   9  15   0   0|1643M  589M  171M 5332M|  30k   27k|   0    76k|   0  5.99 |6615  6829 |1.58 1.14 0.63|4.0   0   0|   0     0 |           | 11   33    0   25    0
Apr 01 09:08:23 ubuntu dstat.sh[65050]: 01-04 09:08:23| 72  14  15   0   0|1466M  765M  171M 5332M|  28k   22k|   0   677k|   0  83.1 |9445    13k|1.58 1.14 0.63|6.0   0 178|   0     0 |           | 11   28    0   26    0
Apr 01 09:08:24 ubuntu dstat.sh[65050]: 01-04 09:08:24| 82  18   0   0   0|1590M  641M  171M 5332M|5207B 1566B|   0   180k|   0  10.0 |5009  3026 |1.58 1.14 0.63|6.0   0 132|   0     0 |           | 11   28    0   26    0
Apr 01 09:08:25 ubuntu dstat.sh[65050]: 01-04 09:08:25| 80  10   9   0   0|1707M  524M  171M 5332M|  31k   29k|   0   752k|   0  40.0 |7282  6865 |1.53 1.13 0.63|4.0   0   0|   0     0 |           | 11   34    0   26    0
Apr 01 09:08:26 ubuntu dstat.sh[65050]: 01-04 09:08:26| 73   9  15   0   0|1616M  615M  171M 5332M|  43k   35k|   0  2247k|   0   164 |  10k   16k|1.53 1.13 0.63|4.0   0 120|   0     0 |           | 11   28    0   31    0
Apr 01 09:08:27 ubuntu dstat.sh[65050]: 01-04 09:08:27| 41  14  45   0   0|1534M  696M  171M 5332M|4833B 1512B|   0   176k|   0  12.0 |3504  2416 |1.53 1.13 0.63|2.0   0 178|   0     0 |           | 11   28    0   31    0
Apr 01 09:08:28 ubuntu dstat.sh[65050]: 01-04 09:08:28| 25   4  70   0   0|1544M  687M  171M 5333M|  14k   12k|   0   108k|   0  5.98 |3179  3144 |1.53 1.13 0.63|1.0   0   0|   0     0 |           | 11   30    0   31    0
Apr 01 09:08:29 ubuntu dstat.sh[65050]: 01-04 09:08:29| 33  18  47   0   0|1425M  806M  171M 5333M|  14k 9625B|   0   321k|   0  28.1 |5762  6512 |1.53 1.13 0.63|5.0   0 331|   0     0 |           | 11   28    0   29    0
Apr 01 09:08:30 ubuntu dstat.sh[65050]: 01-04 09:08:30| 58   9  32   0   0|1538M  692M  171M 5333M|8005B 6033B|   0   163k|   0  8.97 |3530  1660 |1.65 1.17 0.64|  0   0  49|   0     0 |           | 11   31    0   29    0
Apr 01 09:08:31 ubuntu dstat.sh[65050]: 01-04 09:08:31| 43   6  50   1   0|1532M  698M  171M 5333M|  29k   23k|   0  1599k|   0   171 |7448  9690 |1.65 1.17 0.64|2.0   0   0|   0     0 |           | 11   30    0   30    0
Apr 01 09:08:32 ubuntu dstat.sh[65050]: 01-04 09:08:32| 69  23   8   0   0|1493M  737M  171M 5333M|7432B 2856B|   0   375k|   0  29.0 |5344  3897 |1.65 1.17 0.64|4.0   0 258|   0     0 |           | 11   28    0   30    0
