Mar 26 09:38:21 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Mar 26 09:38:21 ubuntu dstat.sh[65226]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Mar 26 09:38:21 ubuntu dstat.sh[65226]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 26 09:38:21 ubuntu dstat.sh[65226]: 26-03 09:38:21|                   | 964M 1388M  164M 5110M|           |           |           |           |1.75 0.99 0.52|1.0   0    |           |           | 10    6    0   17    0
Mar 26 09:38:22 ubuntu dstat.sh[65226]: 26-03 09:38:22| 18  22  58   1   0| 977M 1374M  164M 5111M|  33k   14k|   0  2214k|   0  73.1 |5584  4271 |1.80 1.00 0.53|1.5   0 347|   0     0 |           | 10    6    0   17    0
Mar 26 09:38:23 ubuntu dstat.sh[65226]: 26-03 09:38:23| 22  21  54   0   0| 996M 1354M  164M 5111M|  37k   11k|   0  1616k|   0  62.0 |5565  4149 |1.85 1.02 0.54|1.0   0 347|   0     0 |           | 10    6    0   17    0
Mar 26 09:38:24 ubuntu dstat.sh[65226]: 26-03 09:38:24| 29  19  50   0   0|1006M 1343M  164M 5112M|  20k   11k|   0  4902k|   0  60.0 |5483  5327 |1.85 1.02 0.54|1.0   0 269|   0     0 |           | 10    5    0   17    1
Mar 26 09:38:25 ubuntu dstat.sh[65226]: 26-03 09:38:25| 34  19  45   1   0|1119M 1207M  165M 5254M| 168k 6500B|   0  2438k|   0  75.9 |5772  8310 |1.85 1.02 0.54|1.0   0 179|   0     0 |           | 11    4    0   17    2
Mar 26 09:38:26 ubuntu dstat.sh[65226]: 26-03 09:38:26| 23   3  72   0   0|1130M 1174M  165M 5274M|3693B  539B|   0  1570k|   0  43.0 |2159  1814 |1.85 1.02 0.54|2.0   0  10|   0     0 |           | 11    6    0   17    2
Mar 26 09:38:27 ubuntu dstat.sh[65226]: 26-03 09:38:27| 40  11  47   0   0|1145M 1138M  166M 5292M|3124B  486B|   0  1431k|   0  56.0 |4014  2563 |1.86 1.04 0.55|2.0   0 107|   0     0 |           | 11    6    0   17    2
Mar 26 09:38:28 ubuntu dstat.sh[65226]: 26-03 09:38:28| 36  14  47   2   0|1173M 1093M  167M 5305M|3399B  585B|  32k 4123k|2.01   151 |4702  3808 |1.86 1.04 0.55|2.0   0 171|   0     0 |           | 11    6    0   19    2
Mar 26 09:38:29 ubuntu dstat.sh[65226]: 26-03 09:38:29| 43   7  48   1   0|1231M 1003M  168M 5332M|3177B  485B|   0  4551k|   0  94.7 |3300  2188 |1.86 1.04 0.55|2.0   0   0|   0     0 |           | 11    6    0   19    2
Mar 26 09:38:30 ubuntu dstat.sh[65226]: 26-03 09:38:30| 36   6  52   5   0|1247M  998M  169M 5321M|9727B 3342B|   0    18M|   0  1367 |7130    11k|1.86 1.04 0.55|2.0   0  12|   0     0 |           | 11    6    0   19    0
Mar 26 09:38:31 ubuntu dstat.sh[65226]: 26-03 09:38:31| 32   8  47  11   0|1252M  985M  170M 5328M|9240B 2648B|   0    55M|   0  4699 |  17k   32k|1.86 1.04 0.55|2.0   0 105|   0     0 |           | 11    7    0   19    0
Mar 26 09:38:32 ubuntu dstat.sh[65226]: 26-03 09:38:32| 41   9  48   0   0|1262M  970M  170M 5332M|4427B  660B|   0  7807k|   0   482 |4093  3451 |1.88 1.05 0.55|2.0   0  78|   0     0 |           | 11    4    0   19    0
Mar 26 09:38:33 ubuntu dstat.sh[65226]: 26-03 09:38:33| 40   6  52   0   0|1288M  938M  170M 5337M|  11k 3700B|   0  2498k|   0   160 |7879    12k|1.88 1.05 0.55|2.0   0  22|   0     0 |           | 11    4    0   19    0
Mar 26 09:38:34 ubuntu dstat.sh[65226]: 26-03 09:38:34| 43  10  44   1   0|1263M  961M  170M 5338M|4673B  485B|   0  8405k|   0   405 |  16k   28k|1.88 1.05 0.55|2.0   0  24|   0     0 |           | 11    4    0   19    0
Mar 26 09:38:35 ubuntu dstat.sh[65226]: 26-03 09:38:35| 42   9  49   0   0|1249M  988M  170M 5327M|5898B  582B|   0  1052k|   0  38.0 |3190  1879 |1.88 1.05 0.55|3.0   0  15|   0     0 |           | 11    4    0   19    0
Mar 26 09:38:36 ubuntu dstat.sh[65226]: 26-03 09:38:36| 38  14  47   0   0|1182M 1055M  170M 5327M|5810B  487B|   0  8217B|   0  2.01 |5023  3808 |1.88 1.05 0.55|3.0   0 357|   0     0 |           | 11    4    0   19    0
Mar 26 09:38:37 ubuntu dstat.sh[65226]: 26-03 09:38:37| 10  21  67   0   0|1138M 1099M  170M 5327M|3466B  257B|   0    44k|   0  11.0 |5989  4820 |1.81 1.05 0.56|1.0   0 436|   0     0 |           | 11    4    0   19    0
Mar 26 09:38:38 ubuntu dstat.sh[65226]: 26-03 09:38:38| 27  16  58   0   0|1156M 1080M  170M 5327M|3211B  325B|   0  8211B|   0  2.00 |5759  7250 |1.81 1.05 0.56|3.0   0 210|   0     0 |           | 11    4    0   19    0
Mar 26 09:38:39 ubuntu dstat.sh[65226]: 26-03 09:38:39| 45   8  46   0   0|1215M 1021M  170M 5328M|3911B  539B|   0     0 |   0     0 |3080  1622 |1.81 1.05 0.56|2.0   0  43|   0     0 |           | 11    5    0   19    0
Mar 26 09:38:40 ubuntu dstat.sh[65226]: 26-03 09:38:40| 44   7  48   0   0|1238M  998M  170M 5328M|3320B  540B|   0    15M|   0  87.0 |2769  1459 |1.81 1.05 0.56|2.0   0   0|   0     0 |           | 11    5    0   19    0
Mar 26 09:38:41 ubuntu dstat.sh[65226]: 26-03 09:38:41| 29  11  59   1   0|1271M  963M  170M 5330M|3323B  486B|   0  1820k|   0  67.0 |4821  5662 |1.81 1.05 0.56|  0   0 118|   0     0 |           | 11    4    0   13    0
Mar 26 09:38:42 ubuntu dstat.sh[65226]: 26-03 09:38:42| 13   4  81   0   0|1320M  914M  170M 5330M|3134B  539B|   0   475k|   0  31.9 |1751  1655 |1.74 1.05 0.56|1.0   0  22|   0     0 |           | 11    4    0   13    0
Mar 26 09:38:43 ubuntu dstat.sh[65226]: 26-03 09:38:43| 24   3  73   0   0|1356M  878M  170M 5330M|3093B  540B|   0     0 |   0     0 |1803  1217 |1.74 1.05 0.56|1.0   0   0|   0     0 |           | 11    4    0   13    0
Mar 26 09:38:44 ubuntu dstat.sh[65226]: 26-03 09:38:44| 24   2  72   1   0|1368M  866M  170M 5331M|2828B  486B|   0  2182k|   0   286 |3626  4763 |1.74 1.05 0.56|1.0   0 1.0|   0     0 |           | 11   10    0   13    0
Mar 26 09:38:45 ubuntu dstat.sh[65226]: 26-03 09:38:45| 19   7  72   0   0|1292M  942M  170M 5331M|3138B  540B|   0    18M|   0   381 |2495  1799 |1.74 1.05 0.56|1.0   0  42|   0     0 |           | 11    4    0   15    0
Mar 26 09:38:46 ubuntu dstat.sh[65226]: 26-03 09:38:46| 20   2  78   0   0|1315M  919M  171M 5331M|5750B 2874B| 144k  376k|7.01  2.00 |1635  1138 |1.74 1.05 0.56|1.0   0 1.0|   0     0 |           | 11   11    0   15    0
Mar 26 09:38:47 ubuntu dstat.sh[65226]: 26-03 09:38:47| 20   3  75   1   0|1318M  915M  171M 5331M|9382B 6581B| 268k 6475k|66.0   197 |3138  3492 |1.68 1.05 0.56|2.0   0 5.0|   0     0 |           | 11   30    0   16    0
Mar 26 09:38:48 ubuntu dstat.sh[65226]: 26-03 09:38:48| 20   5  73   0   0|1357M  876M  171M 5331M|2943B  486B|   0     0 |   0     0 |2267  1595 |1.68 1.05 0.56|1.0   0  43|   0     0 |           | 11   30    0   16    0
Mar 26 09:38:49 ubuntu dstat.sh[65226]: 26-03 09:38:49| 17   3  80   0   0|1322M  911M  171M 5331M|9760B 7522B|   0    68k|   0  7.00 |2024  1816 |1.68 1.05 0.56|1.0   0   0|   0     0 |           | 11   30    0   17    0
Mar 26 09:38:50 ubuntu dstat.sh[65226]: 26-03 09:38:50| 34  14  51   0   0|1354M  878M  171M 5331M|2803B  379B|   0    31M|   0   208 |3979  2841 |1.68 1.05 0.56|3.0   0 156|   0     0 |           | 11   30    0   17    0
Mar 26 09:38:51 ubuntu dstat.sh[65226]: 26-03 09:38:51| 32   5  63   0   0|1392M  841M  171M 5331M|  13k   11k|   0     0 |   0     0 |3453  3343 |1.68 1.05 0.56|1.0   0   0|   0     0 |           | 11   32    0   17    0
Mar 26 09:38:52 ubuntu dstat.sh[65226]: 26-03 09:38:52| 42  19  37   0   0|1386M  847M  171M 5331M|  11k 7380B|   0   931k|   0  36.0 |6900  8447 |1.87 1.10 0.58|7.0   0 435|   0     0 |           | 11   30    0   18    0
Mar 26 09:38:53 ubuntu dstat.sh[65226]: 26-03 09:38:53| 83  17   0   0   0|1591M  642M  171M 5331M|6667B 4432B|   0   433k|   0  70.1 |5266  3332 |1.87 1.10 0.58|5.0   0 143|   0     0 |           | 11   32    0   18    0
Mar 26 09:38:54 ubuntu dstat.sh[65226]: 26-03 09:38:54| 80  11   9   0   0|1700M  532M  171M 5332M|  32k   29k|   0  7448k|   0   299 |7850    10k|1.87 1.10 0.58|4.0   0 6.0|   0     0 |           | 11   35    0   18    0
Mar 26 09:38:55 ubuntu dstat.sh[65226]: 26-03 09:38:55| 54  12  33   0   0|1535M  697M  171M 5332M|  16k   12k|   0  1786k|   0  73.1 |6795  8763 |1.87 1.10 0.58|1.0   0 250|   0     0 |           | 11   30    0   23    0
Mar 26 09:38:56 ubuntu dstat.sh[65226]: 26-03 09:38:56| 21   7  72   0   0|1508M  724M  171M 5332M|3398B  540B|   0   352k|   0  20.0 |2591  2341 |1.87 1.10 0.58|1.0   0  60|   0     0 |           | 11   30    0   23    0
Mar 26 09:38:57 ubuntu dstat.sh[65226]: 26-03 09:38:57| 15   3  82   0   0|1483M  749M  171M 5332M|9140B 6614B|   0   148k|   0  7.01 |2172  2354 |1.80 1.10 0.58|1.0   0 1.0|   0     0 |           | 11   31    0   23    0
Mar 26 09:38:58 ubuntu dstat.sh[65226]: 26-03 09:38:58| 24   9  66   0   0|1383M  849M  171M 5332M|3845B 1362B|   0   211k|   0  18.9 |4058  7812 |1.80 1.10 0.58|1.0   0 104|   0     0 |           | 11   30    0   24    0
Mar 26 09:38:59 ubuntu dstat.sh[65226]: 26-03 09:38:59| 18   3  78   0   0|1398M  834M  171M 5332M|8174B 5127B|   0   112k|   0  8.01 |2030  1777 |1.80 1.10 0.58|1.0   0   0|   0     0 |           | 11   31    0   24    0
Mar 26 09:39:00 ubuntu dstat.sh[65226]: 26-03 09:39:00| 12  15  73   0   0|1358M  874M  171M 5332M|6013B 2971B|   0    83M|   0   496 |5201  5610 |1.80 1.10 0.58|1.0   0 324|   0     0 |           | 11   30    0   25    0
Mar 26 09:39:01 ubuntu dstat.sh[65226]: 26-03 09:39:01| 41  29  30   0   0|1427M  805M  171M 5332M|3881B  541B|   0  1638k|   0  25.0 |6174  5244 |1.80 1.10 0.58|5.0   0 716|   0     0 |           | 11   30    0   25    0
Mar 26 09:39:02 ubuntu dstat.sh[65226]: 26-03 09:39:02| 82  14   5   0   0|1632M  600M  171M 5332M|  15k   12k|   0  2580k|   0   127 |5330  3640 |1.97 1.14 0.60|4.0   0   0|   0     0 |           | 11   34    0   24    0
Mar 26 09:39:03 ubuntu dstat.sh[65226]: 26-03 09:39:03| 70   9  18   0   0|1653M  579M  171M 5332M|  41k   36k|   0   536k|   0  63.0 |  10k   17k|1.97 1.14 0.60|6.0   0  60|   0     0 |           | 11   31    0   25    0
Mar 26 09:39:04 ubuntu dstat.sh[65226]: 26-03 09:39:04| 79  20   0   0   0|1565M  667M  171M 5332M|3627B  573B|   0   280k|   0  24.0 |5460  4275 |1.97 1.14 0.60|6.0   0 250|   0     0 |           | 11   30    0   25    0
Mar 26 09:39:05 ubuntu dstat.sh[65226]: 26-03 09:39:05| 85  11   4   0   0|1718M  513M  171M 5332M|  25k   22k|   0   212k|   0  9.99 |5784  4988 |1.97 1.14 0.60|9.0   0   0|   0     0 |           | 11   35    0   25    0
Mar 26 09:39:06 ubuntu dstat.sh[65226]: 26-03 09:39:06| 71  11  16   0   0|1707M  525M  171M 5333M|  44k   39k|   0   336k|   0  22.0 |  11k   18k|1.97 1.14 0.60|4.0 1.0 100|   0     0 |           | 11   31    1   29    0
Mar 26 09:39:07 ubuntu dstat.sh[65226]: 26-03 09:39:07| 44  14  42   0   0|1519M  712M  171M 5333M|4551B 1520B|   0   345k|   0  26.0 |4305  3465 |1.98 1.16 0.61|2.0   0 199|   0     0 |           | 11   30    0   30    0
Mar 26 09:39:08 ubuntu dstat.sh[65226]: 26-03 09:39:08| 33   4  62   0   0|1528M  703M  171M 5333M|  13k   11k|   0   155k|   0  7.97 |3358  3234 |1.98 1.16 0.61|  0   0   0|   0     0 |           | 11   32    0   30    0
Mar 26 09:39:09 ubuntu dstat.sh[65226]: 26-03 09:39:09| 44  18  38   0   0|1438M  793M  171M 5333M|  11k 7126B|   0   340k|   0  30.0 |6179  6803 |1.98 1.16 0.61|3.0   0 378|   0     0 |           | 11   30    0   32    0
Mar 26 09:39:10 ubuntu dstat.sh[65226]: 26-03 09:39:10| 54   7  38   0   0|1507M  724M  171M 5333M|  15k   12k|   0   260k|   0  11.0 |3868  2842 |1.98 1.16 0.61|3.0   0   0|   0     0 |           | 11   33    0   31    0
Mar 26 09:39:11 ubuntu dstat.sh[65226]: 26-03 09:39:11| 49  13  37   0   0|1405M  826M  171M 5333M|  20k   16k|   0  1236k|   0  95.3 |7528    11k|1.98 1.16 0.61|5.0   0 208|   0     0 |           | 11   30    0   32    0
Mar 26 09:39:12 ubuntu dstat.sh[65226]: 26-03 09:39:12| 80  15   4   0   0|1566M  665M  171M 5333M|5368B 3694B|   0     0 |   0     0 |4696  2018 |2.14 1.21 0.63|3.0   0  51|   0     0 |           | 11   32    0   32    0
Mar 26 09:39:13 ubuntu dstat.sh[65226]: 26-03 09:39:13| 56   7  36   0   0|1574M  656M  171M 5333M|  37k   33k|   0   708k|   0  55.0 |9125    13k|2.14 1.21 0.63|3.0   0 2.0|   0     0 |           | 11   33    0   33    0
Mar 26 09:39:14 ubuntu dstat.sh[65226]: 26-03 09:39:14| 62  20  17   0   0|1527M  703M  171M 5333M|8490B 4195B|   0   344k|   0  31.0 |4981  4322 |2.14 1.21 0.63|3.0   0 324|   0     0 |           | 11   30    0   31    0
Mar 26 09:39:15 ubuntu dstat.sh[65226]: 26-03 09:39:15| 52   6  41   0   0|1561M  670M  171M 5333M|  17k   14k|   0   108k|   0  6.99 |4153  3133 |2.14 1.21 0.63|3.0   0   0|   0     0 |           | 11   33    0   31    0
Mar 26 09:39:16 ubuntu dstat.sh[65226]: 26-03 09:39:16| 48  17  34   0   0|1441M  790M  171M 5333M|  21k   16k|   0  5074k|   0   332 |8017    11k|2.14 1.21 0.63|3.0   0 299|   0     0 |           | 11   30    0   33    0
Mar 26 09:39:17 ubuntu dstat.sh[65226]: 26-03 09:39:17| 57   8  34   0   0|1538M  692M  171M 5333M|  10k 7528B|   0   967k|   0  9.95 |3682  1930 |2.13 1.22 0.64|3.0   0 1.0|   0     0 |           | 11   33    0   33    0
