Jul 08 18:29:51 jammy-provider-cloud-0000007313 systemd[1]: Started Devstack devstack@dstat.service.
Jul 08 18:29:51 jammy-provider-cloud-0000007313 dstat.sh[57760]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 08 18:29:51 jammy-provider-cloud-0000007313 dstat.sh[57760]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 08 18:29:51 jammy-provider-cloud-0000007313 dstat.sh[57760]: 08-07 18:29:51|                   |1060M 1868M  156M 4554M|           |           |           |           |1.18 0.80 0.49|2.0   0    |           |   0     0 |  9    6    3   17    2
Jul 08 18:29:52 jammy-provider-cloud-0000007313 dstat.sh[57760]: 08-07 18:29:52| 32  25  44   0   0|1035M 1892M  156M 4555M| 322k 8209B| 324k 2852k|3.00  89.1 |4698  7761 |1.18 0.80 0.49|2.5   0 743|   0     0 |   0     0 |  9    5    3   17    2
Jul 08 18:29:53 jammy-provider-cloud-0000007313 dstat.sh[57760]: 08-07 18:29:53| 35  20  45   0   0| 997M 1918M  156M 4567M|4702B 1454B|1161k 1240k|8.48  66.5 |5099  9477 |1.24 0.82 0.49|2.0   0 554|   0     0 |   0     0 |  9    4    3   17    2
Jul 08 18:29:54 jammy-provider-cloud-0000007313 dstat.sh[57760]: 08-07 18:29:54| 28  11  59   2   0|1113M 1776M  157M 4711M|4073B 1532B|   0  3597k|   0   150 |3653  5454 |1.24 0.82 0.49|4.0   0  49|   0     0 |   0     0 | 10    4    3   17    2
Jul 08 18:29:55 jammy-provider-cloud-0000007313 dstat.sh[57760]: 08-07 18:29:55| 35  10  53   1   0|1119M 1739M  158M 4737M|5035B 1459B|   0  3318k|   0   128 |1987  2968 |1.24 0.82 0.49|3.0   0 115|   0     0 |   0     0 | 10    6    3   17    2
Jul 08 18:29:56 jammy-provider-cloud-0000007313 dstat.sh[57760]: 08-07 18:29:56| 37  10  52   0   0|1094M 1774M  159M 4727M|  13k 4376B| 734k 5287k|19.0  85.2 |2222  3535 |1.24 0.82 0.49|4.0   0 172|   0     0 |   0     0 | 10    4    3   19    0
Jul 08 18:29:57 jammy-provider-cloud-0000007313 dstat.sh[57760]: 08-07 18:29:57| 43   8  47   0   0|1165M 1700M  159M 4728M|6390B 1617B| 112k 4256k|3.99  57.9 |9335    18k|1.24 0.82 0.49|4.0   0  17|   0     0 |   0     0 | 10    6    3   19    0
Jul 08 18:29:58 jammy-provider-cloud-0000007313 dstat.sh[57760]: 08-07 18:29:58| 38   8  42  12   0|1191M 1664M  160M 4737M|5736B 1588B|   0    48M|   0  3993 |  20k   45k|1.31 0.84 0.50|2.0 1.0  75|   0     0 |   0     0 | 10    6    4   19    0
Jul 08 18:29:59 jammy-provider-cloud-0000007313 dstat.sh[57760]: 08-07 18:29:59| 42   9  48   1   0|1114M 1740M  160M 4738M|4825B 1641B|   0    14M|   0   840 |3293  6821 |1.31 0.84 0.50|2.0   0  89|   0     0 |   0     0 | 10    4    4   19    0
Jul 08 18:30:00 jammy-provider-cloud-0000007313 dstat.sh[57760]: 08-07 18:30:00| 47   3  49   0   0|1151M 1704M  160M 4738M|4360B  754B|   0   862k|   0  33.9 |1221  1311 |1.31 0.84 0.50|3.0   0 8.0|   0     0 |   0     0 | 10    4    4   19    0
