Jun 11 13:55:09 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Jun 11 13:55:10 ubuntu dstat.sh[65181]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Jun 11 13:55:10 ubuntu dstat.sh[65181]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 11 13:55:10 ubuntu dstat.sh[65181]: 11-06 13:55:10|                   |1000M 1320M  164M 5141M|           |           |           |           |1.16 0.81 0.48|3.0   0    |           |           | 10    2    0   17    0
Jun 11 13:55:11 ubuntu dstat.sh[65181]: 11-06 13:55:11| 45  23  31   0   0|1012M 1306M  164M 5142M|  11k 5367B|   0  4099k|   0  59.0 |6660  5458 |1.16 0.81 0.48|2.5   0 531|   0     0 |           | 10    3    0   17    0
Jun 11 13:55:12 ubuntu dstat.sh[65181]: 11-06 13:55:12| 31  22  46   0   0| 994M 1320M  164M 5146M| 235k   10k|   0   507k|   0  43.5 |6584  5822 |1.16 0.81 0.48|2.0   0 487|   0     0 |           | 10    4    0   17    0
Jun 11 13:55:13 ubuntu dstat.sh[65181]: 11-06 13:55:13| 39  18  41   0   0|1011M 1303M  164M 5146M|  13k 3990B|  12k   16k|2.00  4.00 |6058  7923 |1.16 0.81 0.48|2.0   0 326|   0     0 |           | 10    5    0   17    0
Jun 11 13:55:14 ubuntu dstat.sh[65181]: 11-06 13:55:14| 33  12  53   0   0|1076M 1237M  164M 5268M|  24k 8756B|  20k 4435k|1.00  45.0 |4505  3839 |1.31 0.85 0.49|2.0   0 107|   0     0 |           | 11    7    1   17    0
Jun 11 13:55:15 ubuntu dstat.sh[65181]: 11-06 13:55:15| 24  12  62   1   0|1079M 1233M  165M 5268M|  45k   16k|   0  2285k|   0  91.1 |4726  3879 |1.31 0.85 0.49|4.0   0 196|   0     0 |           | 11    7    1   19    1
Jun 11 13:55:16 ubuntu dstat.sh[65181]: 11-06 13:55:16| 39   7  53   1   0|1177M 1134M  165M 5272M|  23k   14k|  32k 3251k|2.00  58.1 |3155  4870 |1.31 0.85 0.49|5.0   0  34|   0     0 |           | 11    7    1   19    1
Jun 11 13:55:17 ubuntu dstat.sh[65181]: 11-06 13:55:17| 38   5  56   1   0|1209M 1100M  165M 5271M|  43k   13k|   0  4341k|   0   202 |3744  5833 |1.31 0.85 0.49|2.0 1.0 3.0|   0     0 |           | 11    8    1   19    2
Jun 11 13:55:18 ubuntu dstat.sh[65181]: 11-06 13:55:18| 27   9  47  13   0|1225M 1051M  167M 5300M| 181k   13k|   0    69M|   0  5458 |  19k   38k|1.31 0.85 0.49|1.0 1.0  73|   0     0 |           | 11    8    1   19    2
Jun 11 13:55:19 ubuntu dstat.sh[65181]: 11-06 13:55:19| 41  10  46   2   0|1152M 1107M  168M 5313M|4987B 1529B|   0    22M|   0  1539 |6136  7438 |1.37 0.87 0.50|2.0   0  84|   0     0 |           | 11    6    1   19    2
Jun 11 13:55:20 ubuntu dstat.sh[65181]: 11-06 13:55:20| 44   6  48   1   0|1202M 1039M  169M 5329M|4581B 1459B|   0  2390k|   0  70.1 |3052  1875 |1.37 0.87 0.50|1.0 1.0   0|   0     0 |           | 11    6    1   19    2
Jun 11 13:55:21 ubuntu dstat.sh[65181]: 11-06 13:55:21| 44   6  47   2   0|1209M 1005M  170M 5353M|4353B 1531B|   0  9135k|   0   458 |4050  3764 |1.37 0.87 0.50|2.0   0  10|   0     0 |           | 11    6    1   19    2
Jun 11 13:55:22 ubuntu dstat.sh[65181]: 11-06 13:55:22| 44   6  48   1   0|1208M  977M  171M 5378M|4407B 1461B|   0  2641k|   0  89.2 |3112  1926 |1.37 0.87 0.50|2.0   0   0|   0     0 |           | 11    6    1   19    2
Jun 11 13:55:23 ubuntu dstat.sh[65181]: 11-06 13:55:23| 42   9  48   0   0|1182M 1009M  171M 5370M|4905B 1939B|   0  1765k|   0  63.0 |3972  2679 |1.37 0.87 0.50|2.0   0 127|   0     0 |           | 11    4    1   19    0
Jun 11 13:55:24 ubuntu dstat.sh[65181]: 11-06 13:55:24| 26  23  48   0   0|1186M 1005M  171M 5370M|  10k 4332B|   0   552k|   0  13.0 |6248  5053 |1.42 0.89 0.51|1.0   0 482|   0     0 |           | 11    5    1   19    0
Jun 11 13:55:25 ubuntu dstat.sh[65181]: 11-06 13:55:25| 39  18  42   0   0|1171M 1013M  171M 5376M|6712B 1822B|   0  1225k|   0  19.0 |6291  7283 |1.42 0.89 0.51|3.0   0 244|   0     0 |           | 11    4    1   19    0
Jun 11 13:55:26 ubuntu dstat.sh[65181]: 11-06 13:55:26| 63  15  21   0   0|1266M  916M  171M 5378M|5056B 1570B|   0    88k|   0  1.00 |9581    13k|1.42 0.89 0.51|3.0   0 136|   0     0 |           | 11    5    1   19    0
Jun 11 13:55:27 ubuntu dstat.sh[65181]: 11-06 13:55:27| 65  11  22   0   0|1272M  918M  171M 5371M|5058B 1458B|   0  2664k|   0  15.0 |  12k   18k|1.42 0.89 0.51|4.0   0  15|   0     0 |           | 11    5    1   19    0
Jun 11 13:55:28 ubuntu dstat.sh[65181]: 11-06 13:55:28| 60  13  26   0   0|1280M  908M  171M 5373M|5041B 1453B|   0  3165k|   0   208 |4717  4814 |1.42 0.89 0.51|2.0   0 104|   0     0 |           | 11    4    1   20    0
Jun 11 13:55:29 ubuntu dstat.sh[65181]: 11-06 13:55:29| 16   9  74   0   0|1324M  863M  171M 5373M|5122B 1501B|   0    12M|   0  83.1 |2914  2634 |1.38 0.89 0.51|1.0   0 115|   0     0 |           | 11    4    1   20    0
Jun 11 13:55:30 ubuntu dstat.sh[65181]: 11-06 13:55:30| 23   2  74   0   0|1369M  818M  171M 5373M|5884B 1621B|   0     0 |   0     0 |1774  1228 |1.38 0.89 0.51|1.0   0   0|   0     0 |           | 11    4    1   20    0
Jun 11 13:55:31 ubuntu dstat.sh[65181]: 11-06 13:55:31| 23   3  72   1   0|1382M  805M  172M 5374M|6314B 1619B|   0  1787k|   0   200 |3407  4472 |1.38 0.89 0.51|1.0   0 1.0|   0     0 |           | 11   10    1   20    0
Jun 11 13:55:32 ubuntu dstat.sh[65181]: 11-06 13:55:32| 21   6  72   0   0|1342M  844M  172M 5374M|5108B 1619B|   0  2559k|   0   152 |2429  2253 |1.38 0.89 0.51|1.0   0  42|   0     0 |           | 11    4    1   22    0
Jun 11 13:55:33 ubuntu dstat.sh[65181]: 11-06 13:55:33| 19   1  78   0   0|1346M  841M  172M 5374M|6957B 4106B|   0   596k|   0  7.01 |1659  1252 |1.38 0.89 0.51|1.0   0   0|   0     0 |           | 11    9    1   16    0
Jun 11 13:55:34 ubuntu dstat.sh[65181]: 11-06 13:55:34| 21   3  74   1   0|1358M  828M  172M 5374M|9370B 6544B| 268k 4326k|66.0  46.0 |2916  3134 |1.35 0.89 0.51|  0   0 3.0|   0     0 |           | 11   29    1   16    0
Jun 11 13:55:35 ubuntu dstat.sh[65181]: 11-06 13:55:35| 20   6  74   0   0|1370M  816M  172M 5374M|6683B 2878B|   0     0 |   0     0 |2340  1793 |1.35 0.89 0.51|1.0   0  44|   0     0 |           | 11   28    1   17    0
Jun 11 13:55:36 ubuntu dstat.sh[65181]: 11-06 13:55:36| 17   2  80   0   0|1394M  792M  172M 5374M|  10k 7387B|   0     0 |   0     0 |1798  1516 |1.35 0.89 0.51|  0   0   0|   0     0 |           | 11   29    1   17    0
Jun 11 13:55:37 ubuntu dstat.sh[65181]: 11-06 13:55:37| 30  10  58   0   0|1420M  766M  172M 5374M|6719B 2616B|   0  1232k|   0  18.0 |3692  2662 |1.35 0.89 0.51|2.0   0 156|   0     0 |           | 11   28    1   18    0
Jun 11 13:55:38 ubuntu dstat.sh[65181]: 11-06 13:55:38| 35   6  59   0   0|1500M  685M  172M 5374M|  13k 9382B|   0    72k|   0  4.00 |3131  2337 |1.35 0.89 0.51|2.0   0   0|   0     0 |           | 11   30    1   18    0
Jun 11 13:55:39 ubuntu dstat.sh[65181]: 11-06 13:55:39| 37   7  54   0   0|1476M  709M  172M 5374M|  16k   12k|   0    25M|   0   139 |6839  8576 |1.35 0.89 0.51|2.0   0  50|   0     0 |           | 11   28    1   19    0
Jun 11 13:55:40 ubuntu dstat.sh[65181]: 11-06 13:55:40| 68  28   5   0   0|1508M  678M  172M 5374M|4643B 1459B|   0  3447k|   0   109 |5547  4551 |1.41 0.91 0.52|6.0   0 529|   0     0 |           | 11   28    1   19    0
Jun 11 13:55:41 ubuntu dstat.sh[65181]: 11-06 13:55:41| 86  13   2   0   0|1747M  438M  172M 5374M|  16k   14k|   0  1180k|   0  5.00 |5411  3247 |1.41 0.91 0.52|3.0   0   0|   0     0 |           | 11   33    1   18    0
Jun 11 13:55:42 ubuntu dstat.sh[65181]: 11-06 13:55:42| 76   9  13   0   0|1773M  412M  172M 5375M|  31k   26k|   0   683k|   0  54.0 |9051    12k|1.41 0.91 0.52|7.0   0  40|   0     0 |           | 11   30    1   22    0
Jun 11 13:55:43 ubuntu dstat.sh[65181]: 11-06 13:55:43| 40  14  44   0   0|1531M  655M  172M 5375M|  12k 8520B|   0   396k|   0  33.0 |5775  6213 |1.41 0.91 0.52|1.0   0 270|   0     0 |           | 11   28    1   24    0
Jun 11 13:55:44 ubuntu dstat.sh[65181]: 11-06 13:55:44| 20   4  75   0   0|1527M  658M  172M 5375M|6329B 3773B|   0    24M|   0   329 |2349  2334 |1.41 0.91 0.52|  0   0   0|   0     0 |           | 11   29    1   24    0
Jun 11 13:55:45 ubuntu dstat.sh[65181]: 11-06 13:55:45| 18   3  77   0   0|1473M  712M  172M 5375M|  10k 6252B|   0   940k|   0  27.0 |3026  3342 |1.29 0.89 0.52|1.0   0  16|   0     0 |           | 11   28    1   24    0
Jun 11 13:55:46 ubuntu dstat.sh[65181]: 11-06 13:55:46| 20   6  72   0   0|1472M  714M  172M 5375M|4875B 1619B|   0   328k|   0  15.0 |2425  1687 |1.29 0.89 0.52|1.0   0  53|   0     0 |           | 11   28    1   24    0
Jun 11 13:55:47 ubuntu dstat.sh[65181]: 11-06 13:55:47| 16   2  79   0   0|1473M  713M  172M 5375M|  10k 7443B|   0   280k|   0  15.0 |2254  2193 |1.29 0.89 0.52|  0   0   0|   0     0 |           | 11   29    1   24    0
Jun 11 13:55:48 ubuntu dstat.sh[65181]: 11-06 13:55:48| 13  14  72   0   0|1415M  770M  172M 5375M|7125B 2810B|   0  1925k|   0  98.2 |4523  3890 |1.29 0.89 0.52|1.0   0 224|   0     0 |           | 11   28    1   25    0
Jun 11 13:55:49 ubuntu dstat.sh[65181]: 11-06 13:55:49| 12  27  60   0   0|1408M  777M  172M 5375M|6693B 1512B|   0   208k|   0  15.0 |6087  4555 |1.29 0.89 0.52|3.0   0 561|   0     0 |           | 11   28    1   25    0
Jun 11 13:55:50 ubuntu dstat.sh[65181]: 11-06 13:55:50| 76  22   2   0   0|1550M  635M  172M 5375M|6063B 1765B|   0    27M|   0   530 |5566  3418 |1.43 0.93 0.53|5.0   0 260|   0     0 |           | 11   28    1   25    0
Jun 11 13:55:51 ubuntu dstat.sh[65181]: 11-06 13:55:51| 78  11  10   0   0|1702M  484M  172M 5375M|  30k   26k|   0   640k|   0  39.0 |6501  6686 |1.43 0.93 0.53|4.0   0   0|   0     0 |           | 11   33    1   25    0
Jun 11 13:55:52 ubuntu dstat.sh[65181]: 11-06 13:55:52| 78  11   9   0   0|1667M  518M  172M 5375M|  30k   25k|   0   550k|   0  67.8 |9387    14k|1.43 0.93 0.53|5.0   0  90|   0     0 |           | 11   28    1   26    0
Jun 11 13:55:53 ubuntu dstat.sh[65181]: 11-06 13:55:53| 81  20   0   0   0|1633M  551M  172M 5375M|6018B 3488B|   0   269k|   0  14.0 |5269  3658 |1.43 0.93 0.53|5.0   0 221|   0     0 |           | 11   29    1   26    0
Jun 11 13:55:54 ubuntu dstat.sh[65181]: 11-06 13:55:54| 86  12   2   0   0|1785M  400M  172M 5375M|  23k   20k|   0   180k|   0  10.0 |6450  5912 |1.43 0.93 0.53|4.0   0   0|   0     0 |           | 11   33    1   26    0
Jun 11 13:55:55 ubuntu dstat.sh[65181]: 11-06 13:55:55| 71  13  14   0   0|1659M  526M  172M 5376M|  42k   37k|   0    74M|   0   423 |  10k   16k|1.64 0.98 0.55|3.0   0 151|   0     0 |           | 11   31    1   29    0
Jun 11 13:55:56 ubuntu dstat.sh[65181]: 11-06 13:55:56| 44  12  43   0   0|1499M  685M  172M 5376M|  12k 7746B|   0  2523k|   0   101 |5579  5677 |1.64 0.98 0.55|3.0   0 148|   0     0 |           | 11   28    1   31    0
Jun 11 13:55:57 ubuntu dstat.sh[65181]: 11-06 13:55:57| 37   4  57   0   0|1528M  656M  172M 5376M|  11k 7911B|   0   144k|   0  6.98 |3036  2113 |1.64 0.98 0.55|3.0   0   0|   0     0 |           | 11   30    1   31    0
Jun 11 13:55:58 ubuntu dstat.sh[65181]: 11-06 13:55:58| 36  17  46   0   0|1456M  728M  172M 5376M|  17k   13k|   0   289k|   0  26.1 |6591  7796 |1.64 0.98 0.55|5.0   0 329|   0     0 |           | 11   28    1   33    0
Jun 11 13:55:59 ubuntu dstat.sh[65181]: 11-06 13:55:59| 67  11  22   0   0|1565M  619M  172M 5376M|6032B 3423B|   0   192k|   0  9.00 |3977  1783 |1.64 0.98 0.55|2.0   0  50|   0     0 |           | 11   29    1   33    0
Jun 11 13:56:00 ubuntu dstat.sh[65181]: 11-06 13:56:00| 46   6  47   0   0|1578M  606M  172M 5376M|  29k   25k|   0   906k|   0  39.9 |6621  9388 |1.66 1.00 0.56|2.0   0   0|   0     0 |           | 11   29    1   34    0
Jun 11 13:56:01 ubuntu dstat.sh[65181]: 11-06 13:56:01| 70  20  10   0   0|1501M  683M  172M 5376M|7568B 3746B|   0  1336k|   0   150 |5902  4504 |1.66 1.00 0.56|4.0   0 259|   0     0 |           | 11   28    1   34    0
Jun 11 13:56:02 ubuntu dstat.sh[65181]: 11-06 13:56:02| 68   9  22   0   0|1623M  561M  172M 5376M|  21k   19k|   0   264k|   0  22.0 |5090  4558 |1.66 1.00 0.56|4.0   0   0|   0     0 |           | 11   32    1   34    0
Jun 11 13:56:03 ubuntu dstat.sh[65181]: 11-06 13:56:03| 62  14  23   0   0|1430M  754M  172M 5376M|  28k   24k|   0   400k|   0  38.0 |8616    12k|1.66 1.00 0.56|5.0   0 308|   0     0 |           | 11   28    1   37    0
Jun 11 13:56:04 ubuntu dstat.sh[65181]: 11-06 13:56:04| 64  11  24   0   0|1583M  601M  172M 5376M|5577B 2228B|   0   224k|   0  11.0 |3674  1569 |1.66 1.00 0.56|2.0   0  16|   0     0 |           | 11   29    1   37    0
Jun 11 13:56:05 ubuntu dstat.sh[65181]: 11-06 13:56:05| 46   6  47   0   0|1587M  597M  172M 5376M|  30k   26k|   0   760k|   0  27.0 |6982  9344 |1.69 1.02 0.57|3.0   0 1.0|   0     0 |           | 11   30    1   38    0
Jun 11 13:56:06 ubuntu dstat.sh[65181]: 11-06 13:56:06| 59  19  21   1   0|1541M  642M  172M 5376M|8551B 4798B|   0  1321k|   0  87.1 |5111  4673 |1.69 1.02 0.57|3.0   0 299|   0     0 |           | 11   28    1   33    0
Jun 11 13:56:07 ubuntu dstat.sh[65181]: 11-06 13:56:07| 55   7  37   0   0|1583M  600M  172M 5377M|  17k   14k|   0     0 |   0     0 |4123  2860 |1.69 1.02 0.57|3.0   0   0|   0     0 |           | 11   31    1   33    0
Jun 11 13:56:08 ubuntu dstat.sh[65181]: 11-06 13:56:08| 52  17  31   0   0|1439M  744M  172M 5377M|  21k   16k|   0   228k|   0  22.0 |8147    10k|1.69 1.02 0.57|3.0   0 287|   0     0 |           | 11   28    1   36    0
Jun 11 13:56:09 ubuntu dstat.sh[65181]: 11-06 13:56:09| 62   8  29   0   0|1579M  604M  172M 5377M|7821B 6156B|   0   160k|   0  8.99 |3696  1516 |1.69 1.02 0.57|  0   0   0|   0     0 |           | 11   31    1   36    0
Jun 11 13:56:10 ubuntu dstat.sh[65181]: 11-06 13:56:10| 49   5  45   0   0|1573M  610M  172M 5377M|  26k   22k|   0   432k|   0  36.0 |7294  9565 |1.56 1.00 0.56|3.0   0   0|   0     0 |           | 11   28    1   36    0
