Feb 19 09:51:49 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Feb 19 09:51:49 ubuntu dstat.sh[59388]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Feb 19 09:51:49 ubuntu dstat.sh[59388]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Feb 19 09:51:49 ubuntu dstat.sh[59388]: 19-02 09:51:49|                   | 995M 1638M  159M 4848M|           |           |           |           |1.24 0.88 0.51|1.0   0    |           |           | 10    6    0   17    0
Feb 19 09:51:50 ubuntu dstat.sh[59388]: 19-02 09:51:50| 22  23  53   1   0|1009M 1615M  159M 4857M| 179k   16k|   0  6441k|   0   114 |6068  4756 |1.24 0.88 0.51|1.5   0 374|   0     0 |           | 10    6    0   17    0
Feb 19 09:51:51 ubuntu dstat.sh[59388]: 19-02 09:51:51| 30  24  45   1   0|1024M 1574M  160M 4878M|4254B 1590B|   0  2192k|   0  95.4 |5976  4539 |1.24 0.88 0.51|2.0   0 374|   0     0 |           | 10    4    0   17    2
Feb 19 09:51:52 ubuntu dstat.sh[59388]: 19-02 09:51:52| 36  20  43   0   0|1036M 1545M  160M 4894M|5153B 1513B|   0  1593k|   0  86.1 |6415  7249 |1.30 0.90 0.52|2.0   0 304|   0     0 |           | 10    4    0   17    2
Feb 19 09:51:53 ubuntu dstat.sh[59388]: 19-02 09:51:53| 35  14  49   1   0|1147M 1410M  161M 5037M|4603B 1565B|   0  2590k|   0  96.9 |4908  6769 |1.30 0.90 0.52|1.0   0 114|   0     0 |           | 11    4    0   17    2
Feb 19 09:51:54 ubuntu dstat.sh[59388]: 19-02 09:51:54| 35  11  54   1   0|1153M 1379M  162M 5058M|4923B 1621B|  16k 3162k|1.00   117 |3954  2830 |1.30 0.90 0.52|2.0   0 105|   0     0 |           | 11    6    0   17    2
Feb 19 09:51:55 ubuntu dstat.sh[59388]: 19-02 09:51:55| 38  13  47   1   0|1178M 1332M  163M 5076M|4583B 1699B| 208k   14M|9.00   491 |5069  3652 |1.30 0.90 0.52|1.0   0 180|   0     0 |           | 11    6    1   19    2
Feb 19 09:51:56 ubuntu dstat.sh[59388]: 19-02 09:51:56| 39   6  53   0   0|1259M 1267M  163M 5060M|  12k 4169B| 384k  961k|14.0  20.0 |2807  1483 |1.30 0.90 0.52|2.0   0 2.0|   0     0 |           | 11    4    0   19    0
Feb 19 09:51:57 ubuntu dstat.sh[59388]: 19-02 09:51:57| 36   7  51   4   0|1268M 1249M  163M 5068M|  11k 3694B|  16k   16M|1.00  1101 |6617  9427 |1.35 0.91 0.52|1.0 1.0  43|   0     0 |           | 11    6    0   19    1
Feb 19 09:51:58 ubuntu dstat.sh[59388]: 19-02 09:51:58| 34   9  43  11   0|1287M 1221M  165M 5075M|5972B 2799B|   0    58M|   0  4646 |  18k   34k|1.35 0.91 0.52|1.0   0  91|   0     0 |           | 11    7    0   19    0
