May 16 18:03:09 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 16 18:03:09 ubuntu dstat.sh[67514]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 16 18:03:09 ubuntu dstat.sh[67514]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 16 18:03:09 ubuntu dstat.sh[67514]: 16-05 18:03:09|                   | 996M 1324M  164M 5139M|           |           |           |           |0.98 0.77 0.45|5.0   0    |           |           | 10    4    0   17    0
May 16 18:03:10 ubuntu dstat.sh[67514]: 16-05 18:03:10| 19  21  58   1   0| 992M 1328M  164M 5139M|  29k   12k|   0  2332k|   0  89.0 |6498  5754 |0.98 0.77 0.45|3.0   0 515|   0     0 |           | 10    5    0   17    0
May 16 18:03:11 ubuntu dstat.sh[67514]: 16-05 18:03:11| 22  18  58   1   0| 993M 1326M  164M 5140M|  39k   17k|   0  2270k|   0  85.0 |6624  6568 |0.98 0.77 0.45|2.0   0 449|   0     0 |           | 10    6    0   17    0
May 16 18:03:12 ubuntu dstat.sh[67514]: 16-05 18:03:12| 31  15  53   0   0|1114M 1204M  164M 5263M|  40k   13k|   0  2853k|   0   119 |6713  8419 |0.98 0.77 0.45|2.0   0 227|   0     0 |           | 11    6    0   17    0
May 16 18:03:13 ubuntu dstat.sh[67514]: 16-05 18:03:13| 16   3  80   1   0|1111M 1207M  165M 5263M|  23k   14k|   0    11M|   0   459 |2157  1776 |1.06 0.79 0.46|2.0   0  38|   0     0 |           | 11    7    0   17    1
May 16 18:03:14 ubuntu dstat.sh[67514]: 16-05 18:03:14| 36  12  50   1   0|1133M 1156M  165M 5289M| 165k 4888B|   0  2320k|   0  88.0 |4378  2990 |1.06 0.79 0.46|2.0   0 155|   0     0 |           | 11    6    0   17    2
May 16 18:03:15 ubuntu dstat.sh[67514]: 16-05 18:03:15| 42   9  48   0   0|1175M 1094M  166M 5305M|4617B 1661B|  32k 2830k|2.00  60.0 |3818  2704 |1.06 0.79 0.46|2.0   0  89|   0     0 |           | 11    6    0   19    2
May 16 18:03:16 ubuntu dstat.sh[67514]: 16-05 18:03:16| 45   5  48   1   0|1241M 1005M  167M 5325M|5092B 1617B|   0  3634k|   0  85.9 |3218  2063 |1.06 0.79 0.46|3.0   0   0|   0     0 |           | 11    6    0   19    2
May 16 18:03:17 ubuntu dstat.sh[67514]: 16-05 18:03:17| 36   8  47  10   0|1246M  961M  169M 5359M|4840B 1501B|   0    42M|   0  2936 |  14k   25k|1.06 0.79 0.46|2.0 1.0  52|   0     0 |           | 11    8    0   19    2
May 16 18:03:18 ubuntu dstat.sh[67514]: 16-05 18:03:18| 39   8  44   6   0|1219M  989M  170M 5356M|5699B 2091B|   0    40M|   0  2526 |  11k   20k|1.14 0.81 0.47|3.0   0 106|   0     0 |           | 11    4    0   19    0
May 16 18:03:19 ubuntu dstat.sh[67514]: 16-05 18:03:19| 47   9  43   0   0|1284M  924M  170M 5359M|5630B 2107B|   0  4607k|   0  44.9 |3797    11k|1.14 0.81 0.47|7.0   0  71|   0     0 |           | 12    6    0   19    0
May 16 18:03:20 ubuntu dstat.sh[67514]: 16-05 18:03:20| 42   6  52   1   0|1262M  940M  170M 5361M|9817B 3508B|   0  8810k|   0   420 |3600  4796 |1.14 0.81 0.47|4.0   0  13|   0     0 |           | 11    4    0   20    0
May 16 18:03:21 ubuntu dstat.sh[67514]: 16-05 18:03:21| 40   6  54   0   0|1311M  884M  170M 5366M|  11k 4615B|   0  1584k|   0  38.0 |2843  1736 |1.14 0.81 0.47|3.0   0  18|   0     0 |           | 11    4    0   20    0
May 16 18:03:22 ubuntu dstat.sh[67514]: 16-05 18:03:22| 45   8  46   0   0|1292M  902M  170M 5367M|5117B 1620B|   0    88k|   0  1.00 |  12k   20k|1.14 0.81 0.47|3.0   0  34|   0     0 |           | 11    4    0   19    0
