May 11 14:12:50 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 11 14:12:50 ubuntu dstat.sh[65347]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 11 14:12:50 ubuntu dstat.sh[65347]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 11 14:12:50 ubuntu dstat.sh[65347]: 11-05 14:12:50|                   |1000M 1324M  163M 5138M|           |           |           |           |1.48 0.96 0.54|2.0   0    |           |           | 10    5    0   17    0
May 11 14:12:51 ubuntu dstat.sh[65347]: 11-05 14:12:51| 18  21  59   1   0|1004M 1319M  163M 5138M|  31k   11k|   0  1276k|   0  48.0 |5266  3781 |1.48 0.96 0.54|1.5   0 318|   0     0 |           | 10    6    0   17    0
May 11 14:12:52 ubuntu dstat.sh[65347]: 11-05 14:12:52| 23  22  54   1   0|1008M 1315M  163M 5138M|  33k   14k|   0  2149k|   0  58.0 |5358  3948 |1.60 0.99 0.56|2.0   0 339|   0     0 |           | 10    6    0   17    0
May 11 14:12:53 ubuntu dstat.sh[65347]: 11-05 14:12:53| 26  19  52   1   0| 997M 1324M  164M 5139M|  40k   13k|   0  1910k|   0  61.9 |5489  5390 |1.60 0.99 0.56|4.0   0 282|   0     0 |           | 10    6    0   17    0
May 11 14:12:54 ubuntu dstat.sh[65347]: 11-05 14:12:54| 34  17  48   0   0|1009M 1296M  164M 5155M| 177k   14k|   0  5453k|   0  69.9 |6324  7712 |1.60 0.99 0.56|4.0   0 185|   0     0 |           | 10    5    0   17    1
May 11 14:12:55 ubuntu dstat.sh[65347]: 11-05 14:12:55| 36  14  49   0   0|1116M 1173M  165M 5289M|2551B  174B|   0  1721k|   0  72.9 |4532  3585 |1.60 0.99 0.56|3.0   0 108|   0     0 |           | 11    6    0   17    2
May 11 14:12:56 ubuntu dstat.sh[65347]: 11-05 14:12:56| 38  14  47   0   0|1132M 1140M  165M 5304M|2814B    0 |  16k 2245k|1.00  60.2 |4498  3371 |1.60 0.99 0.56|2.0   0 177|   0     0 |           | 11    6    0   19    2
May 11 14:12:57 ubuntu dstat.sh[65347]: 11-05 14:12:57| 43   6  49   1   0|1194M 1052M  166M 5326M|2481B    0 |  16k 4722k|1.00   124 |3175  2221 |1.63 1.01 0.57|3.0   0   0|   0     0 |           | 11    6    0   19    2
May 11 14:12:58 ubuntu dstat.sh[65347]: 11-05 14:12:58| 42   6  48   3   0|1218M  997M  167M 5352M|2491B    0 |   0    11M|   0   663 |5323  6837 |1.63 1.01 0.57|2.0 1.0  10|   0     0 |           | 11    8    0   19    2
May 11 14:12:59 ubuntu dstat.sh[65347]: 11-05 14:12:59| 30   8  44  15   0|1235M  976M  169M 5354M|3144B  480B|   0    56M|   0  4296 |  16k   30k|1.63 1.01 0.57|6.0   0  45|   0     0 |           | 11    6    0   19    0
May 11 14:13:00 ubuntu dstat.sh[65347]: 11-05 14:13:00| 38  11  43   6   0|1220M  989M  169M 5354M|3007B  493B|   0    30M|   0  2084 |9467    16k|1.63 1.01 0.57|2.0   0 137|   0     0 |           | 11    5    0   19    0
May 11 14:13:01 ubuntu dstat.sh[65347]: 11-05 14:13:01| 39   8  52   0   0|1266M  937M  169M 5360M|7708B 1853B|   0  2312k|   0  91.0 |2741  1737 |1.63 1.01 0.57|3.0   0 2.0|   0     0 |           | 11    4    0   19    0
May 11 14:13:02 ubuntu dstat.sh[65347]: 11-05 14:13:02| 42   4  52   1   0|1255M  940M  170M 5366M|8976B 2853B|   0  7224k|   0   388 |3270  2868 |1.66 1.03 0.57|3.0 1.0  18|   0     0 |           | 11    5    0   19    0
May 11 14:13:03 ubuntu dstat.sh[65347]: 11-05 14:13:03| 43  10  46   0   0|1226M  970M  170M 5365M|2876B  175B|   0  2488k|   0   118 |9612    17k|1.66 1.03 0.57|2.0   0  24|   0     0 |           | 11    4    0   19    0
May 11 14:13:04 ubuntu dstat.sh[65347]: 11-05 14:13:04| 43  10  46   0   0|1257M  939M  170M 5366M|2341B    0 |   0  9394k|   0   487 |  11k   17k|1.66 1.03 0.57|2.0   0  20|   0     0 |           | 11    4    0   19    0
May 11 14:13:05 ubuntu dstat.sh[65347]: 11-05 14:13:05| 34  18  47   0   0|1117M 1091M  170M 5355M|2408B    0 |   0   464k|   0  16.0 |4946  3444 |1.66 1.03 0.57|2.0   0 286|   0     0 |           | 11    4    0   19    0
May 11 14:13:06 ubuntu dstat.sh[65347]: 11-05 14:13:06| 22  25  51   0   0|1088M 1121M  170M 5355M|2715B    0 |   0    92k|   0  15.0 |6059  4757 |1.66 1.03 0.57|1.0   0 466|   0     0 |           | 11    4    0   17    0
May 11 14:13:07 ubuntu dstat.sh[65347]: 11-05 14:13:07| 24  17  58   0   0|1105M 1103M  170M 5355M|2344B    0 |   0  4102B|   0  1.00 |5887  6854 |1.61 1.03 0.58|3.0   0 196|   0     0 |           | 11    4    0   17    0
