Mar 26 22:35:09 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Mar 26 22:35:09 ubuntu dstat.sh[64964]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Mar 26 22:35:09 ubuntu dstat.sh[64964]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 26 22:35:09 ubuntu dstat.sh[64964]: 26-03 22:35:09|                   | 977M 1387M  162M 5101M|           |           |           |           |1.30 0.86 0.47|2.0   0    |           |           | 10    6    0   17    0
Mar 26 22:35:10 ubuntu dstat.sh[64964]: 26-03 22:35:10| 23  21  55   0   0| 980M 1383M  162M 5101M|  20k   11k|   0  2591k|   0  64.0 |6429  5674 |1.32 0.87 0.47|2.5   0 531|   0     0 |           | 10    6    0   17    0
Mar 26 22:35:11 ubuntu dstat.sh[64964]: 26-03 22:35:11| 27  19  53   1   0|1000M 1362M  163M 5102M|  39k   12k|   0  1870k|   0  63.0 |6243  6062 |1.35 0.87 0.48|2.0   0 454|   0     0 |           | 10    6    0   17    0
Mar 26 22:35:12 ubuntu dstat.sh[64964]: 26-03 22:35:12| 32  16  51   0   0|1143M 1201M  163M 5241M| 180k   14k|   0  2247k|   0  63.0 |7139  9210 |1.35 0.87 0.48|1.0   0 227|   0     0 |           | 11    5    0   17    1
Mar 26 22:35:13 ubuntu dstat.sh[64964]: 26-03 22:35:13| 29   8  61   1   0|1166M 1158M  164M 5257M|4328B 1210B|   0  2132k|   0  67.9 |3229  2584 |1.35 0.87 0.48|2.0   0  85|   0     0 |           | 11    6    0   17    2
Mar 26 22:35:14 ubuntu dstat.sh[64964]: 26-03 22:35:14| 38  13  48   0   0|1182M 1118M  164M 5279M|3858B  974B|   0  1615k|   0  64.1 |4686  3342 |1.35 0.87 0.48|2.0   0 200|   0     0 |           | 11    6    0   19    2
Mar 26 22:35:15 ubuntu dstat.sh[64964]: 26-03 22:35:15| 42   7  49   1   0|1245M 1035M  166M 5295M|4233B 1078B|  32k   10M|2.00   232 |3429  2564 |1.41 0.89 0.49|2.0   0   0|   0     0 |           | 11    6    0   19    2
Mar 26 22:35:16 ubuntu dstat.sh[64964]: 26-03 22:35:16| 44   5  48   2   0|1281M  968M  167M 5321M|4235B  973B|4102B 7575k|1.00   366 |4208  4207 |1.41 0.89 0.49|3.0   0 4.0|   0     0 |           | 11    8    0   19    2
Mar 26 22:35:17 ubuntu dstat.sh[64964]: 26-03 22:35:17| 29   6  49  13   0|1247M 1005M  168M 5315M|  10k 3741B|   0    48M|   0  4241 |  16k   31k|1.41 0.89 0.49|2.0 1.0  65|   0     0 |           | 11    6    0   19    0
Mar 26 22:35:18 ubuntu dstat.sh[64964]: 26-03 22:35:18| 36   9  52   3   0|1233M 1019M  169M 5316M|8104B 2220B|   0    20M|   0  1541 |7318    10k|1.41 0.89 0.49|2.0   0 123|   0     0 |           | 11    5    0   19    0
Mar 26 22:35:19 ubuntu dstat.sh[64964]: 26-03 22:35:19| 43   7  48   1   0|1277M  968M  169M 5321M|4624B 1146B|   0  5720k|   0   218 |3459  2557 |1.41 0.89 0.49|2.0   0 3.0|   0     0 |           | 11    4    0   19    0
Mar 26 22:35:20 ubuntu dstat.sh[64964]: 26-03 22:35:20| 40   6  52   0   0|1257M  982M  169M 5326M|  11k 4019B|   0  2047k|   0  63.0 |6758  9665 |1.45 0.91 0.50|3.0   0  33|   0     0 |           | 11    4    0   19    0
Mar 26 22:35:21 ubuntu dstat.sh[64964]: 26-03 22:35:21| 45  10  43   0   0|1263M  975M  169M 5327M|4788B 1078B|   0  8173k|   0   468 |  17k   31k|1.45 0.91 0.50|2.0   0  14|   0     0 |           | 11    4    0   19    0
Mar 26 22:35:22 ubuntu dstat.sh[64964]: 26-03 22:35:22| 39  13  48   0   0|1202M 1049M  169M 5316M|4820B 1016B|   0  2139k|   0   102 |4530  3285 |1.45 0.91 0.50|2.0   0 193|   0     0 |           | 11    4    0   19    0
Mar 26 22:35:23 ubuntu dstat.sh[64964]: 26-03 22:35:23| 29  25  45   0   0|1155M 1096M  169M 5316M|3918B  756B|   0   600k|   0  41.0 |6735  5913 |1.45 0.91 0.50|1.0   0 612|   0     0 |           | 11    4    0   19    0
Mar 26 22:35:24 ubuntu dstat.sh[64964]: 26-03 22:35:24| 27  15  57   0   0|1144M 1106M  169M 5317M|3423B  486B|   0  4093B|   0  1.00 |6730  8476 |1.45 0.91 0.50|4.0   0 240|   0     0 |           | 11    4    0   19    0
Mar 26 22:35:25 ubuntu dstat.sh[64964]: 26-03 22:35:25| 45   6  48   0   0|1217M 1033M  169M 5317M|3134B  539B|   0     0 |   0     0 |2879  1478 |1.50 0.93 0.51|2.0   0  16|   0     0 |           | 11    5    0   19    0
Mar 26 22:35:26 ubuntu dstat.sh[64964]: 26-03 22:35:26| 43   7  49   0   0|1242M 1008M  169M 5317M|3585B  809B|   0   304k|   0  5.00 |2696  1332 |1.50 0.93 0.51|3.0   0   0|   0     0 |           | 11    5    0   19    0
Mar 26 22:35:27 ubuntu dstat.sh[64964]: 26-03 22:35:27| 28  10  61   0   0|1264M  983M  169M 5319M|3688B 1027B|   0   624k|   0  54.0 |4415  4896 |1.50 0.93 0.51|  0   0 118|   0     0 |           | 11    4    0   19    0
Mar 26 22:35:28 ubuntu dstat.sh[64964]: 26-03 22:35:28| 12   4  83   1   0|1304M  943M  169M 5319M|4061B 1080B|   0  1485k|   0  61.0 |1854  2055 |1.50 0.93 0.51|2.0   0  23|   0     0 |           | 11    4    0   19    0
Mar 26 22:35:29 ubuntu dstat.sh[64964]: 26-03 22:35:29| 22   3  74   0   0|1354M  893M  169M 5319M|3891B  972B|   0   136k|   0  9.00 |1749  1277 |1.50 0.93 0.51|2.0   0   0|   0     0 |           | 11    4    0   19    0
Mar 26 22:35:30 ubuntu dstat.sh[64964]: 26-03 22:35:30| 23   2  72   1   0|1370M  877M  169M 5320M|4420B 1080B|   0  1552k|   0   230 |3535  4619 |1.46 0.93 0.51|3.0   0 2.0|   0     0 |           | 11   10    0   15    0
Mar 26 22:35:31 ubuntu dstat.sh[64964]: 26-03 22:35:31| 21   6  72   0   0|1306M  941M  169M 5320M|4363B 1069B|   0    34M|   0   570 |2580  2329 |1.46 0.93 0.51|1.0   0  42|   0     0 |           | 11    4    0   17    0
Mar 26 22:35:32 ubuntu dstat.sh[64964]: 26-03 22:35:32| 19   1  78   0   0|1317M  930M  169M 5320M|7320B 3465B| 144k 1744k|7.00  24.0 |1926  1764 |1.46 0.93 0.51|1.0   0 1.0|   0     0 |           | 11   13    0   17    0
Mar 26 22:35:33 ubuntu dstat.sh[64964]: 26-03 22:35:33| 20   3  76   0   0|1275M  972M  169M 5320M|  10k 7112B| 268k  475k|65.9  24.0 |2764  2687 |1.46 0.93 0.51|1.0   0 3.0|   0     0 |           | 11   28    0   18    0
