Mar 09 15:58:41 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Mar 09 15:58:42 ubuntu dstat.sh[59014]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Mar 09 15:58:42 ubuntu dstat.sh[59014]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 09 15:58:42 ubuntu dstat.sh[59014]: 09-03 15:58:42|                   | 919M 1737M  156M 4834M|           |           |           |           |1.42 0.98 0.52|2.0   0    |           |           | 10    4    0   16    0
Mar 09 15:58:43 ubuntu dstat.sh[59014]: 09-03 15:58:43| 17  22  57   0   0| 915M 1739M  156M 4836M|2927k   42k|   0  1944k|   0  59.0 |  16k   27k|1.42 0.98 0.52|3.0   0 497|   0     0 |           | 10    3    0   16    0
Mar 09 15:58:44 ubuntu dstat.sh[59014]: 09-03 15:58:44| 62  22  11   0   0| 920M 1729M  156M 4841M|4612B 1296B|   0    35M|   0  75.0 |  20k   42k|1.42 0.98 0.52|1.0 1.0 478|   0     0 |           | 10    2    0   17    0
Mar 09 15:58:45 ubuntu dstat.sh[59014]: 09-03 15:58:45| 18  16  64   0   0|1018M 1630M  156M 4963M|9884B 4482B|   0  1252k|   0  9.97 |6304  8531 |1.42 0.98 0.52|  0   0 314|   0     0 |           | 11    4    0   17    0
Mar 09 15:58:46 ubuntu dstat.sh[59014]: 09-03 15:58:46| 23  18  58   0   0|1058M 1578M  156M 4973M|  14k 2258B|  16k   36k|1.00  8.99 |5003  3668 |1.55 1.01 0.54|2.0   0 345|   0     0 |           | 11    4    0   18    0
Mar 09 15:58:47 ubuntu dstat.sh[59014]: 09-03 15:58:47| 31  11  58   0   0|1092M 1544M  156M 4973M|  85k 5103B|  32k 1997k|2.00  24.0 |4161  3195 |1.55 1.01 0.54|3.0   0 197|   0     0 |           | 11    6    0   20    0
Mar 09 15:58:48 ubuntu dstat.sh[59014]: 09-03 15:58:48| 28   4  66   1   0|1130M 1501M  157M 4976M|1404k   40k|  36k 4564k|9.01   103 |4005  2570 |1.55 1.01 0.54|1.0   0 1.0|   0     0 |           | 11    6    0   20    0
Mar 09 15:58:49 ubuntu dstat.sh[59014]: 09-03 15:58:49| 22   6  63   7   0|1159M 1457M  157M 4991M|5459k   95k|   0    25M|   0  1474 |  14k   16k|1.55 1.01 0.54|1.0 1.0  28|   0     0 |           | 11    8    0   20    0
Mar 09 15:58:50 ubuntu dstat.sh[59014]: 09-03 15:58:50| 34  12  43   9   0|1137M 1466M  159M 5000M|4781B 1848B|   0    56M|   0  3720 |  15k   27k|1.55 1.01 0.54|2.0   0 171|   0     0 |           | 11    4    0   20    0
Mar 09 15:58:51 ubuntu dstat.sh[59014]: 09-03 15:58:51| 44  14  41   1   0|1215M 1370M  160M 5014M|4473B 1512B|  20k 4685k|5.00   239 |4493  3588 |1.67 1.04 0.55|3.0   0 149|   0     0 |           | 11    4    0   20    0
Mar 09 15:58:52 ubuntu dstat.sh[59014]: 09-03 15:58:52| 63   5  31   0   0|1249M 1331M  160M 5018M|4409B 1748B|   0  2012k|   0  27.9 |3439  1637 |1.67 1.04 0.55|3.0   0  18|   0     0 |           | 11    5    0   20    0
Mar 09 15:58:53 ubuntu dstat.sh[59014]: 09-03 15:58:53| 32   5  63   1   0|1225M 1356M  160M 5018M| 226k 9512B|   0  6984k|   0   373 |3309  3177 |1.67 1.04 0.55|1.0   0  24|   0     0 |           | 11    5    0   20    0
Mar 09 15:58:54 ubuntu dstat.sh[59014]: 09-03 15:58:54| 25   2  71   0   0|1247M 1333M  160M 5018M|7544B 2834B|   0   520k|   0  20.0 |1973  1385 |1.67 1.04 0.55|1.0   0 1.0|   0     0 |           | 11    6    0   20    0
Mar 09 15:58:55 ubuntu dstat.sh[59014]: 09-03 15:58:55| 17  20  60   0   0|1214M 1367M  160M 5018M|  22k 5463B|   0   416k|   0  14.0 |5364  3741 |1.67 1.04 0.55|3.0   0 306|   0     0 |           | 11    7    0   20    0
Mar 09 15:58:56 ubuntu dstat.sh[59014]: 09-03 15:58:56| 17  21  60   0   0|1208M 1371M  161M 5019M|  25k 8837B|   0  1254k|   0  40.1 |5682  4332 |1.61 1.04 0.55|1.0   0 354|   0     0 |           | 11    7    1   20    0
Mar 09 15:58:57 ubuntu dstat.sh[59014]: 09-03 15:58:57| 33  15  51   0   0|1190M 1389M  161M 5019M|  35k   15k|   0  3760k|   0   237 |6541  7162 |1.61 1.04 0.55|4.0   0 243|   0     0 |           | 11    8    0   20    0
Mar 09 15:58:58 ubuntu dstat.sh[59014]: 09-03 15:58:58| 58   9  31   1   0|1301M 1278M  161M 5020M|  42k   15k|   0  1743k|   0  54.0 |3930  2172 |1.61 1.04 0.55|2.0   0  70|   0     0 |           | 11    9    0   20    0
Mar 09 15:58:59 ubuntu dstat.sh[59014]: 09-03 15:58:59| 58   8  34   1   0|1329M 1248M  161M 5021M|  22k   13k|   0  2008k|   0  63.0 |3390  1662 |1.61 1.04 0.55|2.0   0   0|   0     0 |           | 11    8    0   20    1
Mar 09 15:59:00 ubuntu dstat.sh[59014]: 09-03 15:59:00| 50  11  37   1   0|1333M 1212M  162M 5048M| 171k 8295B|   0  3740k|   0   136 |5737  7210 |1.61 1.04 0.55|1.0   0 119|   0     0 |           | 11    6    0   21    2
Mar 09 15:59:01 ubuntu dstat.sh[59014]: 09-03 15:59:01| 34   5  60   1   0|1381M 1146M  163M 5064M|4604B 1516B|   0  3388k|   0   253 |2908  2202 |1.64 1.06 0.56|2.0   0  22|   0     0 |           | 11    6    0   21    2
