Jun 11 16:29:09 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Jun 11 16:29:09 ubuntu dstat.sh[65328]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Jun 11 16:29:09 ubuntu dstat.sh[65328]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 11 16:29:09 ubuntu dstat.sh[65328]: 11-06 16:29:09|                   |1029M 1285M  164M 5146M|           |           |           |           |1.63 1.11 0.60|2.0   0    |           |           | 10    4    1   17    0
Jun 11 16:29:10 ubuntu dstat.sh[65328]: 11-06 16:29:10| 20  21  57   0   0|1025M 1289M  164M 5146M|  22k 7625B|   0  3022k|   0   161 |5862  4441 |1.63 1.11 0.60|2.0   0 363|   0     0 |           | 10    4    1   17    0
Jun 11 16:29:11 ubuntu dstat.sh[65328]: 11-06 16:29:11| 17  21  60   1   0| 989M 1324M  165M 5146M|  37k   11k|   0  2106k|   0   109 |5587  4087 |1.63 1.11 0.60|2.0   0 339|   0     0 |           | 10    6    1   17    0
Jun 11 16:29:12 ubuntu dstat.sh[65328]: 11-06 16:29:12| 26  21  52   1   0|1000M 1312M  165M 5147M|  24k   13k|   0  1832k|   0  54.0 |6207  5965 |1.66 1.13 0.61|1.0   0 305|   0     0 |           | 10    6    1   17    0
Jun 11 16:29:13 ubuntu dstat.sh[65328]: 11-06 16:29:13| 25  16  58   0   0|1095M 1217M  165M 5269M|  43k   13k|   0  1782k|   0  54.8 |6395  7649 |1.66 1.13 0.61|2.0   0 167|   0     0 |           | 11    5    1   17    1
Jun 11 16:29:14 ubuntu dstat.sh[65328]: 11-06 16:29:14| 32  11  56   1   0|1100M 1204M  165M 5276M|  22k   14k|   0  1647k|   0  55.1 |4012  2702 |1.66 1.13 0.61|2.0   0 116|   0     0 |           | 11    7    1   17    1
Jun 11 16:29:15 ubuntu dstat.sh[65328]: 11-06 16:29:15| 36  13  49   1   0|1146M 1133M  166M 5297M| 165k 3687B|  32k 3359k|2.00  93.1 |4564  3454 |1.66 1.13 0.61|3.0   0 166|   0     0 |           | 11    6    1   19    2
Jun 11 16:29:16 ubuntu dstat.sh[65328]: 11-06 16:29:16| 45   6  48   0   0|1200M 1057M  167M 5316M|5152B 1654B|4076B   16M|1.00   537 |3085  1847 |1.66 1.13 0.61|5.0   0   0|   0     0 |           | 11    6    1   19    2
Jun 11 16:29:17 ubuntu dstat.sh[65328]: 11-06 16:29:17| 40   6  47   6   0|1230M 1002M  168M 5339M|4132B  814B|   0    20M|   0  1491 |8035    13k|1.69 1.14 0.62|  0 1.0  14|   0     0 |           | 11    8    1   19    2
Jun 11 16:29:18 ubuntu dstat.sh[65328]: 11-06 16:29:18| 33   9  41  14   0|1229M  978M  170M 5358M|4808B 1188B|   0    64M|   0  4456 |  16k   33k|1.69 1.14 0.62|3.0   0  63|   0     0 |           | 11    8    1   19    2
