May 12 16:35:46 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 12 16:35:46 ubuntu dstat.sh[65635]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 12 16:35:46 ubuntu dstat.sh[65635]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 12 16:35:46 ubuntu dstat.sh[65635]: 12-05 16:35:46|                   | 982M 1344M  165M 5135M|           |           |           |           |1.30 0.67 0.39|2.0   0    |           |           | 10    5    0   18    0
May 12 16:35:47 ubuntu dstat.sh[65635]: 12-05 16:35:47| 15  20  63   0   0| 991M 1335M  165M 5135M|  28k 6701B|   0  1695k|   0  36.0 |5974  4878 |1.30 0.67 0.39|1.5   0 491|   0     0 |           | 10    6    0   18    0
May 12 16:35:48 ubuntu dstat.sh[65635]: 12-05 16:35:48| 15  22  62   0   0| 981M 1344M  165M 5136M|  13k 6699B|   0  1107k|   0  35.5 |5970  5114 |1.30 0.67 0.39|1.0   0 423|   0     0 |           | 10    6    0   18    0
May 12 16:35:49 ubuntu dstat.sh[65635]: 12-05 16:35:49| 30  16  51   0   0| 983M 1342M  165M 5136M|  20k   11k|   0  1603k|   0  49.0 |4740  4741 |1.30 0.67 0.39|2.0   0 230|   0     0 |           | 10    5    0   18    1
May 12 16:35:50 ubuntu dstat.sh[65635]: 12-05 16:35:50| 27  14  57   1   0|1107M 1216M  166M 5258M|  37k   11k|   0  1537k|   0  48.0 |5646  6453 |1.36 0.70 0.39|2.0   0 145|   0     0 |           | 11    7    0   18    1
May 12 16:35:51 ubuntu dstat.sh[65635]: 12-05 16:35:51| 30  12  56   1   0|1126M 1179M  166M 5275M| 175k   11k|   0  3742k|   0   121 |4038  2853 |1.36 0.70 0.39|4.0   0 157|   0     0 |           | 11    6    0   18    2
May 12 16:35:52 ubuntu dstat.sh[65635]: 12-05 16:35:52| 39   9  48   1   0|1190M 1099M  167M 5288M|3110B    0 |  32k 3094k|1.99  85.7 |3533  2581 |1.36 0.70 0.39|2.0   0  55|   0     0 |           | 11    6    0   20    2
May 12 16:35:53 ubuntu dstat.sh[65635]: 12-05 16:35:53| 44   6  49   1   0|1217M 1052M  167M 5305M|2105B    0 |   0  6091k|   0  64.2 |2963  1844 |1.36 0.70 0.39|2.0   0   0|   0     0 |           | 11    6    0   20    2
May 12 16:35:54 ubuntu dstat.sh[65635]: 12-05 16:35:54| 37   7  47   8   0|1237M 1002M  169M 5331M|2702B    0 |   0    29M|   0  1947 |9163    15k|1.36 0.70 0.39|2.0   0  19|   0     0 |           | 11    8    0   20    2
May 12 16:35:55 ubuntu dstat.sh[65635]: 12-05 16:35:55| 32   8  42  14   0|1235M  970M  171M 5360M|2520B    0 |   0    64M|   0  5244 |  17k   33k|1.49 0.73 0.41|2.0   0  63|   0     0 |           | 11    8    0   20    2
May 12 16:35:56 ubuntu dstat.sh[65635]: 12-05 16:35:56| 42   8  48   1   0|1202M 1010M  171M 5351M|3275B  479B|   0  7721k|   0   525 |4372  4037 |1.49 0.73 0.41|2.0   0  76|   0     0 |           | 11    4    0   20    0
May 12 16:35:57 ubuntu dstat.sh[65635]: 12-05 16:35:57| 39   8  52   0   0|1251M  961M  171M 5351M|7945B 2105B|   0  1216k|   0  64.0 |2735  1635 |1.49 0.73 0.41|2.0   0  34|   0     0 |           | 11    5    0   20    0
May 12 16:35:58 ubuntu dstat.sh[65635]: 12-05 16:35:58| 45   6  48   2   0|1203M 1002M  171M 5357M|2807B  174B|   0  9301k|   0   651 |3736  3266 |1.49 0.73 0.41|2.0   0 9.0|   0     0 |           | 11    4    0   20    0
May 12 16:35:59 ubuntu dstat.sh[65635]: 12-05 16:35:59| 38   7  54   0   0|1254M  946M  172M 5362M|9279B 3033B|   0  1393k|   0  84.8 |2871  1839 |1.49 0.73 0.41|5.0   0  24|   0     0 |           | 11    4    0   20    0
May 12 16:36:00 ubuntu dstat.sh[65635]: 12-05 16:36:00| 46   9  44   0   0|1265M  934M  172M 5362M|2463B    0 |   0    92k|   0  2.00 |  15k   28k|1.53 0.76 0.42|2.0   0  15|   0     0 |           | 11    4    0   20    0
May 12 16:36:01 ubuntu dstat.sh[65635]: 12-05 16:36:01| 29  25  45   0   0|1162M 1048M  172M 5352M|3082B    0 |   0  4219k|   0   407 |9319    12k|1.53 0.76 0.42|2.0   0 408|   0     0 |           | 11    4    0   20    0
May 12 16:36:02 ubuntu dstat.sh[65635]: 12-05 16:36:02| 33  23  42   0   0|1176M 1034M  172M 5352M|2400B    0 |   0    36k|   0  9.00 |6350  5705 |1.53 0.76 0.42|2.0   0 375|   0     0 |           | 11    4    0   20    0
May 12 16:36:03 ubuntu dstat.sh[65635]: 12-05 16:36:03| 33  18  48   0   0|1181M 1029M  172M 5352M|2694B    0 |   0    10M|   0  52.9 |5622  5844 |1.53 0.76 0.42|2.0   0 241|   0     0 |           | 11    5    0   20    0
May 12 16:36:04 ubuntu dstat.sh[65635]: 12-05 16:36:04| 46   5  49   0   0|1232M  978M  172M 5352M|3183B    0 |   0   104k|   0  9.01 |2694  1272 |1.53 0.76 0.42|2.0   0   0|   0     0 |           | 11    5    0   20    0
May 12 16:36:05 ubuntu dstat.sh[65635]: 12-05 16:36:05| 43   9  48   1   0|1272M  937M  172M 5353M|3181B    0 |   0  1917k|   0  93.0 |3017  2006 |1.57 0.78 0.43|2.0   0   0|   0     0 |           | 11    5    0   20    0
May 12 16:36:06 ubuntu dstat.sh[65635]: 12-05 16:36:06| 23  11  64   0   0|1294M  914M  172M 5355M|3189B    0 |   0  2047k|   0   141 |4543  5435 |1.57 0.78 0.43|1.0   0 118|   0     0 |           | 11    4    0   20    0
May 12 16:36:07 ubuntu dstat.sh[65635]: 12-05 16:36:07| 19   5  73   0   0|1339M  869M  172M 5355M|2280B    0 |   0     0 |   0     0 |1982  1621 |1.57 0.78 0.43|1.0   0  22|   0     0 |           | 11    4    0   20    0
May 12 16:36:08 ubuntu dstat.sh[65635]: 12-05 16:36:08| 23   4  73   0   0|1372M  835M  172M 5355M|3183B    0 |   0    17M|   0   234 |1971  1363 |1.57 0.78 0.43|1.0   0   0|   0     0 |           | 11    4    0   18    0
May 12 16:36:09 ubuntu dstat.sh[65635]: 12-05 16:36:09| 23   4  70   2   0|1383M  824M  172M 5355M|1860B    0 |   0  4540k|   0   337 |3885  5189 |1.57 0.78 0.43|1.0   0 7.0|   0     0 |           | 11   10    0   18    0
May 12 16:36:10 ubuntu dstat.sh[65635]: 12-05 16:36:10| 21   6  73   0   0|1330M  877M  172M 5355M|1800B    0 |   0   764k|   0  12.0 |2253  1656 |1.52 0.78 0.43|1.0   0  42|   0     0 |           | 11    4    0   20    0
May 12 16:36:11 ubuntu dstat.sh[65635]: 12-05 16:36:11| 20   2  78   0   0|1349M  857M  172M 5356M|4485B 2389B| 144k  621k|7.01  10.0 |1690  1301 |1.52 0.78 0.43|1.0   0   0|   0     0 |           | 11   11    0   20    0
